infinitive,headword,preterite,past_participle,classification,notes
dressen,dressen,"dressed(5), dressede(1)",dressed(2),weak,classified by morphological evidence
dusken,dusk,dusked(2),,weak,classified by morphological evidence
eilen,eilen,"eyled(1), eiled(1)",,weak,classified by morphological evidence
eken,eken,,eched(2),weak,classified by morphological evidence
embosen,embos,,embosed(2),weak,classified by morphological evidence
embracen,embracen,,embraced(1),weak,classified by morphological evidence
embrouden,embroud,,embrouded(2),weak,classified by morphological evidence
empoisounen,empoisoun,,"empoysoned(2), empoisoned(1)",weak,classified by morphological evidence
emprenten,emprent,,"emprented(4), enprented(2)",weak,classified by morphological evidence
enchaunten,enchaunten,,enchanted(2),weak,classified by morphological evidence
enclinen,enclinen,,"enclined(3), enclyned(3)",weak,classified by morphological evidence
enclosen,enclos,,enclosed(4),weak,classified by morphological evidence
encombren,encombr,,encombred(2),weak,classified by morphological evidence
encresen,encresen,"encresed(1), encresede(1)",encressed(4),weak,classified by morphological evidence
enden,enden,,ended(7),weak,classified by morphological evidence
enduren,enduren,endured(2),endured(2),weak,classified by morphological evidence
enfourmen,enfourm,,enformed(2),weak,classified by morphological evidence
engendren,engendren,,"engendred(6), engendered(1)",weak,classified by morphological evidence
enhabiten,enhabit,,enhabit(2),weak,classified by morphological evidence
enhauncen,enhauncen,,enhaunced(3),weak,classified by morphological evidence
entenden,entenden,entended(2),,weak,classified by morphological evidence
enterchaungen,enterchaung,,entrechaunged(2),weak,classified by morphological evidence
entitelen,entitel,,entitled(1),weak,classified by morphological evidence
entren,entren,,entred(4),weak,classified by morphological evidence
envenimen,envenimen,,"envenimed(1), envenymed(1)",weak,classified by morphological evidence
envolupen,envolup,,envoluped(2),weak,classified by morphological evidence
escapen,escapen,,escaped(2),weak,classified by morphological evidence
escheuen,escheuen,,eschued(1),weak,classified by morphological evidence
esen,esen,,esed(7),weak,classified by morphological evidence
exciten,excit,excited(2),,weak,classified by morphological evidence
excusen,excusen,,excused(2),weak,classified by morphological evidence
executen,execut,,execut(2),weak,classified by morphological evidence
expounen,expounen,"expouned(2), expowned(2)",,weak,classified by morphological evidence
failen,failen,"failled(3), failed(1)",,weak,classified by morphological evidence
falsen,falsen,falsed(2),falsed(4),weak,classified by morphological evidence
farsen,fars,,farsed(2),weak,classified by morphological evidence
feden,feden,fedde(4),fed(2),weak,classified by morphological evidence
feffen,feff,,feffed(2),weak,classified by morphological evidence
feinen,feinen,"feined(4), feyned(3), feynede(1)","feyned(2), feined(1)",weak,classified by morphological evidence
fellen,fellen,,feld(2),weak,classified by morphological evidence
feteren,feter,fettred(2),fetered(2),weak,classified by morphological evidence
fetten,fetten,fette(5),fet(6),weak,classified by morphological evidence
fillen,fillen,,"fild(2), filled(2)",weak,classified by morphological evidence
fishen,fishen,,fisshed(2),weak,classified by morphological evidence
flikeren,fliker,flikered(1),,weak,classified by morphological evidence
folwen,folwen,"folwed(9), folwede(3), folowede(1), folowed(1), folewed(1)",yfolowed(2),weak,classified by morphological evidence
fore-witen,fore-wit,"forwoot(4), forwot(3)",,weak,classified by morphological evidence
forgonen,forgon,foryede(2),,weak / irregular,"Gon is generally irregular, but this form seems weak"
formen,formen,"formed(4), formede(1)","yformed(5), formed(3), ifourmed(1)",weak,classified by morphological evidence
forwrappen,forwrapp,,forwrapped(2),weak,classified by morphological evidence
fostren,fostren,fostred(4),"fostred(11), yfostred(4)",weak,classified by morphological evidence
ful-fillen,ful-fillen,,"fulfild(9), fulfilled(2)",weak,classified by morphological evidence
gaderen,gader,"gadered(2), gadrede(1)",gadered(1),weak,classified by morphological evidence
gamen,gam,gamed(2),,weak,classified by morphological evidence
gasen,gas,gazed(2),,weak,classified by morphological evidence
giden,giden,,gided(1),weak,classified by morphological evidence
gladen,gladen,"gladded(3), gladed(3), gladede(2)",gladed(1),weak,classified by morphological evidence
gliteren,gliter,"glitered(1), glytered(1)",,weak,classified by morphological evidence
governen,governen,governed(4),governed(3),weak,classified by morphological evidence
graunten,graunten,"graunted(22), grauntede(1)","graunted(16), ygraunted(2)",weak,classified by morphological evidence
greven,greven,greved(2),,weak,classified by morphological evidence
gropen,gropen,groped(2),,weak,classified by morphological evidence
grounden,ground,,grounded(2),weak,classified by morphological evidence
halouen,halou,,yhalowed(2),weak,classified by morphological evidence
halwen,halw,halwed(2),halwed(2),weak,classified by morphological evidence
hamelen,hamel,,hameled(2),weak,classified by morphological evidence
harden,hard,,yharded(2),weak,classified by morphological evidence
haten,haten,hated(2),yhated(2),weak,classified by morphological evidence
helmen,helm,,helmed(4),weak,classified by morphological evidence
