headword,word,tag,line_number,filename,context,text_type,reason,oxford_context,oxford_reason
haven,hadde,v%pt_3,The Miller's Tale 3346,data/riverside_cats/MilT_riv.cat,I dar wel seyn if she hadde been a mous,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","I dar wel seyn, if she had been a mous",No exception (normal form)
haven,hadde,v%pt_3,The Knight's Tale 1770,data/riverside_cats/KnT_riv.cat,And eek his herte hadde compassioun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And eek his herte had compassioun,No exception (normal form)
haven,hadde,v%pt_3,The Pardoner's Tale 877,data/riverside_cats/PardT_riv.cat,Hadde filled with wyn his grete botels thre,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had filled with win his grete botels three,No exception (normal form)
haven,hadde,v%pt_3,Parliament of Fowls 377,data/riverside_cats/PF_riv.cat,So ferforth that Nature hireself hadde blysse,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","So ferforth,° that Nature hirself had blisse",No exception (normal form)
haven,hadde,v%pt_3,The Monk's Tale 2275,data/riverside_cats/MkT_riv.cat,Hadde swiche fantasies as hadde she,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had swiche fantasyes° as had she.,No exception (normal form)
sterten,stirte,v%pt_3,The Wife of Bath's Tale 1046,data/riverside_cats/WBT_riv.cat,And with that word up stirte the olde wyf,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",¶And with that word up stirt° the olde wif,No exception (normal form)
haven,hadde,v%pt_3,The Miller's Tale 3755,data/riverside_cats/MilT_riv.cat,For fro that tyme that he hadde kist hir ers,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",For fro that time that he had kiste hir ers,No exception (normal form)
answeren,answerde,v%pt_3,The Franklin's Tale 1607,data/riverside_cats/FranT_riv.cat,This philosophre answerde Leeve brother,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","¶This philosophre answerd, “Leve° brother",No exception (normal form)
haven,hadde,v%pt_3,The Merchant's Tale 2215,data/riverside_cats/MerT_riv.cat,For in a lettre she hadde toold hym al,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",For in a lettre she had told him al,No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Prologue 817,data/riverside_cats/WBPro_riv.cat,And whan that I hadde geten unto me,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And whan that I had geten unto me,No exception (normal form)
heren,herde,v%pt_1,Book of the Duchess 1136,data/riverside_cats/BD_riv.cat,I herde yow telle herebefore,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",I herd you telle herbefore.”,No exception (normal form)
haven,hadde,v%pt_3,The Franklin's Tale 1515,data/riverside_cats/FranT_riv.cat,And in his herte hadde greet compassioun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And in his hert had greet compassioun,No exception (normal form)
haven,hadde,v%pt_3,The Manciple's Tale 130,data/riverside_cats/MancT_riv.cat,Now hadde this Phebus in his hous a crowe,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",¶Now had this Phebus in his hous a crowe,No exception (normal form)
haven,hadde,v%pt_3,The Merchant's Tale 2394,data/riverside_cats/MerT_riv.cat,How that this Damyan hadde by thee leyn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",How that this Damian had by thee leyn,No exception (normal form)
haven,hadde,v%pt_3,The Monk's Tale 2295,data/riverside_cats/MkT_riv.cat,Two sones by this Odenake hadde she,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Two sones by this Odenake had she,No exception (normal form)
haven,hadde,v%pt_1,Parliament of Fowls 91,data/riverside_cats/PF_riv.cat,And ek I ne hadde that thyng that I wolde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And eek° I ne had that thing that I wolde.°,No exception (normal form)
stinten,stente,v%pt_1,Book of the Duchess 358,data/riverside_cats/BD_riv.cat,Out of my chambre I never stente,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Out of my chambre; I never stent°,No exception (normal form)
overspreden,overspradde,v%pt_3,The Knight's Tale 2871,data/riverside_cats/KnT_riv.cat,After a beere and it al overspradde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","After a bere,° and it al overspradd",No exception (normal form)
haven,hadde,v%pt_3,Troilus and Criseyde; Book IV 667,data/riverside_cats/TC4_riv.cat,Hadde herd she which that of hire fader roughte,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Had herd, she which that of hir fader roughte",No exception (normal form)
haven,hadde,v%pt_3,The Pardoner's Tale 707,data/riverside_cats/PardT_riv.cat,Of which the taverner hadde spoke biforn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Of which the taverner had spoke biforn,No exception (normal form)
shitten,shette,v%pt_3,The Canon's Yeoman's Tale 1142,data/riverside_cats/CYT_riv.cat,And his maister shette the dore anon,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And his maister shet the dore anon,No exception (normal form)
overgon,overgon,v%inf,Troilus and Criseyde; Book I 846,data/riverside_cats/TC1_riv.cat,That as hire joies moten overgon,RIVERSIDE,Infinitive must end in -en or -e,"That, as hir joyes moten overgone",No exception (normal form)
dien,deyede,v%pt_3,Book of the Duchess 214,data/riverside_cats/BD_riv.cat,And deyede within the thridde morwe,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And died within the thridde morwe.,No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Prologue 528,data/riverside_cats/WBPro_riv.cat,And hadde left scole and wente at hom to bord,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","And had left scole, and wente at hoom to bord°",No exception (normal form)
haven,hadde,v%pt_3,The Franklin's Tale 907,data/riverside_cats/FranT_riv.cat,Which May hadde peynted with his softe shoures,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Which May had peinted with his° softe shoures,No exception (normal form)
setten,sette,v%pt_3,The Manciple's Tale 264,data/riverside_cats/MancT_riv.cat,His bowe he bente and sette therinne a flo,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","His bowe he bente, and set therinne a flo,°",No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Prologue 534,data/riverside_cats/WBPro_riv.cat,For hadde myn housbonde pissed on a wal,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",For had min housbond pissed on a wal,No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 64,data/riverside_cats/GP_riv.cat,This ilke worthy knyght hadde been also,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",This ilke worthy knight had been also,No exception (normal form)
heren,herde,v%pt_1,The Canon's Yeoman's Tale 821,data/riverside_cats/CYT_riv.cat,By ordre as ofte I herde my lord hem nevene,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","By ordre, as ofte I herd my lord hem nevene.°",No exception (normal form)
haven,hadde,v%pt_3,The Miller's Tale 3541,data/riverside_cats/MilT_riv.cat,Hym hadde be levere I dar wel undertake,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Him had be lever,° I dar wel undertake,°",No exception (normal form)
haven,hadde,v%pt_3,The Canon's Yeoman's Tale 1013,data/riverside_cats/CYT_riv.cat,That therinne dwelled hadde many a yeer,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That therin dwelled had many a yeer,No exception (normal form)
faren,ferde,v%pt_3,Book of the Duchess 501,data/riverside_cats/BD_riv.cat,He ferde thus evel there he set,RIVERSIDE,Strong pt sg must not end in -en or -e,He ferd° thus evel° there° he sete,No exception (normal form)
wenden,wente,v%pt_3,House of Fame 1724,data/riverside_cats/HF_riv.cat,That thrugh the world wente the soun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That through the worlde went the soun,No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 637,data/riverside_cats/GP_riv.cat,And whan that he wel dronken hadde the wyn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And whan that he wel dronken had the win,No exception (normal form)
fallen,fille,v%pt_3,The Knight's Tale 2110,data/riverside_cats/KnT_riv.cat,For if ther fille tomorwe swich a cas,RIVERSIDE,Strong pt sg must not end in -en or -e,For if ther fill tomorwe swich a cas,No exception (normal form)
answeren,answerde,v%pt_3,Parliament of Fowls 446,data/riverside_cats/PF_riv.cat,She neyther answerde wel ne seyde amys,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",She neither answerd wel ne seide amis°,No exception (normal form)
heren,herde,v%pt_1,Book of the Duchess 466,data/riverside_cats/BD_riv.cat,That ever I herde for by my trowthe,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","That ever I herd; for, by my trouthe",No exception (normal form)
seien,sey,v%inf,Troilus and Criseyde; Book I 451,data/riverside_cats/TC1_riv.cat,But were he fer or ner I dar sey this,RIVERSIDE,Infinitive must end in -en or -e,"But were he fer or neer, I dar seye this",No exception (normal form)
haven,hadde,v%pt_3,Book of the Duchess 1006,data/riverside_cats/BD_riv.cat,Therto she hadde the moste grace,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Therto she had the moste grace,No exception (normal form)
comen,come,v%pt_3,House of Fame 1727,data/riverside_cats/HF_riv.cat,Thoo come the sexte companye,RIVERSIDE,Strong pt sg must not end in -en or -e,¶Thoo com the sexte companie,No exception (normal form)
putten,putte,v%pt_3,The Knight's Tale 988,data/riverside_cats/KnT_riv.cat,In pleyn bataille and putte the folk to flyght,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","In plein bataille, and put the folk to flight;",No exception (normal form)
haven,hadde,v%pt_3,The Franklin's Tale 1154,data/riverside_cats/FranT_riv.cat,That hadde thise moones mansions in mynde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That had this mones mansions in minde,No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 266,data/riverside_cats/GP_riv.cat,And in his harpyng whan that he hadde songe,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","And in his harping, whan that he had songe",No exception (normal form)
haven,hadde,v%pt_3,The Knight's Tale 2654,data/riverside_cats/KnT_riv.cat,And whan that Theseus hadde seyn this sighte,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And whan that Theseus had seyn this sighte,No exception (normal form)
haven,hadde,v%pt_3,The Miller's Tale 3299,data/riverside_cats/MilT_riv.cat,A clerk hadde litherly biset his whyle,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","“A clerk had litherly° biset his while,°",No exception (normal form)
wepen,wepte,v%pt_3,Book of the Duchess 107,data/riverside_cats/BD_riv.cat,And wepte that pittee was to here,RIVERSIDE,Strong pt sg must not end in -en or -e,"And wept, that pite was to here.",No exception (normal form)
haven,hadde,v%pt_3,The Manciple's Tale 139,data/riverside_cats/MancT_riv.cat,Now hadde this Phebus in his hous a wyf,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",¶Now had this Phebus in his hous a wif,No exception (normal form)
haven,hadde,v%pt_3,The Franklin's Tale 910,data/riverside_cats/FranT_riv.cat,Arrayed hadde this gardyn trewely,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Arrayed° had this gardin, trewely",No exception (normal form)
haven,hadde,v%pt_3,The Squire's Tale 363,data/riverside_cats/SqT_riv.cat,For of hir fader hadde she take leve,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",For of hir fader had she take leve,No exception (normal form)
haven,hadde,v%pt_3,The Summoner's Tale 1894,data/riverside_cats/SumT_riv.cat,Aaron that hadde the temple in governaunce,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","¶“Aaron, that had the temple in governaunce,°",No exception (normal form)
haven,hadde,v%pt_3,The Squire's Tale 523,data/riverside_cats/SqT_riv.cat,Til he so longe hadde wopen and compleyned,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Til he so longe had wopen and compleined,°",No exception (normal form)
haven,hadde,v%pt_3,The Franklin's Tale 803,data/riverside_cats/FranT_riv.cat,Who koude telle but he hadde wedded be,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","¶Who coude tell, but° he had wedded be,°",No exception (normal form)
haven,hadde,v%pt_3,The Summoner's Tale 2062,data/riverside_cats/SumT_riv.cat,An hondred part than he hadde don bifoore,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",An hondred part° than he had doon bifore;,No exception (normal form)
sitten,sete,v%pt_3,Book of the Duchess 436,data/riverside_cats/BD_riv.cat,Sete to rekene in hys countour,RIVERSIDE,Strong pt sg must not end in -en or -e,"Set to rekene in his counter,°",No exception (normal form)
heren,herde,v%pt_1,Book of the Duchess 520,data/riverside_cats/BD_riv.cat,I herde the not to seyn the soth,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","I herd thee not, to seyn the sothe",No exception (normal form)
haven,hadde,v%pt_1,The Wife of Bath's Prologue 462,data/riverside_cats/WBPro_riv.cat,For she drank wyn thogh I hadde been his wyf,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","For she drank win, thogh° I had been his wif",No exception (normal form)
ben,is,v%pr_3,Book of the Duchess 9,data/riverside_cats/BD_riv.cat,Al is ylyche good to me,RIVERSIDE,Present 3rd sg must end in -th,Al is iliche° good to me—,No exception (normal form)
haven,hadde,v%pt_3,The Second Nun's Tale 133,data/riverside_cats/SNT_riv.cat,Hadde next hire flessh yclad hire in an haire,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had next hir flesh yclad° hir in an heire.°,No exception (normal form)
haven,hadde,v%pt_3,The Monk's Tale 2221,data/riverside_cats/MkT_riv.cat,And thanne hadde God of hym compassioun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And thanne had God of him compassioun,No exception (normal form)
haven,hadde,v%pt_3,The Knight's Tale 1528,data/riverside_cats/KnT_riv.cat,Whan that Arcite hadde romed al his fille,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Whan that Arcite had romed al his fille,No exception (normal form)
haven,hadde,v%pt_1,The Pardoner's Tale 952,data/riverside_cats/PardT_riv.cat,I wolde I hadde thy coillons in myn hond,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",I wolde I had thy coillons° in min hond,No exception (normal form)
haven,hadde,v%pt_3,Troilus and Criseyde; Book I 299,data/riverside_cats/TC1_riv.cat,And though he erst hadde poured up and down,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And though he erst had poured up and doun,No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Prologue 683,data/riverside_cats/WBPro_riv.cat,Whan he hadde leyser and vacacioun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Whan he had leiser° and vacacioun,No exception (normal form)
haven,hadde,v%pt_3,The Clerk's Tale 693,data/riverside_cats/ClT_riv.cat,That she hadde suffred this with sad visage,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That she had suffred this with sad° visage.,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book III 1564,data/riverside_cats/TC3_riv.cat,Criseyde answerde Nevere the bet for yow,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Criseyde answerd, “Never the bet for yow",No exception (normal form)
haven,hadde,v%pt_3,The Nun's Priest's Tale 3358,data/riverside_cats/NPT_riv.cat,Whan he hadde hent kyng Priam by the berd,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Whan he had hent° king Priam by the berd,No exception (normal form)
haven,hadde,v%pt_3,The Monk's Tale 2038,data/riverside_cats/MkT_riv.cat,And hadde no wepen but an asses cheke,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And had no wepen but an asses cheek.°,No exception (normal form)
haven,hadde,v%pt_3,Book of the Duchess 825,data/riverside_cats/BD_riv.cat,For al the world so hadde she,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","For al the worlde, so had she",No exception (normal form)
crien,cride,v%pt_3,The Reeve's Tale 4307,data/riverside_cats/RvT_riv.cat,That doun he gooth and cride Harrow I dye,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","That doun he gooth and cried, “Harrow!° I die!”",No exception (normal form)
cacchen,caughte,v%pt_3,The Miller's Tale 3785,data/riverside_cats/MilT_riv.cat,And caughte the kultour by the colde stele,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And caught the cultour by the colde stele.°,No exception (normal form)
haven,hadde,v%pt_1,The Franklin's Tale 971,data/riverside_cats/FranT_riv.cat,Hadde went ther nevere I sholde have come agayn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had went° ther never I sholde have come again;,No exception (normal form)
tellen,tolde,v%pt_3,The Wife of Bath's Prologue 740,data/riverside_cats/WBPro_riv.cat,He tolde me eek for what occasioun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",¶“He told me eek for what occasioun,No exception (normal form)
haven,hadde,v%pt_3,The Franklin's Tale 840,data/riverside_cats/FranT_riv.cat,Or elles hadde this sorwe hir herte slayn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Or elles had° this sorwe hir herte slain.,No exception (normal form)
seien,sayn,v%pr_pl,House of Fame 23,data/riverside_cats/HF_riv.cat,Or ellys thus as other sayn,RIVERSIDE,Present plural must end in -en or -e,"Or ellis thus, as other sayne,°",No exception (normal form)
henten,hente,v%pt_3,House of Fame 2028,data/riverside_cats/HF_riv.cat,Hente me up bytweene hys toon,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Hent° me up bitwene his toon,°",No exception (normal form)
seien,say,v%inf,Troilus and Criseyde; Book IV 117,data/riverside_cats/TC4_riv.cat,And dar wel say the tyme is faste by,RIVERSIDE,Infinitive must end in -en or -e,"And dar wel seye, the time is faste by",No exception (normal form)
tellen,tolde,v%pt_1,The Wife of Bath's Prologue 208,data/riverside_cats/WBPro_riv.cat,That I ne tolde no deyntee of hir love,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That I ne told no deintee° of hir love!,No exception (normal form)
haven,hadde,v%pt_3,The Squire's Tale 637,data/riverside_cats/SqT_riv.cat,Ther as she with hire beek hadde hurt hirselve,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Ther as° she with hir beek had hurt hirselve.,No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 146,data/riverside_cats/GP_riv.cat,Of smale houndes hadde she that she fedde,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Of smale houndes had she, that she fedde",No exception (normal form)
wenden,wente,v%pt_1,Book of the Duchess 388,data/riverside_cats/BD_riv.cat,And as I wente ther cam by mee,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","And as I went, ther cam by me",No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 291,data/riverside_cats/GP_riv.cat,For he hadde geten hym yet no benefice,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",For he had geten him yet no benefice,No exception (normal form)
haven,hadde,v%pt_3,Troilus and Criseyde; Book I 500,data/riverside_cats/TC1_riv.cat,Was this that she som wight hadde loved so,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Was this, that she som wight had loved so",No exception (normal form)
haven,hadde,v%pt_3,The Merchant's Tale 1255,data/riverside_cats/MerT_riv.cat,Hadde this knyght to been a wedded man,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had this knight to been a wedded man,No exception (normal form)
haven,hadde,v%pt_1,Book of the Duchess 1326,data/riverside_cats/BD_riv.cat,And the book that I hadde red,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And the book that I had redde,No exception (normal form)
faren,ferde,v%pt_3,Book of the Duchess 967,data/riverside_cats/BD_riv.cat,Ryght so ferde my lady dere,RIVERSIDE,Strong pt sg must not end in -en or -e,Right so ferd° my lady dere;,No exception (normal form)
haven,hadde,v%pt_1,Book of the Duchess 1303,data/riverside_cats/BD_riv.cat,I tolde the that I hadde lorn,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","I tolde thee, that I had lorne.°",No exception (normal form)
haven,hadde,v%pt_3,The Miller's Tale 3630,data/riverside_cats/MilT_riv.cat,But er that he hadde maad al this array,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","But er° that he had maad al this array,°",No exception (normal form)
peinten,peyntede,v%pt_3,The Wife of Bath's Prologue 692,data/riverside_cats/WBPro_riv.cat,Who peyntede the leon tel me who,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Who peinted the leon,° tel me who?",No exception (normal form)
haven,hadde,v%pt_3,The Nun's Priest's Tale 3099,data/riverside_cats/NPT_riv.cat,But er that he hadde half his cours yseyled,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","But er that he had halfe his cours yseiled,°",No exception (normal form)
haven,hadde,v%pt_3,The Clerk's Tale 278,data/riverside_cats/ClT_riv.cat,For wel she hadde herd seyd that thilke day,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","For wel she had herd seid, that thilke° day",No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 199,data/riverside_cats/GP_riv.cat,And eek his face as he hadde been enoynt,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","And eek his face, as he had been anoint.",No exception (normal form)
faren,ferde,v%pt_3,The Squire's Tale 621,data/riverside_cats/SqT_riv.cat,So ferde this tercelet allas the day,RIVERSIDE,Strong pt sg must not end in -en or -e,"So ferd° this tercelet, allas the day!",No exception (normal form)
haven,hadde,v%pt_3,The Pardoner's Tale 848,data/riverside_cats/PardT_riv.cat,That he hadde leve him to sorwe brynge,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That he had leve° him to sorwe bringe,No exception (normal form)
willen,wol,v%pr_pl,Troilus and Criseyde; Book III 883,data/riverside_cats/TC3_riv.cat,Quod tho Criseyde Wol ye don o thyng,RIVERSIDE,Present plural must end in -en or -e,"Quod tho Criseyde, “Wole ye doon o thing",No exception (normal form)
haven,hadde,v%pt_3,The Franklin's Tale 1596,data/riverside_cats/FranT_riv.cat,Hadde levere dye in sorwe and in distresse,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had lever° die in sorwe and in distresse,No exception (normal form)
heren,herde,v%pt_3,The Wife of Bath's Prologue 832,data/riverside_cats/WBPro_riv.cat,And whan the Somonour herde the Frere gale,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","And whan the Somnour herd the Frere gale,°",No exception (normal form)
haven,hadde,v%pt_3,The Nun's Priest's Tale 3175,data/riverside_cats/NPT_riv.cat,For he hadde founde a corn lay in the yerd,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","For he had founde a corn,° lay in the yerd.",No exception (normal form)
haven,hadde,v%pt_3,The Summoner's Tale 2284,data/riverside_cats/SumT_riv.cat,He hadde the firste smel of fartes thre,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",He had° the firste smel of fartes three,No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Prologue 420,data/riverside_cats/WBPro_riv.cat,For thogh the pope hadde seten hem biside,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",For thogh the Pope had seten° hem biside,No exception (normal form)
haven,hadde,v%pt_3,The Nun's Priest's Tale 3294,data/riverside_cats/NPT_riv.cat,Than hadde Boece or any that kan synge,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Than had Boece, or any that can singe.",No exception (normal form)
paien,payde,v%pt_3,The General Prologue 539,data/riverside_cats/GP_riv.cat,His tithes payde he ful faire and wel,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",His tithes payed he ful faire and wel,No exception (normal form)
don,don,v%inf,Troilus and Criseyde; Book III 1253,data/riverside_cats/TC3_riv.cat,That what to don for joie unnethe he wiste,RIVERSIDE,Infinitive must end in -en or -e,"That, what to done, for joye unnethe he wiste.",No exception (normal form)
durren,dorste,v%pt_3,The Franklin's Tale 736,data/riverside_cats/FranT_riv.cat,That wel unnethes dorste this knyght for drede,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","That wel unnethes° dorst° this knight, for drede",No exception (normal form)
