headword,word,tag,line_number,filename,context,text_type,reason,oxford_context,riverside_context,oxford_reason,riverside_reason
haven,han,v%inf,The Franklin's Tale 1529,data/oxford_txts/FranT_oxford.txt,That him were levere han shame° (and that were routhe°),BOTH,Infinitive must end in -en or -e,That him were levere han shame° (and that were routhe°),That him were levere han shame and that were routhe,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,han,v%pr_pl,The Canon's Yeoman's Tale 1332,data/oxford_txts/CYT_oxford.txt,"With thes three teines, which that we han wroght",BOTH,Present plural must end in -en or -e,"With thes three teines, which that we han wroght",With thise thre teynes whiche that we han wroght,Present plural must end in -en or -e,Present plural must end in -en or -e
haven,han,v%pr_pl,The Summoner's Tale 1860,data/oxford_txts/SumT_oxford.txt,That han been trewe freres fifty yeer;,BOTH,Present plural must end in -en or -e,That han been trewe freres fifty yeer;,That han been trewe freres fifty yeer,Present plural must end in -en or -e,Present plural must end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book III 633,data/oxford_txts/TC3_oxford.txt,“To doon min herte as now so greet an ese,BOTH,Infinitive must end in -en or -e,“To doon min herte as now so greet an ese,To don myn herte as now so gret an ese,Infinitive must end in -en or -e,Infinitive must end in -en or -e
aracen,arace,v%pr_3,Troilus and Criseyde; Book III 1015,data/oxford_txts/TC3_oxford.txt,Ther Jove him sone out of your herte arace!,BOTH,Present 3rd sg must end in -th,Ther Jove him sone out of your herte arace!,Ther Jove hym sone out of youre herte arace,Present 3rd sg must end in -th,Present 3rd sg must end in -th
bringen,broughte,v%pt_3,Troilus and Criseyde; Book IV 670,data/oxford_txts/TC4_oxford.txt,Yeve him mischaunce that this tretis broughte.,BOTH,"Weak pt sg must end in -ed, -d, or -t",Yeve him mischaunce that this tretis broughte.,Yeve hem meschaunce that this tretis broughte,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
sitten,sit,v%pr_3,Troilus and Criseyde; Book IV 1037,data/oxford_txts/TC4_oxford.txt,"“But thou mayst seyn, the man sit not therfore",BOTH,Present 3rd sg must end in -th,"“But thou mayst seyn, the man sit not therfore",But thow mayst seyn the man sit nat therfore,Present 3rd sg must end in -th,Present 3rd sg must end in -th
wenen,wene,v%pr_3,House of Fame 1767,data/oxford_txts/HF_oxford.txt,That every man wene° hem at ese,BOTH,Present 3rd sg must end in -th,That every man wene° hem at ese,That every man wene hem at ese,Present 3rd sg must end in -th,Present 3rd sg must end in -th
smerten,smerte,v%pr_3,Troilus and Criseyde; Book III 1000,data/oxford_txts/TC3_oxford.txt,"Have and ay shal, how sore that me smerte",BOTH,Present 3rd sg must end in -th,"Have and ay shal, how sore that me smerte",Have and ay shal how sore that me smerte,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%pr_pl,The Prioress' Tale 661,data/oxford_txts/PrT_oxford.txt,"As ye han herd, and, whan that I had songe",BOTH,Present plural must end in -en or -e,"As ye han herd, and, whan that I had songe",As ye han herd and whan that I hadde songe,Present plural must end in -en or -e,"Weak pt sg must end in -ed, -d, or -t"
haven,han,v%pr_pl,The Merchant's Tale 1690,data/oxford_txts/MerT_oxford.txt,"Han take hir leve,° and ech of hem of other.°",BOTH,Present plural must end in -en or -e,"Han take hir leve,° and ech of hem of other.°",Han take hir leve and ech of hem of oother,Present plural must end in -en or -e,Present plural must end in -en or -e
helpen,help,v%pr_3,The Shipman's Tale 170,data/oxford_txts/ShipT_oxford.txt,"As help me God, he is noght worth at al",BOTH,Present 3rd sg must end in -th,"As help me God, he is noght worth at al",As helpe me God he is noght worth at al,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%inf,The Pardoner's Tale 712,data/oxford_txts/PardT_oxford.txt,Right° as they wolde han troden° over a stile,BOTH,Infinitive must end in -en or -e,Right° as they wolde han troden° over a stile,Right as they wolde han troden over a stile,Infinitive must end in -en or -e,Infinitive must end in -en or -e
stonden,stant,v%pr_3,The Shipman's Tale 114,data/oxford_txts/ShipT_oxford.txt,"“Nay, cosin min, it stant° nat so with me.",BOTH,Present 3rd sg must end in -th,"“Nay, cosin min, it stant° nat so with me.",Nay cosyn myn it stant nat so with me,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%pr_pl,The Franklin's Tale 872,data/oxford_txts/FranT_oxford.txt,Why han ye wroght° this werk unresonable?,BOTH,Present plural must end in -en or -e,Why han ye wroght° this werk unresonable?,Why han ye wroght this werk unresonable,Present plural must end in -en or -e,Present plural must end in -en or -e
haven,had,v%pt_pl,Book of the Duchess 723,data/oxford_txts/BD_oxford.txt,Thogh ye had lost the ferses° twelve,BOTH,Past plural must end in -en or -e,Thogh ye had lost the ferses° twelve,Thogh ye had lost the ferses twelve,Past plural must end in -en or -e,Past plural must end in -en or -e
gon,go,v%pr_3,Troilus and Criseyde; Book III 283,data/oxford_txts/TC3_oxford.txt,That privetee go with us in this cas,BOTH,Present 3rd sg must end in -th,That privetee go with us in this cas,That privete go with us in this cas,Present 3rd sg must end in -th,Present 3rd sg must end in -th
seien,sey,v%pr_pl,The Canon's Yeoman's Tale 1375,data/oxford_txts/CYT_oxford.txt,"“God it forbed!” quod the preest, “What sey ye?”",BOTH,Present plural must end in -en or -e,"“God it forbed!” quod the preest, “What sey ye?”",God it forbeede quod the preest what sey ye,Present plural must end in -en or -e,Present plural must end in -en or -e
fordon,fordoon,v%inf,Troilus and Criseyde; Book IV 1091,data/oxford_txts/TC4_oxford.txt,Why lust thee so thyself fordoon for drede,BOTH,Infinitive must end in -en or -e,Why lust thee so thyself fordoon for drede,Whi list the so thiself fordoon for drede,Infinitive must end in -en or -e,Infinitive must end in -en or -e
don,do,v%inf,House of Fame 1794,data/oxford_txts/HF_oxford.txt,"Have, and do noskinnes° labour",BOTH,Infinitive must end in -en or -e,"Have, and do noskinnes° labour",Have and do noskynnes labour,Infinitive must end in -en or -e,Infinitive must end in -en or -e
seien,seyn,v%inf,Troilus and Criseyde; Book IV 1320,data/oxford_txts/TC4_oxford.txt,"Er dayes ten, this dar I saufly seyn.",BOTH,Infinitive must end in -en or -e,"Er dayes ten, this dar I saufly seyn.",Er dayes ten this dar I saufly seyn,Infinitive must end in -en or -e,Infinitive must end in -en or -e
seien,seyn,v%inf,The General Prologue 797,data/oxford_txts/GP_oxford.txt,"That is to seyn, that telleth in this cas",BOTH,Infinitive must end in -en or -e,"That is to seyn, that telleth in this cas",That is to seyn that telleth in this caas,Infinitive must end in -en or -e,Infinitive must end in -en or -e
witen,woot,v%pr_pl,The Pardoner's Tale 786,data/oxford_txts/PardT_oxford.txt,For wel ye woot that al this gold is oures—,BOTH,Present plural must end in -en or -e,For wel ye woot that al this gold is oures—,For wel ye woot that al this gold is oures,Present plural must end in -en or -e,Present plural must end in -en or -e
haven,have,v%pr_3,Troilus and Criseyde; Book II 1686,data/oxford_txts/TC2_oxford.txt,"Have God my trouthe, hir cause to sustene.”",BOTH,Present 3rd sg must end in -th,"Have God my trouthe, hir cause to sustene.”",Have God my trouthe hire cause to sustene,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,a,v%pr_pl,The Merchant's Tale 1555,data/oxford_txts/MerT_oxford.txt,"Aviseth yow,° ye been a man of age",BOTH,Present plural must end in -en or -e,"Aviseth yow,° ye been a man of age",Avyseth yow ye been a man of age,Present plural must end in -en or -e,Present plural must end in -en or -e
benden,bende,v%pr_3,Troilus and Criseyde; Book II 1378,data/oxford_txts/TC2_oxford.txt,"That, though she bende, yet she stant on rote;",BOTH,Present 3rd sg must end in -th,"That, though she bende, yet she stant on rote;",That though she bende yeet she stant on roote,Present 3rd sg must end in -th,Present 3rd sg must end in -th
liken,like,v%pr_3,Troilus and Criseyde; Book IV 101,data/oxford_txts/TC4_oxford.txt,"But now or never, if that it like yow",BOTH,Present 3rd sg must end in -th,"But now or never, if that it like yow",But now or nevere if that it like yow,Present 3rd sg must end in -th,Present 3rd sg must end in -th
don,doon,v%inf,The Knight's Tale 1425,data/oxford_txts/KnT_oxford.txt,To doon that any wight° can him devise.°,BOTH,Infinitive must end in -en or -e,To doon that any wight° can him devise.°,To doon that any wight kan hym devyse,Infinitive must end in -en or -e,Infinitive must end in -en or -e
vouchen,vouche,v%pr_3,Troilus and Criseyde; Book II 1691,data/oxford_txts/TC2_oxford.txt,“If that she vouche sauf for to do so.”,BOTH,Present 3rd sg must end in -th,“If that she vouche sauf for to do so.”,If that she vouche sauf for to do so,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,had,v%pt_pl,Book of the Duchess 977,data/oxford_txts/BD_oxford.txt,For wherso men had pleid or waked,BOTH,Past plural must end in -en or -e,For wherso men had pleid or waked,For wherso men had pleyd or waked,Past plural must end in -en or -e,Past plural must end in -en or -e
preien,prey,v%inf,Troilus and Criseyde; Book I 48,data/oxford_txts/TC1_oxford.txt,To prey for hem that Loves servaunts be,BOTH,Infinitive must end in -en or -e,To prey for hem that Loves servaunts be,To prey for hem that Loves servauntz be,Infinitive must end in -en or -e,Infinitive must end in -en or -e
yeven,yeve,v%pr_3,Troilus and Criseyde; Book II 1609,data/oxford_txts/TC2_oxford.txt,"And yeve me sorwe, but he shal it rewe",BOTH,Present 3rd sg must end in -th,"And yeve me sorwe, but he shal it rewe",And yeve me sorwe but he shal it rewe,Present 3rd sg must end in -th,Present 3rd sg must end in -th
don,don,v%inf,The Knight's Tale 2253,data/oxford_txts/KnT_oxford.txt,"I wol don sacrifice, and fires bete.°",BOTH,Infinitive must end in -en or -e,"I wol don sacrifice, and fires bete.°",I wol doon sacrifice and fires beete,Infinitive must end in -en or -e,Infinitive must end in -en or -e
don,do,v%inf,Parliament of Fowls 663,data/oxford_txts/PF_oxford.txt,"For to do wel; for, God wot, quit° is she",BOTH,Infinitive must end in -en or -e,"For to do wel; for, God wot, quit° is she",For to do wel for God wot quyt is she,Infinitive must end in -en or -e,Infinitive must end in -en or -e
wepen,wepte,v%pt_3,Troilus and Criseyde; Book IV 353,data/oxford_txts/TC4_oxford.txt,"And Pandare, that ful tendreliche wepte",BOTH,Strong pt sg must not end in -en or -e,"And Pandare, that ful tendreliche wepte",And Pandare that ful tendreliche wepte,Strong pt sg must not end in -en or -e,Strong pt sg must not end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book I 19,data/oxford_txts/TC1_oxford.txt,"But nathelees, if this may doon gladnesse",BOTH,Infinitive must end in -en or -e,"But nathelees, if this may doon gladnesse",But natheles if this may don gladnesse,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,han,v%inf,Troilus and Criseyde; Book III 114,data/oxford_txts/TC3_oxford.txt,It mighte han maad an herte of stoon to rewe;,BOTH,Infinitive must end in -en or -e,It mighte han maad an herte of stoon to rewe;,It myghte han mad an herte of stoon to rewe,Infinitive must end in -en or -e,Infinitive must end in -en or -e
taken,tooke,v%pt_3,Book of the Duchess 128,data/oxford_txts/BD_oxford.txt,"Fil on her, or° she tooke kepe,°",BOTH,Strong pt sg must not end in -en or -e,"Fil on her, or° she tooke kepe,°",Fil on hir or she tooke kep,Strong pt sg must not end in -en or -e,Strong pt sg must not end in -en or -e
haven,han,v%inf,Troilus and Criseyde; Book IV 1476,data/oxford_txts/TC4_oxford.txt,"And Troilus, of whom ye nil han routhe",BOTH,Infinitive must end in -en or -e,"And Troilus, of whom ye nil han routhe",And Troilus of whom ye nyl han routhe,Infinitive must end in -en or -e,Infinitive must end in -en or -e
helpen,help,v%pr_3,Troilus and Criseyde; Book III 1058,data/oxford_txts/TC3_oxford.txt,But now help God to quenchen al this sorwe,BOTH,Present 3rd sg must end in -th,But now help God to quenchen al this sorwe,But now help God to quenchen al this sorwe,Present 3rd sg must end in -th,Present 3rd sg must end in -th
don,do,v%inf,The Second Nun's Tale 545,data/oxford_txts/SNT_oxford.txt,"Thise soules, lo! and that I might do werche°",BOTH,Infinitive must end in -en or -e,"Thise soules, lo! and that I might do werche°",Thise soules lo and that I myghte do werche,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haten,hate,v%pr_3,The Second Nun's Tale 231,data/oxford_txts/SNT_oxford.txt,But he be chaast° and hate vileinyë.°,BOTH,Present 3rd sg must end in -th,But he be chaast° and hate vileinyë.°,But he be chaast and hate vileynye,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%inf,Troilus and Criseyde; Book III 136,data/oxford_txts/TC3_oxford.txt,"And I to han, right as yow list, comfort",BOTH,Infinitive must end in -en or -e,"And I to han, right as yow list, comfort",And I to han right as yow list comfort,Infinitive must end in -en or -e,Infinitive must end in -en or -e
helpen,help,v%pr_3,The Merchant's Tale 2392,data/oxford_txts/MerT_oxford.txt,"God help me so, as I am ivel apaid.°",BOTH,Present 3rd sg must end in -th,"God help me so, as I am ivel apaid.°",God helpe me so as I am yvele apayd,Present 3rd sg must end in -th,Present 3rd sg must end in -th
connen,can,v%pr_pl,The Knight's Tale 1254,data/oxford_txts/KnT_oxford.txt,Wel bettre than they can hemself devise?°,BOTH,Present plural must end in -en or -e,Wel bettre than they can hemself devise?°,Wel bettre than they kan hemself devyse,Present plural must end in -en or -e,Present plural must end in -en or -e
seien,seyn,v%inf,Parliament of Fowls 323,data/oxford_txts/PF_oxford.txt,"That is to seyn, the foules of ravine°",BOTH,Infinitive must end in -en or -e,"That is to seyn, the foules of ravine°",That is to seyn the foules of ravyne,Infinitive must end in -en or -e,Infinitive must end in -en or -e
helpen,help,v%pr_3,Book of the Duchess 1235,data/oxford_txts/BD_oxford.txt,"I nil,° as wis° God help me so!’",BOTH,Present 3rd sg must end in -th,"I nil,° as wis° God help me so!’",I nyl as wys God helpe me soo,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%inf,The Second Nun's Tale 543,data/oxford_txts/SNT_oxford.txt,To han respit three dayes and namo,BOTH,Infinitive must end in -en or -e,To han respit three dayes and namo,To han respit thre dayes and namo,Infinitive must end in -en or -e,Infinitive must end in -en or -e
don,do,v%inf,Book of the Duchess 719,data/oxford_txts/BD_oxford.txt,Of noght° that Fortune coude do.”,BOTH,Infinitive must end in -en or -e,Of noght° that Fortune coude do.”,Of noght that Fortune koude doo,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,hadde,v%pt_3,The Clerk's Tale 724,data/oxford_txts/ClT_oxford.txt,For° he a povre womman wedded hadde,BOTH,"Weak pt sg must end in -ed, -d, or -t",For° he a povre womman wedded hadde,For he a povre womman wedded hadde,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
haven,han,v%pr_pl,The General Prologue 795,data/oxford_txts/GP_oxford.txt,Of aventures that whilom han bifalle.,BOTH,Present plural must end in -en or -e,Of aventures that whilom han bifalle.,Of aventures that whilom han bifalle,Present plural must end in -en or -e,Present plural must end in -en or -e
haven,han,v%inf,Troilus and Criseyde; Book IV 1585,data/oxford_txts/TC4_oxford.txt,"Eek ‘Whoso wol han leef, he leef mot lete’;",BOTH,Infinitive must end in -en or -e,"Eek ‘Whoso wol han leef, he leef mot lete’;",Ek Whoso wol han lief he lief moot lete,Infinitive must end in -en or -e,Infinitive must end in -en or -e
witen,woot,v%pr_pl,The Shipman's Tale 385,data/oxford_txts/ShipT_oxford.txt,"And woot ye why? by God, as that I gesse",BOTH,Present plural must end in -en or -e,"And woot ye why? by God, as that I gesse",And woot ye why By God as that I gesse,Present plural must end in -en or -e,Present plural must end in -en or -e
haven,han,v%pr_pl,The Second Nun's Tale 428,data/oxford_txts/SNT_oxford.txt,"“Ye han bigon your question folily,”°",BOTH,Present plural must end in -en or -e,"“Ye han bigon your question folily,”°",Ye han bigonne youre questioun folily,Present plural must end in -en or -e,Present plural must end in -en or -e
preien,preye,v%pr_3,The Friar's Tale 1417,data/oxford_txts/FriT_oxford.txt,"¶“ ‘Now, brother,’ quod this somnour, ‘I yow preye",BOTH,Present 3rd sg must end in -th,"¶“ ‘Now, brother,’ quod this somnour, ‘I yow preye",Now brother quod this somonour I yow preye,Present 3rd sg must end in -th,Present 3rd sg must end in -th
slen,yslain,v%ppl,The Franklin's Tale 1365,data/oxford_txts/FranT_oxford.txt,"And many a maide yslain hirself, allas!",BOTH,Strong participle must end in -en or -e,"And many a maide yslain hirself, allas!",And many a mayde yslayn hirself allas,Strong participle must end in -en or -e,Strong participle must end in -en or -e
don,do,v%pr_3,Troilus and Criseyde; Book IV 1643,data/oxford_txts/TC4_oxford.txt,Of othere do me fro your remembraunce.,BOTH,Present 3rd sg must end in -th,Of othere do me fro your remembraunce.,Of oother do me fro youre remembraunce,Present 3rd sg must end in -th,Present 3rd sg must end in -th
slen,slain,v%ppl,The Franklin's Tale 1410,data/oxford_txts/FranT_oxford.txt,"Han slain hemself, for verray° drede and wo",BOTH,Strong participle must end in -en or -e,"Han slain hemself, for verray° drede and wo",Han slayn hemself for verrey drede and wo,Strong participle must end in -en or -e,Strong participle must end in -en or -e
graunten,graunte,v%pr_3,The Pardoner's Tale 917,data/oxford_txts/PardT_oxford.txt,So graunte yow his pardon to receive;,BOTH,Present 3rd sg must end in -th,So graunte yow his pardon to receive;,So graunte yow his pardoun to receyve,Present 3rd sg must end in -th,Present 3rd sg must end in -th
yeven,his,v%pr_3,Troilus and Criseyde; Book V 1127,data/oxford_txts/TC5_oxford.txt,Er that she go; God yeve his herte pine!”,BOTH,Present 3rd sg must end in -th,Er that she go; God yeve his herte pine!”,Er that she go God yeve hys herte pyne,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%pr_pl,The Franklin's Tale 1547,data/oxford_txts/FranT_oxford.txt,And tolde him al as ye han herd me said;,BOTH,Present plural must end in -en or -e,And tolde him al as ye han herd me said;,And tolde hym al as ye han herd me sayd,Present plural must end in -en or -e,Present plural must end in -en or -e
don,do,v%inf,Book of the Duchess 29,data/oxford_txts/BD_oxford.txt,So I not° what is best to do.,BOTH,Infinitive must end in -en or -e,So I not° what is best to do.,So I not what is best to doo,Infinitive must end in -en or -e,Infinitive must end in -en or -e
