headword,word,tag,line_number,filename,context,text_type,reason,oxford_context,riverside_context,oxford_reason,riverside_reason
haven,had,v%pt_pl,Book of the Duchess 809,data/oxford_txts/BD_oxford.txt,Had seen togedres in oo place.,BOTH,Past plural must end in -en or -e,Had seen togedres in oo place.,Had seen togedres in oo place,Past plural must end in -en or -e,Past plural must end in -en or -e
listen,leste,v%pr_3,Troilus and Criseyde; Book I 1029,data/oxford_txts/TC1_oxford.txt,"“Why, freend,” quod he, “now do right as thee leste.",BOTH,Present 3rd sg must end in -eth,"“Why, freend,” quod he, “now do right as thee leste.",Whi frend quod he now do right as the leste,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
smerten,smerte,v%pr_3,The Knight's Tale 1394,data/oxford_txts/KnT_oxford.txt,"“Now trewely, how° sore that me smerte,”°",BOTH,Present 3rd sg must end in -eth,"“Now trewely, how° sore that me smerte,”°",Now trewely hou soore that me smerte,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
willen,wol,v%pr_pl,The Squire's Tale 146,data/oxford_txts/SqT_oxford.txt,"¶“The vertu° of the ring, if ye wol here",BOTH,Present plural must end in -en or -e,"¶“The vertu° of the ring, if ye wol here",The vertu of the ryng if ye wol heere,Present plural must end in -en or -e,Present plural must end in -en or -e
seien,sayes,v%pr_3,The Reeve's Tale 4180,data/oxford_txts/RvT_oxford.txt,"For John, ther is a law that sayes thus",BOTH,Present 3rd sg must end in -eth,"For John, ther is a law that sayes thus",For John ther is a lawe that says thus,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,is,v%pr_3,The Summoner's Tale 2003,data/oxford_txts/SumT_oxford.txt,"As womman is, whan she hath caught an ire;°",BOTH,Present 3rd sg must end in -eth,"As womman is, whan she hath caught an ire;°",As womman is whan she hath caught an ire,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,is,v%pr_3,Troilus and Criseyde; Book V 29,data/oxford_txts/TC5_oxford.txt,"Soth is, that whil he bood in this manere",BOTH,Present 3rd sg must end in -eth,"Soth is, that whil he bood in this manere",Soth is that while he bood in this manere,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,is,v%pr_3,Troilus and Criseyde; Book I 961,data/oxford_txts/TC1_oxford.txt,"Is nowher hool, as writen clerkes wise;",BOTH,Present 3rd sg must end in -eth,"Is nowher hool, as writen clerkes wise;",Is nowher hol as writen clerkes wyse,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
don,do,v%inf,Parliament of Fowls 663,data/oxford_txts/PF_oxford.txt,"For to do wel; for, God wot, quit° is she",BOTH,Infinitive must end in -en or -e,"For to do wel; for, God wot, quit° is she",For to do wel for God wot quyt is she,Infinitive must end in -en or -e,Infinitive must end in -en or -e
mouen,may,v%pr_3,The Canon's Yeoman's Tale 756,data/oxford_txts/CYT_oxford.txt,"As on five or sixe ounces, may wel be",BOTH,Present 3rd sg must end in -eth,"As on five or sixe ounces, may wel be",As on fyve or sixe ounces may wel be,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,is,v%pr_3,Troilus and Criseyde; Book III 1003,data/oxford_txts/TC3_oxford.txt,"But, herte min, what al this is to seyne",BOTH,Present 3rd sg must end in -eth,"But, herte min, what al this is to seyne",But herte myn what al this is to seyne,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,is,v%pr_3,The Squire's Tale 145,data/oxford_txts/SqT_oxford.txt,Your excellente doghter that is here.,BOTH,Present 3rd sg must end in -eth,Your excellente doghter that is here.,Youre excellente doghter that is heere,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
sweren,sworn,v%ppl,Troilus and Criseyde; Book II 299,data/oxford_txts/TC2_oxford.txt,By al the othes that I have yow sworn,BOTH,Strong participle must end in -en or -e,By al the othes that I have yow sworn,By alle the othes that I have yow sworn,Strong participle must end in -en or -e,Strong participle must end in -en or -e
ben,is,v%pr_3,The Franklin's Tale 1053,data/oxford_txts/FranT_oxford.txt,"To folwen hir, as she that° is goddesse",BOTH,Present 3rd sg must end in -eth,"To folwen hir, as she that° is goddesse",To folwen hire as she that is goddesse,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,is,v%pr_3,Troilus and Criseyde; Book II 1213,data/oxford_txts/TC2_oxford.txt,"God help me so, this is the firste lettre",BOTH,Present 3rd sg must end in -eth,"God help me so, this is the firste lettre",God help me so this is the firste lettre,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
kissen,keste,v%pt_3,The Squire's Tale 350,data/oxford_txts/SqT_oxford.txt,"And with a galping° mouth hem alle he keste,°",BOTH,"Weak pt sg must end in -ed, -d, or -t","And with a galping° mouth hem alle he keste,°",And with a galpyng mouth hem alle he keste,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
ben,be,v%pr_3,The Miller's Tale 3394,data/oxford_txts/MilT_oxford.txt,"For though that Absolon be wood or wrooth,°",BOTH,Present 3rd sg must end in -eth,"For though that Absolon be wood or wrooth,°",For though that Absolon be wood or wrooth,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
haven,han,v%pr_pl,House of Fame 1737,data/oxford_txts/HF_oxford.txt,"As they that han don noble gestes,°",BOTH,Present plural must end in -en or -e,"As they that han don noble gestes,°",As they that han doon noble gestes,Present plural must end in -en or -e,Present plural must end in -en or -e
haven,hath,v%pr_3,The Knight's Tale 1665,data/oxford_txts/KnT_oxford.txt,"The purveiaunce,° that God hath seyn biforn,°",BOTH,Present 3rd sg must end in -eth,"The purveiaunce,° that God hath seyn biforn,°",The purveiaunce that God hath seyn biforn,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
moten,moot,v%pr_3,Troilus and Criseyde; Book II 654,data/oxford_txts/TC2_oxford.txt,Which that min uncle swereth he moot be deed,BOTH,Present 3rd sg must end in -eth,Which that min uncle swereth he moot be deed,Which that myn uncle swerith he moot be deed,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
benden,bende,v%pr_3,Troilus and Criseyde; Book II 1378,data/oxford_txts/TC2_oxford.txt,"That, though she bende, yet she stant on rote;",BOTH,Present 3rd sg must end in -eth,"That, though she bende, yet she stant on rote;",That though she bende yeet she stant on roote,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
willen,wol,v%pr_3,Troilus and Criseyde; Book III 1263,data/oxford_txts/TC3_oxford.txt,"Lo, his desir wol flee withouten winges.",BOTH,Present 3rd sg must end in -eth,"Lo, his desir wol flee withouten winges.",Lo his desir wol fle withouten wynges,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
willen,wol,v%pr_3,The Pardoner's Tale 794,data/oxford_txts/PardT_oxford.txt,"Be drawe, and lat se wher the cut wol falle;",BOTH,Present 3rd sg must end in -eth,"Be drawe, and lat se wher the cut wol falle;",Be drawe and lat se wher the cut wol falle,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,is,v%pr_3,The General Prologue 797,data/oxford_txts/GP_oxford.txt,"That is to seyn, that telleth in this cas",BOTH,Present 3rd sg must end in -eth,"That is to seyn, that telleth in this cas",That is to seyn that telleth in this caas,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
haven,hath,v%pr_3,Troilus and Criseyde; Book II 1319,data/oxford_txts/TC2_oxford.txt,"And seide, “Pardee, God hath holpen us;",BOTH,Present 3rd sg must end in -eth,"And seide, “Pardee, God hath holpen us;",And seyde Parde God hath holpen us,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
haven,hadde,v%pt_3,The General Prologue 392,data/oxford_txts/GP_oxford.txt,A daggere hanginge on a laas hadde he,BOTH,"Weak pt sg must end in -ed, -d, or -t",A daggere hanginge on a laas hadde he,A daggere hangynge on a laas hadde he,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
willen,wol,v%pr_3,Troilus and Criseyde; Book II 1643,data/oxford_txts/TC2_oxford.txt,"Ne more pres, he wol wel that ye bringe",BOTH,Present 3rd sg must end in -eth,"Ne more pres, he wol wel that ye bringe",Ne moore prees he wol wel that ye brynge,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
connen,can,v%pr_pl,The Clerk's Tale 703,data/oxford_txts/ClT_oxford.txt,They can nat stinte° of hir entencioun,BOTH,Present plural must end in -en or -e,They can nat stinte° of hir entencioun,They kan nat stynte of hire entencion,Present plural must end in -en or -e,Present plural must end in -en or -e
mouen,may,v%pr_3,The Wife of Bath's Tale 1173,data/oxford_txts/WBT_oxford.txt,"Yet may the hye God, and so hope I",BOTH,Present 3rd sg must end in -eth,"Yet may the hye God, and so hope I",Yet may the hye God and so hope I,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,be,v%pr_3,The Wife of Bath's Prologue 776,data/oxford_txts/WBPro_oxford.txt,Be with a leoun or a foul dragoun,BOTH,Present 3rd sg must end in -eth,Be with a leoun or a foul dragoun,Be with a leon or a foul dragoun,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,is,v%pr_3,Troilus and Criseyde; Book IV 6,data/oxford_txts/TC4_oxford.txt,And whan a wight is from hir wheel ythrowe,BOTH,Present 3rd sg must end in -eth,And whan a wight is from hir wheel ythrowe,And whan a wight is from hire whiel ythrowe,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
willen,wol,v%pr_3,House of Fame 794,data/oxford_txts/HF_oxford.txt,That wheel wol cause another wheel,BOTH,Present 3rd sg must end in -eth,That wheel wol cause another wheel,That whel wol cause another whel,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
mouen,may,v%pr_3,Troilus and Criseyde; Book IV 1600,data/oxford_txts/TC4_oxford.txt,"But, for the love of God, if it be may",BOTH,Present 3rd sg must end in -eth,"But, for the love of God, if it be may",But for the love of God if it be may,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
don,do,v%inf,The Friar's Tale 1364,data/oxford_txts/FriT_oxford.txt,Do striken hir out of our lettres blake;,BOTH,Infinitive must end in -en or -e,Do striken hir out of our lettres blake;,Do striken hire out of oure lettres blake,Infinitive must end in -en or -e,Infinitive must end in -en or -e
willen,wol,v%pr_pl,The Clerk's Tale 129,data/oxford_txts/ClT_oxford.txt,"And we wol, lord, if that ye wol assente",BOTH,Present plural must end in -en or -e,"And we wol, lord, if that ye wol assente",And we wol lord if that ye wole assente,Present plural must end in -en or -e,Present plural must end in -en or -e
shulen,shul,v%pr_pl,The Knight's Tale 2220,data/oxford_txts/KnT_oxford.txt,"And herte soor, he seide as ye shul here.",BOTH,Present plural must end in -en or -e,"And herte soor, he seide as ye shul here.",And herte soor he seyde as ye shal heere,Present plural must end in -en or -e,Present plural must end in -en or -e
ben,be,v%pr_3,Troilus and Criseyde; Book II 975,data/oxford_txts/TC2_oxford.txt,"And seide, “Lord, al thin be that I have;",BOTH,Present 3rd sg must end in -eth,"And seide, “Lord, al thin be that I have;",And seyde Lord al thyn be that I have,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
gon,go,v%inf,The Canon's Yeoman's Tale 1115,data/oxford_txts/CYT_oxford.txt,That he anon might go to his werkinge.,BOTH,Infinitive must end in -en or -e,That he anon might go to his werkinge.,That he anon myghte go to his werkynge,Infinitive must end in -en or -e,Infinitive must end in -en or -e
gon,goon,v%inf,House of Fame 1090,data/oxford_txts/HF_oxford.txt,And gan forth to the paleis goon.,BOTH,Infinitive must end in -en or -e,And gan forth to the paleis goon.,And gan forth to the paleys gon,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,hath,v%pr_3,Troilus and Criseyde; Book III 1744,data/oxford_txts/TC3_oxford.txt,"“Love, that of erthe and see hath governaunce",BOTH,Present 3rd sg must end in -eth,"“Love, that of erthe and see hath governaunce",Love that of erthe and se hath governaunce,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,be,v%pr_3,Troilus and Criseyde; Book IV 28,data/oxford_txts/TC4_oxford.txt,Of Troilus be fully shewed here.,BOTH,Present 3rd sg must end in -eth,Of Troilus be fully shewed here.,Of Troilus be fully shewed heere,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
connen,can,v%pr_3,The Knight's Tale 1808,data/oxford_txts/KnT_oxford.txt,Can° hem therfor as muche thank as me;,BOTH,Present 3rd sg must end in -eth,Can° hem therfor as muche thank as me;,Kan hem therfore as muche thank as me,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
answeren,answerde,v%pt_3,Troilus and Criseyde; Book IV 178,data/oxford_txts/TC4_oxford.txt,"Gan it withstonde, and sobrely answerde:—",BOTH,"Weak pt sg must end in -ed, -d, or -t","Gan it withstonde, and sobrely answerde:—",Gan it withstonde and sobrely answerde,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
mouen,may,v%pr_3,The Merchant's Tale 1341,data/oxford_txts/MerT_oxford.txt,"Ther may no tonge° telle, or herte thinke.",BOTH,Present 3rd sg must end in -eth,"Ther may no tonge° telle, or herte thinke.",Ther may no tonge telle or herte thynke,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,is,v%pr_3,House of Fame 1871,data/oxford_txts/HF_oxford.txt,"And seide, “Frend, what is thy name?",BOTH,Present 3rd sg must end in -eth,"And seide, “Frend, what is thy name?",And seyde Frend what is thy name,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
wenden,wente,v%pt_3,Troilus and Criseyde; Book V 1021,data/oxford_txts/TC5_oxford.txt,Whan that Criseyde unto hir bedde wente,BOTH,"Weak pt sg must end in -ed, -d, or -t",Whan that Criseyde unto hir bedde wente,Whan that Criseyde unto hire bedde wente,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,Parliament of Fowls 102,data/oxford_txts/PF_oxford.txt,The carter dremeth how his cart is goon;,BOTH,Present 3rd sg must end in -eth,The carter dremeth how his cart is goon;,The cartere dremeth how his cart is gon,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
seisen,sese,v%pr_3,Parliament of Fowls 481,data/oxford_txts/PF_oxford.txt,"At shorte wordes, til that deth me sese,°",BOTH,Present 3rd sg must end in -eth,"At shorte wordes, til that deth me sese,°",At shorte wordes til that deth me sese,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
shulen,shal,v%pr_3,The Physician's Tale 284,data/oxford_txts/PhyT_oxford.txt,He noot° how soon that he shal been afered.°,BOTH,Present 3rd sg must end in -eth,He noot° how soon that he shal been afered.°,He noot how soone that he shal been afered,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
shulen,shal,v%pr_3,Troilus and Criseyde; Book IV 1473,data/oxford_txts/TC4_oxford.txt,He shal som Grek so preise and wel alose,BOTH,Present 3rd sg must end in -eth,He shal som Grek so preise and wel alose,He shal som Grek so preyse and wel alose,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
don,do,v%pr_pl,The Wife of Bath's Prologue 663,data/oxford_txts/WBPro_oxford.txt,"And so do mo,° God woot!° of us than I.",BOTH,Present plural must end in -en or -e,"And so do mo,° God woot!° of us than I.",And so doo mo God woot of us than I,Present plural must end in -en or -e,Present plural must end in -en or -e
ben,is,v%pr_3,The Monk's Tale 2073,data/oxford_txts/MkT_oxford.txt,But now is he in prisoun in a cave,BOTH,Present 3rd sg must end in -eth,But now is he in prisoun in a cave,But now is he in prison in a cave,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,is,v%pr_3,The Shipman's Tale 19,data/oxford_txts/ShipT_oxford.txt,"Or lene° us gold, and that is perilous.",BOTH,Present 3rd sg must end in -eth,"Or lene° us gold, and that is perilous.",Or lene us gold and that is perilous,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
haven,hath,v%pr_3,Troilus and Criseyde; Book I 879,data/oxford_txts/TC1_oxford.txt,"Love hath biset the wel, be of good chere;",BOTH,Present 3rd sg must end in -eth,"Love hath biset the wel, be of good chere;",Love hath byset the wel be of good cheere,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
mouen,may,v%pr_3,Troilus and Criseyde; Book I 778,data/oxford_txts/TC1_oxford.txt,"Quod Pandarus, “Allas! what may this be",BOTH,Present 3rd sg must end in -eth,"Quod Pandarus, “Allas! what may this be",Quod Pandarus Allas What may this be,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
ben,be,v%pr_3,Troilus and Criseyde; Book II 313,data/oxford_txts/TC2_oxford.txt,For whether it be wel or be amis,BOTH,Present 3rd sg must end in -eth,For whether it be wel or be amis,For whethir it be wel or be amys,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
