headword,word,tag,line_number,filename,context,text_type,reason,riverside_context,riverside_reason
comen,came,v%pt_1,House of Fame 969,data/oxford_txts/HF_oxford.txt,Al the wey through whiche I came.,OXFORD,Strong pt sg must not end in -en or -e,All the wey thrugh which I cam,No exception (normal form)
mouen,might,v%pt_pl,The Clerk's Tale 1106,data/oxford_txts/ClT_oxford.txt,Unnethe° abouten hir might they abide.,OXFORD,Past plural must end in -en or -e,Unnethe abouten hire myghte they abyde,No exception (normal form)
bicomen,bicomth,v%pr_3,Troilus and Criseyde; Book II 797,data/oxford_txts/TC2_oxford.txt,"Wher it bicomth; lo, no wight on it sporneth;",OXFORD,Present 3rd sg must end in -eth,Where it bycometh Lo no wight on it sporneth,No exception (normal form)
comen,cam,v%pt_pl,The Clerk's Tale 752,data/oxford_txts/ClT_oxford.txt,But whan thise tidinges° cam to Grisildis,OXFORD,Past plural must end in -en or -e,But whan thise tidynges came to Grisildis,No exception (normal form)
soupen,soup,v%inf,The Franklin's Tale 1217,data/oxford_txts/FranT_oxford.txt,"“Go we than soup,”° quod he, “as for the beste;",OXFORD,Infinitive must end in -en or -e,Go we thanne soupe quod he as for the beste,No exception (normal form)
holden,hold,v%inf,Book of the Duchess 1179,data/oxford_txts/BD_oxford.txt,That she wold hold me for° hir knight,OXFORD,Infinitive must end in -en or -e,That she wolde holde me for hir knyght,No exception (normal form)
sitten,satte,v%pt_3,The Pardoner's Tale 664,data/oxford_txts/PardT_oxford.txt,"And as they satte, they herde a belle clinke°",OXFORD,Strong pt sg must not end in -en or -e,And as they sat they herde a belle clynke,No exception (normal form)
chesen,chees,v%inf,The Wife of Bath's Tale 898,data/oxford_txts/WBT_oxford.txt,"To chees,° whether she wolde him save or spille.°",OXFORD,Infinitive must end in -en or -e,To chese wheither she wolde hym save or spille,No exception (normal form)
holden,hold,v%inf,Book of the Duchess 1019,data/oxford_txts/BD_oxford.txt,Hir lust° to hold no wight in honde;°,OXFORD,Infinitive must end in -en or -e,Hyr lust to holde no wyght in honde,No exception (normal form)
bisetten,beset,v%inf,Book of the Duchess 772,data/oxford_txts/BD_oxford.txt,He shuld beset° min herte so,OXFORD,Infinitive must end in -en or -e,He shulde besette myn herte so,No exception (normal form)
biholden,behold,v%inf,Book of the Duchess 1050,data/oxford_txts/BD_oxford.txt,"And to behold the alderfaireste,°",OXFORD,Infinitive must end in -en or -e,And to beholde the alderfayreste,No exception (normal form)
comen,com,v%inf,The Friar's Tale 1516,data/oxford_txts/FriT_oxford.txt,Com ther thee nedeth nat of me to lere.°,OXFORD,Infinitive must end in -en or -e,Come there thee nedeth nat of me to leere,No exception (normal form)
durren,dur,v%inf,Troilus and Criseyde; Book V 840,data/oxford_txts/TC5_oxford.txt,"Stod paregal, to dur don that him leste.",OXFORD,Infinitive must end in -en or -e,Stood paregal to durre don that hym leste,No exception (normal form)
singen,songe,v%pt_3,The General Prologue 122,data/oxford_txts/GP_oxford.txt,Ful wel she songe the service divine,OXFORD,Strong pt sg must not end in -en or -e,Ful weel she soong the service dyvyne,No exception (normal form)
sheuen,shew,v%inf,The Clerk's Tale 90,data/oxford_txts/ClT_oxford.txt,Or elles coude he shew wel swich° matere,OXFORD,Infinitive must end in -en or -e,Or elles koude he shewe wel swich mateere,No exception (normal form)
comen,com,v%inf,Troilus and Criseyde; Book II 430,data/oxford_txts/TC2_oxford.txt,"“By God, I shal nomore com here this wike",OXFORD,Infinitive must end in -en or -e,By God I shal namore come here this wyke,No exception (normal form)
willen,wold,v%pt_pl,Troilus and Criseyde; Book III 455,data/oxford_txts/TC3_oxford.txt,"So as they dorste, how they wold procede.",OXFORD,Past plural must end in -en or -e,So as they durste how they wolde procede,No exception (normal form)
singen,sing,v%inf,Book of the Duchess 849,data/oxford_txts/BD_oxford.txt,Carole° and sing so swetely,OXFORD,Infinitive must end in -en or -e,Carole and synge so swetely,No exception (normal form)
connen,can,v%pr_pl,The Clerk's Tale 933,data/oxford_txts/ClT_oxford.txt,"As clerkes, whan hem list, can wel endite",OXFORD,Present plural must end in -en or -e,As clerkes whan hem list konne wel endite,No exception (normal form)
graunten,grant,v%inf,The Wife of Bath's Tale 1174,data/oxford_txts/WBT_oxford.txt,Grant me grace to liven vertuously.,OXFORD,Infinitive must end in -en or -e,Grante me grace to lyven vertuously,No exception (normal form)
kissen,kiss,v%pr_pl,The Pardoner's Tale 965,data/oxford_txts/PardT_oxford.txt,I prey yow that ye kiss the Pardoner.,OXFORD,Present plural must end in -en or -e,I prey yow that ye kisse the Pardoner,No exception (normal form)
connen,can,v%pr_pl,The Merchant's Tale 1424,data/oxford_txts/MerT_oxford.txt,"They can° so muchel craft° on Wades boot,°",OXFORD,Present plural must end in -en or -e,They konne so muchel craft on Wades boot,No exception (normal form)
taken,tak,v%inf,The Wife of Bath's Tale 1224,data/oxford_txts/WBT_oxford.txt,And tak your aventure° of the repair°,OXFORD,Infinitive must end in -en or -e,And take youre aventure of the repair,No exception (normal form)
connen,kon,v%pr_pl,House of Fame 338,data/oxford_txts/HF_oxford.txt,How sore that ye men kon grone,OXFORD,Present plural must end in -en or -e,How sore that ye men konne groone,No exception (normal form)
geten,get,v%pr_pl,The Merchant's Tale 1945,data/oxford_txts/MerT_oxford.txt,And wente hir wey; ye get namore of° me.,OXFORD,Present plural must end in -en or -e,And wente hire wey ye gete namoore of me,No exception (normal form)
mouen,might,v%pt_pl,The Squire's Tale 634,data/oxford_txts/SqT_oxford.txt,They niste° how they might the faucon glade.°,OXFORD,Past plural must end in -en or -e,They nyste hou they myghte the faucon glade,No exception (normal form)
ben,wer,v%pt_pl,The Wife of Bath's Prologue 199,data/oxford_txts/WBPro_oxford.txt,In which that they wer bounden unto me.,OXFORD,Past plural must end in -en or -e,In which that they were bounden unto me,No exception (normal form)
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 1628,data/oxford_txts/TC2_oxford.txt,"He seide, “Ye, but wol ye now me here?",OXFORD,Present plural must end in -en or -e,He seyde Ye but wole ye now me here,No exception (normal form)
sweren,swer,v%inf,Book of the Duchess 820,data/oxford_txts/BD_oxford.txt,"For I dar swer, withoute doute",OXFORD,Infinitive must end in -en or -e,For I dar swere withoute doute,No exception (normal form)
helen,heel,v%inf,Book of the Duchess 40,data/oxford_txts/BD_oxford.txt,That may me heel; but that is done.°,OXFORD,Infinitive must end in -en or -e,That may me hele but that is don,No exception (normal form)
ben,be,v%pr_3,The Reeve's Tale 4181,data/oxford_txts/RvT_oxford.txt,That gif° a man in a° point be ygreved,OXFORD,Present 3rd sg must end in -eth,That gif a man in a point be agreved,No exception (normal form)
biginnen,bigon,v%ppl,The Second Nun's Tale 428,data/oxford_txts/SNT_oxford.txt,"“Ye han bigon your question folily,”°",OXFORD,Strong participle must end in -en or -e,Ye han bigonne youre questioun folily,No exception (normal form)
letten,let,v%inf,House of Fame 1954,data/oxford_txts/HF_oxford.txt,Ne porter ther is non to let°,OXFORD,Infinitive must end in -en or -e,Ne porter ther is noon to lette,No exception (normal form)
finden,fond,v%pt_pl,House of Fame 1810,data/oxford_txts/HF_oxford.txt,Such game fond they in hir hode.°,OXFORD,Past plural must end in -en or -e,Such game fonde they in her hod,No exception (normal form)
asterten,astert,v%inf,Book of the Duchess 1154,data/oxford_txts/BD_oxford.txt,"And who hath that, may not astert.°",OXFORD,Infinitive must end in -en or -e,And who hath that may not asterte,No exception (normal form)
touchen,touch,v%inf,The Franklin's Tale 1115,data/oxford_txts/FranT_oxford.txt,"But° men might touch° the arwe, or com therby.°",OXFORD,Infinitive must end in -en or -e,But men myghte touche the arwe or come therby,No exception (normal form)
biholden,behelde,v%pt_1,House of Fame 481,data/oxford_txts/HF_oxford.txt,I faste° aboute me behelde.°,OXFORD,Strong pt sg must not end in -en or -e,I faste aboute me beheld,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 601,data/oxford_txts/WBPro_oxford.txt,"And I was fourty, if I shal sey sooth;",OXFORD,Infinitive must end in -en or -e,And I was fourty if I shal seye sooth,No exception (normal form)
sitten,sit,v%pr_pl,The Canon's Yeoman's Tale 1195,data/oxford_txts/CYT_oxford.txt,"Sit we doun, and lat us mery make.”°",OXFORD,Present plural must end in -en or -e,Sitte we doun and lat us myrie make,No exception (normal form)
abiden,abode,v%pt_3,House of Fame 1602,data/oxford_txts/HF_oxford.txt,This Eolus nowher abode°,OXFORD,Strong pt sg must not end in -en or -e,This Eolus nowhere abod,No exception (normal form)
ful-fillen,fulfill,v%inf,The Wife of Bath's Tale 1218,data/oxford_txts/WBT_oxford.txt,I shal fulfill your worldly° appetit.,OXFORD,Infinitive must end in -en or -e,I shal fulfille youre worldly appetit,No exception (normal form)
wenden,went,v%pt_pl,Parliament of Fowls 235,data/oxford_txts/PF_oxford.txt,"In kirtels,° al disshevele,° went they there—",OXFORD,Past plural must end in -en or -e,In kertels al dishevele wente they there,No exception (normal form)
kepen,keep,v%inf,The Wife of Bath's Prologue 360,data/oxford_txts/WBPro_oxford.txt,"In feith, he shal nat keep me but me lest;°",OXFORD,Infinitive must end in -en or -e,In feith he shal nat kepe me but me lest,No exception (normal form)
seien,sey,v%pr_pl,The Summoner's Tale 1934,data/oxford_txts/SumT_oxford.txt,"Lo, ‘buf!’° they sey, ‘cor meum eructavit!’°",OXFORD,Present plural must end in -en or -e,Lo buf they seye cor meum eructavit,No exception (normal form)
comen,com,v%inf,The Franklin's Tale 839,data/oxford_txts/FranT_oxford.txt,And that he wol com hastily again;,OXFORD,Infinitive must end in -en or -e,And that he wol come hastily agayn,No exception (normal form)
connen,con,v%pr_pl,The Nun's Priest's Tale 3321,data/oxford_txts/NPT_oxford.txt,"Let see, con ye° your fader countrefete?”°",OXFORD,Present plural must end in -en or -e,Lat se konne ye youre fader countrefete,No exception (normal form)
paien,pay,v%inf,The Shipman's Tale 424,data/oxford_txts/ShipT_oxford.txt,"By God, I wol nat pay yow but abedde.",OXFORD,Infinitive must end in -en or -e,By God I wol nat paye yow but abedde,No exception (normal form)
biginnen,bigin,v%inf,The General Prologue 853,data/oxford_txts/GP_oxford.txt,He seide: “Sin I shal bigin the game,OXFORD,Infinitive must end in -en or -e,He seyde Syn I shal bigynne the game,No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Tale 1154,data/oxford_txts/WBT_oxford.txt,And hadde hise eldres noble and vertuous,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And hadde his eldres noble and vertuous,No exception (normal form)
mouen,might,v%pt_pl,The Reeve's Tale 4117,data/oxford_txts/RvT_oxford.txt,"For it was night, and forther might they noght;",OXFORD,Past plural must end in -en or -e,For it was nyght and forther myghte they noght,No exception (normal form)
comen,comth,v%pr_3,The Knight's Tale 2208,data/oxford_txts/KnT_oxford.txt,"Now comth the point, and herkneth if yow leste.",OXFORD,Present 3rd sg must end in -eth,Now cometh the point and herkneth if yow leste,No exception (normal form)
taken,toke,v%pt_3,Troilus and Criseyde; Book I 486,data/oxford_txts/TC1_oxford.txt,"Gan multiplie, that, whoso toke keep",OXFORD,Strong pt sg must not end in -en or -e,Gan multiplie that whoso tok kep,No exception (normal form)
ben,wer,v%pt_pl,Parliament of Fowls 678,data/oxford_txts/PF_oxford.txt,The wordes wer swich as ye may heer finde,OXFORD,Past plural must end in -en or -e,The wordes were swiche as ye may heer fynde,No exception (normal form)
seien,sey,v%inf,The Summoner's Tale 2009,data/oxford_txts/SumT_oxford.txt,"Can sey, how ire engendreth° homicide.",OXFORD,Infinitive must end in -en or -e,Kan seye how ire engendreth homycide,No exception (normal form)
moten,mot,v%pr_pl,The Clerk's Tale 531,data/oxford_txts/ClT_oxford.txt,But men mot nede unto her lust° obeye,OXFORD,Present plural must end in -en or -e,But men moote nede unto hire lust obeye,No exception (normal form)
finden,fonde,v%pt_3,Parliament of Fowls 374,data/oxford_txts/PF_oxford.txt,That ever she among hir werkes fonde,OXFORD,Strong pt sg must not end in -en or -e,That evere she among hire werkes fond,No exception (normal form)
ben,wer,v%pt_pl,The Franklin's Tale 1195,data/oxford_txts/FranT_oxford.txt,"He saugh, whan voided° wer thise wilde deer",OXFORD,Past plural must end in -en or -e,He saugh whan voyded were thise wilde deer,No exception (normal form)
haven,had,v%pt_pl,The Merchant's Tale 1479,data/oxford_txts/MerT_oxford.txt,"Ful litel nede° had ye, my lord so dere",OXFORD,Past plural must end in -en or -e,Ful litel nede hadde ye my lord so deere,No exception (normal form)
seien,seyn,v%inf,Troilus and Criseyde; Book III 1793,data/oxford_txts/TC3_oxford.txt,"For sooth to seyn, he lost held every wight",OXFORD,Infinitive must end in -en or -e,For soth to seyne he lost held every wyght,No exception (normal form)
closen,clos,v%inf,Book of the Duchess 873,data/oxford_txts/BD_oxford.txt,"And clos; for, were she never so glad",OXFORD,Infinitive must end in -en or -e,And close for were she never so glad,No exception (normal form)
mouen,might,v%pt_pl,The Franklin's Tale 1115,data/oxford_txts/FranT_oxford.txt,"But° men might touch° the arwe, or com therby.°",OXFORD,Past plural must end in -en or -e,But men myghte touche the arwe or come therby,No exception (normal form)
understonden,understode,v%pt_3,Book of the Duchess 1261,data/oxford_txts/BD_oxford.txt,My wo; and she wel understode,OXFORD,Strong pt sg must not end in -en or -e,My woo and she wel understod,No exception (normal form)
failen,fail,v%inf,Book of the Duchess 441,data/oxford_txts/BD_oxford.txt,Yet shulde he fail to rekene evene,OXFORD,Infinitive must end in -en or -e,Yet shoulde he fayle to rekene even,No exception (normal form)
preien,prey,v%inf,The Merchant's Tale 1353,data/oxford_txts/MerT_oxford.txt,Or elles° prey to God him for to sende,OXFORD,Infinitive must end in -en or -e,Or elles preye to God hym for to sende,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 127,data/oxford_txts/WBPro_oxford.txt,"That is to sey, for office,° and for ese°",OXFORD,Infinitive must end in -en or -e,That is to seye for office and for ese,No exception (normal form)
disseveren,dissever,v%inf,The Canon's Yeoman's Tale 875,data/oxford_txts/CYT_oxford.txt,"That futur temps° hath maad men to dissever,°",OXFORD,Infinitive must end in -en or -e,That futur temps hath maad men to dissevere,No exception (normal form)
maken,mak,v%inf,Book of the Duchess 263,data/oxford_txts/BD_oxford.txt,If he can mak me slepe sone,OXFORD,Infinitive must end in -en or -e,Yf he kan make me slepe sone,No exception (normal form)
lenen,lent,v%pt_pl,The Shipman's Tale 354,data/oxford_txts/ShipT_oxford.txt,Lent me gold; and as I can and may,OXFORD,Past plural must end in -en or -e,Lente me gold and as I kan and may,No exception (normal form)
faren,far,v%inf,The Wife of Bath's Prologue 501,data/oxford_txts/WBPro_oxford.txt,"Lat him far wel, God yeve his soule reste",OXFORD,Infinitive must end in -en or -e,Lat hym fare wel God yeve his soule reste,No exception (normal form)
ben,wer,v%pt_pl,House of Fame 1350,data/oxford_txts/HF_oxford.txt,And they wer set as thikke of nouchis°,OXFORD,Past plural must end in -en or -e,And they were set as thik of nouchis,No exception (normal form)
tellen,tell,v%inf,The Franklin's Tale 803,data/oxford_txts/FranT_oxford.txt,"¶Who coude tell, but° he had wedded be,°",OXFORD,Infinitive must end in -en or -e,Who koude telle but he hadde wedded be,No exception (normal form)
quiten,quit,v%inf,The Wife of Bath's Tale 1008,data/oxford_txts/WBT_oxford.txt,"Coud ye me wisse,° I wold wel quit your hire.”°",OXFORD,Infinitive must end in -en or -e,Koude ye me wisse I wolde wel quite youre hire,No exception (normal form)
seien,sey,v%inf,Book of the Duchess 651,data/oxford_txts/BD_oxford.txt,"Trowest thou?° by our Lorde, I wol thee sey.”°",OXFORD,Infinitive must end in -en or -e,Trowest thou By oure Lord I wol the seye,No exception (normal form)
durren,dorst,v%pt_pl,The Nun's Priest's Tale 2918,data/oxford_txts/NPT_oxford.txt,How dorst ye° seyn for shame unto your love,OXFORD,Past plural must end in -en or -e,How dorste ye seyn for shame unto youre love,No exception (normal form)
shulen,shold,v%pt_pl,Book of the Duchess 725,data/oxford_txts/BD_oxford.txt,Ye shold be dampned in this cas,OXFORD,Past plural must end in -en or -e,Ye sholde be dampned in this cas,No exception (normal form)
seien,sey,v%pr_pl,The Wife of Bath's Tale 1213,data/oxford_txts/WBT_oxford.txt,"¶“Now ther° ye sey, that I am foul and old",OXFORD,Present plural must end in -en or -e,Now ther ye seye that I am foul and old,No exception (normal form)
bisien,besied,v%pt_pl,Parliament of Fowls 192,data/oxford_txts/PF_oxford.txt,Som besied hem° hir briddes° forth to bringe;,OXFORD,Past plural must end in -en or -e,Some besyede hem here bryddes forth to brynge,No exception (normal form)
kissen,kiss,v%inf,The Pardoner's Tale 944,data/oxford_txts/PardT_oxford.txt,And thou shalt kiss the reliks everichon,OXFORD,Infinitive must end in -en or -e,And thou shalt kisse the relikes everychon,No exception (normal form)
sen,saw,v%pt_pl,The Franklin's Tale 895,data/oxford_txts/FranT_oxford.txt,¶Hir freendes saw that it was no disport°,OXFORD,Past plural must end in -en or -e,Hire freendes sawe that it was no disport,No exception (normal form)
meten,met,v%inf,Parliament of Fowls 108,data/oxford_txts/PF_oxford.txt,That made me to met° that he stood there;,OXFORD,Infinitive must end in -en or -e,That made me to mete that he stod there,No exception (normal form)
comen,comth,v%pr_3,The Wife of Bath's Tale 1162,data/oxford_txts/WBT_oxford.txt,Thy gentillesse comth fro God allone;,OXFORD,Present 3rd sg must end in -eth,Thy gentillesse cometh fro God allone,No exception (normal form)
ben,is,v%pr_3,Troilus and Criseyde; Book IV 167,data/oxford_txts/TC4_oxford.txt,"And seyn, that “Thorugh thy medling is yblowe",OXFORD,Present 3rd sg must end in -eth,And seyn that thorugh thy medlynge is iblowe,No exception (normal form)
haven,had,v%pt_pl,The Pardoner's Tale 880,data/oxford_txts/PardT_oxford.txt,For right as they had cast° his deeth bifore,OXFORD,Past plural must end in -en or -e,For right as they hadde cast his deeth bifoore,No exception (normal form)
senden,send,v%inf,Book of the Duchess 1024,data/oxford_txts/BD_oxford.txt,"Ne send men into Walakie,°",OXFORD,Infinitive must end in -en or -e,Ne sende men into Walakye,No exception (normal form)
connen,con,v%pr_pl,The Nun's Priest's Tale 2921,data/oxford_txts/NPT_oxford.txt,Allas! and con ye been° agast of swevenis?°,OXFORD,Present plural must end in -en or -e,Allas And konne ye been agast of swevenys,No exception (normal form)
winnen,win,v%inf,The Friar's Tale 1580,data/oxford_txts/FriT_oxford.txt,"Win thy cost,° tak heer ensample of me.’",OXFORD,Infinitive must end in -en or -e,Wynne thy cost taak heer ensample of me,No exception (normal form)
