headword,word,tag,line_number,filename,context,text_type,reason,riverside_context,riverside_reason
heren,herde,v%pt_3,The Clerk's Tale 1059,data/oxford_txts/ClT_oxford.txt,She herde nat what thing he to hir seide;,OXFORD,"Weak pt sg must end in -ed, -d, or -t",She herde nat what thyng he to hire seyde,No exception (normal form)
shinen,shoon,v%pt_pl,House of Fame 1289,data/oxford_txts/HF_oxford.txt,That shoon ful lighter than a glas,OXFORD,Past plural must end in -en or -e,That shoone ful lyghter than a glas,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1654,data/oxford_txts/TC2_oxford.txt,That no wight in ne wente but ye tweie,OXFORD,"Weak pt sg must end in -ed, -d, or -t",That no wight in ne wente but ye tweye,No exception (normal form)
knouen,know,v%ppl,Book of the Duchess 666,data/oxford_txts/BD_oxford.txt,Ykoude and know° the jeupardies°,OXFORD,Strong participle must end in -en or -e,Ykoud and knowe the jeupardyes,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book V 625,data/oxford_txts/TC5_oxford.txt,That every wight that wente by the weye,OXFORD,"Weak pt sg must end in -ed, -d, or -t",That every wight that wente by the weye,No exception (normal form)
comen,com,v%ppl,The Wife of Bath's Tale 988,data/oxford_txts/WBT_oxford.txt,"The day was com that hoomward moste he tourne,°",OXFORD,Strong participle must end in -en or -e,The day was come that homward moste he tourne,No exception (normal form)
techen,taughte,v%pt_3,The Wife of Bath's Prologue 576,data/oxford_txts/WBPro_oxford.txt,My dame° taughte me that soutiltee.°,OXFORD,"Weak pt sg must end in -ed, -d, or -t",My dame taughte me that soutiltee,No exception (normal form)
helen,heel,v%inf,Book of the Duchess 571,data/oxford_txts/BD_oxford.txt,Ne° heel me may no phisicien,OXFORD,Infinitive must end in -en or -e,Ne hele me may no phisicien,No exception (normal form)
knouen,know,v%pr_pl,Parliament of Fowls 386,data/oxford_txts/PF_oxford.txt,"Ye know wel how, Seint Valentines day",OXFORD,Present plural must end in -en or -e,Ye knowe wel how Seynt Valentynes day,No exception (normal form)
putten,put,v%pt_pl,The Canon's Yeoman's Tale 1338,data/oxford_txts/CYT_oxford.txt,"They wente, and put thes teines in assay°",OXFORD,Past plural must end in -en or -e,They wente and putte thise teynes in assay,No exception (normal form)
shulen,shold,v%pt_pl,The Wife of Bath's Prologue 138,data/oxford_txts/WBPro_oxford.txt,Than shold men take of chastitee no cure.°,OXFORD,Past plural must end in -en or -e,Thanne sholde men take of chastitee no cure,No exception (normal form)
seien,sey,v%inf,The Clerk's Tale 771,data/oxford_txts/ClT_oxford.txt,But sey the maiden sholde ywedded be,OXFORD,Infinitive must end in -en or -e,But seye the mayden sholde ywedded be,No exception (normal form)
wenden,wente,v%pt_3,The Friar's Tale 1640,data/oxford_txts/FriT_oxford.txt,"Body and soule, he with the devel wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Body and soule he with the devel wente,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book IV 39,data/oxford_txts/TC4_oxford.txt,"Ector, and many a worthy wight out wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Ector and many a worthi wight out wente,No exception (normal form)
faren,ferde,v%pt_3,Troilus and Criseyde; Book II 153,data/oxford_txts/TC2_oxford.txt,Til she gan axen him how Ector ferde,OXFORD,Strong pt sg must not end in -en or -e,Tyl she gan axen hym how Ector ferde,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1631,data/oxford_txts/TC2_oxford.txt,"She tolde hirself him al this, er she wente.",OXFORD,"Weak pt sg must end in -ed, -d, or -t",She tolde hireself hym al this er she wente,No exception (normal form)
setten,sette,v%pt_3,The Knight's Tale 2984,data/oxford_txts/KnT_oxford.txt,"His eyen sette he ther as was his lest,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",His eyen sette he ther as was his lest,No exception (normal form)
speken,spake,v%pt_3,Book of the Duchess 503,data/oxford_txts/BD_oxford.txt,"And grette him, but he spake noght",OXFORD,Strong pt sg must not end in -en or -e,And grette hym but he spak noght,No exception (normal form)
sweren,swer,v%inf,Book of the Duchess 684,data/oxford_txts/BD_oxford.txt,I dar wel swer she took the beste!,OXFORD,Infinitive must end in -en or -e,I dar wel swere she took the beste,No exception (normal form)
finden,fond,v%pt_pl,House of Fame 1810,data/oxford_txts/HF_oxford.txt,Such game fond they in hir hode.°,OXFORD,Past plural must end in -en or -e,Such game fonde they in her hod,No exception (normal form)
answeren,answerde,v%pt_3,The Merchant's Tale 2368,data/oxford_txts/MerT_oxford.txt,"And she answerde, “Sir, what eileth yow?°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And she answerde Sire what eyleth yow,No exception (normal form)
mouen,might,v%pt_pl,The Prioress' Tale 493,data/oxford_txts/PrT_oxford.txt,"And thurgh the strete men might ride or wende,°",OXFORD,Past plural must end in -en or -e,And thurgh the strete men myghte ride or wende,No exception (normal form)
connen,coud,v%pt_pl,The Merchant's Tale 1539,data/oxford_txts/MerT_oxford.txt,"Ne man ne° beest, swich as men coud devise;",OXFORD,Past plural must end in -en or -e,Ne man ne beest swich as men koude devyse,No exception (normal form)
haven,had,v%pt_pl,The Franklin's Tale 1369,data/oxford_txts/FranT_oxford.txt,"Had slain Phidoun in Athens, atte feste",OXFORD,Past plural must end in -en or -e,Hadde slayn Phidon in Atthenes atte feste,No exception (normal form)
imaginen,imagining,v%inf,Troilus and Criseyde; Book I 372,data/oxford_txts/TC1_oxford.txt,Imagining that travaille nor grame,OXFORD,Infinitive must end in -en or -e,Imagenynge that travaille nor grame,No exception (normal form)
wenden,wente,v%pt_3,The Monk's Tale 2358,data/oxford_txts/MkT_oxford.txt,"And wan the lond, and hoom to Rome he wente.",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And wan the land and hoom to Rome he wente,No exception (normal form)
wenden,wente,v%pt_1,Troilus and Criseyde; Book III 785,data/oxford_txts/TC3_oxford.txt,"“Now stant it thus, that sith I fro yow wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Now stant it thus that sith I fro yow wente,No exception (normal form)
wenden,wente,v%pt_3,House of Fame 1684,data/oxford_txts/HF_oxford.txt,"And, certes, al the breeth that wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And certes al the breth that wente,No exception (normal form)
answeren,answerde,v%pt_3,The Pardoner's Tale 956,data/oxford_txts/PardT_oxford.txt,¶This Pardoner answerde nat a word;,OXFORD,"Weak pt sg must end in -ed, -d, or -t",This Pardoner answerde nat a word,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 127,data/oxford_txts/WBPro_oxford.txt,"That is to sey, for office,° and for ese°",OXFORD,Infinitive must end in -en or -e,That is to seye for office and for ese,No exception (normal form)
putten,putte,v%pt_3,The Clerk's Tale 468,data/oxford_txts/ClT_oxford.txt,And putte yow in estaat of heigh noblesse,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And putte yow in estaat of heigh noblesse,No exception (normal form)
comen,com,v%inf,The Canon's Yeoman's Tale 835,data/oxford_txts/CYT_oxford.txt,"Lat him com forth, and lerne multiplie;°",OXFORD,Infinitive must end in -en or -e,Lat hym come forth and lerne multiplie,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 62,data/oxford_txts/TC2_oxford.txt,"In love, for which in wo to bedde he wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",In love for which in wo to bedde he wente,No exception (normal form)
tellen,tell,v%inf,The General Prologue 831,data/oxford_txts/GP_oxford.txt,Lat se now who shal tell the firste tale.,OXFORD,Infinitive must end in -en or -e,Lat se now who shal telle the firste tale,No exception (normal form)
comen,cam,v%pt_pl,Book of the Duchess 372,data/oxford_txts/BD_oxford.txt,Whan we cam to the forest side,OXFORD,Past plural must end in -en or -e,Whan we came to the forest syde,No exception (normal form)
heren,heer,v%pr_pl,The Franklin's Tale 953,data/oxford_txts/FranT_oxford.txt,In other maner than ye heer me seye,OXFORD,Present plural must end in -en or -e,In oother manere than ye heere me seye,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book IV 1419,data/oxford_txts/TC4_oxford.txt,"And that she starf for wo neigh, whan she wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And that she starf for wo neigh whan she wente,No exception (normal form)
don,doon,v%inf,Troilus and Criseyde; Book II 696,data/oxford_txts/TC2_oxford.txt,"And what to doon best were, and what eschue",OXFORD,Infinitive must end in -en or -e,And what to doone best were and what eschue,No exception (normal form)
biginnen,bigon,v%ppl,The Second Nun's Tale 428,data/oxford_txts/SNT_oxford.txt,"“Ye han bigon your question folily,”°",OXFORD,Strong participle must end in -en or -e,Ye han bigonne youre questioun folily,No exception (normal form)
kissen,kiss,v%inf,The Miller's Tale 3284,data/oxford_txts/MilT_oxford.txt,"And seide, “I wol nat kiss thee, by my fey",OXFORD,Infinitive must end in -en or -e,And seyde I wol nat kisse thee by my fey,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1540,data/oxford_txts/TC2_oxford.txt,And to Deiphebus hous at night he wente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And to Deiphebus hous at nyght he wente,No exception (normal form)
wenden,wente,v%pt_3,The Merchant's Tale 2007,data/oxford_txts/MerT_oxford.txt,"And bad him been al hool,° and forth she wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And bad hym been al hool and forth she wente,No exception (normal form)
wenden,wente,v%pt_3,The Merchant's Tale 2211,data/oxford_txts/MerT_oxford.txt,"That charged° was with fruit, and up he wente;",OXFORD,"Weak pt sg must end in -ed, -d, or -t",That charged was with fruyt and up he wente,No exception (normal form)
setten,sette,v%pt_3,Troilus and Criseyde; Book II 91,data/oxford_txts/TC2_oxford.txt,And with that word she doun on bench him sette.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And with that word she doun on bench hym sette,No exception (normal form)
mouen,might,v%pt_pl,The Franklin's Tale 1115,data/oxford_txts/FranT_oxford.txt,"But° men might touch° the arwe, or com therby.°",OXFORD,Past plural must end in -en or -e,But men myghte touche the arwe or come therby,No exception (normal form)
tellen,tell,v%inf,The Knight's Tale 1967,data/oxford_txts/KnT_oxford.txt,¶Why sholde I noght as wel eek tell yow al,OXFORD,Infinitive must end in -en or -e,Why sholde I noght as wel eek telle yow al,No exception (normal form)
wenden,wente,v%pt_3,The Franklin's Tale 1510,data/oxford_txts/FranT_oxford.txt,And asked of hir whiderward° she wente?,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And asked of hire whiderward she wente,No exception (normal form)
swepen,sweep,v%inf,The Canon's Yeoman's Tale 936,data/oxford_txts/CYT_oxford.txt,"As usage° is, lat sweep the floor as swithe,°",OXFORD,Infinitive must end in -en or -e,As usage is lat swepe the floor as swithe,No exception (normal form)
singen,songe,v%pt_1,Book of the Duchess 1158,data/oxford_txts/BD_oxford.txt,And ofte time I songe hem loude;,OXFORD,Strong pt sg must not end in -en or -e,And ofte tyme I song hem loude,No exception (normal form)
kepen,kep,v%inf,The Wife of Bath's Prologue 46,data/oxford_txts/WBPro_oxford.txt,"For sothe,° I wol nat kep me chast in al;",OXFORD,Infinitive must end in -en or -e,For sothe I wol nat kepe me chaast in al,No exception (normal form)
setten,sette,v%pt_3,Troilus and Criseyde; Book III 236,data/oxford_txts/TC3_oxford.txt,"Up roos, and on his beddes side him sette",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Up roos and on his beddes syde hym sette,No exception (normal form)
paien,pay,v%inf,The Shipman's Tale 414,data/oxford_txts/ShipT_oxford.txt,For I wol pay yow wel and redily,OXFORD,Infinitive must end in -en or -e,For I wol paye yow wel and redily,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book II 951,data/oxford_txts/TC2_oxford.txt,"For wo, til that he herde som tidinge",OXFORD,"Weak pt sg must end in -ed, -d, or -t",For wo til that he herde som tydynge,No exception (normal form)
wenden,wente,v%pt_3,The Second Nun's Tale 350,data/oxford_txts/SNT_oxford.txt,With Valerian to pope Urban he wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",With Valerian to Pope Urban he wente,No exception (normal form)
putten,put,v%inf,House of Fame 598,data/oxford_txts/HF_oxford.txt,I dar wel put thee out° of doute—,OXFORD,Infinitive must end in -en or -e,I dar wel putte the out of doute,No exception (normal form)
winnen,win,v%inf,The Friar's Tale 1580,data/oxford_txts/FriT_oxford.txt,"Win thy cost,° tak heer ensample of me.’",OXFORD,Infinitive must end in -en or -e,Wynne thy cost taak heer ensample of me,No exception (normal form)
fonden,fond,v%inf,Book of the Duchess 1332,data/oxford_txts/BD_oxford.txt,Fond° to put this swevene in rime°,OXFORD,Infinitive must end in -en or -e,Fonde to put this sweven in ryme,No exception (normal form)
holden,hold,v%inf,The Merchant's Tale 1976,data/oxford_txts/MerT_oxford.txt,"He deme° of al, for I wol hold my pees.",OXFORD,Infinitive must end in -en or -e,He deme of al for I wole holde my pees,No exception (normal form)
blouen,blow,v%inf,The Pardoner's Tale 481,data/oxford_txts/PardT_oxford.txt,To kindle and blow the fir of lecherie,OXFORD,Infinitive must end in -en or -e,To kyndle and blowe the fyr of lecherye,No exception (normal form)
heren,herde,v%pt_3,The Knight's Tale 2210,data/oxford_txts/KnT_oxford.txt,When Palamon the larke herde singe,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Whan Palamon the larke herde synge,No exception (normal form)
touchen,touch,v%inf,The Franklin's Tale 1115,data/oxford_txts/FranT_oxford.txt,"But° men might touch° the arwe, or com therby.°",OXFORD,Infinitive must end in -en or -e,But men myghte touche the arwe or come therby,No exception (normal form)
ben,wer,v%pt_pl,The Franklin's Tale 1195,data/oxford_txts/FranT_oxford.txt,"He saugh, whan voided° wer thise wilde deer",OXFORD,Past plural must end in -en or -e,He saugh whan voyded were thise wilde deer,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book V 1160,data/oxford_txts/TC5_oxford.txt,"Pandare answerde, “Nay, so mote I thee!",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Pandare answerede Nay so mote I the,No exception (normal form)
knouen,know,v%pr_pl,The Franklin's Tale 1113,data/oxford_txts/FranT_oxford.txt,And wel ye know that of a sursanure°,OXFORD,Present plural must end in -en or -e,And wel ye knowe that of a sursanure,No exception (normal form)
shulen,shold,v%pt_pl,The Franklin's Tale 1220,data/oxford_txts/FranT_oxford.txt,What somme° shold this maistres gerdon° be,OXFORD,Past plural must end in -en or -e,What somme sholde this maistres gerdon be,No exception (normal form)
heren,herde,v%pt_3,Parliament of Fowls 486,data/oxford_txts/PF_oxford.txt,Ne herde never no man me beforn,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Ne herde nevere no man me beforn,No exception (normal form)
answeren,answerde,v%pt_3,The Wife of Bath's Tale 1035,data/oxford_txts/WBT_oxford.txt,But to his questioun anon° answerde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",But to his questioun anon answerde,No exception (normal form)
heren,herde,v%pt_3,The Knight's Tale 1367,data/oxford_txts/KnT_oxford.txt,And if he herde song or instrument,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And if he herde song or instrument,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book V 91,data/oxford_txts/TC5_oxford.txt,And Troilus to Troy homwarde he wente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And Troilus to Troie homward he wente,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book III 1616,data/oxford_txts/TC3_oxford.txt,And Pandarus ful sobrely him herde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And Pandarus ful sobrely hym herde,No exception (normal form)
wenden,wente,v%pt_1,Parliament of Fowls 253,data/oxford_txts/PF_oxford.txt,"The god Priapus saw I, as I wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",The god Priapus saw I as I wente,No exception (normal form)
setten,sette,v%pt_3,The Clerk's Tale 387,data/oxford_txts/ClT_oxford.txt,"Broght for the same cause, and than hir sette",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Broght for the same cause and thanne hire sette,No exception (normal form)
heren,herd,v%pt_pl,The Squire's Tale 249,data/oxford_txts/SqT_oxford.txt,"Of craft of ringes° herd they never non,°",OXFORD,Past plural must end in -en or -e,Of craft of rynges herde they nevere noon,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Tale 1019,data/oxford_txts/WBT_oxford.txt,"That dar sey nay, of that I shal thee teche;",OXFORD,Infinitive must end in -en or -e,That dar seye nay of that I shal thee teche,No exception (normal form)
answeren,answerde,v%pt_3,The Knight's Tale 1124,data/oxford_txts/KnT_oxford.txt,"Dispitously° he loked, and answerde:",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Dispitously he looked and answerde,No exception (normal form)
passen,pass,v%pr_pl,Book of the Duchess 41,data/oxford_txts/BD_oxford.txt,Pass we over until efte;°,OXFORD,Present plural must end in -en or -e,Passe we over untill eft,No exception (normal form)
ben,wer,v%pt_pl,The Wife of Bath's Prologue 118,data/oxford_txts/WBPro_oxford.txt,"Trusteth right wel, they wer nat maad for noght.",OXFORD,Past plural must end in -en or -e,Trusteth right wel they were nat maad for noght,No exception (normal form)
mouen,might,v%pt_pl,The Clerk's Tale 1106,data/oxford_txts/ClT_oxford.txt,Unnethe° abouten hir might they abide.,OXFORD,Past plural must end in -en or -e,Unnethe abouten hire myghte they abyde,No exception (normal form)
senden,send,v%inf,Book of the Duchess 1024,data/oxford_txts/BD_oxford.txt,"Ne send men into Walakie,°",OXFORD,Infinitive must end in -en or -e,Ne sende men into Walakye,No exception (normal form)
seien,sey,v%pr_pl,The Wife of Bath's Tale 1213,data/oxford_txts/WBT_oxford.txt,"¶“Now ther° ye sey, that I am foul and old",OXFORD,Present plural must end in -en or -e,Now ther ye seye that I am foul and old,No exception (normal form)
cacchen,caughte,v%pt_3,Troilus and Criseyde; Book V 567,data/oxford_txts/TC5_oxford.txt,Me caughte first my righte lady dere.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Me kaughte first my righte lady dere,No exception (normal form)
setten,sette,v%pt_3,Troilus and Criseyde; Book III 1589,data/oxford_txts/TC3_oxford.txt,And doun upon his beddes side him sette.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And down upon his beddes syde hym sette,No exception (normal form)
hongen,henge,v%pt_3,Book of the Duchess 729,data/oxford_txts/BD_oxford.txt,"Henge hirself, so weylaway!",OXFORD,Strong pt sg must not end in -en or -e,Heng hirself so weylaway,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book III 1209,data/oxford_txts/TC3_oxford.txt,To that Criseyde answerde thus anoon,OXFORD,"Weak pt sg must end in -ed, -d, or -t",To that Criseyde answerde thus anon,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book I 1039,data/oxford_txts/TC1_oxford.txt,I roughte nought though that she stode and herde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",I roughte naught though that she stood and herde,No exception (normal form)
wenden,wente,v%pt_3,Parliament of Fowls 500,data/oxford_txts/PF_oxford.txt,That thorgh min eres the noise wente tho.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",That thourgh myne eres the noyse wente tho,No exception (normal form)
henten,hente,v%pt_3,The Monk's Tale 2259,data/oxford_txts/MkT_oxford.txt,"She was so swift that she anon° hem hente,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",She was so swift that she anon hem hente,No exception (normal form)
comen,com,v%inf,The Canon's Yeoman's Tale 1216,data/oxford_txts/CYT_oxford.txt,"But go with yow, and com with yow agein.”",OXFORD,Infinitive must end in -en or -e,But go with yow and come with yow ageyn,No exception (normal form)
ben,wer,v%pt_pl,The Wife of Bath's Prologue 199,data/oxford_txts/WBPro_oxford.txt,In which that they wer bounden unto me.,OXFORD,Past plural must end in -en or -e,In which that they were bounden unto me,No exception (normal form)
biginnen,bigin,v%inf,The General Prologue 853,data/oxford_txts/GP_oxford.txt,He seide: “Sin I shal bigin the game,OXFORD,Infinitive must end in -en or -e,He seyde Syn I shal bigynne the game,No exception (normal form)
heren,herde,v%pt_3,The Second Nun's Tale 290,data/oxford_txts/SNT_oxford.txt,"And she gan kisse his brest, that herde this",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And she gan kisse his brest that herde this,No exception (normal form)
shitten,shette,v%pt_3,Troilus and Criseyde; Book II 1090,data/oxford_txts/TC2_oxford.txt,He kiste tho the lettre that he shette,OXFORD,"Weak pt sg must end in -ed, -d, or -t",He kiste tho the lettre that he shette,No exception (normal form)
savouren,savour,v%inf,The Wife of Bath's Prologue 171,data/oxford_txts/WBPro_oxford.txt,"Er that I go, shal savour° wors than ale.",OXFORD,Infinitive must end in -en or -e,Er that I go shal savoure wors than ale,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book V 1021,data/oxford_txts/TC5_oxford.txt,Whan that Criseyde unto hir bedde wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Whan that Criseyde unto hire bedde wente,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 601,data/oxford_txts/WBPro_oxford.txt,"And I was fourty, if I shal sey sooth;",OXFORD,Infinitive must end in -en or -e,And I was fourty if I shal seye sooth,No exception (normal form)
heren,herde,v%pt_1,Book of the Duchess 354,data/oxford_txts/BD_oxford.txt,"¶Anon right, whan I herde that",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Anoon ryght whan I herde that,No exception (normal form)
lenen,lent,v%pt_pl,The Shipman's Tale 354,data/oxford_txts/ShipT_oxford.txt,Lent me gold; and as I can and may,OXFORD,Past plural must end in -en or -e,Lente me gold and as I kan and may,No exception (normal form)
comen,com,v%inf,The Wife of Bath's Tale 984,data/oxford_txts/WBT_oxford.txt,Whan that he saugh he might nat com therby,OXFORD,Infinitive must end in -en or -e,Whan that he saugh he myghte nat come therby,No exception (normal form)
shulen,shold,v%pt_pl,The Franklin's Tale 1478,data/oxford_txts/FranT_oxford.txt,But if ye shold° your trouthe kepe and save.°,OXFORD,Past plural must end in -en or -e,But if ye sholde youre trouthe kepe and save,No exception (normal form)
moten,mot,v%pt_pl,Troilus and Criseyde; Book IV 1376,data/oxford_txts/TC4_oxford.txt,"Mot spenden part, the remenaunt for to save.",OXFORD,Past plural must end in -en or -e,Mote spenden part the remenant for to save,No exception (normal form)
wenden,wente,v%pt_3,The Summoner's Tale 1734,data/oxford_txts/SumT_oxford.txt,With qui cum patre° forth his wey he wente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",With qui cum patre forth his wey he wente,No exception (normal form)
haven,had,v%pt_pl,The Pardoner's Tale 880,data/oxford_txts/PardT_oxford.txt,For right as they had cast° his deeth bifore,OXFORD,Past plural must end in -en or -e,For right as they hadde cast his deeth bifoore,No exception (normal form)
sterten,sterte,v%pt_1,Troilus and Criseyde; Book IV 93,data/oxford_txts/TC4_oxford.txt,"Slepinge at hoom, whanne out of Troye I sterte.",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Slepyng at hom whanne out of Troie I sterte,No exception (normal form)
seien,sey,v%inf,The Nun's Priest's Tale 3425,data/oxford_txts/NPT_oxford.txt,"I shal sey sooth° to yow, God help me so.”",OXFORD,Infinitive must end in -en or -e,I shal seye sooth to yow God help me so,No exception (normal form)
wenden,wente,v%pt_1,House of Fame 1999,data/oxford_txts/HF_oxford.txt,"That leef° me were, or that I wente.”",OXFORD,"Weak pt sg must end in -ed, -d, or -t",That leef me were or that y wente,No exception (normal form)
preien,prey,v%inf,The Merchant's Tale 1353,data/oxford_txts/MerT_oxford.txt,Or elles° prey to God him for to sende,OXFORD,Infinitive must end in -en or -e,Or elles preye to God hym for to sende,No exception (normal form)
setten,sette,v%pt_3,The Miller's Tale 3500,data/oxford_txts/MilT_oxford.txt,And doun the carpenter by him he sette.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And doun the carpenter by hym he sette,No exception (normal form)
wenden,wente,v%pt_1,Book of the Duchess 450,data/oxford_txts/BD_oxford.txt,Anoonright I wente nere;,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Anoonryght I wente ner,No exception (normal form)
