headword,word,tag,line_number,filename,context,text_type
don,doon,v%inf,Troilus and Criseyde; Book II 468,data/oxford_txts/TC2_oxford.txt,"I shal so doon, min honour shal I kepe",OXFORD
don,doon,v%inf,Troilus and Criseyde; Book II 475,data/oxford_txts/TC2_oxford.txt,"“Now wel,” quod she, “and I wol doon my peine;",OXFORD
gon,go,v%pr_pl,Troilus and Criseyde; Book II 485,data/oxford_txts/TC2_oxford.txt,That in this proces if ye depper go,OXFORD
haven,han,v%pr_pl,Troilus and Criseyde; Book II 492,data/oxford_txts/TC2_oxford.txt,"“That, of this thing that ye han hight me here",OXFORD
haven,han,v%inf,Troilus and Criseyde; Book II 495,data/oxford_txts/TC2_oxford.txt,"“Ne that I shal han cause in this matere,”",OXFORD
gon,goon,v%inf,Troilus and Criseyde; Book II 542,data/oxford_txts/TC2_oxford.txt,And I with that gan stille awey to goon,OXFORD
don,do,v%pr_pl,Troilus and Criseyde; Book II 549,data/oxford_txts/TC2_oxford.txt,"‘Ye, freend,’ quod he, ‘do ye your hedes ake",OXFORD
sweren,ysworn,v%ppl,Troilus and Criseyde; Book II 570,data/oxford_txts/TC2_oxford.txt,Ne never was to wight so depe ysworn,OXFORD
gon,go,v%pr_pl,Troilus and Criseyde; Book II 615,data/oxford_txts/TC2_oxford.txt,"“A! go we see, caste up the yates wide;",OXFORD
seien,seyn,v%inf,Troilus and Criseyde; Book II 684,data/oxford_txts/TC2_oxford.txt,"And, sooth to seyn, she nas nat al a fo",OXFORD
don,doon,v%inf,Troilus and Criseyde; Book II 696,data/oxford_txts/TC2_oxford.txt,"And what to doon best were, and what eschue",OXFORD
don,doon,v%inf,Troilus and Criseyde; Book II 757,data/oxford_txts/TC2_oxford.txt,“What shal I doon? to what fin live I thus?,OXFORD
don,do,v%inf,Troilus and Criseyde; Book II 763,data/oxford_txts/TC2_oxford.txt,"By alle right, it may do me no shame.”",OXFORD
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 801,data/oxford_txts/TC2_oxford.txt,"And coye hem, that they sey non harm of me?",OXFORD
haven,han,v%pr_pl,Troilus and Criseyde; Book II 834,data/oxford_txts/TC2_oxford.txt,"“Ye, blisful God, han me so wel beset",OXFORD
witen,woot,v%pr_pl,Troilus and Criseyde; Book II 893,data/oxford_txts/TC2_oxford.txt,"Do wey, do wey, they woot no thing of this!",OXFORD
gon,goon,v%inf,Troilus and Criseyde; Book II 929,data/oxford_txts/TC2_oxford.txt,And dide his herte into hir brest to goon,OXFORD
gon,go,v%inf,Troilus and Criseyde; Book II 944,data/oxford_txts/TC2_oxford.txt,"But ris, and lat us soupe and go to reste.”",OXFORD
don,do,v%inf,Troilus and Criseyde; Book II 957,data/oxford_txts/TC2_oxford.txt,"Sire, my nece wol do wel by thee",OXFORD
haven,han,v%pr_pl,Troilus and Criseyde; Book II 966,data/oxford_txts/TC2_oxford.txt,"As ye han herd bifore, al he him tolde.",OXFORD
don,doon,v%inf,Troilus and Criseyde; Book II 981,data/oxford_txts/TC2_oxford.txt,"“But Lord, how shal I doon, how shal I liven?",OXFORD
shulen,shal,v%pr_pl,Troilus and Criseyde; Book II 1021,data/oxford_txts/TC2_oxford.txt,"And we shal speke of thee somwhat, I trowe",OXFORD
gon,gon,v%inf,Troilus and Criseyde; Book II 1052,data/oxford_txts/TC2_oxford.txt,"Do that I seye, and lat me therwith gon;",OXFORD
gon,go,v%pr_pl,Troilus and Criseyde; Book II 1114,data/oxford_txts/TC2_oxford.txt,"“Into the gardin go we, and ye shal here",OXFORD
shulen,shal,v%pr_pl,Troilus and Criseyde; Book II 1114,data/oxford_txts/TC2_oxford.txt,"“Into the gardin go we, and ye shal here",OXFORD
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1124,data/oxford_txts/TC2_oxford.txt,"Aviseth you on it, whan ye han space",OXFORD
gon,go,v%pr_pl,Troilus and Criseyde; Book II 1163,data/oxford_txts/TC2_oxford.txt,"Therwith she lough, and seide, “Go we dine.”",OXFORD
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 1171,data/oxford_txts/TC2_oxford.txt,"“Now, em,” quod she, “we wol go dine anoon”;",OXFORD
gon,go,v%inf,Troilus and Criseyde; Book II 1171,data/oxford_txts/TC2_oxford.txt,"“Now, em,” quod she, “we wol go dine anoon”;",OXFORD
gon,goon,v%inf,Troilus and Criseyde; Book II 1173,data/oxford_txts/TC2_oxford.txt,And streight into hir chaumbre gan she goon;,OXFORD
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1240,data/oxford_txts/TC2_oxford.txt,“But ye han pleyed tiraunt neigh to longe,OXFORD
declamen,declamed,v%pt_pl,Troilus and Criseyde; Book II 1247,data/oxford_txts/TC2_oxford.txt,And right as they declamed this matere,OXFORD
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 1282,data/oxford_txts/TC2_oxford.txt,"“God help me so,” quod he, “ye sey me sooth.",OXFORD
don,do,v%inf,Troilus and Criseyde; Book II 1288,data/oxford_txts/TC2_oxford.txt,Lat nicetee not do yow bothe smerte.”,OXFORD
don,don,v%pr_pl,Troilus and Criseyde; Book II 1386,data/oxford_txts/TC2_oxford.txt,"Whan it descendeth, than don thinges lighte.",OXFORD
shulen,shal,v%pr_pl,Troilus and Criseyde; Book II 1391,data/oxford_txts/TC2_oxford.txt,Men shal rejoisen of a greet emprise,OXFORD
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1393,data/oxford_txts/TC2_oxford.txt,Al han men been the lenger theraboute.,OXFORD
haven,han,v%inf,Troilus and Criseyde; Book II 1438,data/oxford_txts/TC2_oxford.txt,To han som of your bretheren here with yow,OXFORD
seien,seyn,v%inf,Troilus and Criseyde; Book II 1454,data/oxford_txts/TC2_oxford.txt,"May seyn no bet, swich hap to him hath she.",OXFORD
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1547,data/oxford_txts/TC2_oxford.txt,That ye han herd Pandare er this devise.,OXFORD
gon,go,v%inf,Troilus and Criseyde; Book II 1565,data/oxford_txts/TC2_oxford.txt,"For love of God, and lat us faste go",OXFORD
don,don,v%pr_pl,Troilus and Criseyde; Book II 1584,data/oxford_txts/TC2_oxford.txt,"As folk don yet, whan som wight hath bigonne",OXFORD
don,don,v%inf,Troilus and Criseyde; Book II 1594,data/oxford_txts/TC2_oxford.txt,To mowen swich a knight don live or die?,OXFORD
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 1601,data/oxford_txts/TC2_oxford.txt,"And seide to Deiphebus, “Wol ye goon",OXFORD
gon,goon,v%inf,Troilus and Criseyde; Book II 1601,data/oxford_txts/TC2_oxford.txt,"And seide to Deiphebus, “Wol ye goon",OXFORD
gon,go,v%pr_pl,Troilus and Criseyde; Book II 1605,data/oxford_txts/TC2_oxford.txt,"Took first the tale, and seide, “Go we blive”;",OXFORD
don,do,v%inf,Troilus and Criseyde; Book II 1614,data/oxford_txts/TC2_oxford.txt,"What sholde I lenger,” quod he, “do yow dwelle?”",OXFORD
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 1628,data/oxford_txts/TC2_oxford.txt,"He seide, “Ye, but wol ye now me here?",OXFORD
don,do,v%inf,Troilus and Criseyde; Book II 1635,data/oxford_txts/TC2_oxford.txt,"And do yow wite, and that anoon, ywis",OXFORD
witen,woot,v%pr_pl,Troilus and Criseyde; Book II 1646,data/oxford_txts/TC2_oxford.txt,"“But wel ye woot, the chaumbre is but lite",OXFORD
loken,loketh,v%pr_pl,Troilus and Criseyde; Book II 1648,data/oxford_txts/TC2_oxford.txt,Now loketh ye (for I wol have no wite,OXFORD
gon,goon,v%inf,Troilus and Criseyde; Book II 1684,data/oxford_txts/TC2_oxford.txt,"Quod Troilus, “As sone as I may goon",OXFORD
don,do,v%inf,Troilus and Criseyde; Book II 1691,data/oxford_txts/TC2_oxford.txt,“If that she vouche sauf for to do so.”,OXFORD
gon,goon,v%inf,Troilus and Criseyde; Book II 1711,data/oxford_txts/TC2_oxford.txt,"That al was wel, and out he gan to goon",OXFORD
mouen,may,v%pr_pl,Troilus and Criseyde; Book II 1720,data/oxford_txts/TC2_oxford.txt,"Hem alle three, and, whan ye may goodly",OXFORD
gon,go,v%pr_pl,Troilus and Criseyde; Book II 1724,data/oxford_txts/TC2_oxford.txt,"Quod tho Criseyde, “Go we, uncle dere”;",OXFORD
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 1740,data/oxford_txts/TC2_oxford.txt,"That wol ye bothe seyn, whan ye ben oon.",OXFORD
seien,seyn,v%inf,Troilus and Criseyde; Book II 1740,data/oxford_txts/TC2_oxford.txt,"That wol ye bothe seyn, whan ye ben oon.",OXFORD
durren,dar,v%pr_pl,Troilus and Criseyde; Book II 1747,data/oxford_txts/TC2_oxford.txt,"Than dar ye nought, and why? for she, and she",OXFORD
mouen,may,v%pr_pl,The Summoner's Tale 1748,data/oxford_txts/SumT_oxford.txt,"Or elles what yow list,° we may nat chese;",OXFORD
yeven,yaf,v%pt_pl,The Summoner's Tale 1756,data/oxford_txts/SumT_oxford.txt,"And what° men yaf° hem, leide it on his bak.",OXFORD
haven,han,v%pr_pl,The Summoner's Tale 1782,data/oxford_txts/SumT_oxford.txt,“How han ye fare° sith° that March bigan?,OXFORD
seien,seyn,v%pr_pl,The Summoner's Tale 1794,data/oxford_txts/SumT_oxford.txt,"For lettre sleeth,° so as we clerkes seyn.",OXFORD
preien,prey,v%inf,The Summoner's Tale 1814,data/oxford_txts/SumT_oxford.txt,"I wolde prey yow that ye nat yow greve,°",OXFORD
willen,wol,v%pr_pl,The Summoner's Tale 1837,data/oxford_txts/SumT_oxford.txt,What wol ye dine?° I wol go theraboute.”°,OXFORD
gon,go,v%inf,The Summoner's Tale 1837,data/oxford_txts/SumT_oxford.txt,What wol ye dine?° I wol go theraboute.”°,OXFORD
seien,seyn,v%inf,The Summoner's Tale 1856,data/oxford_txts/SumT_oxford.txt,"I dar wel seyn that, er that half an hour",OXFORD
haven,han,v%pr_pl,The Summoner's Tale 1860,data/oxford_txts/SumT_oxford.txt,That han been trewe freres fifty yeer;,OXFORD
mouen,may,v%pr_pl,The Summoner's Tale 1861,data/oxford_txts/SumT_oxford.txt,"They may now, God be thanked of his lone,°",OXFORD
haven,han,v%pr_pl,The Summoner's Tale 1876,data/oxford_txts/SumT_oxford.txt,We han° this worldes lust° al in despit.°,OXFORD
gon,gon,v%inf,The Summoner's Tale 1896,data/oxford_txts/SumT_oxford.txt,Into the temple whan they sholde gon,OXFORD
don,do,v%inf,The Summoner's Tale 1897,data/oxford_txts/SumT_oxford.txt,"To preye for the peple, and do servise",OXFORD
mouen,may,v%pr_pl,The Summoner's Tale 1911,data/oxford_txts/SumT_oxford.txt,And therfor may ye see that our preyeres—,OXFORD
seien,seyn,v%inf,The Summoner's Tale 1918,data/oxford_txts/SumT_oxford.txt,"¶“But herkne° now, Thomas, what I shal seyn.",OXFORD
mouen,may,v%pr_pl,The Summoner's Tale 1924,data/oxford_txts/SumT_oxford.txt,And so forth al the gospel may ye seen,OXFORD
seien,sey,v%pr_pl,The Summoner's Tale 1933,data/oxford_txts/SumT_oxford.txt,Whan they for soules sey the psalm of Davit,OXFORD
seien,sey,v%pr_pl,The Summoner's Tale 1934,data/oxford_txts/SumT_oxford.txt,"Lo, ‘buf!’° they sey, ‘cor meum eructavit!’°",OXFORD
gon,go,v%inf,The Summoner's Tale 1942,data/oxford_txts/SumT_oxford.txt,"Thomas! Thomas! so mote I ride or go,°",OXFORD
preien,pray,v%pr_pl,The Summoner's Tale 1945,data/oxford_txts/SumT_oxford.txt,In our chapitre° pray we day and night,OXFORD
holden,hold,v%pr_pl,The Summoner's Tale 1959,data/oxford_txts/SumT_oxford.txt,"Hold ye° than me, or elles our covent",OXFORD
preien,pray,v%inf,The Summoner's Tale 1960,data/oxford_txts/SumT_oxford.txt,To pray for yow ben insufficient?,OXFORD
haven,han,v%pr_pl,The Summoner's Tale 1962,data/oxford_txts/SumT_oxford.txt,Your maladie is for° we han to lite.,OXFORD
gon,go,v%inf,The Summoner's Tale 1965,data/oxford_txts/SumT_oxford.txt,"‘A! yif that frere a peny, and lat him go!’",OXFORD
preien,prey,v%inf,The Summoner's Tale 1976,data/oxford_txts/SumT_oxford.txt,To prey for yow is ay° so diligent,OXFORD
willen,wol,v%pr_pl,The Summoner's Tale 1978,data/oxford_txts/SumT_oxford.txt,"Thomas! if ye wol lernen for to wirche,°",OXFORD
mouen,may,v%pr_pl,The Summoner's Tale 1979,data/oxford_txts/SumT_oxford.txt,Of buildinge up of chirches may ye finde,OXFORD
haven,han,v%pr_pl,The Summoner's Tale 1997,data/oxford_txts/SumT_oxford.txt,That twenty thousand men han lost hir lives,OXFORD
seien,sey,v%inf,The Summoner's Tale 2009,data/oxford_txts/SumT_oxford.txt,"Can sey, how ire engendreth° homicide.",OXFORD
seien,sey,v%inf,The Summoner's Tale 2011,data/oxford_txts/SumT_oxford.txt,I coude of ire sey so muche sorwe,OXFORD
slen,slain,v%ppl,The Summoner's Tale 2023,data/oxford_txts/SumT_oxford.txt,"That seide thus, ‘Thou hast thy felaw slain",OXFORD
slen,slain,v%ppl,The Summoner's Tale 2032,data/oxford_txts/SumT_oxford.txt,"They seiden, ‘Lord, the knight ne hath nat slain",OXFORD
shulen,shul,v%pr_pl,The Summoner's Tale 2034,data/oxford_txts/SumT_oxford.txt,"‘Ye shul be deed,’ quod he, ‘so moot I thrive!°",OXFORD
seien,seyn,v%inf,The Summoner's Tale 2035,data/oxford_txts/SumT_oxford.txt,"That is to seyn, bothe oon, and two, and three!’",OXFORD
don,don,v%inf,The Summoner's Tale 2042,data/oxford_txts/SumT_oxford.txt,And thus he did don sleen hem° alle three.,OXFORD
slen,slain,v%ppl,The Summoner's Tale 2073,data/oxford_txts/SumT_oxford.txt,"His son was slain, ther is namore to seye.",OXFORD
gon,go,v%inf,The Summoner's Tale 2078,data/oxford_txts/SumT_oxford.txt,"But nat to a lord, thogh he shold go to helle.",OXFORD
haven,han,v%pr_pl,The Summoner's Tale 2101,data/oxford_txts/SumT_oxford.txt,Whan other men han ben ful wel at eise,OXFORD
haven,han,v%pr_pl,The Summoner's Tale 2117,data/oxford_txts/SumT_oxford.txt,"Han freres been, that finde I of record,°",OXFORD
seien,sey,v%pr_pl,The Summoner's Tale 2126,data/oxford_txts/SumT_oxford.txt,"Ye sey me thus, how that I am your brother?”",OXFORD
comen,cam,v%pt_pl,The Summoner's Tale 2157,data/oxford_txts/SumT_oxford.txt,"Cam lepinge° in, and chaced out the frere;",OXFORD
witen,woot,v%pr_pl,The Summoner's Tale 2194,data/oxford_txts/SumT_oxford.txt,"¶“Sir,” quod the lord, “ye woot what is to done.°",OXFORD
haven,han,v%pr_pl,The Summoner's Tale 2199,data/oxford_txts/SumT_oxford.txt,"As ye han herd biforn, ye woot wel what.",OXFORD
witen,wel,v%pr_pl,The Summoner's Tale 2199,data/oxford_txts/SumT_oxford.txt,"As ye han herd biforn, ye woot wel what.",OXFORD
gon,go,v%inf,The Summoner's Tale 2241,data/oxford_txts/SumT_oxford.txt,"Now eet your mete,° and lat the cherl go pleye,°",OXFORD
gon,go,v%inf,The Summoner's Tale 2242,data/oxford_txts/SumT_oxford.txt,Lat him go honge° himself a devel weye!”,OXFORD
shulen,shal,v%pr_pl,The Summoner's Tale 2262,data/oxford_txts/SumT_oxford.txt,"Than shal they knele doun, by oon assent,°",OXFORD
shulen,shul,v%pr_pl,The Summoner's Tale 2271,data/oxford_txts/SumT_oxford.txt,"And ye shul seen, up° peril of my lif",OXFORD
shulen,shul,v%pr_pl,The Summoner's Tale 2279,data/oxford_txts/SumT_oxford.txt,The worthy men of hem shul first be served;,OXFORD
sheuen,shew,v%inf,The Clerk's Tale 90,data/oxford_txts/ClT_oxford.txt,Or elles coude he shew wel swich° matere,OXFORD
shulen,shul,v%pr_pl,The Clerk's Tale 91,data/oxford_txts/ClT_oxford.txt,He to the markis seide as ye shul here.,OXFORD
don,doon,v%inf,The Clerk's Tale 105,data/oxford_txts/ClT_oxford.txt,"And ye, my lord, to doon right as yow leste.°",OXFORD
haven,han,v%pr_pl,The Clerk's Tale 107,data/oxford_txts/ClT_oxford.txt,"And al your werk and ever han doon, that we",OXFORD
shulen,shul,v%pr_pl,The Clerk's Tale 125,data/oxford_txts/ClT_oxford.txt,"That we shul deie, as uncertein we alle",OXFORD
willen,wol,v%pr_pl,The Clerk's Tale 129,data/oxford_txts/ClT_oxford.txt,"And we wol, lord, if that ye wol assente",OXFORD
connen,can,v%pr_pl,The Clerk's Tale 133,data/oxford_txts/ClT_oxford.txt,"Honour to God and yow, as we can deme.°",OXFORD
preien,pray,v%pr_pl,The Clerk's Tale 140,data/oxford_txts/ClT_oxford.txt,Wherfor we pray you hastily to wive.”,OXFORD
haven,han,v%inf,The Clerk's Tale 142,data/oxford_txts/ClT_oxford.txt,Made the markis herte han pitee.,OXFORD
willen,wol,v%pr_pl,The Clerk's Tale 143,data/oxford_txts/ClT_oxford.txt,"“Ye wol,” quod he, “min owene peple dere",OXFORD
shulen,shal,v%pr_pl,The Clerk's Tale 169,data/oxford_txts/ClT_oxford.txt,"And forthermore, this shal ye swere, that ye",OXFORD
shulen,shul,v%pr_pl,The Clerk's Tale 170,data/oxford_txts/ClT_oxford.txt,Again my chois shul neither grucche° ne strive;°,OXFORD
forgon,forgoon,v%inf,The Clerk's Tale 171,data/oxford_txts/ClT_oxford.txt,For sith I shal forgoon° my libertee,OXFORD
don,doon,v%inf,The Clerk's Tale 231,data/oxford_txts/ClT_oxford.txt,That child may doon to fadres reverence.,OXFORD
wondren,wondred,v%pt_pl,The Clerk's Tale 248,data/oxford_txts/ClT_oxford.txt,For which merveille wondred many a man,OXFORD
haven,han,v%pr_pl,The Clerk's Tale 273,data/oxford_txts/ClT_oxford.txt,In this array the righte wey han holde.,OXFORD
haven,han,v%inf,The Clerk's Tale 280,data/oxford_txts/ClT_oxford.txt,She wolde fain han sein som of that sighte.,OXFORD
gon,goon,v%inf,The Clerk's Tale 288,data/oxford_txts/ClT_oxford.txt,And as she wolde over hir threshfold goon,OXFORD
seien,seyn,v%inf,The Clerk's Tale 311,data/oxford_txts/ClT_oxford.txt,"And al that liketh me, I dar wel seyn",OXFORD
ben,arn,v%pr_pl,The Clerk's Tale 342,data/oxford_txts/ClT_oxford.txt,Thise arn the wordes that the markis sayde,OXFORD
shulen,shul,v%pr_pl,The Clerk's Tale 344,data/oxford_txts/ClT_oxford.txt,"“Grisilde,” he seide, “ye shul wel understonde",OXFORD
willen,wol,v%pr_pl,The Clerk's Tale 347,data/oxford_txts/ClT_oxford.txt,"As I suppose, ye wol° that it so be.",OXFORD
willen,wol,v%pr_pl,The Clerk's Tale 350,data/oxford_txts/ClT_oxford.txt,"Wol ye assente, or elles yow avise?°",OXFORD
don,do,v%inf,The Clerk's Tale 353,data/oxford_txts/ClT_oxford.txt,"As me best thinketh, do° yow laughe or smerte,°",OXFORD
seien,sey,v%inf,The Clerk's Tale 355,data/oxford_txts/ClT_oxford.txt,"And eek whan I sey ‘ye,’ ne sey nat ‘nay,’",OXFORD
willen,wol,v%pr_pl,The Clerk's Tale 361,data/oxford_txts/ClT_oxford.txt,"But as ye wol yourself, right so wol° I.",OXFORD
haven,han,v%pr_pl,The Clerk's Tale 379,data/oxford_txts/ClT_oxford.txt,"Hir heres° han they kembd, that lay untressed°",OXFORD
haven,han,v%pr_pl,The Clerk's Tale 381,data/oxford_txts/ClT_oxford.txt,"A corone° on hir heed they han ydressed,°",OXFORD
trouen,trowed,v%pt_pl,The Clerk's Tale 403,data/oxford_txts/ClT_oxford.txt,"Unnethe trowed they,° but dorste han swore",OXFORD
durren,han,v%pt_pl,The Clerk's Tale 403,data/oxford_txts/ClT_oxford.txt,"Unnethe trowed they,° but dorste han swore",OXFORD
gon,gon,v%pr_pl,The Clerk's Tale 420,data/oxford_txts/ClT_oxford.txt,"Gon to Saluce, upon hir to biholde.°",OXFORD
souken,souked,v%ppl,The Clerk's Tale 450,data/oxford_txts/ClT_oxford.txt,"Whan that this child had souked° but a throwe,°",OXFORD
moten,moot,v%pr_pl,The Clerk's Tale 474,data/oxford_txts/ClT_oxford.txt,For° any wele ye moot yourselven knowe.,OXFORD
witen,woot,v%pr_pl,The Clerk's Tale 477,data/oxford_txts/ClT_oxford.txt,"Ye woot yourself wel, how that ye cam here",OXFORD
comen,cam,v%pt_pl,The Clerk's Tale 477,data/oxford_txts/ClT_oxford.txt,"Ye woot yourself wel, how that ye cam here",OXFORD
seien,seyn,v%pr_pl,The Clerk's Tale 481,data/oxford_txts/ClT_oxford.txt,"They seyn, to hem it is greet shame and wo",OXFORD
haven,han,v%pr_pl,The Clerk's Tale 485,data/oxford_txts/ClT_oxford.txt,Thise wordes han they spoken doutelees;,OXFORD
don,don,v%inf,The Clerk's Tale 489,data/oxford_txts/ClT_oxford.txt,I moot° don with thy doghter for the beste,OXFORD
don,doon,v%inf,The Clerk's Tale 493,data/oxford_txts/ClT_oxford.txt,"I wol nat doon, but this° wol I,” quod he",OXFORD
gon,go,v%inf,The Clerk's Tale 515,data/oxford_txts/ClT_oxford.txt,Whan that he sholde out of the chambre° go.,OXFORD
moten,mot,v%pr_pl,The Clerk's Tale 526,data/oxford_txts/ClT_oxford.txt,"“Madame,” he seide, “ye mot foryeve it me",OXFORD
mouen,mow,v%pr_pl,The Clerk's Tale 530,data/oxford_txts/ClT_oxford.txt,They mow wel been biwailled° or compleined,OXFORD
moten,mot,v%pr_pl,The Clerk's Tale 531,data/oxford_txts/ClT_oxford.txt,But men mot nede unto her lust° obeye,OXFORD
haven,han,v%inf,The Clerk's Tale 536,data/oxford_txts/ClT_oxford.txt,As though he wolde han slain it er° he wente.,OXFORD
haven,han,v%inf,The Clerk's Tale 544,data/oxford_txts/ClT_oxford.txt,She wende° he wolde han slawen it right tho.°,OXFORD
haven,han,v%inf,The Clerk's Tale 563,data/oxford_txts/ClT_oxford.txt,Wel mighte a mooder than han cried “Allas!”,OXFORD
don,doon,v%pr_pl,The Clerk's Tale 581,data/oxford_txts/ClT_oxford.txt,"As lordes doon, whan they wol han hir wille;",OXFORD
haven,han,v%pr_pl,The Clerk's Tale 624,data/oxford_txts/ClT_oxford.txt,"“Wif,” quod this markis, “ye han herd er this",OXFORD
seien,sey,v%pr_pl,The Clerk's Tale 631,data/oxford_txts/ClT_oxford.txt,"Now sey they thus, ‘Whan Walter is agoon",OXFORD
slen,slain,v%ppl,The Clerk's Tale 648,data/oxford_txts/ClT_oxford.txt,Thogh that my doghter and my sone be slain,OXFORD
