Tag,Ending,Count,Percent
num_adj,-e,262,39.52%
num_adj,-d,48,7.24%
num_adj,vowel,216,32.58%
num_adj,other,85,12.82%
num_adj,-ed,24,3.62%
num_adj,-t,6,0.90%
n#propn%gen,other,93,100.00%
pron%obj,other,1044,44.67%
pron%obj,-e,1291,55.24%
pron%obj,-t,1,0.04%
pron%obj,-ed,1,0.04%
v%ppl,-t,355,17.82%
v%ppl,-d,220,11.04%
v%ppl,-en,187,9.39%
v%ppl,-ed,636,31.93%
v%ppl,-e,299,15.01%
v%ppl,other,253,12.70%
v%ppl,vowel,42,2.11%
interj,-e,64,7.32%
interj,vowel,425,48.63%
interj,other,342,39.13%
interj,-t,41,4.69%
interj,-en,1,0.11%
interj,-d,1,0.11%
pron%nom,-e,4010,50.78%
pron%nom,vowel,3837,48.59%
pron%nom,-t,5,0.06%
pron%nom,other,45,0.57%
pron%fem_gen,other,845,99.18%
pron%fem_gen,-e,7,0.82%
adj1,-e,297,88.66%
adj1,other,36,10.75%
adj1,-t,1,0.30%
adj1,-en,1,0.30%
n2#propn,other,34,54.84%
n2#propn,-e,18,29.03%
n2#propn,-en,2,3.23%
n2#propn,vowel,7,11.29%
n2#propn,-t,1,1.61%
n#propn,-t,36,2.13%
n#propn,other,990,58.55%
n#propn,vowel,119,7.04%
n#propn,-e,505,29.86%
n#propn,-en,9,0.53%
n#propn,-d,24,1.42%
n#propn,-eth,7,0.41%
n#propn,-ed,1,0.06%
v%prp_abs,-e,41,43.16%
v%prp_abs,other,54,56.84%
lat_adj,vowel,4,100.00%
lat_n,other,11,64.71%
lat_n,vowel,5,29.41%
lat_n,-e,1,5.88%
adv%comp,other,120,41.67%
adv%comp,-e,106,36.81%
adv%comp,-t,43,14.93%
adv%comp,vowel,19,6.60%
n3,-e,107,68.59%
n3,other,18,11.54%
n3,-ed,1,0.64%
n3,-t,29,18.59%
n3,-en,1,0.64%
adj%comp,other,119,41.46%
adj%comp,-t,18,6.27%
adj%comp,-e,101,35.19%
adj%comp,vowel,49,17.07%
pron%fem_obj,other,443,98.23%
pron%fem_obj,-e,8,1.77%
prep#adv,other,585,99.83%
prep#adv,vowel,1,0.17%
adv&conj,other,862,94.52%
adv&conj,-e,20,2.19%
adv&conj,vowel,8,0.88%
adv&conj,-en,21,2.30%
adv&conj,-t,1,0.11%
pron%pl_nom,-e,1015,63.56%
pron%pl_nom,other,579,36.26%
pron%pl_nom,-t,1,0.06%
pron%pl_nom,vowel,2,0.13%
v%pr_pl,-e,490,30.15%
v%pr_pl,other,615,37.85%
v%pr_pl,-en,449,27.63%
v%pr_pl,vowel,35,2.15%
v%pr_pl,-t,32,1.97%
v%pr_pl,-eth,1,0.06%
v%pr_pl,-d,3,0.18%
v%pr_1,-e,755,45.81%
v%pr_1,other,776,47.09%
v%pr_1,vowel,38,2.31%
v%pr_1,-t,78,4.73%
v%pr_1,-d,1,0.06%
prp_abs,other,1,100.00%
prep2,vowel,17,100.00%
ger,other,147,58.80%
ger,-e,103,41.20%
ppl#adj,-ed,38,69.09%
ppl#adj,-e,7,12.73%
ppl#adj,-t,5,9.09%
ppl#adj,-en,2,3.64%
ppl#adj,other,2,3.64%
ppl#adj,-d,1,1.82%
v%pr_2_pron,other,136,94.44%
v%pr_2_pron,vowel,6,4.17%
v%pr_2_pron,-t,2,1.39%
n1#propn,other,160,20.65%
n1#propn,-d,424,54.71%
n1#propn,vowel,15,1.94%
n1#propn,-e,171,22.06%
n1#propn,-t,5,0.65%
pron_gram_adj,other,364,87.71%
pron_gram_adj,-e,51,12.29%
adj#n%sup,-e,46,90.20%
adj#n%sup,-t,5,9.80%
interj#n,other,11,100.00%
v%pr_2,-t,360,78.95%
v%pr_2,-e,72,15.79%
v%pr_2,other,14,3.07%
v%pr_2,vowel,9,1.97%
v%pr_2,-d,1,0.22%
ger1,other,19,59.38%
ger1,-e,13,40.62%
n8,-e,8,88.89%
n8,other,1,11.11%
v%pt_3_neg,-e,40,38.83%
v%pt_3_neg,other,58,56.31%
v%pt_3_neg,-d,4,3.88%
v%pt_3_neg,vowel,1,0.97%
pron%pl_obj,other,1281,96.68%
pron%pl_obj,vowel,36,2.72%
pron%pl_obj,-e,7,0.53%
pron%pl_obj,-t,1,0.08%
adj2,other,77,64.71%
adj2,-e,29,24.37%
adj2,-t,12,10.08%
adj2,-ed,1,0.84%
v%imp,other,273,30.17%
v%imp,-e,211,23.31%
v%imp,-eth,184,20.33%
v%imp,-t,120,13.26%
v%imp,vowel,69,7.62%
v%imp,-d,31,3.43%
v%imp,-ed,12,1.33%
v%imp,-en,5,0.55%
v%pt_1,-d,77,16.49%
v%pt_1,-e,198,42.40%
v%pt_1,other,152,32.55%
v%pt_1,-t,17,3.64%
v%pt_1,-ed,19,4.07%
v%pt_1,vowel,4,0.86%
conj1,-e,338,69.12%
conj1,other,137,28.02%
conj1,vowel,13,2.66%
conj1,-d,1,0.20%
v%pr_1_neg,-t,24,48.98%
v%pr_1_neg,other,23,46.94%
v%pr_1_neg,-e,2,4.08%
num_n,-e,68,75.56%
num_n,vowel,14,15.56%
num_n,other,1,1.11%
num_n,-en,3,3.33%
num_n,-d,2,2.22%
num_n,-t,1,1.11%
num_n,-ed,1,1.11%
gram_adjas_n,other,196,92.89%
gram_adjas_n,-e,14,6.64%
gram_adjas_n,-en,1,0.47%
v#adj%ppl,-ed,65,59.63%
v#adj%ppl,-t,11,10.09%
v#adj%ppl,-en,9,8.26%
v#adj%ppl,-e,16,14.68%
v#adj%ppl,other,4,3.67%
v#adj%ppl,-d,4,3.67%
n1#propn%gen,other,107,100.00%
ppl,-ed,17,73.91%
ppl,-t,2,8.70%
ppl,-d,4,17.39%
adv2,vowel,61,64.21%
adv2,other,33,34.74%
adv2,-e,1,1.05%
adj%sup,-t,48,35.56%
adj%sup,-e,87,64.44%
dash,-d,17,16.83%
dash,vowel,21,20.79%
dash,-e,10,9.90%
dash,other,39,38.61%
dash,-t,11,10.89%
dash,-ed,3,2.97%
adv%sup,-t,116,89.23%
adv%sup,-e,13,10.00%
adv%sup,other,1,0.77%
v1&%inf,-en,2,40.00%
v1&%inf,-e,3,60.00%
v1#adj%ppl,other,3,15.79%
v1#adj%ppl,-ed,8,42.11%
v1#adj%ppl,-e,8,42.11%
adv1,other,17,73.91%
adv1,-e,2,8.70%
adv1,vowel,3,13.04%
adv1,-d,1,4.35%
n4,-e,16,57.14%
n4,other,11,39.29%
n4,-t,1,3.57%
adj#n%pl,-e,4,100.00%
adv#interj,other,7,77.78%
adv#interj,vowel,2,22.22%
adj#prep,other,1,100.00%
adv&adj,-e,19,79.17%
adv&adj,other,5,20.83%
lat_pron,vowel,2,50.00%
lat_pron,-e,1,25.00%
lat_pron,other,1,25.00%
v%prp,-e,5,41.67%
v%prp,other,7,58.33%
pron%pl,-e,7,21.21%
pron%pl,other,13,39.39%
pron%pl,vowel,11,33.33%
pron%pl,-en,2,6.06%
num_conj,-e,48,68.57%
num_conj,other,22,31.43%
ppl#adj_n,-ed,1,100.00%
adj1#n,other,1,100.00%
adjas_n%sup,-t,13,22.81%
adjas_n%sup,-e,44,77.19%
v%pr_3_neg,other,85,95.51%
v%pr_3_neg,-t,4,4.49%
v%pt_2,-e,17,28.81%
v%pt_2,other,8,13.56%
v%pt_2,-t,34,57.63%
adj#n,-e,22,53.66%
adj#n,other,13,31.71%
adj#n,-t,5,12.20%
adj#n,-en,1,2.44%
pron%gen_abs,other,9,81.82%
pron%gen_abs,-e,2,18.18%
adj3,other,31,100.00%
v%pr_2_neg,-t,6,100.00%
v2#adj%ppl,-ed,6,75.00%
v2#adj%ppl,-t,2,25.00%
adj1#n%sup,-e,15,93.75%
adj1#n%sup,-t,1,6.25%
pron_impers,-en,11,100.00%
prp#adj,other,3,50.00%
prp#adj,-e,3,50.00%
advas_adj,-e,35,97.22%
advas_adj,-t,1,2.78%
adv#conj,-en,1,100.00%
ger%pl,other,22,100.00%
pron%indef,-e,14,100.00%
lat_prep,other,2,50.00%
lat_prep,-d,1,25.00%
lat_prep,-e,1,25.00%
n1#adj,other,9,60.00%
n1#adj,-e,5,33.33%
n1#adj,-t,1,6.67%
lat_adv,other,1,100.00%
n3#propn,other,72,85.71%
n3#propn,-e,9,10.71%
n3#propn,-t,2,2.38%
n3#propn,-en,1,1.19%
n%pl_gen,other,7,100.00%
fr_pron,-e,2,33.33%
fr_pron,other,2,33.33%
fr_pron,vowel,2,33.33%
fr_v,other,2,100.00%
fr_prep,other,1,100.00%
fr_n,-e,1,100.00%
v%pt_1_neg,-d,3,14.29%
v%pt_1_neg,-e,17,80.95%
v%pt_1_neg,other,1,4.76%
prep#conj,-e,7,100.00%
v%pt_pl_neg,-en,1,16.67%
v%pt_pl_neg,-e,5,83.33%
lat_v,-t,2,66.67%
lat_v,vowel,1,33.33%
v%pt_2_neg,-e,1,100.00%
v%pt_2_pron,vowel,1,7.69%
v%pt_2_pron,other,12,92.31%
n2#propn%gen,other,2,100.00%
n4#propn,other,3,75.00%
n4#propn,-t,1,25.00%
v#adj%prp,-e,11,40.74%
v#adj%prp,other,15,55.56%
v#adj%prp,-t,1,3.70%
adj#adv,other,3,60.00%
adj#adv,-e,2,40.00%
adj&adv,-e,5,71.43%
adj&adv,-t,2,28.57%
n#propn%pl,other,3,100.00%
n5,-e,2,100.00%
ger2,-e,2,40.00%
ger2,other,3,60.00%
pron1_adj,-e,10,100.00%
adj%pl,other,5,100.00%
pron_adj,other,11,91.67%
pron_adj,-e,1,8.33%
v%pr_2_neg_pron,other,5,100.00%
adv_abs,other,1,100.00%
ppl_abs,-ed,9,75.00%
ppl_abs,-d,1,8.33%
ppl_abs,-t,2,16.67%
n1#propn_interj,other,2,100.00%
pron%fem_obj_indef,-e,1,100.00%
adjas_n,-e,3,75.00%
adjas_n,-d,1,25.00%
v%imp_2,-e,1,100.00%
ger3,other,2,100.00%
adj2#n,other,2,100.00%
n#interj,other,5,83.33%
n#interj,vowel,1,16.67%
ger#adj,other,3,100.00%
v1#adj%prp,other,2,100.00%
adj#n_propn,-e,1,100.00%
v#adj%ppl_n,-ed,1,100.00%
adj#adv%sup,-t,1,100.00%
adv#n,-e,2,66.67%
adv#n,other,1,33.33%
n#propn_adj,-d,1,100.00%
interj1&2,other,4,100.00%
pron%neut_gen,other,1,100.00%
ger2#propn%pl,other,1,100.00%
n#adj%pl,other,2,100.00%
n6,other,3,100.00%
n#adv,-t,5,100.00%
n%sup,-e,1,100.00%
pron%contr,other,2,100.00%
v%pr_pl_neg,other,3,100.00%
adv#prep,other,1,100.00%
n1#propn_adj,-e,3,100.00%
lat_n#propn,other,1,100.00%
num_n%gen,other,1,100.00%
v1&%pr_3,-eth,2,100.00%
v#adv%prp,other,1,100.00%
n1#interj,other,3,100.00%
n4#propn_adj,-e,1,100.00%
adj&advas_n%comp,-t,1,100.00%
n2#adj,-e,1,100.00%
n5#propn,other,14,100.00%
fr_adv,vowel,1,100.00%
pron%fem_obj_adj,other,1,100.00%
