headword,word,tag,line_number,filename,context,text_type,reason
haven,han,v%pr_pl,Troilus and Criseyde; Book II 101,data/oxford_txts/TC2_oxford.txt,And we han herd how that king Laius deide,OXFORD,Present plural must end in -en or -e
dien,deide,v%pt_3,Troilus and Criseyde; Book II 101,data/oxford_txts/TC2_oxford.txt,And we han herd how that king Laius deide,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
connen,can,v%pr_3,Troilus and Criseyde; Book II 104,data/oxford_txts/TC2_oxford.txt,"How the bisshop, as the book can telle",OXFORD,Present 3rd sg must end in -th
don,don,v%inf,Troilus and Criseyde; Book II 112,data/oxford_txts/TC2_oxford.txt,And lat us don to May som observaunce.”,OXFORD,Infinitive must end in -en or -e
forbeden,forbede,v%pr_3,Troilus and Criseyde; Book II 113,data/oxford_txts/TC2_oxford.txt,"“I? God forbede!” quod she, “Be ye mad?”",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 114,data/oxford_txts/TC2_oxford.txt,"Is that a widewes lif, so God you save?",OXFORD,Present 3rd sg must end in -th
saven,save,v%pr_3,Troilus and Criseyde; Book II 114,data/oxford_txts/TC2_oxford.txt,"Is that a widewes lif, so God you save?",OXFORD,Present 3rd sg must end in -th
sitten,satte,v%pt_3,Troilus and Criseyde; Book II 117,data/oxford_txts/TC2_oxford.txt,It satte me wel bet ay in a cave,OXFORD,Strong pt sg must not end in -en or -e
gon,gon,v%inf,Troilus and Criseyde; Book II 119,data/oxford_txts/TC2_oxford.txt,"Lat maidens gon to daunce, and yonge wives.”",OXFORD,Infinitive must end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book II 121,data/oxford_txts/TC2_oxford.txt,“Yet coude I telle a thing to doon you pleie.”,OXFORD,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 123,data/oxford_txts/TC2_oxford.txt,For Goddes love; is than the assege aweye?,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 127,data/oxford_txts/TC2_oxford.txt,"“Ye, holy God!” quod she, “What thing is that?",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 130,data/oxford_txts/TC2_oxford.txt,"It sholde been; som jape, I trowe, is this.",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 131,data/oxford_txts/TC2_oxford.txt,And but yourselven telle us what it is,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 132,data/oxford_txts/TC2_oxford.txt,My wit is for to arede it al to lene;,OXFORD,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 133,data/oxford_txts/TC2_oxford.txt,"As help me God, I noot nat what ye mene.”",OXFORD,Present 3rd sg must end in -th
desiren,desired,v%pr_3,Troilus and Criseyde; Book II 144,data/oxford_txts/TC2_oxford.txt,To knowe thing desired she so faste;,OXFORD,Present 3rd sg must end in -th
mouen,may,v%pr_3,Troilus and Criseyde; Book II 147,data/oxford_txts/TC2_oxford.txt,"Nor axen more, that may do yow disese.”",OXFORD,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 147,data/oxford_txts/TC2_oxford.txt,"Nor axen more, that may do yow disese.”",OXFORD,Infinitive must end in -en or -e
don,doon,v%pr_pl,Troilus and Criseyde; Book II 152,data/oxford_txts/TC2_oxford.txt,"As freendes doon, whan they ben met yfere;",OXFORD,Present plural must end in -en or -e
faren,ferde,v%pt_3,Troilus and Criseyde; Book II 153,data/oxford_txts/TC2_oxford.txt,Til she gan axen him how Ector ferde,OXFORD,Strong pt sg must not end in -en or -e
saven,save,v%pr_3,Troilus and Criseyde; Book II 163,data/oxford_txts/TC2_oxford.txt,"They faren wel, God save hem bothe two!",OXFORD,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 165,data/oxford_txts/TC2_oxford.txt,A kinges sone in armes wel to do,OXFORD,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 169,data/oxford_txts/TC2_oxford.txt,"“In good feith, that is sooth,” quod Pandarus;",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 171,data/oxford_txts/TC2_oxford.txt,"That is to mene, Ector and Troilus",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 175,data/oxford_txts/TC2_oxford.txt,"Hir might is wide yknowe, and what they conne.",OXFORD,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 182,data/oxford_txts/TC2_oxford.txt,"God help me so, I knowe not swiche tweie.”",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 183,data/oxford_txts/TC2_oxford.txt,"“By God,” quod she, “of Ector that is sooth;",OXFORD,Present 3rd sg must end in -th
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 190,data/oxford_txts/TC2_oxford.txt,"“Ye sey right sooth, ywis,” quod Pandarus;",OXFORD,Present plural must end in -en or -e
haven,han,v%inf,Troilus and Criseyde; Book II 192,data/oxford_txts/TC2_oxford.txt,He might han wondred upon Troilus;,OXFORD,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 196,data/oxford_txts/TC2_oxford.txt,Ther nas no cry but ‘Troilus is there!’,OXFORD,Present 3rd sg must end in -th
casten,caste,v%pt_3,Troilus and Criseyde; Book II 199,data/oxford_txts/TC2_oxford.txt,"Now hem he hurte, and hem al doun he caste;",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
durren,dorste,v%pt_3,Troilus and Criseyde; Book II 202,data/oxford_txts/TC2_oxford.txt,That as that day ther dorste noon withstonde,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,Troilus and Criseyde; Book II 204,data/oxford_txts/TC2_oxford.txt,Therto he is the freendlieste man,OXFORD,Present 3rd sg must end in -th
listen,list,v%pr_3,Troilus and Criseyde; Book II 206,data/oxford_txts/TC2_oxford.txt,"And wher him list, best felawshipe can",OXFORD,Present 3rd sg must end in -th
connen,can,v%pr_3,Troilus and Criseyde; Book II 206,data/oxford_txts/TC2_oxford.txt,"And wher him list, best felawshipe can",OXFORD,Present 3rd sg must end in -th
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 212,data/oxford_txts/TC2_oxford.txt,And namelich of wommen? wol ye so?,OXFORD,Present plural must end in -en or -e
gon,go,v%pr_pl,Troilus and Criseyde; Book II 214,data/oxford_txts/TC2_oxford.txt,"With yow, to speke of wisdom er ye go.”",OXFORD,Present plural must end in -en or -e
heren,herde,v%pt_3,Troilus and Criseyde; Book II 216,data/oxford_txts/TC2_oxford.txt,"That herde that, gan fer awey to stonde",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
listen,list,v%pr_3,Troilus and Criseyde; Book II 223,data/oxford_txts/TC2_oxford.txt,What list yow thus yourself to disfigure,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 224,data/oxford_txts/TC2_oxford.txt,Sith yow is tid thus faire an aventure?”,OXFORD,Present 3rd sg must end in -th
haven,have,v%pr_3,Troilus and Criseyde; Book II 242,data/oxford_txts/TC2_oxford.txt,"So muche as yow, and have so litel quit;",OXFORD,Present 3rd sg must end in -th
listen,liste,v%pr_3,Troilus and Criseyde; Book II 249,data/oxford_txts/TC2_oxford.txt,"And sey to me, your nece, what yow liste”:",OXFORD,Present 3rd sg must end in -th
kissen,kiste,v%pr_3,Troilus and Criseyde; Book II 250,data/oxford_txts/TC2_oxford.txt,And with that word hir uncle anoon hir kiste,OXFORD,Present 3rd sg must end in -th
seien,sey,v%inf,Troilus and Criseyde; Book II 252,data/oxford_txts/TC2_oxford.txt,Tak it for good that I shal sey yow here.”,OXFORD,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 261,data/oxford_txts/TC2_oxford.txt,And this matere is so bihovely,OXFORD,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 271,data/oxford_txts/TC2_oxford.txt,For tendre wittes wenen al be wile,OXFORD,Present 3rd sg must end in -th
sen,sey,v%pt_pl,Troilus and Criseyde; Book II 277,data/oxford_txts/TC2_oxford.txt,"Sey ye me never er now? what sey ye, no?”",OXFORD,Past plural must end in -en or -e
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 277,data/oxford_txts/TC2_oxford.txt,"Sey ye me never er now? what sey ye, no?”",OXFORD,Present plural must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 282,data/oxford_txts/TC2_oxford.txt,"Som time is shape, if he it can receiven;",OXFORD,Present 3rd sg must end in -th
connen,can,v%pr_3,Troilus and Criseyde; Book II 282,data/oxford_txts/TC2_oxford.txt,"Som time is shape, if he it can receiven;",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 287,data/oxford_txts/TC2_oxford.txt,"And swich a wight is for to blame, I gesse.",OXFORD,Present 3rd sg must end in -th
slaken,slake,v%pr_3,Troilus and Criseyde; Book II 291,data/oxford_txts/TC2_oxford.txt,"Cache it anoon, lest aventure slake.",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 293,data/oxford_txts/TC2_oxford.txt,"Yif me youre hond, for in this world is noon",OXFORD,Present 3rd sg must end in -th
sweren,sworn,v%ppl,Troilus and Criseyde; Book II 299,data/oxford_txts/TC2_oxford.txt,By al the othes that I have yow sworn,OXFORD,Strong participle must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 304,data/oxford_txts/TC2_oxford.txt,"For hardely, the werste of this is do;",OXFORD,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 305,data/oxford_txts/TC2_oxford.txt,And though my tale as now be to yow newe,OXFORD,Present 3rd sg must end in -th
shulen,shal,v%pr_pl,Troilus and Criseyde; Book II 306,data/oxford_txts/TC2_oxford.txt,"Yet trist alwey, ye shal me finde trewe;",OXFORD,Present plural must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 310,data/oxford_txts/TC2_oxford.txt,"Quod she, “com of, and tel me what it is;",OXFORD,Present 3rd sg must end in -th
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 311,data/oxford_txts/TC2_oxford.txt,For bothe I am agast what ye wol seye,OXFORD,Present plural must end in -en or -e
ben,be,v%pr_3,Troilus and Criseyde; Book II 313,data/oxford_txts/TC2_oxford.txt,For whether it be wel or be amis,OXFORD,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book II 315,data/oxford_txts/TC2_oxford.txt,"“So wol I doon, now herkneth, I shal telle:",OXFORD,Infinitive must end in -en or -e
listen,list,v%pr_3,Troilus and Criseyde; Book II 322,data/oxford_txts/TC2_oxford.txt,"Doth what yow list, to make him live or deie.",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 330,data/oxford_txts/TC2_oxford.txt,“Allas! he which that is my lord so dere,OXFORD,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 337,data/oxford_txts/TC2_oxford.txt,“If it be so that ye so cruel be,OXFORD,Present 3rd sg must end in -th
listen,liste,v%pr_3,Troilus and Criseyde; Book II 338,data/oxford_txts/TC2_oxford.txt,That of his deeth yow liste nought to recche,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 339,data/oxford_txts/TC2_oxford.txt,"That is so trewe and worthy, as ye see",OXFORD,Present 3rd sg must end in -th
mouen,may,v%pr_3,Troilus and Criseyde; Book II 341,data/oxford_txts/TC2_oxford.txt,"If ye be swich, your beautee may not strecche",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 343,data/oxford_txts/TC2_oxford.txt,Avisement is good bifore the nede.,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 346,data/oxford_txts/TC2_oxford.txt,Wo worth that beautee that is routhelees!,OXFORD,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 349,data/oxford_txts/TC2_oxford.txt,If therwithal in you ther be no routhe,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 351,data/oxford_txts/TC2_oxford.txt,"“And also think wel, that this is no gaude;",OXFORD,Present 3rd sg must end in -th
hongen,hanged,v%ppl,Troilus and Criseyde; Book II 353,data/oxford_txts/TC2_oxford.txt,"Were hanged, than I sholde been his baude",OXFORD,Strong participle must end in -en or -e
shenden,shente,v%pr_3,Troilus and Criseyde; Book II 357,data/oxford_txts/TC2_oxford.txt,"Thorugh min abet, that he thin honour shente.",OXFORD,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 361,data/oxford_txts/TC2_oxford.txt,"Than ye han doon er this, and more feste",OXFORD,Present plural must end in -en or -e
helpen,helpe,v%pr_3,Troilus and Criseyde; Book II 364,data/oxford_txts/TC2_oxford.txt,"God helpe me so, I never other mente.",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 366,data/oxford_txts/TC2_oxford.txt,"Ne doute of reson, pardee, is ther noon.",OXFORD,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 370,data/oxford_txts/TC2_oxford.txt,"That every wight, but he be fool of kinde",OXFORD,Present 3rd sg must end in -th
willen,wol,v%pr_3,Troilus and Criseyde; Book II 371,data/oxford_txts/TC2_oxford.txt,Wol deme it love of freendship in his minde.,OXFORD,Present 3rd sg must end in -th
connen,can,v%pr_3,Troilus and Criseyde; Book II 374,data/oxford_txts/TC2_oxford.txt,Thenk eek how wel and wisly that he can,OXFORD,Present 3rd sg must end in -th
shulen,shal,v%pr_3,Troilus and Criseyde; Book II 377,data/oxford_txts/TC2_oxford.txt,"And eek therto, he shal come here so selde",OXFORD,Present 3rd sg must end in -th
biholden,behelde,v%pt_3,Troilus and Criseyde; Book II 378,data/oxford_txts/TC2_oxford.txt,What fors were it though al the toun behelde?,OXFORD,Strong pt sg must not end in -en or -e
ben,be,v%pr_3,Troilus and Criseyde; Book II 381,data/oxford_txts/TC2_oxford.txt,"And, God so wis be my savacioun",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 382,data/oxford_txts/TC2_oxford.txt,"As I have seid, your beste is to do so.",OXFORD,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 382,data/oxford_txts/TC2_oxford.txt,"As I have seid, your beste is to do so.",OXFORD,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 389,data/oxford_txts/TC2_oxford.txt,What is your reed I sholde doon of this?”,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 390,data/oxford_txts/TC2_oxford.txt,"“That is wel seid,” quod he, “certain, best is",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 390,data/oxford_txts/TC2_oxford.txt,"“That is wel seid,” quod he, “certain, best is",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 392,data/oxford_txts/TC2_oxford.txt,As love for love is skilful guerdoninge.,OXFORD,Present 3rd sg must end in -th
devouren,devoure,v%pr_3,Troilus and Criseyde; Book II 395,data/oxford_txts/TC2_oxford.txt,"And therfore, er that age thee devoure",OXFORD,Present 3rd sg must end in -th
willen,wol,v%pr_3,Troilus and Criseyde; Book II 396,data/oxford_txts/TC2_oxford.txt,"Go love, for, old, ther wol no wight of thee.",OXFORD,Present 3rd sg must end in -th
passen,paste,v%pt_3,Troilus and Criseyde; Book II 398,data/oxford_txts/TC2_oxford.txt,"‘To late ywar,’ quod Beautee, ‘whan it paste;",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,Troilus and Criseyde; Book II 400,data/oxford_txts/TC2_oxford.txt,“The kinges fool is wont to cryen loude,OXFORD,Present 3rd sg must end in -th
prien,pri,v%inf,Troilus and Criseyde; Book II 404,data/oxford_txts/TC2_oxford.txt,And send yow thanne a mirour in to prië,OXFORD,Infinitive must end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book II 411,data/oxford_txts/TC2_oxford.txt,Allas! what sholden straunge to me doon,OXFORD,Infinitive must end in -en or -e
reden,ret,v%pr_3,Troilus and Criseyde; Book II 413,data/oxford_txts/TC2_oxford.txt,"Ret me to love, and sholde it me defende?",OXFORD,Present 3rd sg must end in -th
haven,han,v%inf,Troilus and Criseyde; Book II 414,data/oxford_txts/TC2_oxford.txt,"“Allas! I wolde han trusted, doutelees",OXFORD,Infinitive must end in -en or -e
mouen,leve,v%pr_3,Troilus and Criseyde; Book II 420,data/oxford_txts/TC2_oxford.txt,"This false world, allas! who may it leve?",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 421,data/oxford_txts/TC2_oxford.txt,“What? is this al the joye and al the feste?,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 422,data/oxford_txts/TC2_oxford.txt,"Is this your reed, is this my blisful cas?",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 422,data/oxford_txts/TC2_oxford.txt,"Is this your reed, is this my blisful cas?",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 423,data/oxford_txts/TC2_oxford.txt,Is this the verray mede of your beheste?,OXFORD,Present 3rd sg must end in -th
purveien,purveie,v%pr_3,Troilus and Criseyde; Book II 426,data/oxford_txts/TC2_oxford.txt,Thou in this dredful cas for me purveie;,OXFORD,Present 3rd sg must end in -th
comen,com,v%inf,Troilus and Criseyde; Book II 430,data/oxford_txts/TC2_oxford.txt,"“By God, I shal nomore com here this wike",OXFORD,Infinitive must end in -en or -e
moten,mot,v%pr_3,Troilus and Criseyde; Book II 439,data/oxford_txts/TC2_oxford.txt,But sith I see my lord mot nedes die,OXFORD,Present 3rd sg must end in -th
cacchen,caughte,v%pt_3,Troilus and Criseyde; Book II 448,data/oxford_txts/TC2_oxford.txt,Til she again him by the lappe caughte.,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
slen,slee,v%pr_3,Troilus and Criseyde; Book II 459,data/oxford_txts/TC2_oxford.txt,"And if this man slee here himself, allas!",OXFORD,Present 3rd sg must end in -th
willen,wol,v%pr_3,Troilus and Criseyde; Book II 460,data/oxford_txts/TC2_oxford.txt,"In my presence, it wol be no solas.",OXFORD,Present 3rd sg must end in -th
