headword,word,tag,line_number,filename,context,text_type,reason
don,doon,v%inf,Troilus and Criseyde; Book II 411,data/oxford_txts/TC2_oxford.txt,Allas! what sholden straunge to me doon,OXFORD,Infinitive must end in -en or -e
reden,ret,v%pr_3,Troilus and Criseyde; Book II 413,data/oxford_txts/TC2_oxford.txt,"Ret me to love, and sholde it me defende?",OXFORD,Present 3rd sg must end in -th
haven,han,v%inf,Troilus and Criseyde; Book II 414,data/oxford_txts/TC2_oxford.txt,"“Allas! I wolde han trusted, doutelees",OXFORD,Infinitive must end in -en or -e
purveien,purveie,v%pr_3,Troilus and Criseyde; Book II 426,data/oxford_txts/TC2_oxford.txt,Thou in this dredful cas for me purveie;,OXFORD,Present 3rd sg must end in -th
comen,com,v%inf,Troilus and Criseyde; Book II 430,data/oxford_txts/TC2_oxford.txt,"“By God, I shal nomore com here this wike",OXFORD,Infinitive must end in -en or -e
cacchen,caughte,v%pt_3,Troilus and Criseyde; Book II 448,data/oxford_txts/TC2_oxford.txt,Til she again him by the lappe caughte.,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
slen,slee,v%pr_3,Troilus and Criseyde; Book II 459,data/oxford_txts/TC2_oxford.txt,"And if this man slee here himself, allas!",OXFORD,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book II 468,data/oxford_txts/TC2_oxford.txt,"I shal so doon, min honour shal I kepe",OXFORD,Infinitive must end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book II 475,data/oxford_txts/TC2_oxford.txt,"“Now wel,” quod she, “and I wol doon my peine;",OXFORD,Infinitive must end in -en or -e
cesen,cesse,v%pr_3,Troilus and Criseyde; Book II 483,data/oxford_txts/TC2_oxford.txt,"But cesse cause, ay cesseth maladie.",OXFORD,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 492,data/oxford_txts/TC2_oxford.txt,"“That, of this thing that ye han hight me here",OXFORD,Present plural must end in -en or -e
haven,han,v%inf,Troilus and Criseyde; Book II 495,data/oxford_txts/TC2_oxford.txt,"“Ne that I shal han cause in this matere,”",OXFORD,Infinitive must end in -en or -e
wepen,wepte,v%pt_3,Troilus and Criseyde; Book II 562,data/oxford_txts/TC2_oxford.txt,"And neer I com, and fond he wepte sore;",OXFORD,Strong pt sg must not end in -en or -e
helpen,help,v%pr_3,Troilus and Criseyde; Book II 590,data/oxford_txts/TC2_oxford.txt,"“As help me God, ye shenden every deel!”",OXFORD,Present 3rd sg must end in -th
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 596,data/oxford_txts/TC2_oxford.txt,"With this he took his leve, and hoom he wente;",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,hadde,v%pt_3,Troilus and Criseyde; Book II 642,data/oxford_txts/TC2_oxford.txt,That thirled hadde horn and nerf and rinde;,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
heren,herde,v%pt_3,Troilus and Criseyde; Book II 646,data/oxford_txts/TC2_oxford.txt,Whan he the peple upon him herde crien,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
passen,paste,v%pt_3,Troilus and Criseyde; Book II 658,data/oxford_txts/TC2_oxford.txt,Whil he and al the peple forby paste,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
seien,seyn,v%inf,Troilus and Criseyde; Book II 684,data/oxford_txts/TC2_oxford.txt,"And, sooth to seyn, she nas nat al a fo",OXFORD,Infinitive must end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book II 696,data/oxford_txts/TC2_oxford.txt,"And what to doon best were, and what eschue",OXFORD,Infinitive must end in -en or -e
forbeden,forbede,v%pr_3,Troilus and Criseyde; Book II 716,data/oxford_txts/TC2_oxford.txt,For though a man forbede dronkenesse,OXFORD,Present 3rd sg must end in -th
forbeden,forbet,v%pr_3,Troilus and Criseyde; Book II 717,data/oxford_txts/TC2_oxford.txt,He nought forbet that every creature,OXFORD,Present 3rd sg must end in -th
haven,have,v%pr_3,Troilus and Criseyde; Book II 749,data/oxford_txts/TC2_oxford.txt,What wonder is though he of me have joye?,OXFORD,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book II 757,data/oxford_txts/TC2_oxford.txt,“What shal I doon? to what fin live I thus?,OXFORD,Infinitive must end in -en or -e
don,do,v%inf,Troilus and Criseyde; Book II 763,data/oxford_txts/TC2_oxford.txt,"By alle right, it may do me no shame.”",OXFORD,Infinitive must end in -en or -e
overspreden,oversprat,v%pr_3,Troilus and Criseyde; Book II 767,data/oxford_txts/TC2_oxford.txt,Which oversprat the sonne as for a space,OXFORD,Present 3rd sg must end in -th
reuen,rewe,v%pr_3,Troilus and Criseyde; Book II 789,data/oxford_txts/TC2_oxford.txt,"But harm ydoon is doon, whoso it rewe.",OXFORD,Present 3rd sg must end in -th
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 801,data/oxford_txts/TC2_oxford.txt,"And coye hem, that they sey non harm of me?",OXFORD,Present plural must end in -en or -e
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 813,data/oxford_txts/TC2_oxford.txt,Adoun the steire anoonright tho she wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,han,v%pr_pl,Troilus and Criseyde; Book II 834,data/oxford_txts/TC2_oxford.txt,"“Ye, blisful God, han me so wel beset",OXFORD,Present plural must end in -en or -e
haven,have,v%pr_3,Troilus and Criseyde; Book II 847,data/oxford_txts/TC2_oxford.txt,"Now good thrift have he, wherso that he be!",OXFORD,Present 3rd sg must end in -th
witen,woot,v%pr_pl,Troilus and Criseyde; Book II 893,data/oxford_txts/TC2_oxford.txt,"Do wey, do wey, they woot no thing of this!",OXFORD,Present plural must end in -en or -e
answeren,answerde,v%pt_3,Troilus and Criseyde; Book II 897,data/oxford_txts/TC2_oxford.txt,Criseyde unto that purpos nought answerde,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
heren,herde,v%pt_3,Troilus and Criseyde; Book II 899,data/oxford_txts/TC2_oxford.txt,But every word which that she of hir herde,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
henten,hente,v%pt_3,Troilus and Criseyde; Book II 924,data/oxford_txts/TC2_oxford.txt,Til at the last the dede sleep hir hente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
setten,sette,v%pt_3,Troilus and Criseyde; Book II 927,data/oxford_txts/TC2_oxford.txt,Under hir breste his longe clawes sette,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
dighten,dighte,v%pt_3,Troilus and Criseyde; Book II 948,data/oxford_txts/TC2_oxford.txt,And every wight out at the dore him dighte,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
heren,herde,v%pt_3,Troilus and Criseyde; Book II 951,data/oxford_txts/TC2_oxford.txt,"For wo, til that he herde som tidinge",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
don,do,v%inf,Troilus and Criseyde; Book II 957,data/oxford_txts/TC2_oxford.txt,"Sire, my nece wol do wel by thee",OXFORD,Infinitive must end in -en or -e
haven,han,v%pr_pl,Troilus and Criseyde; Book II 966,data/oxford_txts/TC2_oxford.txt,"As ye han herd bifore, al he him tolde.",OXFORD,Present plural must end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book II 981,data/oxford_txts/TC2_oxford.txt,"“But Lord, how shal I doon, how shal I liven?",OXFORD,Infinitive must end in -en or -e
departen,departe,v%pr_3,Troilus and Criseyde; Book II 990,data/oxford_txts/TC2_oxford.txt,So longe abid til that the night departe;,OXFORD,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 1004,data/oxford_txts/TC2_oxford.txt,"God help me so, as I wolde outrely",OXFORD,Present 3rd sg must end in -th
writen,write,v%pr_3,Troilus and Criseyde; Book II 1026,data/oxford_txts/TC2_oxford.txt,Ne scrivenish or craftily thou it write;,OXFORD,Present 3rd sg must end in -th
setten,sette,v%pt_3,Troilus and Criseyde; Book II 1087,data/oxford_txts/TC2_oxford.txt,"The ruby in his signet, and it sette",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
letten,lette,v%pt_3,Troilus and Criseyde; Book II 1089,data/oxford_txts/TC2_oxford.txt,"Therwith a thousand times, er he lette",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
shitten,shette,v%pt_3,Troilus and Criseyde; Book II 1090,data/oxford_txts/TC2_oxford.txt,He kiste tho the lettre that he shette,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
sterten,sterte,v%pt_3,Troilus and Criseyde; Book II 1094,data/oxford_txts/TC2_oxford.txt,"Amorwe, and to his neces paleis sterte",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
smerten,smerte,v%pr_3,Troilus and Criseyde; Book II 1097,data/oxford_txts/TC2_oxford.txt,"So fresh it is, although it sore smerte",OXFORD,Present 3rd sg must end in -th
heren,herde,v%pt_3,Troilus and Criseyde; Book II 1100,data/oxford_txts/TC2_oxford.txt,"Criseyde, whan that she hir uncle herde",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
answeren,answerde,v%pt_3,Troilus and Criseyde; Book II 1102,data/oxford_txts/TC2_oxford.txt,"The cause of his cominge, thus answerde",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
bresten,breste,v%pt_3,Troilus and Criseyde; Book II 1108,data/oxford_txts/TC2_oxford.txt,"And she to laugh, it thoughte hir herte breste.",OXFORD,Strong pt sg must not end in -en or -e
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1124,data/oxford_txts/TC2_oxford.txt,"Aviseth you on it, whan ye han space",OXFORD,Present plural must end in -en or -e
helpen,help,v%pr_3,Troilus and Criseyde; Book II 1126,data/oxford_txts/TC2_oxford.txt,"Or, help me God, so pleinly for to seyne",OXFORD,Present 3rd sg must end in -th
bicomen,bicome,v%pr_3,Troilus and Criseyde; Book II 1151,data/oxford_txts/TC2_oxford.txt,Of him ye recche leest wher he bicome,OXFORD,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 1213,data/oxford_txts/TC2_oxford.txt,"God help me so, this is the firste lettre",OXFORD,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 1230,data/oxford_txts/TC2_oxford.txt,"And seide, “As wisly help me God the grete",OXFORD,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1240,data/oxford_txts/TC2_oxford.txt,“But ye han pleyed tiraunt neigh to longe,OXFORD,Present plural must end in -en or -e
declamen,declamed,v%pt_pl,Troilus and Criseyde; Book II 1247,data/oxford_txts/TC2_oxford.txt,And right as they declamed this matere,OXFORD,Past plural must end in -en or -e
passen,paste,v%pt_3,Troilus and Criseyde; Book II 1260,data/oxford_txts/TC2_oxford.txt,"And bekked on Pandare, and forth he paste.",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,hadde,v%pt_3,Troilus and Criseyde; Book II 1270,data/oxford_txts/TC2_oxford.txt,Ne hadde she swich routhe of his distresse;,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
senden,sende,v%pr_3,Troilus and Criseyde; Book II 1274,data/oxford_txts/TC2_oxford.txt,God sende mo swich thornes on to pike!,OXFORD,Present 3rd sg must end in -th
preien,pray,v%pr_3,Troilus and Criseyde; Book II 1277,data/oxford_txts/TC2_oxford.txt,"And seide, “Nece, I pray yow hertely",OXFORD,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book II 1282,data/oxford_txts/TC2_oxford.txt,"“God help me so,” quod he, “ye sey me sooth.",OXFORD,Present 3rd sg must end in -th
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 1282,data/oxford_txts/TC2_oxford.txt,"“God help me so,” quod he, “ye sey me sooth.",OXFORD,Present plural must end in -en or -e
riden,rit,v%pr_3,Troilus and Criseyde; Book II 1284,data/oxford_txts/TC2_oxford.txt,"Lo, yond he rit!” Quod she, “Ye, so he dooth.”",OXFORD,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 1288,data/oxford_txts/TC2_oxford.txt,Lat nicetee not do yow bothe smerte.”,OXFORD,Infinitive must end in -en or -e
helpen,help,v%pr_3,Troilus and Criseyde; Book II 1312,data/oxford_txts/TC2_oxford.txt,"“Who, Troilus? nay help me so the mone,”",OXFORD,Present 3rd sg must end in -th
haven,hadde,v%pt_3,Troilus and Criseyde; Book II 1350,data/oxford_txts/TC2_oxford.txt,And aftir swiche answeres as he hadde,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
benden,bende,v%pr_3,Troilus and Criseyde; Book II 1378,data/oxford_txts/TC2_oxford.txt,"That, though she bende, yet she stant on rote;",OXFORD,Present 3rd sg must end in -th
cesen,cesse,v%pr_3,Troilus and Criseyde; Book II 1388,data/oxford_txts/TC2_oxford.txt,"Ful lightly, cesse wind, it wol arise;",OXFORD,Present 3rd sg must end in -th
stonden,stant,v%pr_3,Troilus and Criseyde; Book II 1392,data/oxford_txts/TC2_oxford.txt,"Acheved wel, and stant withouten doute",OXFORD,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1393,data/oxford_txts/TC2_oxford.txt,Al han men been the lenger theraboute.,OXFORD,Present plural must end in -en or -e
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1402,data/oxford_txts/TC2_oxford.txt,Quod he; and to Deiphebus wente he tho,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,han,v%inf,Troilus and Criseyde; Book II 1438,data/oxford_txts/TC2_oxford.txt,To han som of your bretheren here with yow,OXFORD,Infinitive must end in -en or -e
seien,seyn,v%inf,Troilus and Criseyde; Book II 1454,data/oxford_txts/TC2_oxford.txt,"May seyn no bet, swich hap to him hath she.",OXFORD,Infinitive must end in -en or -e
biginnen,biginne,v%pr_3,Troilus and Criseyde; Book II 1484,data/oxford_txts/TC2_oxford.txt,"For ought he can, whan that so he biginne.”",OXFORD,Present 3rd sg must end in -th
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1537,data/oxford_txts/TC2_oxford.txt,And Troilus to paleis wente blive.,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1540,data/oxford_txts/TC2_oxford.txt,And to Deiphebus hous at night he wente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,han,v%pr_pl,Troilus and Criseyde; Book II 1547,data/oxford_txts/TC2_oxford.txt,That ye han herd Pandare er this devise.,OXFORD,Present plural must end in -en or -e
don,don,v%inf,Troilus and Criseyde; Book II 1594,data/oxford_txts/TC2_oxford.txt,To mowen swich a knight don live or die?,OXFORD,Infinitive must end in -en or -e
biholden,bihelde,v%pt_3,Troilus and Criseyde; Book II 1606,data/oxford_txts/TC2_oxford.txt,And goodly on Criseyde she bihelde,OXFORD,Strong pt sg must not end in -en or -e
yeven,yeve,v%pr_3,Troilus and Criseyde; Book II 1609,data/oxford_txts/TC2_oxford.txt,"And yeve me sorwe, but he shal it rewe",OXFORD,Present 3rd sg must end in -th
stonden,stant,v%pr_3,Troilus and Criseyde; Book II 1613,data/oxford_txts/TC2_oxford.txt,"“My lordes and my ladies, it stant thus;",OXFORD,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 1614,data/oxford_txts/TC2_oxford.txt,"What sholde I lenger,” quod he, “do yow dwelle?”",OXFORD,Infinitive must end in -en or -e
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1631,data/oxford_txts/TC2_oxford.txt,"She tolde hirself him al this, er she wente.",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
don,do,v%inf,Troilus and Criseyde; Book II 1635,data/oxford_txts/TC2_oxford.txt,"And do yow wite, and that anoon, ywis",OXFORD,Infinitive must end in -en or -e
haven,have,v%pr_3,Troilus and Criseyde; Book II 1638,data/oxford_txts/TC2_oxford.txt,"“God have thy soule, ybrought have I thy bere!”",OXFORD,Present 3rd sg must end in -th
witen,woot,v%pr_pl,Troilus and Criseyde; Book II 1646,data/oxford_txts/TC2_oxford.txt,"“But wel ye woot, the chaumbre is but lite",OXFORD,Present plural must end in -en or -e
loken,loketh,v%pr_pl,Troilus and Criseyde; Book II 1648,data/oxford_txts/TC2_oxford.txt,Now loketh ye (for I wol have no wite,OXFORD,Present plural must end in -en or -e
biden,bide,v%pr_3,Troilus and Criseyde; Book II 1651,data/oxford_txts/TC2_oxford.txt,Wher it be bet she bide til eftsones;,OXFORD,Present 3rd sg must end in -th
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1654,data/oxford_txts/TC2_oxford.txt,That no wight in ne wente but ye tweie,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,have,v%pr_3,Troilus and Criseyde; Book II 1686,data/oxford_txts/TC2_oxford.txt,"Have God my trouthe, hir cause to sustene.”",OXFORD,Present 3rd sg must end in -th
gon,go,v%pr_3,Troilus and Criseyde; Book II 1689,data/oxford_txts/TC2_oxford.txt,"That she may take hir leve, er that she go?”",OXFORD,Present 3rd sg must end in -th
vouchen,vouche,v%pr_3,Troilus and Criseyde; Book II 1691,data/oxford_txts/TC2_oxford.txt,“If that she vouche sauf for to do so.”,OXFORD,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 1691,data/oxford_txts/TC2_oxford.txt,“If that she vouche sauf for to do so.”,OXFORD,Infinitive must end in -en or -e
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1725,data/oxford_txts/TC2_oxford.txt,And arm in arm inward with him she wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
defenden,defende,v%pr_3,Troilus and Criseyde; Book II 1733,data/oxford_txts/TC2_oxford.txt,"Nece, I conjure and heighly yow defende",OXFORD,Present 3rd sg must end in -th
senden,sende,v%pr_3,Troilus and Criseyde; Book II 1734,data/oxford_txts/TC2_oxford.txt,"On his half, which that sowle us alle sende",OXFORD,Present 3rd sg must end in -th
seien,seyn,v%inf,Troilus and Criseyde; Book II 1740,data/oxford_txts/TC2_oxford.txt,"That wol ye bothe seyn, whan ye ben oon.",OXFORD,Infinitive must end in -en or -e
durren,dar,v%pr_pl,Troilus and Criseyde; Book II 1747,data/oxford_txts/TC2_oxford.txt,"Than dar ye nought, and why? for she, and she",OXFORD,Present plural must end in -en or -e
wenden,wente,v%pt_3,The Summoner's Tale 1734,data/oxford_txts/SumT_oxford.txt,With qui cum patre° forth his wey he wente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
yeven,yaf,v%pt_pl,The Summoner's Tale 1756,data/oxford_txts/SumT_oxford.txt,"And what° men yaf° hem, leide it on his bak.",OXFORD,Past plural must end in -en or -e
wenden,wente,v%pt_3,The Summoner's Tale 1765,data/oxford_txts/SumT_oxford.txt,"¶So longe he wente hous by hous, til he",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
