headword,word,line_number,filename,context,is_elided,is_final,source_csv
straunge,strange,The Wife of Bath's Tale 1161,data/oxford_txts/WBT_oxford.txt,Which is a strange thing to° thy persone.,False,False,WBT_gui_complete.csv
lef,leve,The Wife of Bath's Tale 1171,data/oxford_txts/WBT_oxford.txt,"And therfor, leve° housbond, I thus conclude",False,False,WBT_gui_complete.csv
povre,poure,The Wife of Bath's Tale 1187,data/oxford_txts/WBT_oxford.txt,He that coveiteth is a poure wight,False,False,WBT_gui_complete.csv
treu,trewe,The Wife of Bath's Tale 1221,data/oxford_txts/WBT_oxford.txt,And be to yow a trewe° humble wif,False,False,WBT_gui_complete.csv
humble,humble,The Wife of Bath's Tale 1221,data/oxford_txts/WBT_oxford.txt,And be to yow a trewe° humble wif,False,False,WBT_gui_complete.csv
wise,wise,The Wife of Bath's Tale 1231,data/oxford_txts/WBT_oxford.txt,I put me in your wise governance;,False,False,WBT_gui_complete.csv
large,large,The Merchant's Prologue 1223,data/oxford_txts/MerPro_oxford.txt,Ther is a long and large difference,False,False,MerPro_gui_complete.csv
gret,grete,The Merchant's Prologue 1224,data/oxford_txts/MerPro_oxford.txt,Bitwix° Grisildis grete pacience,False,False,MerPro_gui_complete.csv
long,longe,100-ch 619,data/oxford_txts/LGW_oxford.txt,"Hit were to longe, lest that I shold slake°",False,False,LGW_gui_complete.csv
olde,olde,100-ch 739,data/oxford_txts/LGW_oxford.txt,Of olde time of his fundacioun;°,False,False,LGW_gui_complete.csv
dere,dere,100-ch 741,data/oxford_txts/LGW_oxford.txt,"It nas nat° sene, dere ynogh a mite.°",False,False,LGW_gui_complete.csv
narwe,narwe,100-ch 744,data/oxford_txts/LGW_oxford.txt,Ye founden first this litel narwe clifte;,False,False,LGW_gui_complete.csv
long,longe,100-ch 772,data/oxford_txts/LGW_oxford.txt,And longe time they wroghte° in this manere,False,False,LGW_gui_complete.csv
wilde,wilde,100-ch 805,data/oxford_txts/LGW_oxford.txt,¶Allas! than comth° a wilde leonesse,False,False,LGW_gui_complete.csv
pale,pale,100-ch 831,data/oxford_txts/LGW_oxford.txt,"And pale he wex,° therwith his heer aroos,°",False,False,LGW_gui_complete.csv
large,large,100-ch 893,data/oxford_txts/LGW_oxford.txt,"To make my wounde large ynogh, I gesse.",False,False,LGW_gui_complete.csv
deinte,deintee,100-ch 920,data/oxford_txts/LGW_oxford.txt,For it is deintee° to° us men to finde,False,False,LGW_gui_complete.csv
wilde,wilde,100-ch 980,data/oxford_txts/LGW_oxford.txt,With any wilde boor or other beste°,False,False,LGW_gui_complete.csv
hard,harde,100-ch 1056,data/oxford_txts/LGW_oxford.txt,"And al hir tempest° and hir harde cas,°",False,False,LGW_gui_complete.csv
noble,noble,100-ch 1064,data/oxford_txts/LGW_oxford.txt,That ever swich a noble man as he,False,False,LGW_gui_complete.csv
noble,noble,100-ch 1070,data/oxford_txts/LGW_oxford.txt,"And had a noble visage° for the nones,°",False,False,LGW_gui_complete.csv
large,large,100-ch 1116,data/oxford_txts/LGW_oxford.txt,"Ne large palfrey,° esy for the nones,°",False,False,LGW_gui_complete.csv
large,large,100-ch 1118,data/oxford_txts/LGW_oxford.txt,"Ne sakkes ful of gold, of large wighte,°",False,False,LGW_gui_complete.csv
wilde,wilde,100-ch 1121,data/oxford_txts/LGW_oxford.txt,"Ne hound, for hert° or wilde boor or dere,°",False,False,LGW_gui_complete.csv
fresh,fresshe,100-ch 1191,data/oxford_txts/LGW_oxford.txt,An hunting° wol this lusty° fresshe° quene;,False,False,LGW_gui_complete.csv
huge,huge,100-ch 1197,data/oxford_txts/LGW_oxford.txt,And of her wommen eek an huge route.°,False,False,LGW_gui_complete.csv
thikke,thikke,100-ch 1198,data/oxford_txts/LGW_oxford.txt,"Upon a thikke° palfrey,° paper-whit",False,False,LGW_gui_complete.csv
sik,seke,100-ch 1203,data/oxford_txts/LGW_oxford.txt,That heleth seke° folk of nightes sorwe.,False,False,LGW_gui_complete.csv
yong,yonge,100-ch 1216,data/oxford_txts/LGW_oxford.txt,"Thus seyn thise yonge folk, and up they kille",False,False,LGW_gui_complete.csv
muche,moche,100-ch 1433,data/oxford_txts/LGW_oxford.txt,"That spitten fir, and moche thing° ther was.",False,False,LGW_gui_complete.csv
straunge,straunge,100-ch 1474,data/oxford_txts/LGW_oxford.txt,To witen° yif that any straunge° wight°,False,False,LGW_gui_complete.csv
straunge,straunge,100-ch 1508,data/oxford_txts/LGW_oxford.txt,"Thise straunge° folk, and doth hem greet honour",False,False,LGW_gui_complete.csv
long,longe,100-ch 1571,data/oxford_txts/LGW_oxford.txt,"And preyed° God, or° it were longe while",False,False,LGW_gui_complete.csv
muche,moche,100-ch 1613,data/oxford_txts/LGW_oxford.txt,Ye han yourself yput in moche doute.°,False,False,LGW_gui_complete.csv
treu,trewe,100-ch 1636,data/oxford_txts/LGW_oxford.txt,"That Jasoun shal her wedde, as trewe knight;",False,False,LGW_gui_complete.csv
sterne,sterne,100-ch 1695,data/oxford_txts/LGW_oxford.txt,"With Romains, that ful sterne° were and stoute,°",False,False,LGW_gui_complete.csv
yong,yonge,100-ch 1948,data/oxford_txts/LGW_oxford.txt,And forth is lad° this woful yonge knight,False,False,LGW_gui_complete.csv
lef,leve,100-ch 1978,data/oxford_txts/LGW_oxford.txt,"And seide, “Phedra, leve° suster dere",False,False,LGW_gui_complete.csv
neue,newe,100-ch 2160,data/oxford_txts/LGW_oxford.txt,And gat him ther a newe barge° anoon,False,False,LGW_gui_complete.csv
fair,faire,100-ch 2247,data/oxford_txts/LGW_oxford.txt,King Pandiones faire doghter dere,False,False,LGW_gui_complete.csv
riche,riche,100-ch 2302,data/oxford_txts/LGW_oxford.txt,"¶And soothly,° he hath mad him riche feste,°",False,False,LGW_gui_complete.csv
fair,faire,100-ch 2526,data/oxford_txts/LGW_oxford.txt,"Upon your linage° and your faire tonge,°",False,False,LGW_gui_complete.csv
sad,sadde,100-ch 2582,data/oxford_txts/LGW_oxford.txt,"Pitouse,° sadde,° wise, and trewe as steel;",False,False,LGW_gui_complete.csv
feble,feble,100-ch 2590,data/oxford_txts/LGW_oxford.txt,"So feble, that his malice is him raft,°",False,False,LGW_gui_complete.csv
muche,moche,100-ch 2685,data/oxford_txts/LGW_oxford.txt,"And dreed° of death doth her so moche wo,°",False,False,LGW_gui_complete.csv
swifte,swifte,100-ch 2711,data/oxford_txts/LGW_oxford.txt,"¶This Lino swifte was, and light° of fote",False,False,LGW_gui_complete.csv
muche,muche,The Friar's Prologue 1273,data/oxford_txts/FriPro_oxford.txt,"Ye han seid muche thing right wel, I seye;",False,False,FriPro_gui_complete.csv
lef,leve,The Friar's Prologue 1300,data/oxford_txts/FriPro_oxford.txt,"“Tel forth your tale, leve° maister deere.”",False,False,FriPro_gui_complete.csv
prive,privee,Prologue to the Canon's Yeoman's Tale 660,data/oxford_txts/CYPro_oxford.txt,Holden hir privee° ferful° residence,False,False,CYPro_gui_complete.csv
hard,harde,Prologue to the Canon's Yeoman's Tale 665,data/oxford_txts/CYPro_oxford.txt,"“Peter!”° quod he, “God yeve° it harde grace,°",False,False,CYPro_gui_complete.csv
ded,dede,Troilus and Criseyde; Book II 52,data/oxford_txts/TC2_oxford.txt,"Ben quike again, that winter dede made",False,False,TC2_gui_complete.csv
dere,dere,Troilus and Criseyde; Book II 122,data/oxford_txts/TC2_oxford.txt,"“Now uncle dere,” quod she, “tel it us",False,False,TC2_gui_complete.csv
fremed,fremde,Troilus and Criseyde; Book II 248,data/oxford_txts/TC2_oxford.txt,Lat be to me your fremde maner speche,False,False,TC2_gui_complete.csv
lef,leve,Troilus and Criseyde; Book II 251,data/oxford_txts/TC2_oxford.txt,"And seide, “Gladly, leve nece dere",False,False,TC2_gui_complete.csv
wise,wise,Troilus and Criseyde; Book II 317,data/oxford_txts/TC2_oxford.txt,"The goode, wise, worthy, fresshe, and free",False,False,TC2_gui_complete.csv
long,longe,Troilus and Criseyde; Book II 507,data/oxford_txts/TC2_oxford.txt,"This other day, nought gon ful longe while",False,False,TC2_gui_complete.csv
juste,juste,Troilus and Criseyde; Book II 527,data/oxford_txts/TC2_oxford.txt,"Ledest the fin, by juste purveiaunce",False,False,TC2_gui_complete.csv
dere,dere,Troilus and Criseyde; Book II 591,data/oxford_txts/TC2_oxford.txt,"“O mercy, dere nece,” anoon quod he",False,False,TC2_gui_complete.csv
noble,noble,Troilus and Criseyde; Book II 647,data/oxford_txts/TC2_oxford.txt,That to biholde it was a noble game,False,False,TC2_gui_complete.csv
long,longe,Troilus and Criseyde; Book II 722,data/oxford_txts/TC2_oxford.txt,"“And eek I knowe, of longe time agoon",False,False,TC2_gui_complete.csv
juste,juste,Troilus and Criseyde; Book II 727,data/oxford_txts/TC2_oxford.txt,"That he may make avaunt, by juste cause;",False,False,TC2_gui_complete.csv
ofte,ofte,Troilus and Criseyde; Book II 765,data/oxford_txts/TC2_oxford.txt,"In March, that chaungeth ofte time his face",False,False,TC2_gui_complete.csv
nice,nice,Troilus and Criseyde; Book II 780,data/oxford_txts/TC2_oxford.txt,"For evere som mistrust, or nice strif",False,False,TC2_gui_complete.csv
ouen,owene,Troilus and Criseyde; Book II 784,data/oxford_txts/TC2_oxford.txt,"Our wreche is this, our owene wo to drinke.",False,False,TC2_gui_complete.csv
ofte,ofte,Troilus and Criseyde; Book II 792,data/oxford_txts/TC2_oxford.txt,“How ofte time hath it yknowen be,False,False,TC2_gui_complete.csv
gret,grete,Troilus and Criseyde; Book II 818,data/oxford_txts/TC2_oxford.txt,"And othere of hir wommen, a grete route",False,False,TC2_gui_complete.csv
humble,humble,Troilus and Criseyde; Book II 828,data/oxford_txts/TC2_oxford.txt,"Ben humble subgit, trewe in min entente",False,False,TC2_gui_complete.csv
kinde,kinde,Troilus and Criseyde; Book II 970,data/oxford_txts/TC2_oxford.txt,And spreden on hir kinde cours by rowe;,False,False,TC2_gui_complete.csv
gret,grete,Troilus and Criseyde; Book II 987,data/oxford_txts/TC2_oxford.txt,In grete disese abideth for the peine.”,False,False,TC2_gui_complete.csv
humble,humble,Troilus and Criseyde; Book II 1069,data/oxford_txts/TC2_oxford.txt,"And in ful humble wise, as in his speche",False,False,TC2_gui_complete.csv
god,goode,Troilus and Criseyde; Book II 1203,data/oxford_txts/TC2_oxford.txt,"“Now, goode nece, be it never so lite",False,False,TC2_gui_complete.csv
nice,nice,Troilus and Criseyde; Book II 1286,data/oxford_txts/TC2_oxford.txt,Lat be your nice shame and your folie,False,False,TC2_gui_complete.csv
gret,grete,Troilus and Criseyde; Book II 1403,data/oxford_txts/TC2_oxford.txt,Which hadde his lord and grete freend ben ay;,False,False,TC2_gui_complete.csv
sobre,sobre,Troilus and Criseyde; Book II 1592,data/oxford_txts/TC2_oxford.txt,For which with sobre chere hir herte lough;,False,False,TC2_gui_complete.csv
straunge,straunge,Troilus and Criseyde; Book II 1660,data/oxford_txts/TC2_oxford.txt,"“And eek, for she is straunge, he wol forbere",False,False,TC2_gui_complete.csv
softe,softe,Troilus and Criseyde; Book II 1667,data/oxford_txts/TC2_oxford.txt,Eleine in al hir goodly softe wise,False,False,TC2_gui_complete.csv
fair,faire,Troilus and Criseyde; Book II 1670,data/oxford_txts/TC2_oxford.txt,"Now faire brother, beth al hool, I preie!”",False,False,TC2_gui_complete.csv
dere,dere,The Canon's Yeoman's Tale 795,data/oxford_txts/CYT_oxford.txt,"And other swiche, dere ynough a leek°",False,False,CYT_gui_complete.csv
nice,nice,The Canon's Yeoman's Tale 842,data/oxford_txts/CYT_oxford.txt,In lerning of this elvish° nice° lore,False,False,CYT_gui_complete.csv
ofte,ofte,The Canon's Yeoman's Tale 1031,data/oxford_txts/CYT_oxford.txt,"And this chanon him thanked ofte sithe,°",False,False,CYT_gui_complete.csv
olde,olde,The Canon's Yeoman's Tale 1067,data/oxford_txts/CYT_oxford.txt,"Stinketh, as witnessen thise olde wise;°",False,False,CYT_gui_complete.csv
holwe,holwe,The Canon's Yeoman's Tale 1265,data/oxford_txts/CYT_oxford.txt,An holwe° stikke (tak kepe° and be war!),False,False,CYT_gui_complete.csv
god,goode,The Canon's Yeoman's Tale 1295,data/oxford_txts/CYT_oxford.txt,"Now, goode sir, go forth thy wey and hy the.”°",False,False,CYT_gui_complete.csv
olde,olde,The Legend of Good Women; Prologue F 19,data/oxford_txts/LGW_FPro_oxford.txt,"And to the doctrine° of these olde wise,°",False,False,LGW_FPro_gui_complete.csv
softe,softe,The Legend of Good Women; Prologue F 118,data/oxford_txts/LGW_FPro_oxford.txt,Upon the smale softe swote° gras,False,False,LGW_FPro_gui_complete.csv
sote,swote,The Legend of Good Women; Prologue F 118,data/oxford_txts/LGW_FPro_oxford.txt,Upon the smale softe swote° gras,False,False,LGW_FPro_gui_complete.csv
sote,swote,The Legend of Good Women; Prologue F 173,data/oxford_txts/LGW_FPro_oxford.txt,"Hir° swote breth, and made hem° for to sprede,°",False,False,LGW_FPro_gui_complete.csv
wise,wise,The Legend of Good Women; Prologue F 331,data/oxford_txts/LGW_FPro_oxford.txt,And makest wise folk fro° me withdrawe.,False,False,LGW_FPro_gui_complete.csv
povre,pore,The Legend of Good Women; Prologue F 390,data/oxford_txts/LGW_FPro_oxford.txt,And han of° pore folk compassioun.,False,False,LGW_FPro_gui_complete.csv
noble,noble,The Legend of Good Women; Prologue F 397,data/oxford_txts/LGW_FPro_oxford.txt,In noble corage° oghte ben° areste,False,False,LGW_FPro_gui_complete.csv
ouen,owne,The Legend of Good Women; Prologue F 406,data/oxford_txts/LGW_FPro_oxford.txt,To ben right at° your owne jugement,False,False,LGW_FPro_gui_complete.csv
gret,grete,The Legend of Good Women; Prologue F 427,data/oxford_txts/LGW_FPro_oxford.txt,"He made also, goon is a grete whil,°",False,False,LGW_FPro_gui_complete.csv
treu,trewe,The Legend of Good Women; Prologue F 464,data/oxford_txts/LGW_FPro_oxford.txt,"Forwhy° a trewe man, withouten drede,°",False,False,LGW_FPro_gui_complete.csv
treu,trewe,The Legend of Good Women; Prologue F 507,data/oxford_txts/LGW_FPro_oxford.txt,"“That is a trewe tale, by min hood,”°",False,False,LGW_FPro_gui_complete.csv
treu,trewe,The Legend of Good Women; Prologue F 553,data/oxford_txts/LGW_FPro_oxford.txt,Ne shal no° trewe lover come in helle.,False,False,LGW_FPro_gui_complete.csv
noble,noble,The Manciple's Tale 111,data/oxford_txts/MancT_oxford.txt,And many another noble worthy dede,False,False,MancT_gui_complete.csv
tender,tendre,The Manciple's Tale 176,data/oxford_txts/MancT_oxford.txt,"And tendre flesh,° and make his couche° of silk",False,False,MancT_gui_complete.csv
treu,trewe,The Manciple's Tale 192,data/oxford_txts/MancT_oxford.txt,"Ne never so trewe,° ne so debonaire.°",False,False,MancT_gui_complete.csv
povre,povre,The Manciple's Tale 215,data/oxford_txts/MancT_oxford.txt,"And a povre wenche,° other than this—",False,False,MancT_gui_complete.csv
povre,povre,The Manciple's Tale 219,data/oxford_txts/MancT_oxford.txt,And for that other is a povre womman,False,False,MancT_gui_complete.csv
dere,dere,The Manciple's Tale 221,data/oxford_txts/MancT_oxford.txt,"And, God it woot,° min owene dere brother",False,False,MancT_gui_complete.csv
fals,false,The Manciple's Tale 295,data/oxford_txts/MancT_oxford.txt,"Now shaltow, false theef, thy song forgon,°",False,False,MancT_gui_complete.csv
swete,swete,The Manciple's Tale 300,data/oxford_txts/MancT_oxford.txt,Ne never swete noise shul ye make,False,False,MancT_gui_complete.csv
muche,muche,The Manciple's Tale 325,data/oxford_txts/MancT_oxford.txt,"My son, ful ofte, for° to muche speche",False,False,MancT_gui_complete.csv
glad,gladde,The Friar's Tale 1348,data/oxford_txts/FriT_oxford.txt,And they were gladde for to fille his purs,False,False,FriT_gui_complete.csv
dere,deere,The Friar's Tale 1395,data/oxford_txts/FriT_oxford.txt,"¶“ ‘Depardieux,’° quod this yeman, ‘deere brother",False,False,FriT_gui_complete.csv
softe,softe,The Friar's Tale 1412,data/oxford_txts/FriT_oxford.txt,This yeman him answerde in softe speche,False,False,FriT_gui_complete.csv
lef,leve,The Friar's Tale 1444,data/oxford_txts/FriT_oxford.txt,"But, leve brother, tel me than thy name,’",False,False,FriT_gui_complete.csv
lef,leve,The Friar's Tale 1474,data/oxford_txts/FriT_oxford.txt,"‘Ful many a cause, leve sir somnour,’",False,False,FriT_gui_complete.csv
treu,trewe,The Friar's Tale 1529,data/oxford_txts/FriT_oxford.txt,For to be trewe brother in this cas;,False,False,FriT_gui_complete.csv
muche,muche,The Friar's Tale 1546,data/oxford_txts/FriT_oxford.txt,So muche wo as I have with yow tholed!°,False,False,FriT_gui_complete.csv
dere,deere,The Friar's Tale 1567,data/oxford_txts/FriT_oxford.txt,"Heer may ye see, min owne deere brother",False,False,FriT_gui_complete.csv
olde,olde,The Friar's Tale 1582,data/oxford_txts/FriT_oxford.txt,"‘Com out,’ quod he, ‘thou olde viritrate!",False,False,FriT_gui_complete.csv
swete,swete,The Friar's Tale 1585,data/oxford_txts/FriT_oxford.txt,"God save you, sir, what is your swete wille?’",False,False,FriT_gui_complete.csv
povre,povre,The Friar's Tale 1609,data/oxford_txts/FriT_oxford.txt,Kith° youre almesse° on me povre wrecche.’,False,False,FriT_gui_complete.csv
povre,povre,The Cook's Prologue 4341,data/oxford_txts/CkPro_oxford.txt,"A tale of me, that am a povre man",False,False,CkPro_gui_complete.csv
noble,noble,ABC 97,data/oxford_txts/ABC_oxford.txt,"Noble princess, that never haddest pere,°",False,False,ABC_gui_complete.csv
bright,brighte,ABC 181,data/oxford_txts/ABC_oxford.txt,"Now lady brighte, sith° thou canst and wilt°",False,False,ABC_gui_complete.csv
tender,tendre,The Prioress' Tale 524,data/oxford_txts/PrT_oxford.txt,For he so yong and tendre was of age;,False,False,PrT_gui_complete.csv
prive,privee,The Prioress' Tale 568,data/oxford_txts/PrT_oxford.txt,That in an aley° hadde a privee place;,False,False,PrT_gui_complete.csv
ouen,owne,The Wife of Bath's Prologue 68,data/oxford_txts/WBPro_oxford.txt,He putte it in our owne jugement.,False,False,WBPro_gui_complete.csv
propre,propre,The Wife of Bath's Prologue 103,data/oxford_txts/WBPro_oxford.txt,"And everich hath of God a propre yifte,°",False,False,WBPro_gui_complete.csv
noble,noble,The Wife of Bath's Prologue 165,data/oxford_txts/WBPro_oxford.txt,Ye been a noble prechour in this cas!,False,False,WBPro_gui_complete.csv
wise,wise,The Wife of Bath's Prologue 231,data/oxford_txts/WBPro_oxford.txt,"A wise wif, if that she can hir good,°",False,False,WBPro_gui_complete.csv
olde,olde,The Wife of Bath's Prologue 235,data/oxford_txts/WBPro_oxford.txt,"¶“ ‘Sir olde kainard,° is this thin array?",False,False,WBPro_gui_complete.csv
olde,olde,The Wife of Bath's Prologue 242,data/oxford_txts/WBPro_oxford.txt,"Sir olde lechour, lat thy japes° be!",False,False,WBPro_gui_complete.csv
povre,povre,The Wife of Bath's Prologue 249,data/oxford_txts/WBPro_oxford.txt,"To wedde a povre womman, for costage;°",False,False,WBPro_gui_complete.csv
olde,olde,The Wife of Bath's Prologue 291,data/oxford_txts/WBPro_oxford.txt,Til they be wedded; olde dotard shrewe!,False,False,WBPro_gui_complete.csv
fair,faire,The Wife of Bath's Prologue 296,data/oxford_txts/WBPro_oxford.txt,And clep° me “faire dame” in every place;,False,False,WBPro_gui_complete.csv
olde,olde,The Wife of Bath's Prologue 331,data/oxford_txts/WBPro_oxford.txt,"For certein, olde dotard, by your leve,°",False,False,WBPro_gui_complete.csv
wilde,wilde,The Wife of Bath's Prologue 373,data/oxford_txts/WBPro_oxford.txt,Thou liknest it also to wilde fir;,False,False,WBPro_gui_complete.csv
swete,swete,The Wife of Bath's Prologue 385,data/oxford_txts/WBPro_oxford.txt,"Ful giltelees, by Goddes swete pine!°",False,False,WBPro_gui_complete.csv
god,goode,The Wife of Bath's Prologue 431,data/oxford_txts/WBPro_oxford.txt,"¶“Than wolde I seye, ‘Goode lief,° taak keep°",False,False,WBPro_gui_complete.csv
swete,sweete,The Wife of Bath's Prologue 435,data/oxford_txts/WBPro_oxford.txt,And han a sweete spiced° conscience,False,False,WBPro_gui_complete.csv
ouen,owne,The Wife of Bath's Prologue 449,data/oxford_txts/WBPro_oxford.txt,But I wol kepe it for your owne tooth.°,False,False,WBPro_gui_complete.csv
swete,sweete,The Wife of Bath's Prologue 459,data/oxford_txts/WBPro_oxford.txt,Whan I had dronke a draughte of sweete win.,False,False,WBPro_gui_complete.csv
queinte,queinte,The Wife of Bath's Prologue 516,data/oxford_txts/WBPro_oxford.txt,In this matere a queinte° fantasie;,False,False,WBPro_gui_complete.csv
dere,dere,The Wife of Bath's Prologue 522,data/oxford_txts/WBPro_oxford.txt,"Greet prees° at market maketh dere ware,°",False,False,WBPro_gui_complete.csv
prive,privee,The Wife of Bath's Prologue 620,data/oxford_txts/WBPro_oxford.txt,And also in another privee place.,False,False,WBPro_gui_complete.csv
povre,pore,The Wife of Bath's Prologue 626,data/oxford_txts/WBPro_oxford.txt,"How pore he was, ne eek of what degree.°",False,False,WBPro_gui_complete.csv
olde,olde,The Wife of Bath's Prologue 642,data/oxford_txts/WBPro_oxford.txt,And me of olde Roman gestes° teche,False,False,WBPro_gui_complete.csv
fals,false,The Wife of Bath's Prologue 800,data/oxford_txts/WBPro_oxford.txt,"‘O! hastow slain me, false theef?’° I seide",False,False,WBPro_gui_complete.csv
dere,deere,The Wife of Bath's Prologue 804,data/oxford_txts/WBPro_oxford.txt,"And seide, ‘deere suster Alisoun",False,False,WBPro_gui_complete.csv
treu,trewe,The Wife of Bath's Prologue 819,data/oxford_txts/WBPro_oxford.txt,"And that he seid, ‘Min owne trewe° wif",False,False,WBPro_gui_complete.csv
olde,olde,02-1-ch 50,data/oxford_txts/MLPro_oxford.txt,"Of olde time,° as knoweth many a man.",False,False,MLPro_gui_complete.csv
sobre,sobre,02-1-ch 97,data/oxford_txts/MLPro_oxford.txt,"And with that word he, with a sobre chere",False,False,MLPro_gui_complete.csv
noble,noble,The Second Nun's Tale 121,data/oxford_txts/SNT_oxford.txt,"Was comen of Romains,° and of noble kinde,°",False,False,SNT_gui_complete.csv
clene,clene,The Second Nun's Tale 159,data/oxford_txts/SNT_oxford.txt,"And if that ye in clene love me gie,°",False,False,SNT_gui_complete.csv
sote,sote,The Second Nun's Tale 229,data/oxford_txts/SNT_oxford.txt,"Ne lese° her sote° savour, trusteth me;",False,False,SNT_gui_complete.csv
lef,leve,The Second Nun's Tale 257,data/oxford_txts/SNT_oxford.txt,"So shaltow seen hem, leve° brother dere",False,False,SNT_gui_complete.csv
fair,faire,The Second Nun's Tale 293,data/oxford_txts/SNT_oxford.txt,Seid this blisful faire maide dere;,False,False,SNT_gui_complete.csv
clene,clene,The Second Nun's Tale 300,data/oxford_txts/SNT_oxford.txt,And make thee clene; so that thou mowe° biholde,False,False,SNT_gui_complete.csv
dere,dere,The Second Nun's Tale 321,data/oxford_txts/SNT_oxford.txt,"This lif to lese, min owene dere brother",False,False,SNT_gui_complete.csv
humble,humble,The Second Nun's Tale 397,data/oxford_txts/SNT_oxford.txt,With humble herte and sad° devocioun,False,False,SNT_gui_complete.csv
fair,faire,The Second Nun's Tale 461,data/oxford_txts/SNT_oxford.txt,At which the holy blisful faire maide,False,False,SNT_gui_complete.csv
noble,noble,The Second Nun's Tale 552,data/oxford_txts/SNT_oxford.txt,"In which, into this day, in noble wise",False,False,SNT_gui_complete.csv
hot,hote,The Squire's Tale 51,data/oxford_txts/SqT_oxford.txt,"In Aries, the colerik° hote signe.",False,False,SqT_gui_complete.csv
deinte,deintee,The Squire's Tale 70,data/oxford_txts/SqT_oxford.txt,"Ther is som mete° that is ful deintee° holde,°",False,False,SqT_gui_complete.csv
fremed,fremde,The Squire's Tale 429,data/oxford_txts/SqT_oxford.txt,"Of fremde° land; and evermore, as she stood",False,False,SqT_gui_complete.csv
long,longe,The Squire's Tale 444,data/oxford_txts/SqT_oxford.txt,A longe while to waiten° hir she stood,False,False,SqT_gui_complete.csv
humble,humble,The Squire's Tale 507,data/oxford_txts/SqT_oxford.txt,"It was so wrapped under humble chere,°",False,False,SqT_gui_complete.csv
muche,muche,The Squire's Tale 586,data/oxford_txts/SqT_oxford.txt,That he had felt as muche harm as I,False,False,SqT_gui_complete.csv
propre,propre,The Squire's Tale 610,data/oxford_txts/SqT_oxford.txt,"Men loven of propre kind° newfangelnesse,°",False,False,SqT_gui_complete.csv
propre,propre,The Squire's Tale 619,data/oxford_txts/SqT_oxford.txt,And loven novelries° of propre kinde;,False,False,SqT_gui_complete.csv
salt,salte,Troilus and Criseyde; Book III 8,data/oxford_txts/TC3_oxford.txt,"In hevene and helle, in erthe and salte see",False,False,TC3_gui_complete.csv
grene,grene,Troilus and Criseyde; Book III 10,data/oxford_txts/TC3_oxford.txt,"As man, brid, best, fishe, herbe and grene tree",False,False,TC3_gui_complete.csv
swete,swete,Troilus and Criseyde; Book III 69,data/oxford_txts/TC3_oxford.txt,"“Ye, swete herte? allas, I may nought rise",False,False,TC3_gui_complete.csv
humble,humble,Troilus and Criseyde; Book III 96,data/oxford_txts/TC3_oxford.txt,With look doun cast and humble yolden chere,False,False,TC3_gui_complete.csv
swete,swete,Troilus and Criseyde; Book III 98,data/oxford_txts/TC3_oxford.txt,"Was, twyes, “Mercy, mercy, swete herte!”",False,False,TC3_gui_complete.csv
fresh,fresshe,Troilus and Criseyde; Book III 128,data/oxford_txts/TC3_oxford.txt,"Quod Troilus, “O goodly fresshe free!",False,False,TC3_gui_complete.csv
humble,humble,Troilus and Criseyde; Book III 141,data/oxford_txts/TC3_oxford.txt,And I to ben your verray humble trewe,False,False,TC3_gui_complete.csv
