Adverb,Count,Has_E
bifoore,5,Yes
fetisly,5,No
evene,5,Yes
myghtily,5,No
i,5,No
onlofte,5,Yes
forther,5,No
somdel,5,No
thries,5,No
therfor,5,No
evermore,5,Yes
even,5,No
lowde,5,Yes
redely,5,No
murily,4,No
naturelly,4,No
sorwefully,4,No
infeere,4,Yes
nedely,4,No
oute,4,Yes
lengere,4,Yes
stylle,4,Yes
therin,4,No
attones,4,No
wikkedly,4,No
gilteles,4,No
inne,4,Yes
everemore,4,Yes
almost,4,No
synfully,4,No
theras,4,No
thikke,4,Yes
esily,4,No
long,4,No
yond,4,No
hardyly,4,No
eftsoone,4,Yes
atwynne,4,Yes
yliche,4,Yes
clene,4,Yes
gentilly,4,No
onlyve,4,Yes
heerbiforn,4,No
therafter,4,No
lewedly,4,No
fynally,4,No
holly,4,No
agrief,4,No
streght,4,No
whereas,4,No
therbiforn,4,No
nygh,4,No
then,4,No
sadly,3,No
curteisly,3,No
honestly,3,No
redily,3,No
narwe,3,Yes
forthy,3,No
pryvyly,3,No
abak,3,No
eftsones,3,No
moche,3,Yes
biside,3,Yes
thrie,3,Yes
selde,3,Yes
worthily,3,No
wherto,3,No
hardely,3,No
fayre,3,Yes
sleighly,3,No
ofter,3,No
afer,3,No
byhynde,3,Yes
plat,3,No
beste,3,Yes
free,3,Yes
thiderward,3,No
humblely,3,No
inward,3,No
herafterward,3,No
nowhere,3,Yes
slyly,3,No
er,3,No
fressh,3,No
herafter,3,No
large,3,Yes
last,3,No
parfitly,3,No
everywhere,3,Yes
proudly,3,No
stedfastly,3,No
diversely,3,No
comunly,3,No
sodeynliche,3,Yes
thriftily,3,No
aton,3,No
alofte,3,Yes
ayeynward,3,No
estward,3,No
harde,3,Yes
lite,3,Yes
inly,3,No
muchel,3,No
lustily,3,No
somdeel,3,No
rounde,3,Yes
als,3,No
hennesforth,3,No
smerte,3,Yes
bisyly,3,No
hereupon,3,No
dedly,3,No
byfore,3,Yes
nedfully,3,No
olofte,3,Yes
swetely,3,No
asyde,3,Yes
ferre,3,Yes
peraventure,3,Yes
alderbest,3,No
despitously,3,No
evermo,3,No
evel,3,No
thertoo,3,No
pure,3,Yes
herebefore,3,Yes
therfro,3,No
anonryght,3,No
craftely,3,No
afire,3,Yes
for,3,No
heerupon,2,No
spedily,2,No
generally,2,No
natureelly,2,No
expres,2,No
alle,2,Yes
togidere,2,Yes
whylom,2,No
brode,2,Yes
swythe,2,Yes
verray,2,No
soberly,2,No
tohepe,2,Yes
aldermost,2,No
alonde,2,Yes
togeder,2,No
utterly,2,No
dredfully,2,No
thryes,2,No
aday,2,No
muche,2,Yes
upryght,2,No
depper,2,No
sikirly,2,No
sobrelich,2,No
bitwene,2,Yes
forsothe,2,Yes
downward,2,No
depardieux,2,No
he,2,Yes
outward,2,No
largely,2,No
smal,2,No
ynow,2,No
craftily,2,No
theroute,2,Yes
herinne,2,Yes
nowadayes,2,No
verrayly,2,No
better,2,No
esely,2,No
sumwhat,2,No
lyte,2,Yes
arowe,2,Yes
mortally,2,No
wors,2,No
spitously,2,No
bitterly,2,No
preciously,2,No
upon,2,No
therbifoore,2,Yes
forthermo,2,No
skilfully,2,No
folily,2,No
wrongfully,2,No
deedly,2,No
deliciously,2,No
apart,2,No
anywhere,2,Yes
highe,2,Yes
toyere,2,Yes
herto,2,No
wherby,2,No
platly,2,No
cler,2,No
fermely,2,No
omorwe,2,Yes
seyde,2,Yes
among,2,No
heerby,2,No
forthermoore,2,Yes
wysly,2,No
everydeel,2,No
attemprely,2,No
paciently,2,No
benyngnely,2,No
myrie,2,Yes
seelde,2,Yes
heerof,2,No
murier,2,No
forthward,2,No
whiderward,2,No
eternaly,2,No
hoote,2,Yes
manly,2,No
adieu,2,No
over,2,No
nameliche,2,Yes
bakward,2,No
everideel,2,No
therupon,2,No
paramours,2,No
yvel,2,No
nedelees,2,No
whenne,2,Yes
sharply,2,No
aside,2,Yes
perpetuelly,2,No
yvele,2,Yes
eternally,2,No
wrong,2,No
bright,2,No
brennyngly,2,No
westward,2,No
therout,2,No
endelong,2,No
togydre,2,Yes
thereof,2,No
neverthelesse,2,Yes
certis,2,No
sith,2,No
nowthe,2,Yes
playn,2,No
hastifly,2,No
purely,2,No
heretofore,2,Yes
unneth,2,No
wythoute,2,Yes
moste,2,Yes
therwyth,2,No
blythely,2,No
oones,2,No
wrecchedly,2,No
herby,2,No
equally,2,No
god,2,No
ellys,2,No
unkyndely,2,No
casuelly,2,No
pryvee,2,Yes
upper,2,No
wonderlych,2,No
wonderliche,2,Yes
all,2,No
besyly,2,No
swa,2,No
wilfully,2,No
derre,2,Yes
ascaunces,2,No
natheless,2,No
jolily,1,No
continuelly,1,No
graciously,1,No
oftetyme,1,Yes
stedefastly,1,No
fals,1,No
vertuously,1,No
arewe,1,Yes
uterly,1,No
heterly,1,No
overbord,1,No
ferforthly,1,No
streyte,1,Yes
ylyke,1,Yes
swete,1,Yes
subtyly,1,No
wryte,1,Yes
foul,1,No
cunnyngly,1,No
pleyner,1,No
beter,1,No
fyn,1,No
wodly,1,No
privily,1,No
thefly,1,No
knyghtly,1,No
hereof,1,No
contreward,1,No
agen,1,No
sote,1,Yes
nedescost,1,No
unfelyngly,1,No
scarsly,1,No
gentily,1,No
yesterday,1,No
inwardly,1,No
yys,1,No
bygon,1,No
wofully,1,No
sonner,1,No
craftyly,1,No
pitousli,1,No
bytyme,1,Yes
holy,1,No
yondre,1,Yes
looth,1,No
humbly,1,No
infere,1,Yes
yeet,1,No
hereayeins,1,No
happy,1,No
straungely,1,No
withouten,1,No
bylyve,1,Yes
ferme,1,Yes
nedeles,1,No
overnyght,1,No
homly,1,No
heigher,1,No
inough,1,No
eftsonys,1,No
wommanly,1,No
doth,1,No
hire,1,Yes
heighly,1,No
secoundely,1,No
unthriftily,1,No
gaye,1,Yes
moot,1,No
biforenhand,1,No
whileer,1,No
theer,1,No
mystily,1,No
ilyke,1,Yes
herbiforn,1,No
aungelyke,1,Yes
non,1,No
enviroun,1,No
curteysly,1,No
lyghter,1,No
sorer,1,No
dounright,1,No
aweyward,1,No
avysely,1,No
whereso,1,No
theragayn,1,No
tomorn,1,No
eternalli,1,No
fleen,1,No
flesshly,1,No
oght,1,No
oghte,1,Yes
gruf,1,No
onis,1,No
lette,1,Yes
toyeere,1,Yes
awerke,1,Yes
acaterwawed,1,No
stifly,1,No
it,1,No
nomoore,1,Yes
sitthen,1,No
espyen,1,No
communly,1,No
fern,1,No
abrood,1,No
ootherwise,1,Yes
oon,1,No
namo,1,No
uppe,1,Yes
shorte,1,Yes
reufully,1,No
well,1,No
feyn,1,No
full,1,No
therwhile,1,Yes
agame,1,Yes
wondirliche,1,Yes
overthwart,1,No
make,1,Yes
siker,1,No
soth,1,No
hastili,1,No
warme,1,Yes
wailaway,1,No
perpetuely,1,No
fiersly,1,No
asondre,1,Yes
this,1,No
holily,1,No
bryght,1,No
swifter,1,No
amorously,1,No
harder,1,No
neede,1,Yes
sotilly,1,No
secrely,1,No
neverthemo,1,No
forward,1,No
uncurteisly,1,No
sithe,1,Yes
halfwey,1,No
verrayment,1,No
paramour,1,No
almest,1,No
sowre,1,Yes
causelees,1,No
north,1,No
curiously,1,No
heighe,1,Yes
unwar,1,No
howevere,1,Yes
yes,1,No
glose,1,Yes
endeles,1,No
eftsone,1,Yes
fulli,1,No
tendreliche,1,Yes
dostow,1,No
childisshly,1,No
wete,1,Yes
atonys,1,No
fawe,1,Yes
herkne,1,Yes
tarie,1,Yes
mor,1,No
cowardly,1,No
sheene,1,Yes
far,1,No
lesse,1,Yes
ofttyme,1,Yes
ferventliche,1,Yes
nomore,1,Yes
vulgarly,1,No
heereafter,1,No
other,1,No
anyghtes,1,No
smale,1,Yes
litherly,1,No
sturdily,1,No
anonrightes,1,No
eftsoones,1,No
heeraboute,1,Yes
alyve,1,Yes
everywheere,1,Yes
buxomly,1,No
reverently,1,No
povreliche,1,Yes
tentifly,1,No
willyngly,1,No
wherinne,1,Yes
sad,1,No
fulliche,1,Yes
therbifore,1,Yes
secreely,1,No
boistously,1,No
therfoore,1,Yes
hevenysshly,1,No
dispitously,1,No
woodly,1,No
uprighte,1,Yes
povrely,1,No
hidously,1,No
quitly,1,No
hoolly,1,No
moor,1,No
lifly,1,No
felyngly,1,No
weele,1,Yes
eerly,1,No
mooreover,1,No
heeragayns,1,No
soure,1,Yes
nevertheles,1,No
debonerly,1,No
tendirly,1,No
prevely,1,No
crokedly,1,No
narowe,1,Yes
sorowfully,1,No
ayen,1,No
neveretheles,1,No
thou,1,No
wonderly,1,No
yemanly,1,No
semely,1,No
roialliche,1,Yes
streite,1,Yes
devoutly,1,No
were,1,Yes
round,1,No
riche,1,Yes
untrewe,1,Yes
ferrer,1,No
wydewhere,1,Yes
ceriously,1,No
heerto,1,No
hastifliche,1,Yes
foothoot,1,No
agaynward,1,No
longer,1,No
strongly,1,No
bitide,1,Yes
habundantly,1,No
rede,1,Yes
cristenly,1,No
thereafter,1,No
aftir,1,No
wherthourgh,1,No
ynly,1,No
skarsly,1,No
onhuntynge,1,Yes
fothot,1,No
evermoo,1,No
werre,1,Yes
awaye,1,Yes
thogh,1,No
weylaway,1,No
hereto,1,No
owher,1,No
theryn,1,No
sodenly,1,No
comlily,1,No
womanly,1,No
frendly,1,No
evermor,1,No
wildely,1,No
nowght,1,No
lyvely,1,No
moreover,1,No
trewer,1,No
gretly,1,No
therwythal,1,No
alsoo,1,No
mochel,1,No
atweyne,1,Yes
herebeforn,1,No
homwarde,1,Yes
besyde,1,Yes
is,1,No
freendly,1,No
diversly,1,No
slily,1,No
shrewedly,1,No
hoolily,1,No
besily,1,No
derkly,1,No
queynte,1,Yes
overlong,1,No
certaynly,1,No
nys,1,No
wikkidly,1,No
aroume,1,Yes
ententyfly,1,No
thidder,1,No
therfroo,1,No
symply,1,No
hier,1,No
hereon,1,No
northward,1,No
ryche,1,Yes
perpetually,1,No
altherfirst,1,No
sternely,1,No
outterly,1,No
dyversly,1,No
herwithal,1,No
ryghtfully,1,No
famous,1,No
wherefore,1,Yes
wherfor,1,No
hidder,1,No
queyntelych,1,No
certys,1,No
streghte,1,Yes
outtirly,1,No
therwithalle,1,Yes
altherfastest,1,No
treweliche,1,Yes
herebiforn,1,No
sweete,1,Yes
myghtyly,1,No
hastely,1,No
softeliche,1,Yes
dedlich,1,No
forthby,1,No
thennesforth,1,No
lustyly,1,No
blisfully,1,No
unright,1,No
rewfully,1,No
complet,1,No
twies,1,No
strangely,1,No
ysonder,1,No
ayayn,1,No
gostly,1,No
bytwene,1,Yes
may,1,No
nycely,1,No
sobreliche,1,Yes
wheron,1,No
elliswhere,1,Yes
sorwfullich,1,No
kan,1,No
cruwely,1,No
ifeere,1,Yes
swiftly,1,No
and,1,No
stronge,1,Yes
discretly,1,No
aldernext,1,No
amyddes,1,No
unethe,1,Yes
hyest,1,No
benygnely,1,No
sorest,1,No
faynest,1,No
taketh,1,No
murye,1,Yes
skylfully,1,No
fre,1,Yes
otherwise,1,Yes
unwityngly,1,No
swoote,1,Yes
expresly,1,No
sooth,1,No
neveradeel,1,No
outrageously,1,No
heythen,1,No
howgates,1,No
fra,1,No
bynethe,1,Yes
atanes,1,No
alswa,1,No
faireste,1,Yes
lye,1,Yes
yn,1,No
wolde,1,Yes
forthermoor,1,No
sovereynly,1,No
louder,1,No
eeke,1,Yes
delyverly,1,No
generaly,1,No
good,1,No
contraire,1,Yes
afere,1,Yes
esilich,1,No
pleinly,1,No
febly,1,No
sorwfulli,1,No
fyne,1,Yes
unhappyly,1,No
na,1,No
cursedly,1,No
greetly,1,No
weilaway,1,No
sonnest,1,No
fastere,1,Yes
horribly,1,No
they,1,No
everemoo,1,No
