Adverb,Count,Has_E
wherfor,14,No
hider,14,No
namore,13,Yes
boldely,13,No
forthy,13,No
withalle,13,Yes
somwhat,13,No
thider,13,No
paraunter,13,No
algate,12,Yes
abedde,12,Yes
afterward,12,No
falsly,12,No
depe,12,Yes
dere,12,Yes
brighte,12,Yes
lasse,12,Yes
feithfully,12,No
certain,12,No
wherso,12,No
bettre,12,Yes
thennes,12,No
trewly,12,No
alday,11,No
ferther,11,No
tendrely,11,No
therin,11,No
ny,11,No
ought,11,No
upright,11,No
nevere,11,Yes
specially,10,No
amorwe,10,Yes
wo,10,No
ferforth,10,No
evere,10,Yes
late,10,Yes
today,10,No
hardily,10,No
homward,10,No
anonright,10,No
tonight,9,No
afire,9,Yes
neer,9,No
unnethes,9,No
forthi,9,No
biside,9,Yes
bihinde,9,Yes
therinne,9,Yes
sithen,9,No
plein,9,No
onlofte,9,Yes
streight,9,No
causeles,9,No
sorwfully,8,No
withinne,8,Yes
yerne,8,Yes
erly,8,No
anight,8,No
long,8,No
hertely,8,No
theron,8,No
prevely,8,No
nede,8,Yes
moste,8,Yes
outrely,8,No
pleinly,8,No
yonder,8,No
naught,8,No
hom,8,No
royally,8,No
asonder,8,No
hennes,8,No
somdel,8,No
richely,7,No
sobrely,7,No
ynogh,7,No
certainly,7,No
thenne,7,Yes
utterly,7,No
upward,7,No
mekely,7,No
alderfirst,7,No
wey,7,No
giltelees,7,No
i,7,No
wherfore,7,Yes
algates,7,No
er,7,No
wele,7,Yes
whider,7,No
elleswhere,7,Yes
sothly,7,No
paraventure,6,Yes
noon,6,No
naturelly,6,No
kindely,6,No
hoomward,6,No
proprely,6,No
frely,6,No
foule,6,Yes
ynow,6,No
wherof,6,No
dounward,6,No
next,6,No
sauf,6,No
whanne,6,Yes
over,6,No
cruelly,6,No
solempnely,6,No
nigh,6,No
oft,6,No
everydel,6,No
mightily,6,No
rathe,5,Yes
merily,5,No
outerly,5,No
herof,5,No
lowly,5,No
better,5,No
tenderly,5,No
atones,5,No
wikkedly,5,No
then,5,No
herafter,5,No
aslepe,5,Yes
behinde,5,Yes
eftsones,5,No
heerbiforn,5,No
selde,5,Yes
dredelees,5,No
gentilly,5,No
henne,5,Yes
hardely,5,No
as,5,No
forby,5,No
leest,5,No
esily,5,No
beste,5,Yes
debonairly,5,No
yond,5,No
theraboute,5,Yes
lite,5,Yes
sith,5,No
eternally,5,No
wherwith,5,No
therafter,5,No
forther,5,No
whennes,5,No
under,5,No
iliche,5,Yes
west,5,No
hye,5,Yes
freshly,5,No
wonderliche,5,Yes
sharpe,5,Yes
saufly,5,No
fetisly,5,No
even,5,No
aside,5,Yes
evene,5,Yes
hooly,5,No
redely,5,No
curteisly,4,No
whereas,4,No
infere,4,Yes
stedfastly,4,No
nedely,4,No
oute,4,Yes
ylike,4,Yes
nevermo,4,No
inne,4,Yes
sinfully,4,No
thikke,4,Yes
anoonright,4,No
hoolly,4,No
free,4,Yes
is,4,No
ilike,4,Yes
eftsone,4,Yes
atwinne,4,Yes
clene,4,Yes
ner,4,No
lewedly,4,No
comunly,4,No
herto,4,No
hereafter,4,No
inly,4,No
lustily,4,No
als,4,No
therbiforn,4,No
nevertheles,4,No
therfro,4,No
for,4,No
honestly,3,No
murily,3,No
all,3,No
redily,3,No
privee,3,Yes
narwe,3,Yes
togider,3,No
abak,3,No
and,3,No
withal,3,No
bright,3,No
before,3,Yes
privily,3,No
fast,3,No
thrie,3,Yes
worthily,3,No
yes,3,No
wherto,3,No
hi,3,No
unethes,3,No
plat,3,No
ek,3,No
bitwene,3,Yes
forsothe,3,Yes
aught,3,No
craftily,3,No
he,3,Yes
thiderward,3,No
inward,3,No
herafterward,3,No
yliche,3,Yes
slyly,3,No
nere,3,Yes
large,3,Yes
mor,3,No
parfitly,3,No
therbifore,3,Yes
everywhere,3,Yes
skilfully,3,No
proudly,3,No
sodeinliche,3,Yes
holly,3,No
thriftily,3,No
herebiforn,3,No
sumwhat,3,No
agreef,3,No
estward,3,No
this,3,No
muchel,3,No
forthermore,3,Yes
benignely,3,No
rounde,3,Yes
south,3,No
smerte,3,Yes
hastely,3,No
swetely,3,No
ivel,3,No
hertly,3,No
sorwefully,3,No
ferre,3,Yes
thris,3,No
peraventure,3,Yes
her,3,No
alderbest,3,No
evel,3,No
yitte,3,Yes
soo,3,No
twies,3,No
besily,3,No
craftely,3,No
onlive,3,Yes
heerupon,2,No
namoore,2,Yes
moost,2,No
generally,2,No
foul,2,No
expres,2,No
alle,2,Yes
freely,2,No
streite,2,Yes
swete,2,Yes
thereas,2,No
oght,2,No
namly,2,No
fine,2,Yes
woodly,2,No
new,2,No
tohepe,2,Yes
aldermost,2,No
alonde,2,Yes
togeder,2,No
other,2,No
moche,2,Yes
dredfully,2,No
thries,2,No
nedescost,2,No
scarsly,2,No
down,2,No
muche,2,Yes
herbiforn,2,No
sleyly,2,No
depper,2,No
sobreliche,2,Yes
wheron,2,No
depardieux,2,No
twyes,2,No
straungely,2,No
womanly,2,No
outward,2,No
largely,2,No
humblely,2,No
smal,2,No
bicause,2,Yes
somtim,2,No
theroute,2,Yes
afer,2,No
dostow,2,No
arowe,2,Yes
mortally,2,No
saf,2,No
therwhile,2,Yes
last,2,No
everydeel,2,No
about,2,No
toyere,2,Yes
spitously,2,No
everideel,2,No
preciously,2,No
upon,2,No
folily,2,No
wrongfully,2,No
deedly,2,No
deliciously,2,No
diversely,2,No
apart,2,No
anywhere,2,Yes
rewfully,2,No
hennesforth,2,No
ayeinward,2,No
wherby,2,No
platly,2,No
cleer,2,No
sooth,2,No
fermely,2,No
seide,2,Yes
among,2,No
heerby,2,No
holily,2,No
attemprely,2,No
secrely,2,No
paciently,2,No
biforen,2,No
mirie,2,Yes
heerof,2,No
merier,2,No
soure,2,Yes
els,2,No
causelees,2,No
forthward,2,No
whiderward,2,No
hote,2,Yes
manly,2,No
adieu,2,No
sorowfully,2,No
dedly,2,No
whatso,2,No
ayeyn,2,No
downward,2,No
therupon,2,No
paramours,2,No
uprighte,2,Yes
sadly,2,No
sharply,2,No
perpetuelly,2,No
fresh,2,No
oonly,2,No
beside,2,Yes
brenningly,2,No
westward,2,No
therout,2,No
moor,2,No
gilteles,2,No
soon,2,No
soberly,2,No
nouthe,2,Yes
devoutly,2,No
thryes,2,No
riche,2,Yes
plain,2,No
despitously,2,No
hastifly,2,No
twis,2,No
purely,2,No
blithly,2,No
pure,2,Yes
nowe,2,Yes
herbefore,2,Yes
ylich,2,No
diversly,2,No
herby,2,No
equally,2,No
unkindely,2,No
casuelly,2,No
upper,2,No
southe,2,Yes
twys,2,No
hereupon,2,No
always,2,No
swa,2,No
wilfully,2,No
ofter,2,No
derre,2,Yes
ascaunces,2,No
alofte,2,Yes
jolily,1,No
abed,1,No
continuelly,1,No
spedily,1,No
boltupright,1,No
graciously,1,No
heere,1,Yes
namoor,1,No
heerforth,1,No
fals,1,No
vertuously,1,No
arewe,1,Yes
forsooth,1,No
heterly,1,No
overborde,1,Yes
ferforthly,1,No
brode,1,Yes
tisbe,1,Yes
write,1,Yes
cunningly,1,No
uppon,1,No
plenere,1,Yes
verray,1,No
theefly,1,No
loveden,1,No
yfeere,1,Yes
knightly,1,No
giltles,1,No
contreeward,1,No
sote,1,Yes
unfelingly,1,No
aday,1,No
yesterday,1,No
inwardly,1,No
begoon,1,No
underfote,1,Yes
meneth,1,No
nomore,1,Yes
wofully,1,No
at,1,No
skarmish,1,No
soner,1,No
lesse,1,Yes
bitime,1,Yes
looth,1,No
humbly,1,No
howso,1,No
hereayeins,1,No
happy,1,No
neveremo,1,No
withouten,1,No
ferme,1,Yes
nedelees,1,No
hoomly,1,No
doth,1,No
heighly,1,No
secoundelich,1,No
night,1,No
unthriftily,1,No
wool,1,No
bitimes,1,No
evermoore,1,Yes
gaye,1,Yes
evermoor,1,No
speedily,1,No
mote,1,Yes
eftsoone,1,Yes
herein,1,No
biforenhond,1,No
slily,1,No
mistily,1,No
adayes,1,No
herbiforne,1,Yes
againe,1,Yes
fresshe,1,Yes
enviroun,1,No
lighter,1,No
sorer,1,No
weste,1,Yes
aweiward,1,No
avisely,1,No
theragain,1,No
tomorn,1,No
fleen,1,No
riht,1,No
fleshly,1,No
loud,1,No
gruf,1,No
onis,1,No
hath,1,No
natheless,1,No
wors,1,No
awerke,1,Yes
mirily,1,No
acaterwawed,1,No
it,1,No
sacrifice,1,Yes
far,1,No
espyen,1,No
ycorven,1,No
fern,1,No
abrood,1,No
otherwise,1,Yes
oon,1,No
namo,1,No
uppe,1,Yes
without,1,No
shorte,1,Yes
whiderso,1,No
agame,1,Yes
overthwart,1,No
siker,1,No
sey,1,No
warme,1,Yes
plainly,1,No
welawey,1,No
bitterly,1,No
perpetuely,1,No
fersly,1,No
boldly,1,No
swifter,1,No
amorously,1,No
harder,1,No
sotilly,1,No
therefor,1,No
neverthemo,1,No
forward,1,No
ageyn,1,No
uncurteisly,1,No
halfway,1,No
verraiment,1,No
almest,1,No
north,1,No
curiously,1,No
forthe,1,Yes
heighe,1,Yes
lass,1,No
unwar,1,No
forthright,1,No
however,1,No
glose,1,Yes
endelees,1,No
finaly,1,No
tendreliche,1,Yes
ney,1,No
that,1,No
childishly,1,No
wete,1,Yes
fawe,1,Yes
herupon,1,No
ayen,1,No
needfully,1,No
fertherover,1,No
ayenward,1,No
herkne,1,Yes
tarie,1,Yes
nedfully,1,No
nedefully,1,No
cowardly,1,No
shene,1,Yes
dredeles,1,No
nameliche,1,Yes
morwe,1,Yes
vulgarly,1,No
bakwarde,1,Yes
nightes,1,No
smale,1,Yes
harde,1,Yes
litherly,1,No
sturdily,1,No
adown,1,No
anonrightes,1,No
heeraboute,1,Yes
alive,1,Yes
buxomly,1,No
reverently,1,No
povreliche,1,Yes
tentifly,1,No
willingly,1,No
wherin,1,No
atoon,1,No
needless,1,No
sad,1,No
whenne,1,Yes
needles,1,No
fulliche,1,Yes
boistously,1,No
treweliche,1,Yes
hastilich,1,No
hevenisshly,1,No
dispitously,1,No
wrong,1,No
povrely,1,No
hidously,1,No
quitly,1,No
endelong,1,No
lifly,1,No
felingly,1,No
sharp,1,No
togidre,1,Yes
hereagains,1,No
herinne,1,Yes
debonerely,1,No
crokedly,1,No
narowe,1,Yes
thou,1,No
verily,1,No
wonderly,1,No
yemanly,1,No
semely,1,No
royalliche,1,Yes
perchaunce,1,Yes
were,1,Yes
round,1,No
therefore,1,Yes
untrewe,1,Yes
ferrer,1,No
widewher,1,No
ceriously,1,No
foothoot,1,No
againward,1,No
strongly,1,No
bitide,1,Yes
bakward,1,No
habundantly,1,No
rede,1,Yes
wherefor,1,No
cristenly,1,No
efte,1,Yes
needs,1,No
wherthrough,1,No
anone,1,Yes
deedli,1,No
hertofore,1,Yes
welle,1,Yes
everydelle,1,Yes
onward,1,No
unneth,1,No
doune,1,Yes
fothote,1,Yes
adoune,1,Yes
oughte,1,Yes
werre,1,Yes
though,1,No
las,1,No
weylaway,1,No
righte,1,Yes
holely,1,No
owhere,1,Yes
sodenly,1,No
comlily,1,No
frendly,1,No
everydele,1,Yes
wildely,1,No
lively,1,No
moreover,1,No
trewer,1,No
gretly,1,No
wronge,1,Yes
therwithalle,1,Yes
hardly,1,No
bette,1,Yes
howe,1,Yes
atweine,1,Yes
ageine,1,Yes
goodely,1,No
herbifore,1,Yes
herbeforne,1,Yes
quikly,1,No
freendly,1,No
wrecchedly,1,No
faithfully,1,No
shrewedly,1,No
ellis,1,No
derkly,1,No
queinte,1,Yes
yett,1,No
still,1,No
nis,1,No
wente,1,Yes
overbord,1,No
aroume,1,Yes
ententifly,1,No
parauenter,1,No
mansioun,1,No
simply,1,No
highe,1,Yes
thereof,1,No
hyer,1,No
heron,1,No
northward,1,No
perpetually,1,No
altherfirst,1,No
endelonge,1,Yes
sternely,1,No
herwithal,1,No
rightfully,1,No
thoo,1,No
famous,1,No
longer,1,No
queinteliche,1,Yes
esely,1,No
streighte,1,Yes
altherfastest,1,No
heretofore,1,Yes
sleighly,1,No
homwarde,1,Yes
therewithal,1,No
been,1,No
deedlich,1,No
thennesforth,1,No
blisfully,1,No
unright,1,No
troilus,1,No
complet,1,No
shal,1,No
goostly,1,No
may,1,No
douteles,1,No
nicely,1,No
wers,1,No
humbely,1,No
can,1,No
swiftly,1,No
beforn,1,No
stronge,1,Yes
discretly,1,No
aldernext,1,No
amiddes,1,No
hyest,1,No
sorest,1,No
feinest,1,No
taketh,1,No
lengest,1,No
mury,1,No
doke,1,Yes
unwitingly,1,No
swote,1,Yes
expresly,1,No
forthermo,1,No
neveradel,1,No
a,1,No
outrageously,1,No
heithen,1,No
fra,1,No
binethe,1,Yes
anes,1,No
alswa,1,No
aton,1,No
faireste,1,Yes
agrief,1,No
lie,1,Yes
wolde,1,Yes
sovereinly,1,No
louder,1,No
deliverly,1,No
good,1,No
contraire,1,Yes
afere,1,Yes
neuer,1,No
esiliche,1,Yes
god,1,No
febly,1,No
ivele,1,Yes
unhappily,1,No
anything,1,No
cursedly,1,No
greetly,1,No
weilawey,1,No
sonest,1,No
faster,1,No
wrechedly,1,No
horribly,1,No
