Headword,Stem Forms,All Forms,Always Ends in E
chaste,chaast; chast; chaste,chaast; chast; chaste,No
fat,fat,fat,No
strong,strong; stronge,strong; stronge,No
fel,fel; felle,fel; felle,No
muche,moch; moche; much; muche,moch; moche; much; muche,No
hor,hoor; hore,hoor; hore,No
proud,proud; proude,proud; proude,No
stif,stif,stif,No
tought,toght,toght,No
west,west,west,No
self,self; selve; selven,self; selve; selven,No
short,short; shorte,short; shorte,No
selde,selde,selde,Yes
ripe,ripe,ripe,Yes
sad,sad; sadde,sad; sadde,No
laste,last,last,No
lege,lige,lige,Yes
digne,digne,digne,Yes
maide,maide,maide,Yes
sterne,sterne,sterne,Yes
trouble,trouble,trouble,Yes
badde,badde,badde,Yes
stable,stable,stable,Yes
rude,rude,rude,Yes
riche,riche,riche,Yes
cler,cleer; clere,cleer; clere,No
stille,stille,stille,Yes
drie,dreie; dreye; drie,dreie; dreye; drie,Yes
pleine,plein,plein,No
couth,couth; couthe,couth; couthe,No
mene,mene,mene,Yes
deinte,deintee,deintee,Yes
feble,feble,feble,Yes
egre,egre,egre,Yes
lithe,lithe,lithe,Yes
queinte,queint; queinte,queint; queinte,No
broun,broun,broun,No
troian,troian; troyan; troyane,troian; troyan; troyane,No
double,double,double,Yes
smert,smart; smerte,smart; smerte,No
swifte,swift; swifte,swift; swifte,No
grim,grim; grimme,grim; grimme,No
stark,stark; starke,stark; starke,No
noious,noyous,noyous,No
beau,beau,beau,No
fer,fer; ferre,fer; ferre,No
domb,domb; dombe; doumb,domb; dombe; doumb,No
overt,overte,overte,Yes
brod,brode; brood,brode; brood,No
wet,weet; wete,weet; wete,No
fin,fin; fine,fin; fine,No
bon,bon,bon,No
loud,loud; loude,loud; loude,No
los,laus; loos; lous,laus; loos; lous,No
crisp,crips; crisp; crispe,crips; crisp; crispe,No
wid,wid; wide,wid; wide,No
huge,huge,huge,Yes
blo,blo,blo,No
blithe,blithe,blithe,Yes
falwe,falwe,falwe,Yes
mis,mis,mis,No
fers,fers; fiers; fierse,fers; fiers; fierse,No
bold,bold; bolde,bold; bolde,No
tame,tame,tame,Yes
wrong,wrong; wronge,wrong; wronge,No
vein,vein; veine,vein; veine,No
prime,prime,prime,Yes
quite,quit,quit,No
bitter,bitter; bittre,bitter; bittre,No
streight,streight; streighte,streight; streighte,No
smothe,smothe,smothe,Yes
rounde,round; rounde,round; rounde,No
sounde,sounde,sounde,Yes
real,real; royal,real; royal,No
thinne,thinne,thinne,Yes
crude,crude,crude,Yes
roughe,rough; rowe,rough; rowe,No
sauf,sauf,sauf,No
fol,fool,fool,No
sleigh,sleigh; slie; sly; slye,sleigh; slie; sly; slye,No
holwe,holwe,holwe,Yes
sote,sote; swote,sote; swote,Yes
def,deef; deve,deef; deve,No
raied,rayed,rayed,No
mete,mete,mete,Yes
flouri,floury,floury,No
flat,flat,flat,No
half,half; halfe; halve,half; halfe; halve,No
wo,wo,wo,No
fix,fixe,fixe,Yes
ner,neer,neer,No
blaunk,blaunche,blaunche,Yes
grei,gray; grey; greye,gray; grey; greye,No
slike,slik,slik,No
hende,hende,hende,Yes
late,late,late,Yes
gold,gold,gold,No
perte,pert,pert,No
ille,il; ille,il; ille,No
wight,wight,wight,No
streit,streit; streite,streit; streite,No
roum,roum,roum,No
slik,slik,slik,No
yon,yon,yon,No
neigh,ny; nye,ny; nye,No
weik,waike,waike,Yes
mat,mat,mat,No
square,square,square,Yes
wast,waste,waste,Yes
thral,thral,thral,No
plat,plat; platte,plat; platte,No
gaudi,gaude,gaude,Yes
kempe,kempe,kempe,Yes
stoute,stout; stoute,stout; stoute,No
paien,paien,paien,No
lift,left,left,No
due,due,due,Yes
north,north,north,No
liard,lyard,lyard,No
gent,gent,gent,No
narwe,narwe,narwe,Yes
shrille,shrille,shrille,Yes
aspre,aspre,aspre,Yes
ethe,ethe,ethe,Yes
fast,faste,faste,Yes
big,big; bigge,big; bigge,No
purpure,purpre,purpre,Yes
hos,hoors,hoors,No
ferrene,ferne,ferne,Yes
crul,crul; crulle,crul; crulle,No
coi,coy,coy,No
balled,bald,bald,No
stepe,stepe,stepe,Yes
souple,souple,souple,Yes
medle,medlee,medlee,Yes
tart,tart,tart,No
moiste,moiste,moiste,Yes
derne,derne,derne,Yes
yern,yerne,yerne,Yes
sour,sour,sour,No
sengle,sengle,sengle,Yes
sole,soul,soul,No
store,store,store,Yes
wrecche,wrecche,wrecche,Yes
stale,stale,stale,Yes
trie,trie,trie,Yes
