headword,forms,following_rules,violating_rules,total,compliance_pct
assenten,"['assenteden', 'assented', 'assenten', 'assenteth', 'wolde', 'assentedest', 'assente']",36,0,36,100.0
assignen,['assigne'],1,0,1,100.0
assoilen,"['assoile', 'assoille', 'assoilen']",4,0,4,100.0
assoiling,['assoilling'],0,1,1,0.0
assuren,"['assure', 'assuren', 'assureth', 'assured']",17,0,17,100.0
asswagen,"['asswage', 'aswage']",4,0,4,100.0
asterten,"['masterte', 'asterted', 'asterten', 'astert', 'asterte']",15,1,16,93.75
astonen,"['astoned', 'astonieth']",2,0,2,100.0
astoren,['astored'],1,0,1,100.0
at-reden,['atrede'],2,0,2,100.0
at-rennen,['atrenne'],2,0,2,100.0
ataken,['atake'],1,0,1,100.0
athinken,"['athinken', 'athinketh']",2,0,2,100.0
attamen,['attamed'],1,0,1,100.0
atteinen,"['attaine', 'atteine']",5,0,5,100.0
auntren,"['auntre', 'auntred']",2,0,2,100.0
availen,"['availeth', 'availen', 'availleth', 'availle', 'availe']",26,0,26,100.0
avalen,['avale'],1,0,1,100.0
avauncen,['avaunce'],6,0,6,100.0
avaunten,"['avante', 'avaunte']",5,0,5,100.0
avaunting,['avaunting'],0,1,1,0.0
avisen,"['avise', 'avis', 'aviseth', 'avised']",28,0,28,100.0
awaiten,['awaiteth'],3,0,3,100.0
awaiting,['awaiting'],0,1,1,0.0
awaken,"['awook', 'awaked', 'awake', 'awaken', 'awaketh']",22,0,22,100.0
awarden,['awarde'],1,0,1,100.0
awreken,"['awroken', 'awreke']",2,0,2,100.0
ba,"['pa', 'ba']",2,0,2,100.0
baiten,"['baiten', 'baite', 'baiteth']",3,0,3,100.0
baken,['bake'],2,0,2,100.0
banishen,"['ybanisht', 'banished']",2,0,2,100.0
baptisen,['baptise'],1,0,1,100.0
bathen,"['bathen', 'bathe', 'batheth', 'ybathed', 'bathed']",10,0,10,100.0
bedden,['ybedded'],1,0,1,100.0
bedding,['beddinge'],1,0,1,100.0
beden,"['bode', 'bede', 'boden', 'bedeth']",9,0,9,100.0
beggen,"['begge', 'beggeth']",2,0,2,100.0
beginnen,['bigan'],1,0,1,100.0
being,['being'],0,1,1,0.0
bekken,['bekked'],1,0,1,100.0
ben,"['wer', 'that', 'ben', 'war', 'so', 'be', 'namo', 'ybe', 'it', 'is', 'arn', 'wern', 'us', 'nere', 'ycomen', 'weren', 'been', 'beth', 'were', 'was', 'he', 'ywedded', 'art', 'ar', 'are', 'see', 'a', 'wis', 'artow', 'am', 'al']",7650,23,7673,99.7
bering,"['beringe', 'bering']",2,1,3,66.67
berking,['berking'],0,1,1,0.0
bibben,['bibbed'],1,0,1,100.0
bicomen,"['bicomth', 'bicom', 'bicomen', 'become', 'bicome', 'bicam']",16,0,16,100.0
bidden,"['bid', 'biddeth', 'bad', 'bade', 'bede', 'bidde', 'biddest', 'bit']",91,2,93,97.85
biddinge,['bidding'],0,3,3,0.0
biden,"['bood', 'abide', 'bide']",8,0,8,100.0
bidoten,['bedote'],1,0,1,100.0
bien,"['byeth', 'bouhte', 'ybought', 'boghten', 'bye', 'boghte', 'boght', 'yboght', 'byen', 'boughte', 'bought', 'bie', 'beie', 'boughten', 'beye']",28,1,29,96.55
bifallen,"['befalle', 'bifalleth', 'juil', 'bifelle', 'bifel', 'befill', 'bifalle', 'bifallen', 'befel']",56,0,56,100.0
bifallinge,"['bifallinge', 'bifalling']",1,1,2,50.0
bigilen,"['bigile', 'begilde', 'bigilen', 'bigiled', 'begile', 'begiled']",32,1,33,96.97
biginnen,"['biginne', 'bigonne', 'beginneth', 'begonne', 'bigon', 'beginne', 'bigan', 'bigin', 'biginneth', 'biginnen', 'began']",137,2,139,98.56
biginninge,"['biginning', 'beginning']",0,4,4,0.0
bigon,"['bigon', 'begon', 'begoon', 'bigoon']",18,0,18,100.0
biholden,"['biholden', 'biheld', 'beheld', 'bihelden', 'bihelde', 'behold', 'beholde', 'biholde', 'behelde', 'to']",64,1,65,98.46
bihoten,"['bihight', 'bihighte', 'bihote', 'behoteth', 'bihighten', 'behette', 'bihete']",13,0,13,100.0
bihoven,"['bihoveth', 'bos']",10,0,10,100.0
biinge,['byinge'],1,0,1,100.0
bijapen,['bijaped'],4,0,4,100.0
biknouen,"['biknowe', 'biknewe', 'beknew']",4,0,4,100.0
bilden,"['bulte', 'builde', 'buildeth', 'bilt', 'builden']",5,0,5,100.0
bildinge,['buildinge'],1,0,1,100.0
bilongen,['bilongeth'],2,0,2,100.0
binden,"['ybounde', 'bond', 'bounden', 'ybounden', 'bounde', 'binde']",40,0,40,100.0
bindinge,['binding'],0,1,1,0.0
biquethen,['biquethe'],4,0,4,100.0
bireinen,['bireined'],1,0,1,100.0
bireven,"['bireve', 'birafte', 'biraft', 'bireveth', 'bireved', 'berafte']",23,0,23,100.0
birien,"['yburied', 'buried', 'berie', 'beried', 'burie', 'bury']",7,2,9,77.78
biriinge,"['burying', 'buryinge']",3,1,4,75.0
bisechen,"['biseche', 'bisoughtest', 'biseken', 'bisoghte', 'bisoughte', 'biseke', 'besoghte', 'beseke', 'biseek', 'bisoght', 'beseche', 'bisecheth']",53,1,54,98.15
bisegen,"['biseged', 'beseged', 'bisegeth', 'bisegeden', 'bisegede']",7,0,7,100.0
bisen,['besein'],1,0,1,100.0
bisetten,"['biset', 'beset', 'besette', 'bisette']",19,1,20,95.0
bishenden,['beshende'],1,0,1,100.0
bishetten,['bishet'],1,0,1,100.0
bishreuen,"['bishrewe', 'bischrew']",2,0,2,100.0
bisien,"['bisied', 'bisieth', 'bisy', 'bisie', 'besied']",4,1,5,80.0
bistouen,"['bistow', 'bistowe', 'bistowed']",5,1,6,83.33
bistriden,['bistrood'],1,0,1,100.0
bitaken,"['betake', 'bitake', 'bitook']",6,0,6,100.0
bithinken,"['bethenke', 'bithinken', 'bithoght', 'bithoughte', 'bethoghte', 'bethinke', 'bethoughte', 'bithinke']",12,0,12,100.0
bitiden,"['bitidde', 'bitide', 'bitiden', 'bitit', 'bitid', 'betide']",34,0,34,100.0
bitoknen,"['bitokneth', 'bitokeneth']",3,0,3,100.0
bitraien,"['bitrayen', 'betrayed', 'bitrayed']",10,0,10,100.0
bitraishen,"['bitraised', 'bitraiseth', 'betraised', 'bitraise']",6,0,6,100.0
bitraisinge,['betraising'],0,1,1,0.0
bitrenden,['bitrent'],2,0,2,100.0
biwailen,"['biwaille', 'biwailled', 'bewaile', 'biwaile', 'biwailen', 'bewailed']",12,0,12,100.0
biwaren,['biwared'],1,0,1,100.0
biwepen,['biwepe'],1,0,1,100.0
biwreien,"['bewreie', 'biwreyen', 'biwreyed', 'biwreye', 'biwreie', 'biwrien', 'biwreid', 'biwreyest']",19,0,19,100.0
biyeten,"['begat', 'bigete', 'bigeten']",3,0,3,100.0
blaken,['blaked'],1,0,1,100.0
blamen,"['blameth', 'blamed', 'blame', 'blamen']",22,1,23,95.65
blasfemen,['blasphemed'],1,0,1,100.0
bleden,"['bledde', 'blede']",17,0,17,100.0
bledinge,['bleding'],0,1,1,0.0
blenchen,"['ybleint', 'bleinte']",3,0,3,100.0
blessen,"['blessed', 'blessen', 'yblessed', 'blesseth', 'blesse', 'bless']",34,0,34,100.0
blessinge,['blessing'],0,1,1,0.0
blinden,['blinde'],1,0,1,100.0
blinnen,['blinne'],2,0,2,100.0
blonderen,['blondreth'],1,0,1,100.0
blosmen,['blosmeth'],1,0,1,100.0
boillen,['boil'],0,1,1,0.0
bolden,['bolde'],1,0,1,100.0
bomblen,['bombleth'],1,0,1,100.0
borwen,"['borwe', 'borwed']",7,0,7,100.0
bosten,"['bosted', 'bosteth']",2,0,2,100.0
breken,"['breketh', 'breken', 'breke', 'brak', 'broke', 'broken', 'breek']",42,1,43,97.67
brennen,"['brende', 'brenneth', 'ybrent', 'brennen', 'ybrend', 'brenne', 'brendest', 'brinne', 'brente', 'brend', 'brent']",58,0,58,100.0
brenninge,['brenninge'],2,0,2,100.0
bresten,"['broste', 'braste', 'bresten', 'brast', 'breste', 'brosten', 'brest']",35,0,35,100.0
bresting,['bresting'],0,1,1,0.0
briben,['bribe'],1,0,1,100.0
bridelen,['bridled'],1,0,1,100.0
bringen,"['bring', 'broghten', 'bringes', 'bringe', 'ybroght', 'broght', 'broughte', 'brought', 'broghte', 'bringeth', 'ybrought', 'bringen', 'broghtest', 'bringest']",194,5,199,97.49
brouding,['browding'],0,1,1,0.0
brouken,"['brouken', 'brouke', 'broken']",4,0,4,100.0
burnen,['borneth'],1,0,1,100.0
cacchen,"['caughte', 'cacche', 'kecche', 'caught', 'ycaught']",61,1,62,98.39
cakeling,['cakelinge'],1,0,1,100.0
calculen,['calculed'],1,0,1,100.0
calculing,['calculinge'],2,0,2,100.0
callen,"['calleth', 'calden', 'callest', 'called', 'callen', 'ycalled', 'calle']",75,0,75,100.0
capen,"['caped', 'cape']",3,0,3,100.0
caren,['care'],3,0,3,100.0
carien,"['carie', 'ycaried', 'caryeden', 'caried', 'carien', 'carieden', 'carieth']",19,0,19,100.0
cariing,['caryinge'],1,0,1,100.0
carolen,['carole'],1,0,1,100.0
caroling,['caroling'],0,1,1,0.0
carpen,['carpe'],1,0,1,100.0
casten,"['caste', 'cast', 'casteth', 'casten', 'ycast']",112,1,113,99.12
cerclen,['cerclen'],1,0,1,100.0
cesen,"['cesse', 'cessed', 'cesseth', 'cese']",16,0,16,100.0
chacen,"['chace', 'chased', 'chasen', 'chase', 'chaced', 'chaceth']",11,1,12,91.67
chaffaren,['chaffare'],1,0,1,100.0
chalengen,"['chalange', 'chalenge']",2,0,2,100.0
chalenginge,['chalanging'],0,1,1,0.0
chargen,"['chargeth', 'charge', 'chargen', 'charged']",18,0,18,100.0
chasten,['chasted'],1,0,1,100.0
chastisen,"['chastise', 'chastised']",2,0,2,100.0
chastisinge,['chastisinge'],2,0,2,100.0
chaungen,"['ychaunged', 'chaunged', 'changed', 'chaungeth', 'changen', 'changeth', 'chaungen', 'chaunge']",41,0,41,100.0
chaunginge,"['chaunginge', 'chaunging']",2,2,4,50.0
chepen,['chepe'],1,0,1,100.0
cherishen,"['cherice', 'cherisse', 'chericen', 'cherisseth']",7,0,7,100.0
cherishinge,['cherisshinge'],1,0,1,100.0
chesen,"['chese', 'chose', 'chees', 'cheest', 'ches', 'chosen']",45,1,46,97.83
chesinge,['chesinge'],1,0,1,100.0
cheven,['cheve'],1,0,1,100.0
chiden,"['chidde', 'chiden', 'chidest', 'chit', 'chide']",18,0,18,100.0
chimben,['chimbe'],1,0,1,100.0
chirken,['chirketh'],1,0,1,100.0
chirkinge,['chirking'],0,1,1,0.0
chiteren,['chiteren'],1,0,1,100.0
chiteringe,['chiteringe'],1,0,1,100.0
chukken,['chukketh'],1,0,1,100.0
cimenting,['cementing'],0,1,1,0.0
circumscriben,['circumscrive'],1,0,1,100.0
claimen,"['cleime', 'claime', 'claimeth', 'claim']",6,2,8,75.0
clappen,"['clappeth', 'clapte', 'clapt', 'clappe']",8,0,8,100.0
clapping,['clapping'],0,1,1,0.0
clateren,"['clateren', 'clatereden']",2,0,2,100.0
clatering,['clateringe'],3,0,3,100.0
clauen,"['clawen', 'clawe', 'yclawed']",3,0,3,100.0
clensen,['clense'],1,0,1,100.0
clepen,"['clepe', 'ycleped', 'clepid', 'clep', 'yclept', 'clepen', 'clepeth', 'cleped']",76,3,79,96.2
cleren,['clere'],4,0,4,100.0
climben,"['clamb', 'clomben', 'climben', 'climbe', 'clombe', 'climbeth']",11,0,11,100.0
clinken,['clinke'],1,0,1,100.0
clinking,['clinking'],0,1,1,0.0
closen,"['close', 'clos']",2,1,3,66.67
clothen,"['yclothed', 'clad', 'yclad', 'cledde', 'clothed', 'cladden', 'cladde', 'clothen', 'clothe']",28,0,28,100.0
clothing,['clothing'],0,11,11,0.0
coien,['coye'],1,0,1,100.0
colden,"['colden', 'colde']",9,0,9,100.0
colouren,['coloured'],1,0,1,100.0
comen,"['cam', 'ycome', 'came', 'comth', 'comest', 'comen', 'denis', 'icomen', 'com', 'come', 'cometh', 'ycomen', 'live']",493,24,517,95.36
comforten,"['conforten', 'comforte', 'conforted', 'conforteth', 'conforte']",10,0,10,100.0
cominge,"['coming', 'cominge']",7,8,15,46.67
commaunden,"['comaunde', 'comanded', 'comaundeth', 'comande', 'comanden', 'comandeth', 'comaunded', 'comaunden']",29,3,32,90.62
commenden,"['comendeth', 'commendeth', 'comende', 'commended', 'commenden', 'commendeden', 'commende']",9,0,9,100.0
commeven,"['commeve', 'commeveth', 'comeveden']",3,0,3,100.0
committen,"['committeth', 'committed']",2,0,2,100.0
communen,['commune'],1,0,1,100.0
compassen,['compassed'],3,0,3,100.0
compassinge,['compassing'],0,1,1,0.0
compleinen,"['compleinen', 'compleineth', 'complaine', 'compleinedest', 'compleine', 'compleined']",31,0,31,100.0
compleininge,"['compleininge', 'compleining']",3,5,8,37.5
completen,['complet'],1,0,1,100.0
comporten,['comporte'],1,0,1,100.0
comprehenden,"['comprehended', 'comprehenden', 'comprehende']",6,0,6,100.0
conceiven,"['conceived', 'conseived']",4,0,4,100.0
concluden,"['concluden', 'concluded', 'conclude']",13,0,13,100.0
condescenden,"['condescende', 'condescended']",2,0,2,100.0
confermen,"['to', 'confermed', 'conferme']",4,0,4,100.0
confessen,['confessen'],1,0,1,100.0
confounden,"['confounded', 'confounde']",4,0,4,100.0
congeien,['congeyen'],1,0,1,100.0
conjecten,['coniectest'],1,0,1,100.0
conjuren,"['conjure', 'conjureth']",4,0,4,100.0
connen,"['couthe', 'cunne', 'couth', 'kan', 'con', 'coudest', 'canst', 'coude', 'coud', 'can', 'konne', 'conne', 'ykoude']",629,38,667,94.3
conninge,"['conning', 'cunning', 'kunninge', 'conninge', 'konning', 'konninge']",4,17,21,19.05
conqueren,"['conquered', 'conquereden', 'conqueren']",6,1,7,85.71
conquering,['the'],1,0,1,100.0
consecraten,['consecrat'],1,0,1,100.0
consenten,"['consente', 'consenteth']",8,0,8,100.0
conserven,"['conserve', 'conserved']",4,0,4,100.0
consideren,"['considre', 'considere', 'considered', 'considereth']",10,0,10,100.0
conspiren,['conspired'],1,0,1,100.0
constreinen,"['constreine', 'constreined', 'constreineth']",9,0,9,100.0
construen,"['construe', 'construeth']",3,0,3,100.0
consumen,"['consumed', 'consume']",2,0,2,100.0
conteinen,['contene'],1,0,1,100.0
continuen,['continue'],1,0,1,100.0
contrarien,"['contraried', 'contrarie']",2,1,3,66.67
conveien,"['conveied', 'conveyed', 'conveyeth']",3,0,3,100.0
converten,"['converted', 'converte']",11,0,11,100.0
convicten,['convict'],1,0,1,100.0
correcten,"['correcten', 'corrected', 'corecte']",4,0,4,100.0
corrumpen,['corrumpeth'],1,0,1,100.0
corrupten,"['corrupt', 'corrupteth']",2,0,2,100.0
costen,"['cost', 'coste']",6,0,6,100.0
couchen,"['couchen', 'couche', 'couched']",8,0,8,100.0
coughen,"['coghe', 'cogheth', 'coughen']",4,0,4,100.0
counseilen,"['consaille', 'counseilest', 'conseille', 'counseil', 'counsaillen', 'counsaile', 'counseile']",8,0,8,100.0
counseiling,['conseilling'],0,1,1,0.0
counten,"['count', 'counte', 'counted']",5,0,5,100.0
countrefeten,"['counterfete', 'countrefete', 'countrefeted', 'contrefete']",14,0,14,100.0
countrepeisen,['countrepeise'],1,0,1,100.0
countrepleten,['countrepleted'],1,0,1,100.0
couplen,['ycoupled'],1,0,1,100.0
coveiten,"['coveteth', 'coveiteth']",5,0,5,100.0
coveiting,['covetinge'],1,0,1,100.0
cracching,['cracching'],0,1,1,0.0
craken,['craketh'],2,0,2,100.0
crampishen,['crampisshed'],1,0,1,100.0
crasen,['crased'],1,0,1,100.0
craven,['crave'],2,0,2,100.0
creauncen,"['creaunced', 'creaunce', 'creaunceth']",3,0,3,100.0
crepen,"['crept', 'crepen', 'crepte', 'cropen', 'crepten', 'crepeth', 'crope', 'creep', 'crepe']",23,0,23,100.0
crien,"['crien', 'cride', 'crieth', 'criden', 'crie', 'crye', 'cryn', 'criede', 'cryeth', 'cried', 'cryen']",113,1,114,99.12
criing,"['crying', 'cryinge']",1,2,3,33.33
cristnen,"['ycristned', 'cristned', 'cristened']",5,1,6,83.33
crouen,"['ycrowe', 'crew', 'crowe']",8,0,8,100.0
crouinge,['crowing'],0,2,2,0.0
cursen,"['cursed', 'corse', 'cursen', 'curse', 'curseth']",10,0,10,100.0
cursing,['cursing'],0,2,2,0.0
dampnen,"['damned', 'dampned', 'dampne']",14,0,14,100.0
daren,['dare'],1,0,1,100.0
daswen,['daswen'],1,0,1,100.0
dauen,"['dawe', 'dawed', 'daweth']",7,0,7,100.0
dauinge,['dawing'],0,1,1,0.0
dauncen,"['daunce', 'daunceth', 'dauncen', 'daunced', 'daunceden']",35,1,36,97.22
dauninge,"['dawning', 'dawening', 'daweninge']",2,3,5,40.0
daunten,"['dauntest', 'daunteth', 'daunted']",5,0,5,100.0
deceiven,"['deceive', 'deceiven', 'deceivest', 'deceived']",12,0,12,100.0
declamen,['declamed'],0,1,1,0.0
declaren,"['declare', 'declared', 'declaren']",14,0,14,100.0
defacen,"['defaced', 'deface']",5,0,5,100.0
defamen,"['defamen', 'diffame', 'defame']",3,0,3,100.0
defenden,"['defende', 'defended', 'defenden', 'defendeth']",13,0,13,100.0
defoulen,"['defoulen', 'defouled']",6,0,6,100.0
deien,"['diyd', 'dyed']",2,0,2,100.0
delen,"['delen', 'dele', 'delte', 'deled']",9,0,9,100.0
deliberen,"['deliberen', 'delibered']",2,0,2,100.0
deliten,"['deliteth', 'deliten', 'delited', 'hem', 'delite']",12,2,14,85.71
deliveren,"['delivereth', 'delivere', 'delivered', 'deliveren', 'deliver']",17,2,19,89.47
delven,"['delve', 'dolven']",3,0,3,100.0
demen,"['demen', 'demede', 'demeth', 'deem', 'demed', 'deme']",38,3,41,92.68
denien,['denie'],2,0,2,100.0
departen,"['departen', 'departe', 'depart', 'departed']",35,0,35,100.0
departinge,"['departing', 'departinge']",3,1,4,75.0
depeinten,"['depeint', 'depeinted']",7,0,7,100.0
depriven,['deprive'],1,0,1,100.0
dereinen,['darreine'],4,0,4,100.0
deren,['dere'],4,0,4,100.0
deriven,"['derived', 'deriveth']",2,0,2,100.0
derken,['darketh'],1,0,1,100.0
descenden,"['descende', 'descenden', 'descended', 'descendeth']",17,0,17,100.0
descriven,"['discriven', 'discreven', 'discrived', 'discrive', 'descrive', 'descriven']",14,0,14,100.0
deserven,"['deserve', 'deserved', 'deservedest']",28,0,28,100.0
desiren,"['desired', 'desiren', 'desire', 'desireth', 'desirest']",49,0,49,100.0
desiringe,['desiring'],0,1,1,0.0
despeiren,['despeired'],5,0,5,100.0
despisen,"['dispise', 'despise']",11,0,11,100.0
despoilen,['dispoilen'],1,0,1,100.0
destroien,"['destroyeth', 'destroyen', 'destroye', 'destroyed', 'distroyed']",20,0,20,100.0
determinen,['determine'],1,0,1,100.0
devisen,"['deviseth', 'devise', 'devisen', 'devisest']",95,0,95,100.0
devisinge,['devising'],0,1,1,0.0
devouren,"['devoure', 'devoured']",8,0,8,100.0
dichen,"['dike', 'dichen']",2,0,2,100.0
dien,"['dyen', 'deied', 'deidest', 'deith', 'dyeth', 'dey', 'dye', 'deyed', 'died', 'deiden', 'die', 'dyed', 'deye', 'dieth', 'deyen', 'deid', 'dien', 'dide', 'deie', 'deien', 'deide']",239,0,239,100.0
diffinen,"['deffine', 'diffine', 'define']",4,0,4,100.0
dighten,"['dighte', 'ydight', 'dight']",18,0,18,100.0
diinge,"['deyinge', 'deying']",2,1,3,66.67
directen,['directe'],1,0,1,100.0
disavauncen,['disavaunce'],1,0,1,100.0
discernen,"['descerne', 'discerne']",4,0,4,100.0
disclaundren,"['disclaundred', 'desclaundred']",2,0,2,100.0
discomfiting,['disconfitinge'],1,0,1,100.0
discomforten,['disconforten'],1,0,1,100.0
discoveren,"['discovere', 'discure', 'discovered', 'discover', 'discoveren']",4,1,5,80.0
discussen,['discussed'],1,0,1,100.0
disdeinen,['disdeine'],1,0,1,100.0
disesen,"['disesed', 'disesen', 'disese']",4,0,4,100.0
disfiguren,"['disfigured', 'disfigure']",4,0,4,100.0
disgisen,"['disgised', 'disgise']",2,0,2,100.0
disheriten,['disherited'],1,0,1,100.0
disobeien,['disobeye'],1,0,1,100.0
disparagen,"['disparaged', 'disparage']",2,0,2,100.0
dispenden,"['despended', 'dispende', 'despende']",6,0,6,100.0
displaien,['desplayeth'],1,0,1,100.0
displesen,"['displese', 'displeseth', 'displesed']",14,0,14,100.0
disponen,"['desponeth', 'dispone']",2,0,2,100.0
disporten,"['disporte', 'disporten', 'desporte']",8,0,8,100.0
disposen,['disposed'],6,0,6,100.0
disputen,"['disputed', 'dispute']",2,0,2,100.0
disseveren,['dissever'],0,1,1,0.0
dissimulen,"['dissimulen', 'dissimuleth']",3,0,3,100.0
dissimulinge,['dissimulinge'],2,0,2,100.0
disteinen,['disteine'],4,0,4,100.0
distillen,['distille'],1,0,1,100.0
distourben,"['distourbe', 'distorben', 'disturbed', 'distourben']",6,0,6,100.0
distreinen,"['distreined', 'destrained', 'destreineth', 'distreineth', 'destreine', 'distreine']",8,0,8,100.0
distroublen,['destroubled'],1,0,1,100.0
disturnen,['disturne'],1,0,1,100.0
diversen,['diverseth'],1,0,1,100.0
dividen,"['divide', 'divided']",2,0,2,100.0
divinen,"['divine', 'devineth', 'divinen', 'devine']",11,0,11,100.0
divininge,['divininge'],1,0,1,100.0
doinge,"['doing', 'doinge']",4,4,8,50.0
dokken,['dokked'],1,0,1,100.0
dongen,['donge'],1,0,1,100.0
doten,"['dote', 'doten']",2,0,2,100.0
doublen,['doubleth'],3,0,3,100.0
drauen,"['ydrawe', 'drawen', 'drough', 'draw', 'drew', 'drow', 'draweth', 'drogh', 'drawe']",48,0,48,100.0
drecchen,"['drecche', 'drecched']",4,0,4,100.0
drecchinge,['drecching'],0,1,1,0.0
dreden,"['dreden', 'dredeth', 'drede', 'dredden', 'dradde', 'dredde', 'dred', 'drat']",50,1,51,98.04
drenchen,"['dreint', 'drenched', 'drenchen', 'dreinte', 'drent', 'drenche']",19,0,19,100.0
drenchinge,"['drenchinge', 'drenching']",1,2,3,33.33
dressen,"['dresseth', 'dressen', 'dressed', 'dresse', 'ydressed', 'dressede']",26,0,26,100.0
drinken,"['drinketh', 'dronke', 'drank', 'drinken', 'dronk', 'drinke', 'dronken']",62,0,62,100.0
driven,"['driven', 'drive', 'drifth', 'droof', 'ydriven', 'drof', 'driveth']",50,0,50,100.0
droppen,['droppeth'],1,0,1,100.0
droupen,['drouped'],0,1,1,0.0
druggen,['drugge'],1,0,1,100.0
dullen,"['dullen', 'dulleth', 'dulle']",4,0,4,100.0
duren,"['dure', 'duren']",20,0,20,100.0
