text,original_scansion,predicted_scansion,dataset_split,filename,match
In swich cas of the ercedeknes curs,u S u S u SuSu S,u S u S u Sux S,train,GP_gui_complete.csv,no
Tho rouned she a pistel in his ere,u Su S u Su S u Sx,u Su S u Su S u Sx,train,WBT_gui_complete.csv,yes
Ther he with throte ycorven lay upright,u S u Sx uSu S uS,u S u Sx uSu S uS,train,PrT_gui_complete.csv,yes
O my Custance ful of benignitee,u S uSx u S uSuS,u S uSx u S xx,train,MLT_gui_complete.csv,no
And he bigan to glade hir as he mighte,u S uS u Sx u S u Sx,u S uS u Sx u S u Sx,train,TC4_gui_complete.csv,yes
So graunte yow wele and prosperitee,u Sx u Su S uSuS,u Sx u Sx u SxuS,train,ClT_gui_complete.csv,no
And he ayein his trouth me had yplight,u S uS u S u S uS,u S uS u S u S uS,train,Anelida_gui_complete.csv,yes
Ne man ne beest swich as men coud devise,u S u S u S u S uSx,u S u S u S u S uSx,train,MerT_gui_complete.csv,yes
A Briton book writen with Evangiles,u Su S uS u SuSx,u Su S uS u Sx,train,MLT_gui_complete.csv,no
Er ye doon any execucioun,u S u Su SuSuS,u S u Sx Sux,train,MancT_gui_complete.csv,no
O perilous fir that in the bedstraw bredeth,u SuS u S u S uS xx,u SuS u S u S uS Sx,train,MerT_gui_complete.csv,no
Or ire or talent or som kin affray,u Sx u Su S u S uS,u Sx u Su S u S uS,train,MLT_gui_complete.csv,yes
Ne so wonderliche ywrought,S u SuSx uS,u S u uS,train,HF_gui_complete.csv,no
And after this Tiburce in good entente,u Su S uSx u S uSx,u Su S uSx u S uSx,train,SNT_gui_complete.csv,yes
That fro the time that he first bigan,u S u Su S u S uS,u S u Su S u u Su,train,GP_gui_complete.csv,no
The dawening uprist out of the see,u SuS uS u S u S,u SuS uS u S u S,train,LGW_gui_complete.csv,yes
Ye sey right sooth ywis quod Pandarus,u S u S uS u SuS,u S u S uS u SuS,train,TC2_gui_complete.csv,yes
Quod John and se how that the corn gas in,u S u S u S u S u S,u S u S u S u S u S,train,RvT_gui_complete.csv,yes
Tel thou thy neces cas quod Deiphebus,u S u Su S u SuS,u S u Su S u SuS,train,TC2_gui_complete.csv,yes
Al is in vein and parde muchel more,u S u S u Su Su Sx,u S u S u Sx Su Sx,train,CYT_gui_complete.csv,no
A softe pas solempnely they ride,u Su S uSuS u Sx,u Su S uS u Sx,train,MLT_gui_complete.csv,no
Arsenek sal armoniak and brimstoon,uSu S uSu S uS,u S u S Su,train,CYT_gui_complete.csv,no
Al ful of fresshe floures white and rede,u S u Su Su Sx u Sx,u S u Sx Su Sx u Sx,train,GP_gui_complete.csv,no
Ful many a man weneth to seen a thing,u Su S u Sx u S u S,u Su S u Sx u S u S,train,MerT_gui_complete.csv,yes
Knowe al thy wo al lakkede hir pitee,ux S u S u Sux S uS,ux S u S u Sux S Su,train,TC1_gui_complete.csv,no
The wordes that she to him seide,u Su S u S u Sx,u Su S u S u Sx,train,HF_gui_complete.csv,yes
For me to stond so ful was al the place,u S u S u S u S u Sx,u S u S u S u S u Sx,train,PF_gui_complete.csv,yes
Be vertuous and hate tirannie,u SuS u Su SuS,u SuS u Sx Sx,train,MkT_gui_complete.csv,no
And he wold fecche a feined mandement,u S u Sx u Su SuS,u S u Sx u Su xS,train,FriT_gui_complete.csv,no
And Jesus filius Syrak as I gesse,u xS uSu Su S u Sx,u Sx uSx Su S u Sx,train,MerT_gui_complete.csv,no
Al were to me yliche goode,u Sx u S uSu Sx,u Sx u S uSx Sx,train,BD_gui_complete.csv,no
That nolde han wopen for hir peines smerte,u Sx u Su S u Su Sx,u Sx u Su S u Su Sx,train,TC5_gui_complete.csv,yes
Of which this Pelleus hath greet envie,u S u SuS u S uS,u S u SuS u S uS,train,LGW_gui_complete.csv,yes
Through his kindly enclining,S u Su SuS,u S Su Sux,train,HF_gui_complete.csv,no
Ful anguisshous than is God woot quod she,u SuS u S u S u S,u SuS u S u S u S,train,TC3_gui_complete.csv,yes
A Gods halfe in good time quod I,u S ux S u Sx u S,u S ux S u Sx u S,train,BD_gui_complete.csv,yes
But of what congeled matere,u S u SuS uSx,u S u SuS uSx,train,HF_gui_complete.csv,yes
Chees now quod she oon of thise thinges tweie,u S u x S u Su Su S,u S u x S u Sx Su S,train,WBT_gui_complete.csv,no
Of him that was the Sowdan of Surrie,u S u S u Su S uS,u S u S u Su S uS,train,MLT_gui_complete.csv,yes
Into my studie theras my bookes be,uS u Su Su S ux S,uS u Su Su S ux S,train,FranT_gui_complete.csv,yes
Blessed be they that povre in spirit been,uS u S u Sx u Su S,uS u S u Sx u Su S,train,SumT_gui_complete.csv,yes
No more semed than a prikke,u Su Su S u Sx,u Su Su S u Sx,train,HF_gui_complete.csv,yes
Thou mordrer of the heisugge on the braunche,u Su S u Sux S u Sx,u Su S u Sux S u Sx,train,PF_gui_complete.csv,yes
Of Troye and al the longe day they tweye,u Su S u S ux S u S,u Su S u S ux S u S,train,LGW_gui_complete.csv,yes
Have mercy swete or ye wol do me deye,ux Su Sx u S u S u S,ux Su Sx u S u S u S,train,FranT_gui_complete.csv,yes
Eek gentil herte and manhod that ye hadde,u Su Sx u Su S u Sx,u Su Sx u Su S u Sx,train,TC4_gui_complete.csv,yes
To shapen for his lif som remedie,u Su S u S u SuS,u Su S u S u SuS,train,MLT_gui_complete.csv,yes
The lettre spak The queen delivered was,u Sx u S u SuSu S,u Su S S S Sux S,train,MLT_gui_complete.csv,no
But natheles this maide bright of hewe,u SuS u Su S u Sx,u SuS u Sx u S Sx,train,ClT_gui_complete.csv,no
Was he to doon amis or more trespace,u S u S uS u Sx uSx,u S u S uS u Sx uSx,train,MkT_gui_complete.csv,yes
In hire and eek hir joies everychone,u Sx u S u Su SxuSx,u Sx u S u Su Sux,train,TC4_gui_complete.csv,no
With gilte cheines on hir nekke hanging,u Su Su S u Sx uS,u Su Su S u Sx Su,train,MkT_gui_complete.csv,no
There nis no womman to him half so mete,ux S u Su S u S u Sx,ux S u Su S u S u Sx,train,LGW_gui_complete.csv,yes
To scole hath sent his sone Androgeus,u Sx u S u Sx uSuS,u Sx u S u Sx uSu,train,LGW_gui_complete.csv,no
Of freedom and of strengthe and lustinesse,u Su S u Sx u SuSx,u Su S u Sx u SuSx,train,LGW_gui_complete.csv,yes
Among the ropes rennen the shering hokes,uS u Su Su S xu Sx,uS u Su Su S uS Sx,train,LGW_gui_complete.csv,no
Swich thing is gladsom as it thinketh me,u S u Su S u Su S,u S u Su u u Su S,train,NPPro_gui_complete.csv,no
Whiche menes do no good but evere anoyen,ux Su S u S u Sxx uSu,ux uS u u S u Sxx Sxx,train,FranT_gui_complete.csv,no
And by hir wordes eek and by hir chere,u S u Su S u S u Sx,u S u Su S u S u Sx,train,TC4_gui_complete.csv,yes
And been assented fully that he sholde,u S uSu Su S u Sx,u S uSu Su S u Sx,train,MerT_gui_complete.csv,yes
For that she traitour was to hir ligeaunce,u S x uS u S u SuSx,u S u Su S u S Su,train,MLT_gui_complete.csv,no
Of this flour whan that it shuld unclose,S u S u S u S uSx,S u S u S u S uSx,train,LGW_FPro_gui_complete.csv,yes
So moche embosed I not now what,u Sx uSx u S u S,u Sx uSx u S u S,train,BD_gui_complete.csv,yes
Stomak ne conscience ne knowe I noon,uS u SuSx u Sx u S,uS u SuSx u Sx u S,train,FriT_gui_complete.csv,yes
And shortly forth this tale for to chace,u Su S u Su S u Sx,u Su S u Su S u Sx,train,ClT_gui_complete.csv,yes
I may nat yeve diffinitif sentence,u S u Sx uSuS uSx,u S u Sx uSx uSx,train,PhyT_gui_complete.csv,no
That alle ye go see this Damian,u Su S u S u SuS,u Sx u S u S SuS,train,MerT_gui_complete.csv,no
With rosted flesh or milk and wastelbreed,u Su S u S u SuS,u Su S u S u SuS,train,GP_gui_complete.csv,yes
Gan for to wondren in my minde,u S u Su S u Sx,u S u Su S u Sx,train,HF_gui_complete.csv,yes
For I wol telle forth as I bigan,u S u Su S u S uS,u S u Su S u S uS,train,KnT_gui_complete.csv,yes
As was on him was nought withouten faile,u S u S u S uSu Sx,u S u S u S uSu Sx,train,TC2_gui_complete.csv,yes
Commending in his herte hir wommanhede,uSu S u Sx u SuSx,uSu S u Sx u SuSx,train,ClT_gui_complete.csv,yes
I loved alwey as after my conninge,u Su Su S ux S uSx,u Su Su S ux u S,train,PrT_gui_complete.csv,no
Ther as the cat was wont in for to crepe,u S u S u S u S u Sx,u S u S u S u S u Sx,train,MilT_gui_complete.csv,yes
His freend Pandare ycomen him to see,u S uSx uSu S u S,u S uSx uSu S u S,train,TC4_gui_complete.csv,yes
Putte in the fir of funeral servise,ux S u S u SuS uSx,ux S u S u SuS uSx,train,KnT_gui_complete.csv,yes
To tellen al the tale aright,u Su S u Sx uS,u Su S u Sx uS,train,HF_gui_complete.csv,yes
Ysworn ful depe and ech of us til other,uS u Sx u S u S u S,uS u Sx u S u S u S,train,KnT_gui_complete.csv,yes
For lakke of speche and doun the hors him caste,u Sx u Sx u S u S u Sx,u Sx u Sx u S u S u Sx,train,MancPro_gui_complete.csv,yes
For I am thin by God and by my trouthe,u S u S u S u S u Sx,u S u S u S u S u Sx,train,TC3_gui_complete.csv,yes
And to the yonder hille I gan hire gide,u S u Su Sx u S ux Sx,u S u Su Sx u S ux Sx,train,TC5_gui_complete.csv,yes
I take it so touchinge al this matere,u Sx u S uSx u S uSx,u Sx u S uSx u S uSx,train,TC5_gui_complete.csv,yes
And eek from every companie he fledde,u S u Sxu SuS u Sx,u S u SuS u S Sx,train,TC5_gui_complete.csv,no
And under hewe of trouthe in swich manere,u Su Sx u Sx u S uSx,u Su Sx u Sx u S uSx,train,SqT_gui_complete.csv,yes
Eleine in al hir goodly softe wise,uSx u S u Su Su Sx,uSx u S u Su Su Sx,train,TC2_gui_complete.csv,yes
Which a visage had she therto,u S uSx u S uS,u S uSx S x uS,train,BD_gui_complete.csv,no
To sleen him and to girden of his heed,u S u S u Su S u S,u S u S u Su S u S,train,MkT_gui_complete.csv,yes
Thise false lovers poison be hir bane,ux Su Su Su S u Sx,ux Su Su Su S u Sx,train,LGW_gui_complete.csv,yes
Til he cam to the carpenteres hous,u S u S u SuSu S,u S u S u S u,train,MilT_gui_complete.csv,no
More then the boundes of min honestee,ux S u Su S u SuS,ux S u Su S u Su,train,LGW_gui_complete.csv,no
And into Trace arriveth at the laste,u Su Sx uSu S u Sx,u Su Sx ux S u Sx,train,LGW_gui_complete.csv,no
Althogh I coud not mak so wele,uS u S u S u Sx,uS u S u S u Sx,train,BD_gui_complete.csv,yes
With nercotikes and opie of Thebes fin,u SuSx u Su S ux S,u S u Su S ux S,train,KnT_gui_complete.csv,no
And whoso goth to you the rihte wey,u Su S u S u Su S,u Su S u S u Su S,train,ABC_gui_complete.csv,yes
He never beter at ese was his live,u Su Su S ux S u Sx,u Su Su S ux S u Sx,train,LGW_gui_complete.csv,yes
For swich a joy she in hir herte took,u S u S u S u Su S,u S u S u S u Sx S,train,SqT_gui_complete.csv,no
In which that I was blisful wont to be,u S u S u Su S u S,u S u S u Su S u S,train,ClT_gui_complete.csv,yes
Alein spak first Al hail Simond yfaith,uS u S u S uS uS,uS u S u S uS ux,train,RvT_gui_complete.csv,no
Hir hous the chirche of Seint Cecilie highte,u S u Sx u S uSu Sx,u S u Sx u S u Sx,train,SNT_gui_complete.csv,no
And but thou wilt this ladi swete,u S u S u Su Sx,u S u S u Su Sx,train,BD_gui_complete.csv,yes
In pacience suffre al this array,u SuSu Sx u S uS,u SuSx Sx u u uS,train,ClT_gui_complete.csv,no
Than hoomly foo al day in thy presence,u Su S u S u S uSx,u Su S u S u S uSx,train,MerT_gui_complete.csv,yes
The see by nighte as any torche brende,u S u Sx u Su Su Sx,u S u Sx u Sx Su Sx,train,LGW_gui_complete.csv,no
Criseyde whan she redy was to ride,uSu S u Su S u Sx,uSu S u Su S u Sx,train,TC5_gui_complete.csv,yes
She may nat alwey duren in swich rage,u S u Su Su S u Sx,u S u Su Su S u Sx,train,FranT_gui_complete.csv,yes
I have quod he had a despit this day,u Sx u S u S uS u S,u Sx u S u S uS u S,train,SumT_gui_complete.csv,yes
And in the floor with nose and mouth tobroke,u S u S u Sx u S uSx,u S u S u Sx u S uSx,train,RvT_gui_complete.csv,yes
But after whan the furie and the rage,u Su S u Su S u Sx,u Su S u Su S u Sx,train,TC4_gui_complete.csv,yes
The miller shold nat stele hem half a pekke,u Su S u Sx u S u Sx,u Su S u Sx u S u Sx,train,RvT_gui_complete.csv,yes
Than entermeten him of such doinge,S uSuS u S u Sx,u Sx u S u Sx,train,PF_gui_complete.csv,no
That this was doon of malis hir to fonde,u S u S u Su S u Sx,u S u S u Su S u Sx,train,TC3_gui_complete.csv,yes
Amonges us wolde infecte al a toun,uSu S ux Sux S u S,uSu S ux Sux S u S,train,CYT_gui_complete.csv,yes
Of quene Anelida and fals Arcite,u Sx uSuS u S uSx,u Sx uSuS u S uSx,train,Anelida_gui_complete.csv,yes
For they for contemplacioun,u S u SuSuS,u S u Su,train,HF_gui_complete.csv,no
Ne shewed she that hir was doon offence,u Su S u S u S uSx,u Su S u S u S uSx,train,ClT_gui_complete.csv,yes
And al the cost I wol myselven make,u S u S u S uSu Sx,u S u S u S uSu Sx,train,LGW_gui_complete.csv,yes
And mochel more for litel hevinesse,u Su Sx u Su SuSx,u Su Sx S Su SuSx,train,NPPro_gui_complete.csv,no
Whan ye ben his al hool as he is youre,u S u S u S u S u Sx,u S u S u S u S u Sx,train,TC2_gui_complete.csv,yes
Thogh that he multiplie terme of his live,u S u SuS ux S u Sx,u S u SuS ux S u Sx,train,CYT_gui_complete.csv,yes
Ne herde never no man me beforn,u Su Su S u S uS,u Sx uS S u x Su,train,PF_gui_complete.csv,no
And that hir trouth she swoor thurgh innocence,u S u S u S u SuSx,u S u S x S u SuSx,train,FranT_gui_complete.csv,no
Ye hardily right in thy beste gere,u SuS u S u Su Sx,u SuS u S u Sx Sx,train,TC2_gui_complete.csv,no
And him with al hir wit to recomforte,u S u S u S u SuSx,u S u S u S u S,train,TC2_gui_complete.csv,no
Beth war for whan that fortune list to glose,u S u S u Sux S u Sx,u S u S u Sux S u Sx,train,MkT_gui_complete.csv,yes
And reson wolde eek that he moste go,u Su Sx u S u Su S,u Su Sx u S u Su S,train,SqT_gui_complete.csv,yes
And seiden al that swich a wonder thing,u Su S u S u Su S,u Su S u S u Su S,train,SqT_gui_complete.csv,yes
And thus hir wardeins wolde they deceive,u S u Su Su S uSx,u S u Su ux S uSx,train,LGW_gui_complete.csv,no
For he that nought nassaieth nought nacheveth,u S u S uSu S uSx,u S u S uSu S uSx,train,TC5_gui_complete.csv,yes
I shulde bothe here and see,u Su Su Sx u S,u Sx ux Sx u S,train,HF_gui_complete.csv,no
For sondry scoles maken sotil clerkis,u Su Su Sx uS uS,u Su Sx Su uS ux,train,MerT_gui_complete.csv,no
Thou Eolus thou king of Trace,S uS u S u Sx,S uS u S u Sx,train,HF_gui_complete.csv,yes
And telleth me of your sorwes smerte,u Su x S u Su Sx,u Su u S u Su Sx,train,BD_gui_complete.csv,no
For he is caught up in another lees,u S u S u S uSu S,u S u S u S u S,train,Anelida_gui_complete.csv,no
Of contracts and of lakke of sacraments,u Su S u Sx u SuS,u Su S u Sx u S,train,FriT_gui_complete.csv,no
Hath nat to parten with a theves dede,u S u Su S u Su Sx,u S u Su S u Su Sx,train,LGW_FPro_gui_complete.csv,yes
Snowes hailes reines windes,uS uS uS uS,uS uS uS uS,train,HF_gui_complete.csv,yes
Discreet she was in answering alway,uS u S u SuS uS,uS u S u S uS,train,PhyT_gui_complete.csv,no
Doun fille as shour in Aperill ful swithe,u Sx u S u SuS u Sx,u Sx u S u SuS u Sx,train,TC4_gui_complete.csv,yes
And right anoon thou shalt see weel,u S uS u S u S,u S uS u S u S,train,HF_gui_complete.csv,yes
That every wight but he be fool of kinde,u Sxu S u S u S u Sx,u Sxu S u S u S u Sx,train,TC2_gui_complete.csv,yes
Anoon Argus his shippes gan devise,uS uS u Su S uSx,uS uS u Su S uSx,train,LGW_gui_complete.csv,yes
Now with his love now in his colde grave,u S u Sx u S u Su Sx,u S u Sx u S u Su Sx,train,KnT_gui_complete.csv,yes
Do now your devoir yonge knightes proude,u S u Su Su Su Sx,u S u Su Su Su Sx,train,KnT_gui_complete.csv,yes
How they wold slee the hert with strengthe,u S u S u S u Sx,u S u S u S u Sx,train,BD_gui_complete.csv,yes
That man is bounden to his observaunce,u S u Su S u SuSx,u S u Su S u SuSx,train,KnT_gui_complete.csv,yes
To ben your page and serven yow right here,u S u Sx u Su S u Sx,u S u Sx u Su S u Sx,train,LGW_gui_complete.csv,yes
To Pruise and into Tartarie,u Sx u Su SuS,u Sx u Su SuS,train,BD_gui_complete.csv,yes
He estward hath upon the gate above,u Su S uS u Sx uSx,u Su S uS u Sx uSx,train,KnT_gui_complete.csv,yes
With Arcita in stories as men finde,u Sux S uSu S u Sx,u Sux S uSu S u Sx,train,KnT_gui_complete.csv,yes
Ful streite lest they diden som folie,u Su S u Su S uS,u Su S u Su S uS,train,LGW_gui_complete.csv,yes
But if for love of som Troyan it were,u S u Sx u S uS u Sx,u S u Sx u S uS u Sx,train,TC5_gui_complete.csv,yes
Whan that the sparhauk hath it in his foot,u S u Su S u S u S,u S u Su S u S u S,train,TC3_gui_complete.csv,yes
I wol no lenger tarien in this cas,u S u Sx uSu S u S,u S u Sx uSu S u S,train,MLT_gui_complete.csv,yes
For hir vertu and for hir thewes,u S uS u S u Sx,u S uS u S u Sx,train,HF_gui_complete.csv,yes
Quod he And so forth bar he me,u S u S u S u S,u S u S u S u S,train,HF_gui_complete.csv,yes
Thus pleineth John as he goth by the way,u Su S u S u S u S,u Su S u S u S u S,train,RvT_gui_complete.csv,yes
And of hir clothing took he the mesure,u S u Su S u S uSx,u S u Su S u S ux,train,ClT_gui_complete.csv,no
And whan thise idel wordes weren said,u S ux Su Su Su S,u S ux Su Su Su S,train,LGW_gui_complete.csv,yes
And in a path he rometh up and doun,u S u S u Su S u S,u S u S u Su S u S,train,KnT_gui_complete.csv,yes
Tomorwe day if that thee liketh here,uSu S u S u Su Sx,uSu S u S u Su Sx,train,TC3_gui_complete.csv,yes
Egiste to his chambre faste him spedde,uSu S u Su Sx u Sx,uSx S u Su Sx u Sx,train,LGW_gui_complete.csv,no
And ay the more that desir me biteth,u S u Sx u Su S uS,u S u Sx u Su S uS,train,TC3_gui_complete.csv,yes
This Absolon doun sette him on his knees,u SuS u Sx u S u S,u SuS u Sx u S u S,train,MilT_gui_complete.csv,yes
As I have seid what wilt thou more,u S ux S u S u Sx,u S ux S u S u Sx,train,HF_gui_complete.csv,yes
Seid to our Host So God my soule blesse,u S u S u S u Su Sx,u S u S u S u Sx Sx,train,MancPro_gui_complete.csv,no
To fecchen water at a welle is went,u Su Su S u Sx u S,u Su Su S u Sx u S,train,ClT_gui_complete.csv,yes
With al min herte of mercy ever I preye,u S u Sx u Su S u S,u S u Sx u Su S u S,train,TC5_gui_complete.csv,yes
Thise noble wives and thise loveres eek,ux Su Su S ux Sux S,ux Su Su S ux Sux u,train,MLPro_gui_complete.csv,no
But goldlees for to be it is no game,u Su S u S u S u Sx,u Su S u S u S u Sx,train,ShipT_gui_complete.csv,yes
That whan they have a certein purpos take,u S u Sx u Su Su Sx,u S u Sx u Su Su Sx,train,ClT_gui_complete.csv,yes
Of it and floor and roof and al,u S u S u S u S,u S u S u S u S,train,HF_gui_complete.csv,yes
And a brat to walke inne by daylight,u S u S ux Su S uS,u S S u Sx Su S uS,train,CYT_gui_complete.csv,no
She knew min herte and eek my privetee,u S u Sx u S u SuS,u S u Sx u S u SuS,train,WBPro_gui_complete.csv,yes
That blosmeth er that fruit ywoxen be,u Su S u S uSu S,u Su S u S u S,train,MerT_gui_complete.csv,no
He knew the tavernes wel in every toun,u S u Sux S u Sxu S,u S u Sux S u Sxu u,train,GP_gui_complete.csv,no
In Cartage or in Macedoine,u Sux S u SuSx,u Sux u u S,train,BD_gui_complete.csv,no
For that the prescience hath seyn bifore,u S u SuSx u S uSx,u S u SuSx u S uSx,train,TC4_gui_complete.csv,yes
The god of love answerde hir thus anoon,u S u Sx uSx u S uS,u S u Sx uSx u S uS,train,LGW_FPro_gui_complete.csv,yes
As ye han herd and whan that I had songe,u S u S u S u S u Sx,u S u S u S u S u Sx,train,PrT_gui_complete.csv,yes
Of dame Custance and theron mused he,u Sx uSx u Su Su S,u Sx uSx u Su Su S,train,MLT_gui_complete.csv,yes
And Pandarus that sey his wode peine,u SuS u S u Su Sx,u SuS u S u Sx Sx,train,TC2_gui_complete.csv,no
An hundred time and on his wey him spedde,u Su Sx u S u S u Sx,u Su Sx u S u S u Sx,train,TC3_gui_complete.csv,yes
The hunte strangled with the wilde beres,u Su Su S u Sx uS,u Su Su S u Sx uS,train,KnT_gui_complete.csv,yes
So wel that never sith that she was born,u S u Su S u S u S,u S u Su S u S u S,train,TC2_gui_complete.csv,yes
Of weping whan I am allon,u Su S u S uS,u Su S u S uS,train,BD_gui_complete.csv,yes
I have so many an idel thoght,u Sx u Sx u Su S,u Sx u Sx u Su S,train,BD_gui_complete.csv,yes
To Troilus as I shal yow devise,u SuS u S u S uSx,u SuS u S u S uSx,train,TC3_gui_complete.csv,yes
Ye archewives stondeth at defence,u SuSu Su S uSx,u S Su u uSx,train,ClT_gui_complete.csv,no
And in a purs of silk heng on his sherte,u S u S u S u S u Sx,u S u S u S u S u Sx,train,MerT_gui_complete.csv,yes
Upon the floor and ther aswowne he lay,uS u S u S uSx u S,uS u S u S uSx u S,train,MilT_gui_complete.csv,yes
And thurgh the strete men might ride or wende,u S u Su S u Sx u Sx,u S u Su S u Sx u Sx,train,PrT_gui_complete.csv,yes
I herde a grete noise withalle,u Sx u Su Sx uSx,u Sx u Su Sx uSx,train,HF_gui_complete.csv,yes
And heer is gold and that ful greet plentee,u S u S u S u S uS,u S u S u S u S uS,train,PardT_gui_complete.csv,yes
Now lord quod she Crist Jesu king of kinges,u S u x S uS u S uS,u S u x S uS u S uS,train,FriT_gui_complete.csv,yes
Soche a tempest gan to rise,Sx u Su S u Sx,Sx u Su S u Sx,train,BD_gui_complete.csv,yes
In arsmetrike shal ther no man finde,u SuSu S u S u Sx,u Sux S u S u Sx,train,SumT_gui_complete.csv,no
He nought forbet that every creature,u S uS u Sxu SuSx,u S uS u Sxu SuSx,train,TC2_gui_complete.csv,yes
To maken of hir speche aright an ende,u Su S u Sx uS u Sx,u Su S u Sx uS u Sx,train,TC3_gui_complete.csv,yes
Gan on his brest to bete and after crowe,u S u S u Sx u Su Sx,u S u S u Sx u Su Sx,train,TC3_gui_complete.csv,yes
And Pandarus to thanke and maken chere,u SuS u Sx u Su Sx,u SuS u Sx u Su Sx,train,TC3_gui_complete.csv,yes
Or elles longe may he nat endure,u Su Su S u S uSx,u Su Sx S u S uSx,train,MerT_gui_complete.csv,no
That I mote of a traitour have a name,u S ux S u Su Sx u Sx,u S ux S u Su Sx u Sx,train,LGW_gui_complete.csv,yes
O Phebus thenk whan Dane hirselven shette,u Su S u Sx uSu Sx,u Su S u Sx uSx Sx,train,TC3_gui_complete.csv,no
With the nones that thou do so,u S uS u S u S,u S uS u S u S,train,HF_gui_complete.csv,yes
Alla the king comth hoom sone after this,uS u S u S ux Su S,uS u S u S ux Su S,train,MLT_gui_complete.csv,yes
For he was late ycome from his viage,u S u Sx uSx u S uSx,u S u Sx uSx S S uSx,train,GP_gui_complete.csv,no
But I wot best wher wringeth me my sho,u S u S u Su S u S,u S u S u Su S u S,train,MerT_gui_complete.csv,yes
Thilke that unbrende were,Su S uSu Sx,ux u u Sx,train,HF_gui_complete.csv,no
And of his batail and in what disjoint,u S u Su S u S uS,u S u Su S u S uS,train,LGW_gui_complete.csv,yes
That saw in dreme at point devis,u S u Sx u S uS,u S u Sx u S uS,train,HF_gui_complete.csv,yes
And in a forest as they wente,u S u Su S u Sx,u S u Su S u Sx,train,HF_gui_complete.csv,yes
Thus sondry peines bringen folk to hevene,u Su Su Su S u Sxx,u Su Su Su S u Sxx,train,TC3_gui_complete.csv,yes
In what array he saugh this ilke man,u S uS u S u Su S,u S uS u S u Sx u,train,MilT_gui_complete.csv,no
Tel forth your tale leve maister deere,u S u Su Su Su Sx,u S u Su Sx Su Sx,train,FriPro_gui_complete.csv,no
Ye wolde nat seyn thise wordes unto me,u Sx u S ux Su Su S,u Sx u S ux Su Su S,train,MerT_gui_complete.csv,yes
But litel fro his declinacioun,u Su S u SuSuS,u Su S u S,train,MerT_gui_complete.csv,no
For certeinly if that ye mighte see,u SuS u S u Su S,u SuS u S u Su S,train,MerT_gui_complete.csv,yes
And Troilus to Troy homwarde he wente,u SuS u S uSx u Sx,u SuS u S uSx u Sx,train,TC5_gui_complete.csv,yes
So wel that no man coude hir pris amende,u S u S u Sx u S uSx,u S u S u Sx u S uSx,train,ClT_gui_complete.csv,yes
In compaignie we wol have no debaat,u SuS u S ux S uS,u SuS u S ux S uS,train,FriPro_gui_complete.csv,yes
Do thin entent to herkene it,u S uS u Sux S,u S uS u S u,train,BD_gui_complete.csv,no
And seide Lord al thin be that I have,u Su S u S u S u Sx,u Su S u S u S u Sx,train,TC2_gui_complete.csv,yes
But therof set the miller nat a tare,u Su S u Su S u Sx,u Su S u Su S u Sx,train,RvT_gui_complete.csv,yes
