headword,word,tag,line_number,filename,context,text_type,reason,oxford_context,riverside_context,oxford_reason,riverside_reason
ben,is,v%pr_3,The Miller's Tale 3580,data/oxford_txts/MilT_oxford.txt,"Good morwe, I se thee wel, for it is day.’",BOTH,Present 3rd sg must end in -th,"Good morwe, I se thee wel, for it is day.’",Good morwe I se thee wel for it is day,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,a,v%pr_3,The Merchant's Tale 1924,data/oxford_txts/MerT_oxford.txt,"Doth him disport,° he is a gentil man;",BOTH,Present 3rd sg must end in -th,"Doth him disport,° he is a gentil man;",Dooth hym disport he is a gentil man,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%inf,The Nun's Priest's Tale 2900,data/oxford_txts/NPT_oxford.txt,"Was lik° an hound, and wolde han maad areste",BOTH,Infinitive must end in -en or -e,"Was lik° an hound, and wolde han maad areste",Was lyk an hound and wolde han maad areest,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,hadde,v%pt_1,Parliament of Fowls 90,data/oxford_txts/PF_oxford.txt,"For bothe I hadde thing which that I nolde,°",BOTH,"Weak pt sg must end in -ed, -d, or -t","For bothe I hadde thing which that I nolde,°",For bothe I hadde thyng which that I nolde,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
shenden,shente,v%pr_3,Troilus and Criseyde; Book II 357,data/oxford_txts/TC2_oxford.txt,"Thorugh min abet, that he thin honour shente.",BOTH,Present 3rd sg must end in -th,"Thorugh min abet, that he thin honour shente.",Thorugh myn abet that he thyn honour shente,Present 3rd sg must end in -th,Present 3rd sg must end in -th
witen,woot,v%pr_3,The Physician's Tale 282,data/oxford_txts/PhyT_oxford.txt,That no man woot therof° but° God and he.,BOTH,Present 3rd sg must end in -th,That no man woot therof° but° God and he.,That no man woot therof but God and he,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book V 1065,data/oxford_txts/TC5_oxford.txt,"“They wol seyn, in as muche as in me is",BOTH,Present 3rd sg must end in -th,"“They wol seyn, in as muche as in me is",Thei wol seyn in as muche as in me is,Present 3rd sg must end in -th,Present 3rd sg must end in -th
shulen,shul,v%pr_pl,The Clerk's Tale 170,data/oxford_txts/ClT_oxford.txt,Again my chois shul neither grucche° ne strive;°,BOTH,Present plural must end in -en or -e,Again my chois shul neither grucche° ne strive;°,Agayn my choys shul neither grucche ne stryve,Present plural must end in -en or -e,Present plural must end in -en or -e
haven,hadde,v%pt_3,The Miller's Tale 3774,data/oxford_txts/MilT_oxford.txt,He hadde more tow° on his distaf°,BOTH,"Weak pt sg must end in -ed, -d, or -t",He hadde more tow° on his distaf°,He hadde moore tow on his distaf,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
don,do,v%inf,The Franklin's Tale 1561,data/oxford_txts/FranT_oxford.txt,Unto this philosophre! how shal I do?°,BOTH,Infinitive must end in -en or -e,Unto this philosophre! how shal I do?°,Unto this philosophre How shal I do,Infinitive must end in -en or -e,Infinitive must end in -en or -e
mouen,may,v%pr_pl,Troilus and Criseyde; Book IV 1194,data/oxford_txts/TC4_oxford.txt,"Criseyde, and sin ye may do me no werse",BOTH,Present plural must end in -en or -e,"Criseyde, and sin ye may do me no werse",Criseyde and syn ye may do me no werse,Present plural must end in -en or -e,Present plural must end in -en or -e
ben,be,v%pr_3,House of Fame 738,data/oxford_txts/HF_oxford.txt,That any thing that hevy be,BOTH,Present 3rd sg must end in -th,That any thing that hevy be,That any thing that hevy be,Present 3rd sg must end in -th,Present 3rd sg must end in -th
mouen,may,v%pr_3,The Physician's Tale 23,data/oxford_txts/PhyT_oxford.txt,"Under the mone, that may wane° and waxe,°",BOTH,Present 3rd sg must end in -th,"Under the mone, that may wane° and waxe,°",Under the moone that may wane and waxe,Present 3rd sg must end in -th,Present 3rd sg must end in -th
mouen,may,v%pr_3,The Manciple's Tale 184,data/oxford_txts/MancT_oxford.txt,The lewedeste° wolf that she may finde,BOTH,Present 3rd sg must end in -th,The lewedeste° wolf that she may finde,The lewedeste wolf that she may fynde,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%pr_pl,The Summoner's Tale 1860,data/oxford_txts/SumT_oxford.txt,That han been trewe freres fifty yeer;,BOTH,Present plural must end in -en or -e,That han been trewe freres fifty yeer;,That han been trewe freres fifty yeer,Present plural must end in -en or -e,Present plural must end in -en or -e
speden,spedde,v%pt_3,Troilus and Criseyde; Book II 686,data/oxford_txts/TC2_oxford.txt,God woot that wel the soner spedde he.,BOTH,"Weak pt sg must end in -ed, -d, or -t",God woot that wel the soner spedde he.,God woot that wel the sonner spedde he,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
brennen,brende,v%pt_3,The Nun's Priest's Tale 3370,data/oxford_txts/NPT_oxford.txt,"As, whan that Nero brende° the citee",BOTH,"Weak pt sg must end in -ed, -d, or -t","As, whan that Nero brende° the citee",As whan that Nero brende the citee,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
casten,caste,v%pt_3,Troilus and Criseyde; Book III 155,data/oxford_txts/TC3_oxford.txt,With that she gan hir eyen on him caste,BOTH,"Weak pt sg must end in -ed, -d, or -t",With that she gan hir eyen on him caste,With that she gan hire eyen on hym caste,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
willen,wol,v%pr_3,Troilus and Criseyde; Book V 1137,data/oxford_txts/TC5_oxford.txt,"That er she come, it wol neigh even be.",BOTH,Present 3rd sg must end in -th,"That er she come, it wol neigh even be.",That er she come it wol neigh even be,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Merchant's Tale 1730,data/oxford_txts/MerT_oxford.txt,"Ymenëus, that God of wedding is",BOTH,Present 3rd sg must end in -th,"Ymenëus, that God of wedding is",Ymeneus that god of weddyng is,Present 3rd sg must end in -th,Present 3rd sg must end in -th
connen,can,v%pr_3,The Knight's Tale 1780,data/oxford_txts/KnT_oxford.txt,That in swich cas can no divisioun,BOTH,Present 3rd sg must end in -th,That in swich cas can no divisioun,That in swich cas kan no divisioun,Present 3rd sg must end in -th,Present 3rd sg must end in -th
gon,go,v%inf,The Wife of Bath's Prologue 657,data/oxford_txts/WBPro_oxford.txt,"And suffreth his wife to go seken halwes,°",BOTH,Infinitive must end in -en or -e,"And suffreth his wife to go seken halwes,°",And suffreth his wyf to go seken halwes,Infinitive must end in -en or -e,Infinitive must end in -en or -e
moten,mot,v%pr_3,The Canon's Yeoman's Tale 1280,data/oxford_txts/CYT_oxford.txt,"But° it a fool be, woot° wel it mot nede,°",BOTH,Present 3rd sg must end in -th,"But° it a fool be, woot° wel it mot nede,°",But it a fool be woot wel it moot nede,Present 3rd sg must end in -th,Present 3rd sg must end in -th
connen,kan,v%pr_3,Troilus and Criseyde; Book II 895,data/oxford_txts/TC2_oxford.txt,Aught fair in heven; why? for they kan telle;,BOTH,Present 3rd sg must end in -th,Aught fair in heven; why? for they kan telle;,Aught fair in hevene Why For they kan telle,Present 3rd sg must end in -th,Present 3rd sg must end in -th
helpen,help,v%pr_3,The Shipman's Tale 170,data/oxford_txts/ShipT_oxford.txt,"As help me God, he is noght worth at al",BOTH,Present 3rd sg must end in -th,"As help me God, he is noght worth at al",As helpe me God he is noght worth at al,Present 3rd sg must end in -th,Present 3rd sg must end in -th
gon,goon,v%inf,The Canon's Yeoman's Tale 1416,data/oxford_txts/CYT_oxford.txt,As for to goon besides° in the weye.,BOTH,Infinitive must end in -en or -e,As for to goon besides° in the weye.,As for to goon bisides in the weye,Infinitive must end in -en or -e,Infinitive must end in -en or -e
stonden,stant,v%pr_3,The Shipman's Tale 114,data/oxford_txts/ShipT_oxford.txt,"“Nay, cosin min, it stant° nat so with me.",BOTH,Present 3rd sg must end in -th,"“Nay, cosin min, it stant° nat so with me.",Nay cosyn myn it stant nat so with me,Present 3rd sg must end in -th,Present 3rd sg must end in -th
mouen,may,v%pr_pl,House of Fame 1759,data/oxford_txts/HF_oxford.txt,Thogh we may not the body have,BOTH,Present plural must end in -en or -e,Thogh we may not the body have,Thogh we may not the body have,Present plural must end in -en or -e,Present plural must end in -en or -e
mouen,may,v%pr_pl,The Knight's Tale 2993,data/oxford_txts/KnT_oxford.txt,"In certein boundes, that they may nat flee;°",BOTH,Present plural must end in -en or -e,"In certein boundes, that they may nat flee;°",In certeyn boundes that they may nat flee,Present plural must end in -en or -e,Present plural must end in -en or -e
gon,go,v%inf,The Summoner's Tale 1942,data/oxford_txts/SumT_oxford.txt,"Thomas! Thomas! so mote I ride or go,°",BOTH,Infinitive must end in -en or -e,"Thomas! Thomas! so mote I ride or go,°",Thomas Thomas So moote I ryde or go,Infinitive must end in -en or -e,Infinitive must end in -en or -e
mouen,may,v%pr_3,Troilus and Criseyde; Book IV 1164,data/oxford_txts/TC4_oxford.txt,"For signe of lif, for ought he can or may",BOTH,Present 3rd sg must end in -th,"For signe of lif, for ought he can or may",For signe of lif for aught he kan or may,Present 3rd sg must end in -th,Present 3rd sg must end in -th
gon,gon,v%pr_pl,The Franklin's Tale 1490,data/oxford_txts/FranT_oxford.txt,"They take° hir° leve, and on hir wey they gon;",BOTH,Present plural must end in -en or -e,"They take° hir° leve, and on hir wey they gon;",They take hir leve and on hir wey they gon,Present plural must end in -en or -e,Present plural must end in -en or -e
ben,be,v%pr_3,Troilus and Criseyde; Book I 385,data/oxford_txts/TC1_oxford.txt,"Yelt bittre fruit, though swete seed be sowe.",BOTH,Present 3rd sg must end in -th,"Yelt bittre fruit, though swete seed be sowe.",Yelt bittre fruyt though swete seed be sowe,Present 3rd sg must end in -th,Present 3rd sg must end in -th
witen,woot,v%pr_3,Troilus and Criseyde; Book II 890,data/oxford_txts/TC2_oxford.txt,“But wene ye that every wrecche woot,BOTH,Present 3rd sg must end in -th,“But wene ye that every wrecche woot,But wene ye that every wrecche woot,Present 3rd sg must end in -th,Present 3rd sg must end in -th
willen,wol,v%pr_pl,The Shipman's Tale 268,data/oxford_txts/ShipT_oxford.txt,"It shal be doon, right as ye wol devise.°",BOTH,Present plural must end in -en or -e,"It shal be doon, right as ye wol devise.°",It shal be doon right as ye wol devyse,Present plural must end in -en or -e,Present plural must end in -en or -e
willen,wol,v%pr_3,Troilus and Criseyde; Book V 479,data/oxford_txts/TC5_oxford.txt,Til Sarpedoun wol forth congeyen us?,BOTH,Present 3rd sg must end in -th,Til Sarpedoun wol forth congeyen us?,Til Sarpedoun wol forth congeyen us,Present 3rd sg must end in -th,Present 3rd sg must end in -th
saven,save,v%pr_3,House of Fame 1135,data/oxford_txts/HF_oxford.txt,"That heron bilt, God so me save!”",BOTH,Present 3rd sg must end in -th,"That heron bilt, God so me save!”",That hereon bilt God so me save,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 1373,data/oxford_txts/TC2_oxford.txt,“Paraunter thenkestow: though it be so,BOTH,Present 3rd sg must end in -th,“Paraunter thenkestow: though it be so,Peraunter thynkestow though it be so,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,have,v%pr_3,Troilus and Criseyde; Book II 1686,data/oxford_txts/TC2_oxford.txt,"Have God my trouthe, hir cause to sustene.”",BOTH,Present 3rd sg must end in -th,"Have God my trouthe, hir cause to sustene.”",Have God my trouthe hire cause to sustene,Present 3rd sg must end in -th,Present 3rd sg must end in -th
mouen,may,v%pr_pl,The Knight's Tale 1107,data/oxford_txts/KnT_oxford.txt,Out of this prisoun help that we may scapen.°,BOTH,Present plural must end in -en or -e,Out of this prisoun help that we may scapen.°,Out of this prisoun help that we may scapen,Present plural must end in -en or -e,Present plural must end in -en or -e
liken,like,v%pr_3,Troilus and Criseyde; Book IV 101,data/oxford_txts/TC4_oxford.txt,"But now or never, if that it like yow",BOTH,Present 3rd sg must end in -th,"But now or never, if that it like yow",But now or nevere if that it like yow,Present 3rd sg must end in -th,Present 3rd sg must end in -th
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 212,data/oxford_txts/TC2_oxford.txt,And namelich of wommen? wol ye so?,BOTH,Present plural must end in -en or -e,And namelich of wommen? wol ye so?,And namelich of wommen Wol ye so,Present plural must end in -en or -e,Present plural must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book IV 843,data/oxford_txts/TC4_oxford.txt,Out of my woful body harm ther noon is,BOTH,Present 3rd sg must end in -th,Out of my woful body harm ther noon is,Out of my woful body harm ther noon is,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,had,v%pt_pl,Book of the Duchess 977,data/oxford_txts/BD_oxford.txt,For wherso men had pleid or waked,BOTH,Past plural must end in -en or -e,For wherso men had pleid or waked,For wherso men had pleyd or waked,Past plural must end in -en or -e,Past plural must end in -en or -e
ben,is,v%pr_3,House of Fame 490,data/oxford_txts/HF_oxford.txt,That is yformed by nature,BOTH,Present 3rd sg must end in -th,That is yformed by nature,That ys yformed be Nature,Present 3rd sg must end in -th,Present 3rd sg must end in -th
wepen,wepte,v%pt_3,Troilus and Criseyde; Book IV 353,data/oxford_txts/TC4_oxford.txt,"And Pandare, that ful tendreliche wepte",BOTH,Strong pt sg must not end in -en or -e,"And Pandare, that ful tendreliche wepte",And Pandare that ful tendreliche wepte,Strong pt sg must not end in -en or -e,Strong pt sg must not end in -en or -e
shulen,shal,v%pr_3,The Knight's Tale 1466,data/oxford_txts/KnT_oxford.txt,"(As, whan a thing is shapen, it shal be)",BOTH,Present 3rd sg must end in -th,"(As, whan a thing is shapen, it shal be)",As whan a thyng is shapen it shal be,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Knight's Tale 1111,data/oxford_txts/KnT_oxford.txt,That is so lowe ybroght by tirannie.”,BOTH,Present 3rd sg must end in -th,That is so lowe ybroght by tirannie.”,That is so lowe ybroght by tirannye,Present 3rd sg must end in -th,Present 3rd sg must end in -th
mouen,may,v%pr_3,The Knight's Tale 2730,data/oxford_txts/KnT_oxford.txt,Ther may no man clepen° it cowardie.,BOTH,Present 3rd sg must end in -th,Ther may no man clepen° it cowardie.,Ther may no man clepen it cowardye,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,be,v%pr_3,The Manciple's Tale 214,data/oxford_txts/MancT_oxford.txt,If of hir body dishonest she be,BOTH,Present 3rd sg must end in -th,If of hir body dishonest she be,If of hir body dishonest she bee,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Knight's Tale 2644,data/oxford_txts/KnT_oxford.txt,The stronge king Ligurge is born adoun;,BOTH,Present 3rd sg must end in -th,The stronge king Ligurge is born adoun;,The stronge kyng Lygurge is born adoun,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%inf,Troilus and Criseyde; Book IV 1476,data/oxford_txts/TC4_oxford.txt,"And Troilus, of whom ye nil han routhe",BOTH,Infinitive must end in -en or -e,"And Troilus, of whom ye nil han routhe",And Troilus of whom ye nyl han routhe,Infinitive must end in -en or -e,Infinitive must end in -en or -e
ben,is,v%pr_3,The Summoner's Tale 1791,data/oxford_txts/SumT_oxford.txt,"For it is hard to° yow, as I suppose",BOTH,Present 3rd sg must end in -th,"For it is hard to° yow, as I suppose",For it is hard to yow as I suppose,Present 3rd sg must end in -th,Present 3rd sg must end in -th
willen,wol,v%pr_pl,The Wife of Bath's Prologue 836,data/oxford_txts/WBPro_oxford.txt,Wol falle in every dish and eek matere.°,BOTH,Present plural must end in -en or -e,Wol falle in every dish and eek matere.°,Wol falle in every dyssh and eek mateere,Present plural must end in -en or -e,Present plural must end in -en or -e
thurven,thar,v%pr_3,The Manciple's Tale 352,data/oxford_txts/MancT_oxford.txt,Thee thar nat° drede for to be biwreid;°,BOTH,Present 3rd sg must end in -th,Thee thar nat° drede for to be biwreid;°,Thee thar nat drede for to be biwreyd,Present 3rd sg must end in -th,Present 3rd sg must end in -th
helpen,help,v%pr_3,Troilus and Criseyde; Book III 1058,data/oxford_txts/TC3_oxford.txt,But now help God to quenchen al this sorwe,BOTH,Present 3rd sg must end in -th,But now help God to quenchen al this sorwe,But now help God to quenchen al this sorwe,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book III 1606,data/oxford_txts/TC3_oxford.txt,So inly fair and goodly as is she,BOTH,Present 3rd sg must end in -th,So inly fair and goodly as is she,So inly fair and goodly as is she,Present 3rd sg must end in -th,Present 3rd sg must end in -th
gon,go,v%inf,Troilus and Criseyde; Book IV 222,data/oxford_txts/TC4_oxford.txt,The whiche he bad out faste for to go,BOTH,Infinitive must end in -en or -e,The whiche he bad out faste for to go,The which he bad out faste for to go,Infinitive must end in -en or -e,Infinitive must end in -en or -e
connen,can,v%pr_3,The Knight's Tale 1808,data/oxford_txts/KnT_oxford.txt,Can° hem therfor as muche thank as me;,BOTH,Present 3rd sg must end in -th,Can° hem therfor as muche thank as me;,Kan hem therfore as muche thank as me,Present 3rd sg must end in -th,Present 3rd sg must end in -th
helpen,help,v%pr_3,The Merchant's Tale 2392,data/oxford_txts/MerT_oxford.txt,"God help me so, as I am ivel apaid.°",BOTH,Present 3rd sg must end in -th,"God help me so, as I am ivel apaid.°",God helpe me so as I am yvele apayd,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Parliament of Fowls 408,data/oxford_txts/PF_oxford.txt,Mot° be the chois of everich that is here,BOTH,Present 3rd sg must end in -th,Mot° be the chois of everich that is here,Mot be the choys of everich that is heere,Present 3rd sg must end in -th,Present 3rd sg must end in -th
quethen,quod,v%pt_pl,Parliament of Fowls 540,data/oxford_txts/PF_oxford.txt,“Al redy!” quod these egles tercels tho.,BOTH,Past plural must end in -en or -e,“Al redy!” quod these egles tercels tho.,Al redy quod these egles tercels tho,Past plural must end in -en or -e,Past plural must end in -en or -e
ben,is,v%pr_3,The Knight's Tale 1294,data/oxford_txts/KnT_oxford.txt,"More than is min, that sterve° here in a cage.",BOTH,Present 3rd sg must end in -th,"More than is min, that sterve° here in a cage.",Moore than is myn that sterve here in a cage,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Franklin's Tale 779,data/oxford_txts/FranT_oxford.txt,"For in this world, certein, ther no wight is",BOTH,Present 3rd sg must end in -th,"For in this world, certein, ther no wight is",For in this world certein ther no wight is,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Knight's Tale 2757,data/oxford_txts/KnT_oxford.txt,Al is tobrosten° thilke regioun,BOTH,Present 3rd sg must end in -th,Al is tobrosten° thilke regioun,Al is tobrosten thilke regioun,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%inf,The Second Nun's Tale 543,data/oxford_txts/SNT_oxford.txt,To han respit three dayes and namo,BOTH,Infinitive must end in -en or -e,To han respit three dayes and namo,To han respit thre dayes and namo,Infinitive must end in -en or -e,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book IV 766,data/oxford_txts/TC4_oxford.txt,"What is Criseyde worth, from Troilus?",BOTH,Present 3rd sg must end in -th,"What is Criseyde worth, from Troilus?",What is Criseyde worth from Troilus,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Pardoner's Tale 561,data/oxford_txts/PardT_oxford.txt,"He can no conseil° kepe, it is no drede.",BOTH,Present 3rd sg must end in -th,"He can no conseil° kepe, it is no drede.",He kan no conseil kepe it is no drede,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,hadde,v%pt_3,The Clerk's Tale 724,data/oxford_txts/ClT_oxford.txt,For° he a povre womman wedded hadde,BOTH,"Weak pt sg must end in -ed, -d, or -t",For° he a povre womman wedded hadde,For he a povre womman wedded hadde,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,Troilus and Criseyde; Book I 959,data/oxford_txts/TC1_oxford.txt,"And al is wel, if thou werke in this wise.",BOTH,Present 3rd sg must end in -th,"And al is wel, if thou werke in this wise.",And al is wel if thow werke in this wyse,Present 3rd sg must end in -th,Present 3rd sg must end in -th
moten,moot,v%pr_3,The Knight's Tale 3034,data/oxford_txts/KnT_oxford.txt,Thanne may I seyn that al this thing moot° deie.,BOTH,Present 3rd sg must end in -th,Thanne may I seyn that al this thing moot° deie.,Thanne may I seyn that al this thyng moot deye,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%inf,Troilus and Criseyde; Book IV 1585,data/oxford_txts/TC4_oxford.txt,"Eek ‘Whoso wol han leef, he leef mot lete’;",BOTH,Infinitive must end in -en or -e,"Eek ‘Whoso wol han leef, he leef mot lete’;",Ek Whoso wol han lief he lief moot lete,Infinitive must end in -en or -e,Infinitive must end in -en or -e
mouen,may,v%pr_3,The Knight's Tale 2245,data/oxford_txts/KnT_oxford.txt,"I recche° nat, but° it may bettre be",BOTH,Present 3rd sg must end in -th,"I recche° nat, but° it may bettre be",I recche nat but it may bettre be,Present 3rd sg must end in -th,Present 3rd sg must end in -th
shulen,shal,v%pr_3,The Merchant's Tale 2317,data/oxford_txts/MerT_oxford.txt,"Hir answer shal she have, I undertake;°",BOTH,Present 3rd sg must end in -th,"Hir answer shal she have, I undertake;°",Hir answere shal she have I undertake,Present 3rd sg must end in -th,Present 3rd sg must end in -th
