headword,word,line_number,filename,context,is_elided,is_final,text_type,oxford_context,riverside_context
bright,brighte,The Knight's Tale 2141,data/oxford_txts/KnT_oxford.txt,With nailes yelwe and brighte as any gold,True,False,BOTH,With nailes yelwe and brighte as any gold,With nayles yelewe and brighte as any gold
fals,false,The Manciple's Tale 295,data/oxford_txts/MancT_oxford.txt,"Now shaltow, false theef, thy song forgon,°",False,False,BOTH,"Now shaltow, false theef, thy song forgon,°",Now shaltow false theef thy song forgon
smal,smale,The Shipman's Tale 24,data/oxford_txts/ShipT_oxford.txt,"Amonges alle his gestes,° grete and smale",False,True,BOTH,"Amonges alle his gestes,° grete and smale",Amonges alle his gestes grete and smale
muche,moche,House of Fame 1358,data/oxford_txts/HF_oxford.txt,"Ful moche prees° of folk ther nas,°",False,False,BOTH,"Ful moche prees° of folk ther nas,°",Ful moche prees of folk ther nas
blak,blake,The Manciple's Tale 299,data/oxford_txts/MancT_oxford.txt,Thou and thin ofspring ever shul be blake,False,True,BOTH,Thou and thin ofspring ever shul be blake,Thou and thyn ofspryng evere shul be blake
yong,yonge,The Manciple's Tale 334,data/oxford_txts/MancT_oxford.txt,Thus lerne children whan that they ben yonge.—,False,True,BOTH,Thus lerne children whan that they ben yonge.—,Thus lerne children whan that they been yonge
ded,dede,Parliament of Fowls 187,data/oxford_txts/PF_oxford.txt,"And colde welle-stremes, nothing dede,°",False,True,BOTH,"And colde welle-stremes, nothing dede,°",And colde wellestremes nothyng dede
prive,privee,The Pardoner's Tale 675,data/oxford_txts/PardT_oxford.txt,"Ther cam a privee° theef, men clepeth° Deeth",False,False,BOTH,"Ther cam a privee° theef, men clepeth° Deeth",Ther cam a privee theef men clepeth Deeth
loue,lowe,The Knight's Tale 2299,data/oxford_txts/KnT_oxford.txt,Quene of the regne of Pluto derk and lowe,False,True,BOTH,Quene of the regne of Pluto derk and lowe,Queene of the regne of Pluto derk and lowe
wise,wise,The Wife of Bath's Tale 1027,data/oxford_txts/WBT_oxford.txt,"And many a widwe,° for that they ben wise",False,True,BOTH,"And many a widwe,° for that they ben wise",And many a wydwe for that they been wise
wid,wide,The Physician's Tale 112,data/oxford_txts/PhyT_oxford.txt,Bothe of hir beautee and hir bountee° wide;,False,True,BOTH,Bothe of hir beautee and hir bountee° wide;,Bothe of hir beautee and hir bountee wyde
wise,wise,Troilus and Criseyde; Book I 976,data/oxford_txts/TC1_oxford.txt,For this have I herd seide of wise ylered,False,False,BOTH,For this have I herd seide of wise ylered,For this have I herd seyd of wyse lered
yong,yonge,Troilus and Criseyde; Book I 130,data/oxford_txts/TC1_oxford.txt,"Kepte hir estat, and bothe of yonge and olde",True,False,BOTH,"Kepte hir estat, and bothe of yonge and olde",Kepte hir estat and both of yonge and olde
fals,false,The Wife of Bath's Prologue 800,data/oxford_txts/WBPro_oxford.txt,"‘O! hastow slain me, false theef?’° I seide",False,False,BOTH,"‘O! hastow slain me, false theef?’° I seide",O hastow slayn me false theef I seyde
queinte,queinte,Troilus and Criseyde; Book I 411,data/oxford_txts/TC1_oxford.txt,"O quike deeth, O swete harm so queinte",False,True,BOTH,"O quike deeth, O swete harm so queinte",O quike deth O swete harm so queynte
fresh,fresshe,Troilus and Criseyde; Book II 317,data/oxford_txts/TC2_oxford.txt,"The goode, wise, worthy, fresshe, and free",True,False,BOTH,"The goode, wise, worthy, fresshe, and free",The goode wise worthi fresshe and free
fair,faire,The Pardoner's Tale 774,data/oxford_txts/PardT_oxford.txt,For that° the florins been so faire and brighte,True,False,BOTH,For that° the florins been so faire and brighte,For that the floryns been so faire and brighte
heigh,hye,The Clerk's Tale 135,data/oxford_txts/ClT_oxford.txt,"And tak a wif, for hye Goddes sake;",False,False,BOTH,"And tak a wif, for hye Goddes sake;",And taak a wyf for hye Goddes sake
cler,clere,Sir Thopas 858,data/oxford_txts/Thop_oxford.txt,Of clooth of lake° fin and clere,False,True,BOTH,Of clooth of lake° fin and clere,Of cloth of lake fyn and cleere
red,rede,The Knight's Tale 1053,data/oxford_txts/KnT_oxford.txt,"She gadereth floures, party° white and rede",False,True,BOTH,"She gadereth floures, party° white and rede",She gadereth floures party white and rede
queinte,queinte,House of Fame 126,data/oxford_txts/HF_oxford.txt,And queinte° maner of figures,False,False,BOTH,And queinte° maner of figures,And queynte maner of figures
neue,newe,Troilus and Criseyde; Book IV 662,data/oxford_txts/TC4_oxford.txt,"Fro man to man, and made this tale al newe",False,True,BOTH,"Fro man to man, and made this tale al newe",Fro man to man and made this tale al newe
neue,newe,The Franklin's Tale 1015,data/oxford_txts/FranT_oxford.txt,But sodeinly bigonne revel° newe,False,True,BOTH,But sodeinly bigonne revel° newe,But sodeynly bigonne revel newe
olde,olde,The Wife of Bath's Prologue 642,data/oxford_txts/WBPro_oxford.txt,And me of olde Roman gestes° teche,False,False,BOTH,And me of olde Roman gestes° teche,And me of olde Romayn geestes teche
neue,newe,Troilus and Criseyde; Book II 305,data/oxford_txts/TC2_oxford.txt,And though my tale as now be to yow newe,False,True,BOTH,And though my tale as now be to yow newe,And though my tale as now be to yow newe
wise,wise,The Squire's Tale 376,data/oxford_txts/SqT_oxford.txt,"Thise olde wommen that been gladly wise,°",False,True,BOTH,"Thise olde wommen that been gladly wise,°",Thise olde wommen that been gladly wyse
wise,wise,The Canon's Yeoman's Tale 751,data/oxford_txts/CYT_oxford.txt,"Oure elvissh° craft, we semen wonder wise",False,True,BOTH,"Oure elvissh° craft, we semen wonder wise",Oure elvysshe craft we semen wonder wise
long,longe,Troilus and Criseyde; Book I 718,data/oxford_txts/TC1_oxford.txt,"As I best can, gon sithen longe while.",False,False,BOTH,"As I best can, gon sithen longe while.",As I best kan gon sithen longe while
muche,muche,The Franklin's Tale 1471,data/oxford_txts/FranT_oxford.txt,"This is to muche, and° it were Goddes wille.”",True,False,BOTH,"This is to muche, and° it were Goddes wille.”",This is to muche and it were Goddes wille
wise,wise,Troilus and Criseyde; Book II 317,data/oxford_txts/TC2_oxford.txt,"The goode, wise, worthy, fresshe, and free",False,False,BOTH,"The goode, wise, worthy, fresshe, and free",The goode wise worthi fresshe and free
fair,faire,The Knight's Tale 2386,data/oxford_txts/KnT_oxford.txt,"Of faire yonge fresshe Venus free,°",False,False,BOTH,"Of faire yonge fresshe Venus free,°",Of faire yonge fresshe Venus free
lef,leve,Troilus and Criseyde; Book IV 926,data/oxford_txts/TC4_oxford.txt,"And nought encresse, leve nece swete;",False,False,BOTH,"And nought encresse, leve nece swete;",And nought encresse leeve nece swete
smal,smale,The Miller's Tale 3826,data/oxford_txts/MilT_oxford.txt,"The neighebores, bothe smale and grete,°",True,False,BOTH,"The neighebores, bothe smale and grete,°",The neighebores bothe smale and grete
red,rede,The Franklin's Tale 1148,data/oxford_txts/FranT_oxford.txt,"Somtime a vine, and grapes white and rede;",False,True,BOTH,"Somtime a vine, and grapes white and rede;",Somtyme a vyne and grapes white and rede
hard,harde,House of Fame 1586,data/oxford_txts/HF_oxford.txt,"This Eolus, with harde grace,°",False,False,BOTH,"This Eolus, with harde grace,°",This Eolus with harde grace
sik,sike,Troilus and Criseyde; Book III 1362,data/oxford_txts/TC3_oxford.txt,"For wo, or elles whan that folk ben sike",False,True,BOTH,"For wo, or elles whan that folk ben sike",For wo or elles when that folk ben sike
sad,sadde,Book of the Duchess 860,data/oxford_txts/BD_oxford.txt,"Debonair, goode, glade, and sadde,°",False,True,BOTH,"Debonair, goode, glade, and sadde,°",Debonaire goode glade and sadde
yong,yonge,The Summoner's Tale 1725,data/oxford_txts/SumT_oxford.txt,"Hir freendes soules, as wel olde as yonge",False,True,BOTH,"Hir freendes soules, as wel olde as yonge",Hir freendes soules as wel olde as yonge
queinte,queinte,The Miller's Tale 3275,data/oxford_txts/MilT_oxford.txt,As clerkes ben ful subtile and ful queinte;°,False,True,BOTH,As clerkes ben ful subtile and ful queinte;°,As clerkes ben ful subtile and ful queynte
sharp,sharpe,Troilus and Criseyde; Book II 1034,data/oxford_txts/TC2_oxford.txt,Were his nailes pointed never so sharpe,False,True,BOTH,Were his nailes pointed never so sharpe,Were his nayles poynted nevere so sharpe
glad,gladde,Troilus and Criseyde; Book II 1351,data/oxford_txts/TC2_oxford.txt,So were his dayes sory outher gladde.,False,True,BOTH,So were his dayes sory outher gladde.,So were his dayes sory outher gladde
long,longe,Troilus and Criseyde; Book V 851,data/oxford_txts/TC5_oxford.txt,"And after this, withouten longe lette",False,False,BOTH,"And after this, withouten longe lette",And after this withouten longe lette
god,gode,House of Fame 1608,data/oxford_txts/HF_oxford.txt,"Of gode folk, and gunne crie",False,False,BOTH,"Of gode folk, and gunne crie",Of goode folk and gunne crie
hot,hote,Troilus and Criseyde; Book III 1650,data/oxford_txts/TC3_oxford.txt,I hadde it never half so hote as now;,True,False,BOTH,I hadde it never half so hote as now;,I hadde it nevere half so hote as now
sad,sadde,The Canon's Yeoman's Tale 877,data/oxford_txts/CYT_oxford.txt,"Yet of that art they can nat wexen sadde,°",False,True,BOTH,"Yet of that art they can nat wexen sadde,°",Yet of that art they kan nat wexen sadde
roughe,rowe,The Canon's Yeoman's Tale 861,data/oxford_txts/CYT_oxford.txt,"To reise° a feend, al looke he never so rowe.°",False,True,BOTH,"To reise° a feend, al looke he never so rowe.°",To reyse a feend al looke he never so rowe
olde,olde,The Wife of Bath's Prologue 235,data/oxford_txts/WBPro_oxford.txt,"¶“ ‘Sir olde kainard,° is this thin array?",False,False,BOTH,"¶“ ‘Sir olde kainard,° is this thin array?",Sire olde kaynard is this thyn array
olde,olde,The Knight's Tale 2828,data/oxford_txts/KnT_oxford.txt,"Of olde folk, and folk of tendre yeres",False,False,BOTH,"Of olde folk, and folk of tendre yeres",Of olde folk and folk of tendre yeeres
ded,dede,Troilus and Criseyde; Book III 352,data/oxford_txts/TC3_oxford.txt,That han in winter dede been and dreie,False,False,BOTH,That han in winter dede been and dreie,That han in wynter dede ben and dreye
yong,yonge,The Franklin's Tale 956,data/oxford_txts/FranT_oxford.txt,"Ther° yonge folk kepen° hir observaunces,°",False,False,BOTH,"Ther° yonge folk kepen° hir observaunces,°",Ther yonge folk kepen hir observaunces
wise,wise,The Merchant's Tale 1359,data/oxford_txts/MerT_oxford.txt,They been so trewe and therwithal° so wise;,False,True,BOTH,They been so trewe and therwithal° so wise;,They been so trewe and therwithal so wyse
olde,olde,House of Fame 694,data/oxford_txts/HF_oxford.txt,Of olde forleten° aqueintaunces;,False,False,BOTH,Of olde forleten° aqueintaunces;,Of olde forleten aqueyntaunces
wise,wise,The Nun's Priest's Tale 2914,data/oxford_txts/NPT_oxford.txt,"To han housbondes hardy,° wise, and free,°",True,False,BOTH,"To han housbondes hardy,° wise, and free,°",To han housbondes hardy wise and free
wroth,wrothe,The Wife of Bath's Prologue 125,data/oxford_txts/WBPro_oxford.txt,So that the clerkes° be nat with me wrothe,False,True,BOTH,So that the clerkes° be nat with me wrothe,So that the clerkes be nat with me wrothe
gret,grete,The Pardoner's Tale 629,data/oxford_txts/PardT_oxford.txt,¶Now wol I speke of othes false and grete,False,True,BOTH,¶Now wol I speke of othes false and grete,Now wol I speke of othes false and grete
fair,faire,The Manciple's Tale 191,data/oxford_txts/MancT_oxford.txt,"Than on hir wives, be they never so faire",False,True,BOTH,"Than on hir wives, be they never so faire",Than on hire wyves be they never so faire
bright,brighte,The Knight's Tale 2608,data/oxford_txts/KnT_oxford.txt,Out goon the swerdes as the silver brighte.,False,True,BOTH,Out goon the swerdes as the silver brighte.,Out goon the swerdes as the silver brighte
smal,smale,The Clerk's Tale 382,data/oxford_txts/ClT_oxford.txt,And sette hir ful of nowches° grete and smale;,False,True,BOTH,And sette hir ful of nowches° grete and smale;,And sette hire ful of nowches grete and smale
fresh,fresshe,Troilus and Criseyde; Book V 1412,data/oxford_txts/TC5_oxford.txt,"And fareth wel, goodly faire fresshe may",False,False,BOTH,"And fareth wel, goodly faire fresshe may",And fareth wel goodly faire fresshe may
neue,newe,Troilus and Criseyde; Book III 1654,data/oxford_txts/TC3_oxford.txt,But now I fele a newe qualitee,False,False,BOTH,But now I fele a newe qualitee,But now I feele a newe qualitee
fair,faire,The Wife of Bath's Prologue 606,data/oxford_txts/WBPro_oxford.txt,"And faire and riche, and yong, and wel bigoon;°",True,False,BOTH,"And faire and riche, and yong, and wel bigoon;°",And faire and riche and yong and wel bigon
fresh,fresshe,The Knight's Tale 1511,data/oxford_txts/KnT_oxford.txt,"Welcome be thou, faire fresshe May",False,False,BOTH,"Welcome be thou, faire fresshe May",Welcome be thou faire fresshe May
fair,faire,Troilus and Criseyde; Book V 1412,data/oxford_txts/TC5_oxford.txt,"And fareth wel, goodly faire fresshe may",False,False,BOTH,"And fareth wel, goodly faire fresshe may",And fareth wel goodly faire fresshe may
sore,sore,Parliament of Fowls 13,data/oxford_txts/PF_oxford.txt,"I dar not seyn, his strokes° been so sore",False,True,BOTH,"I dar not seyn, his strokes° been so sore",I dar nat seyn his strokes been so sore
prive,privee,The Prioress' Tale 568,data/oxford_txts/PrT_oxford.txt,That in an aley° hadde a privee place;,False,False,BOTH,That in an aley° hadde a privee place;,That in an aleye hadde a privee place
wise,wise,Troilus and Criseyde; Book IV 936,data/oxford_txts/TC4_oxford.txt,Wommen ben wise in short avisement;,True,False,BOTH,Wommen ben wise in short avisement;,Women ben wise in short avysement
bitter,bittre,Troilus and Criseyde; Book IV 1136,data/oxford_txts/TC4_oxford.txt,"As bittre weren, out of teres kinde",False,False,BOTH,"As bittre weren, out of teres kinde",As bittre weren out of teris kynde
lef,leve,Troilus and Criseyde; Book IV 82,data/oxford_txts/TC4_oxford.txt,And for the Grekes weren me so leve,False,True,BOTH,And for the Grekes weren me so leve,And for the Grekis weren me so leeve
neue,newe,House of Fame 2045,data/oxford_txts/HF_oxford.txt,A newe tiding prevely,False,False,BOTH,A newe tiding prevely,A newe tydynge prively
lef,leve,Troilus and Criseyde; Book IV 458,data/oxford_txts/TC4_oxford.txt,"It lith not in my power, leve brother.",False,False,BOTH,"It lith not in my power, leve brother.",It lith nat in my power leeve brother
neue,newe,Book of the Duchess 1288,data/oxford_txts/BD_oxford.txt,Our joy was ever yliche newe;°,False,True,BOTH,Our joy was ever yliche newe;°,Our joye was ever ylyche newe
proud,proude,The Summoner's Tale 2227,data/oxford_txts/SumT_oxford.txt,"O nice° proude cherl, I shrewe° his face!",False,False,BOTH,"O nice° proude cherl, I shrewe° his face!",O nyce proude cherl I shrewe his face
long,longe,Troilus and Criseyde; Book III 1388,data/oxford_txts/TC3_oxford.txt,"Servise of love, hadde eres also longe",False,True,BOTH,"Servise of love, hadde eres also longe",Servise of love hadde erys also longe
wroth,wrothe,The Wife of Bath's Tale 1239,data/oxford_txts/WBT_oxford.txt,"¶“Kis me,” quod she, “we be no lenger wrothe;°",False,True,BOTH,"¶“Kis me,” quod she, “we be no lenger wrothe;°",Kys me quod she we be no lenger wrothe
lef,leve,Troilus and Criseyde; Book V 477,data/oxford_txts/TC5_oxford.txt,"And seide, “Leve brother Pandarus",False,False,BOTH,"And seide, “Leve brother Pandarus",And seyde Leve brother Pandarus
bright,brighte,The Squire's Tale 170,data/oxford_txts/SqT_oxford.txt,"His stede, which that shoon as sonne brighte",False,True,BOTH,"His stede, which that shoon as sonne brighte",His steede which that shoon as sonne brighte
neue,newe,The Clerk's Tale 857,data/oxford_txts/ClT_oxford.txt,Love is noght old as whan that it is newe.,False,True,BOTH,Love is noght old as whan that it is newe.,Love is noght oold as whan that it is newe
long,longe,The General Prologue 784,data/oxford_txts/GP_oxford.txt,Our counseil was nat longe for to seche;,False,False,BOTH,Our counseil was nat longe for to seche;,Oure conseil was nat longe for to seche
neue,newe,The Wife of Bath's Tale 1244,data/oxford_txts/WBT_oxford.txt,"As ever was wif, sin that the world was newe.",False,True,BOTH,"As ever was wif, sin that the world was newe.",As evere was wyf syn that the world was newe
bright,brighte,Troilus and Criseyde; Book V 1022,data/oxford_txts/TC5_oxford.txt,Inwith hir fadres faire brighte tente.,False,False,BOTH,Inwith hir fadres faire brighte tente.,Inwith hire fadres faire brighte tente
lef,leve,The Friar's Tale 1474,data/oxford_txts/FriT_oxford.txt,"‘Ful many a cause, leve sir somnour,’",False,False,BOTH,"‘Ful many a cause, leve sir somnour,’",Ful many a cause leeve sire somonour
loue,lowe,The Franklin's Tale 1035,data/oxford_txts/FranT_oxford.txt,As thin herberwe° chaungeth lowe or heighe,True,False,BOTH,As thin herberwe° chaungeth lowe or heighe,As thyn herberwe chaungeth lowe or heighe
