The,double,sorwe,of,Troilus,to,"tellen,",,,
That,been,despeired,out,of,Loves,grace.,,,
u,S,uSu,S,u,Su,S,,,

And,biddeth,eek,for,hem,that,been,at,"ese,",
u,Su,S,u,S,u,S,u,S,

That,God,hem,graunte,ay,good,"perseveraunce,",,,
u,S,u,S,u,S,uSuS,,,

And,sende,hem,might,hir,ladies,so,to,"plese,",
u,S,u,S,u,Su,S,u,S,

That,it,to,Love,be,worship,and,plesaunce.,,
u,S,u,Su,S,uS,u,S,,

For,so,hope,I,my,soule,best,"avaunce,",,
u,S,u,S,u,Su,S,uS,,

To,prey,for,hem,that,Loves,servaunts,"be,",,
u,S,u,S,u,Su,Su,S,,

And,write,hir,"wo,",and,live,in,charitee.,,
u,S,u,S,u,S,u,SuS,,

And,for,to,have,of,hem,compassioun,,,
u,S,u,S,u,S,uSuS,,,

As,though,I,were,hir,owne,brother,dere.,,
u,S,u,S,u,Su,Su,S,,

Now,herkneth,with,a,good,"entencioun,",,,,
u,Su,S,u,S,uSuS,,,,

For,now,wol,I,gon,streight,to,my,"matere,",
u,S,u,S,u,S,u,S,uS,

In,which,ye,may,the,double,sorwes,here,,
u,S,u,S,u,Su,Su,S,,

Of,"Troilus,",in,loving,of,"Criseyde,",,,,
u,SuS,u,Su,S,uS,,,,

And,how,that,she,forsook,him,er,she,deide.,
u,S,u,S,uS,u,S,u,S,

It,is,wel,"wist,",how,that,the,Grekes,stronge,
u,S,u,S,u,S,u,Su,S,

In,armes,with,a,thousand,shippes,wente,,,
u,Su,S,u,Su,Su,S,,,

To,"Troyewardes,",and,the,citee,longe,,,,
u,SuSu,S,u,Su,S,,,,

Assegeden,neigh,ten,yeer,er,they,"stente,",,,
uSuS,u,S,u,S,u,S,,,

"And,",in,diverse,wise,and,oon,"entente,",,,
u,S,uSu,S,u,S,uS,,,

The,ravisshing,to,wreken,of,"Eleine,",,,,
u,SuS,u,Su,S,uS,,,,

By,Paris,"doon,",they,wroughten,al,hir,peine.,,
u,Su,S,u,Su,S,u,S,,

Now,fil,it,"so,",that,in,the,toun,ther,was
u,S,u,S,u,S,u,S,u,S

Dwellinge,a,lord,of,greet,"auctoritee,",,,,
uS,u,S,u,S,uSuS,,,,

A,gret,devin,that,cleped,was,"Calkas,",,,
u,S,uS,u,Su,S,uS,,,

That,in,science,so,expert,"was,",that,he,,
u,S,uS,u,Su,S,u,S,,

Knew,wel,that,Troye,shold,destroyed,"be,",,,
u,S,u,Su,S,uSu,S,,,

By,answere,of,his,"god,",that,highte,"thus,",,
u,Su,S,u,S,u,Su,S,,

Daun,Phebus,or,Apollo,Delphicus.,,,,,
u,Su,S,uSu,SuS,,,,,

So,whan,this,Calkas,knew,by,"calculinge,",,,
u,S,u,Su,S,u,SuS,,,

And,eek,by,answere,of,this,"Appollo,",,,
u,S,u,Su,S,u,SuS,,,

That,Grekes,sholden,swich,a,peple,"bringe,",,,
u,Su,Su,S,u,Su,S,,,

Thorugh,which,that,Troye,moste,been,fordo,,,
u,S,u,Su,Su,S,uS,,,

He,caste,anoon,out,of,the,toun,to,go;,
u,S,uS,u,S,u,S,u,S,

For,wel,wiste,"he,",by,"sort,",that,Troye,sholde,
u,S,u,S,u,S,u,Su,S,

Destroyed,"been,","ye,",wolde,who-so,nolde.,,,,
uSu,S,u,Su,Su,S,,,,

For,"which,",for,to,departen,softely,,,,
u,S,u,S,uSu,SuS,,,,

Took,purpos,ful,in,this,forknowing,"wise,",,,
u,Su,S,u,S,uSu,S,,,

And,to,the,Grekes,ost,ful,prively,,,
u,S,u,Su,S,u,SuS,,,

He,stal,anoon;,and,"they,",in,curteis,"wise,",,
u,S,uS,u,S,u,Su,S,,

Him,deden,bothe,worship,and,"servise,",,,,
u,Su,Su,Su,S,uS,,,,

In,trust,that,he,hath,conning,hem,to,rede,
u,S,u,S,u,Su,S,u,S,

In,every,peril,which,that,is,to,drede.,,
u,Su,Su,S,u,S,u,S,,

The,noise,up,"roos,",whan,it,was,first,"aspied,",
u,S,u,S,u,S,u,S,uS,

Thorugh,al,the,"toun,",and,openly,was,"spoken,",,
u,S,u,S,u,SuS,u,Su,,

That,Calkas,traitor,fled,"was,",and,allied,,,
u,Su,Su,S,u,S,uS,,,

With,hem,of,Grece;,and,casten,to,ben,wroken,
u,S,u,S,u,Su,S,u,Su,

On,him,that,falsly,hadde,his,feith,so,broken;,
u,S,u,Su,S,u,S,u,Su,

And,"seiden,",he,and,al,his,kin,at,ones,
u,Su,S,u,S,u,S,u,S,

Ben,worthy,for,to,"brennen,",fel,and,bones.,,
u,Su,S,u,Su,S,u,S,,

Now,hadde,Calkas,"left,",in,this,"meschaunce,",,,
u,Su,Su,S,u,S,uS,,,

Al,unwist,of,this,FALSE,and,wikked,"dede,",,
u,Su,S,u,S,u,Su,S,,

His,"doughter,",which,that,was,in,gret,"penaunce,",,
u,Su,S,u,S,u,S,uS,,

For,of,hir,lif,she,was,ful,sore,in,"drede,"
u,S,u,S,u,S,u,S,u,S

As,she,that,niste,what,was,best,to,rede;,
u,S,u,Su,S,u,S,u,S,

For,bothe,a,widowe,was,"she,",and,allone,,
u,S,u,S u,S,u,S,u S,,

Of,any,"freend,",to,whom,she,dorste,hir,mone.,
u,Su,S,u,S,u,S,u,S,

Criseyde,was,this,lady,name,aright,,,,
uSu,S,u,Su,S,uS,,,,

As,to,my,"dome,",in,alle,Troyes,citee,,
u,S,u,S,u,Su,S,u S,,

Nas,noon,so,"fair,",forpassing,every,wight,,,
u,S,u,S,uSu,Su,S,,,

So,aungellik,was,hir,natif,"beautee,",,,,
u,SuS,u,S,uS,uS,,,,

That,lik,a,thing,inmortal,semed,"she,",,,
u,S,u,S,uSu,Su,S,,,

As,doth,an,hevenish,parfit,"creature,",,
u,S,u,S u,S u,S u S,,,,

That,doun,were,sent,in,scorning,of,nature.,,
u,S,u,S,u,S u,S,u S,,

This,"lady,",which,that,alday,herde,at,ere,,
u,Su,S,u,Su,S,u,S,,

Hir,fadres,"shame,",his,falsnesse,and,"tresoun,",,,
u,Su,S,u,Su,S,uS,,,

Wel,nigh,out,of,hir,wit,for,sorwe,and,"fere,"
u,S,u,S,u,S,u,S,u,S

In,widewes,habit,large,of,samit,"broun,",,,
u,Su,Su,S,u,Su,S,,,

On,knees,she,fil,biforn,Ector,adoun;,,,
u,S,u,S,uS,uS,uS,,,

With,pitous,"vois,",and,tendrely,"wepinge,",,,,
u,Su,S,u,SuS,uS,,,,

His,mercy,"bad,",hirselven,excusinge.,,,,,
u,Su,S,uSu,SuS,,,,,

Now,was,this,Ector,pitous,of,"nature,",,,
u,S,u,Su,Su,S,uS,,,

And,saw,that,she,was,sorwfully,"bigoon,",,,
u,S,u,S,u,SuS,uS,,,

And,that,she,was,so,fair,a,creature;,,
u,S,u,S,u,S,u,S u S,,

Of,his,goodnesse,he,gladed,hir,"anoon,",,,
u,S,uS,u,Su,S,uS,,,

And,"seide,",“Lat,your,fadres,treson,goon,,,
u,Su,S,u,Su,Su,S,,,

Forth,with,"mischaunce,",and,ye,"yourself,",in,"joye,",,
u,S,uS,u,S,uS,u,S,,

Dwelleth,with,"us,",whil,you,good,"list,",in,Troye.,
uS,u,S,u,S,u,S,u,S,

“And,al,th’onour,that,men,may,doon,yow,"have,",
u,S,uS,u,S,u,S,u,S,

As,ferforth,as,your,fader,dwelled,"here,",,,
u,Su,S,u,Su,Su,S,,,

Ye,shul,"han,",and,your,body,shal,men,"save,",
u,S,u,S,u,Su,S,u,S,

As,fer,as,I,may,ought,enquere,or,here.”,
u,S,u,S,u,S,u S,u,S,

And,she,him,thonked,with,ful,humble,"chere,",,
u,S,u,Su,S,u,Su,S,,

And,ofter,"wolde,",and,it,had,ben,his,"wille,",
u,Su,S,u,S,u,S,u,S,

And,took,hir,"leve,",and,"hoom,",and,held,hir,stille.
u,S,u,S,u,S,u,S,u,S

And,in,hir,hous,she,abood,with,swich,meinee,
u,S,u,S,x,u S,u,S,u S,

As,to,hir,honour,nede,was,to,holde;,,
u,S,u,Su,Su,S,u,S,,

And,whil,she,was,dwellinge,in,that,"citee,",,
u,S,u,S,uS,u,S,uS,,

Kepte,hir,"estat,",and,bothe,of,yonge,and,olde,
u,S,uS,u,S,u,S,u,S,

Ful,wel,"beloved,",and,wel,men,of,hir,tolde.,
u,S,uS,u,S,u,S,u,S,

But,whether,that,she,children,hadde,or,"noon,",,
u,Su,S,u,Su,S,u,S,,

I,rede,it,nought;,therfore,I,lete,it,goon.,
u,S,u,S,uS,u,S,u,S,

The,thinges,"fellen,",as,they,doon,of,"werre,",,
u,Su,Su,S,u,S,u,S,,

Bitwixen,hem,of,Troye,and,Grekes,ofte;,,,
uSu,S,u,S,u,S u,S,,,

For,som,day,boughten,they,of,Troye,it,"derre,",
u,S,u,Su,S,u,S,u,S,

And,eft,the,Grekes,founden,no,thing,softe,,
u,S,u,Su,Su,S,u,S,,

The,folk,of,Troye;,and,thus,fortune,"onlofte,",,
u,S,u,S,u,S,u S,u S,,

And,under,"eft,",gan,hem,to,wheelen,bothe,,
u,Su,S,u,S,u,Su,S,,

After,hir,"cours,",ay,whil,that,they,were,wrothe.,
uS,u,S,u,S,u,S,u,S,

But,how,this,toun,com,to,destruccioun,,,
u,S,u,S,u,S,uSuS,,,

Ne,falleth,nought,to,purpos,me,to,telle;,,
u,Su,S,u,Su,S,u,S,,

For,it,were,here,a,long,disgressioun,,,
u,S,u,S,u,S,uSuS,,,

Fro,my,"matere,",and,yow,to,long,to,dwelle.,
u,S,uS,u,S,u,S,u,S,

But,the,Troyane,"gestes,",as,they,"felle,",,,
u,S,uSu,Su,S,u,S,,,

In,"Omer,",or,in,"Dares,",or,in,"Dite,",,
u,Su,S,u,Su,S,u,S,,

Whoso,that,"can,",may,rede,hem,as,they,write.,
uS,u,S,u,S,u,S,u,S,

But,though,that,Grekes,hem,of,Troye,"shetten,",,
u,S,u,S u,S,u,S u,S u,,

And,hir,citee,bisegede,al,"aboute,",,,,
u,S,uS,uSu,S,uS,,,,

Hir,olde,usage,wolde,they,not,"letten,",,,
u,S,u S u,S u,S,u,S u,,,

As,for,to,honoure,hir,goddes,ful,devoute;,,
u,S,x,S,u,S u,S,u S,,

But,aldermost,in,"honour,",out,of,"doute,",,,
u,SuS,u,Su,S,u,S,,,

They,hadde,a,relik,hight,"Palladion,",,,,
u,S,u,S u,S,u S u S,,,,

That,was,hir,trist,aboven,everichon.,,,,
u,S,u,S,uSu,SuS,,,,

And,so,"bifel,",whan,comen,was,the,time,,
u,S,uS,u,Su,S,u,S,,

Of,"Aperil,",whan,clothed,is,the,mede,,,
u,SuS,u,Su,S,u,S,,,

With,newe,"grene,",of,lusty,Ver,the,"prime,",,
u,Su,S,u,Su,S,u,S,,

And,swote,smellen,floures,white,and,"rede,",,,
u,Su,Su,Su,S,u,S,,,

In,sondry,wises,"shewed,",as,I,"rede,",,,
u,Su,Su,Su,S,u,S,,,

The,folk,of,Troye,hir,observaunces,"olde,",,,
u,S,u,S,u,S u S u,S,,,

Palladions,feste,for,to,holde.,,,,,
u S u S u,S u,S,u,S,,,,,

And,to,the,"temple,",in,al,hir,beste,"wise,",
u,S,u,S,u,S,u,Su,S,

In,"general,",ther,wente,many,a,"wight,",,,
u,SuS,u,S u,S,u,S,,,

To,herknen,of,Palladion,the,servise;,,,,
u,Su,S,uSu,S,uS,,,,

And,"namely,",so,many,a,lusty,"knight,",,,
u,SuS,u,S,u,S u,S,,,

So,many,a,lady,fresh,and,maiden,"bright,",,
u,S,u,S u,S,u,S u,S,,

Ful,wel,"arayed,",bothe,moste,and,"leste,",,,
u,S,u S u,S u,S,u,S,,,

"Ye,",bothe,for,the,seson,and,the,feste.,,
u,Su,S,u,Su,S,u,S,,

Among,thise,othere,folk,was,"Criseyda,",,,,
uS,u,Su,S,u,SuS,,,,

In,widewes,habite,blak;,but,"nathelees,",,,,
u,Su,S u,S,u,uS,,,,

Right,as,our,firste,lettre,is,now,an,"A,",
u,S,u,Su,S,u,S,u,S,

In,beautee,first,so,stood,"she,",makelees;,,,
u,Su,S,u,S,u,SuS,,,

Hir,godly,looking,gladede,al,the,prees.,,,
u,Su,Su,Su,S,u,S,,,

Nas,never,seyn,thing,to,ben,preised,"derre,",,
u,Su,S,u,S,u,Su,S,,

Nor,under,cloude,blak,so,bright,a,sterre,,
u,Su,Su,S,u,S,u,S,,

As,was,"Criseyde,",as,folk,seide,everichoon,,,
u,S,uS,u,S,u,SuS,,,

That,hir,bihelden,in,hir,blake,wede;,,,
u,S,uSu,S,u,Su,S,,,

And,yet,she,stood,ful,lowe,and,stille,"alloon,",
u,S,u,S,u,S,u,S,uS,

Bihinden,othere,"folk,",in,litel,"brede,",,,,
uSu,Su,S,u,Su,S,,,,

And,neigh,the,"dore,",ay,under,shames,"drede,",,
u,S,u,S,u,Su,Su,S,,

Simple,of,"atir,",and,debonaire,of,"chere,",,,
u,S,uS,u,SuS,u,S,,,

With,ful,assured,loking,and,manere.,,,,
u,S,uSu,Su,S,uS,,,,

This,"Troilus,",as,he,was,wont,to,gide,,
u,SuS,u,S,u,S,u,S,,

His,yonge,"knightes,",ladde,hem,up,and,doun,,
u,Su,Su,S,u,S,u,S,,

In,thilke,large,temple,on,every,"side,",,,
u,Su,Su,S,u,Su,S,,,

Biholding,ay,the,ladies,of,the,"toun,",,,
uSu,S,u,Su,S,u,S,,,

Now,"here,",now,"there,",for,no,devocioun,,,
u,S,u,S,u,S,uSuS,,,

Hadde,he,to,"noon,",to,reven,him,his,"reste,",
u,S,u,S,u,Su,S,u,S,

But,gan,to,preise,and,lakken,whom,him,leste.,
u,S,u,S,u,Su,S,u,S,

And,in,his,walk,ful,fast,he,gan,to,waiten
u,S,u,S,u,S,u,S,u,Su

If,knight,or,squier,of,his,companie,,,
u,S,u,Su,S,u,SuS,,,

Gan,for,to,"sike,",or,lete,his,eyen,baiten,
u,S,u,S,u,S,u,S u,S u,

On,any,woman,that,he,coude,"aspie,",,,
u,Su,Su,S,u,S,uS,,,

He,wolde,"smile,",and,holden,it,"folie,",,,
u,Su,S,u,Su,S,uS,,,

And,seye,him,"thus,",“God,"wot,",she,slepeth,softe,
u,S,u,S,u,S,u,Su,S,

For,love,of,"thee,",whan,thou,tornest,ful,ofte!,
u,S,u,S,u,S,uS,u,S,

“I,have,herd,"told,","pardieux,",of,your,"livinge,",,
u,S,u,S,u S,u,S,u S,,

Ye,"lovers,",and,your,lewede,"observaunces,",,,,
u,Su,S,u,Su,S u S u,,,,

And,which,a,labour,folk,han,in,winninge,,
u,S,u,Su,S,u,S,uS,,

Of,"love,","and,",in,the,"keping,",which,doutaunces;,,
u,S,u,S,u,Su,S,uS,,

And,whan,your,preye,is,"lost,",wo,and,penaunces.,
u,S,u,S,u,S,u,S,uS,

O,verrey,foles!,nice,and,blinde,be,ye;,,
u,Su,S u,S,u,S,u,S,,

Ther,nis,not,oon,can,war,by,other,be.”,
u,S,u,S,u,S,u,Su,S,

And,with,that,word,he,gan,cast,up,the,"browe,"
u,S,u,S,u,S,u,S,u,S

"Ascaunces,",“Lo!,is,this,nought,wisly,spoken?”,,,
u S u,S,u,S,u,S u,S u,,,

At,which,the,god,of,love,gan,loken,rowe,
u,S,u,S,u,S,u,Su,S,

Right,for,"despit,",and,shoop,for,to,ben,wroken;,
u,S,uS,u,S,u,S,u,Su,

He,kidde,anoon,his,bowe,nas,not,broken;,,
u,S,uS,u,S u,S,u,S u,,

For,sodeinly,he,hit,him,at,the,fulle;,,
u,SuS,u,S,u,S,u,S,,

And,yet,as,proud,a,pekok,can,he,pulle.,
u,S,u,S,u,Su,S,u,S,

O,blinde,"world,",O,blinde,entencioun!,,,,
u,Su,S,u,S,uSuS,,,,

How,ofte,falleth,al,th’effect,contraire,,,,
u,Su,Su,S,uS,uS,,,,

Of,surquidrie,and,foul,presumpcioun;,,,,,
u,S u S,u,S,u S u S,,,,,

For,caught,is,"proud,",and,caught,is,debonaire.,,
u,S,u,S,u,S,u,SuS,,

This,Troilus,is,clomben,on,the,"staire,",,,
u,SuS,u,Su,S,u,S,,,

And,litel,weneth,that,he,moot,descenden.,,,
u,Su,Su,S,u,S,uSu,,,

But,al,day,falleth,thing,that,foles,ne,wenden.,
u,S,u,Su,S,u,S,u,Su,

As,proude,Bayard,ginneth,for,to,skippe,,,
u,S u,S u,Su,S,u,S,,,

Out,of,the,"wey,",so,priketh,him,his,"corn,",
u,S,u,S,u,Su,S,u,S,

Til,he,a,lash,have,of,the,longe,"whippe,",
u,S,u,S,u,S,u,Su,S,

Than,thenketh,"he,",“Though,I,praunce,al,biforn,,
u,Su,S,u,S,u,S,uS,,

First,in,the,"trais,",ful,fat,and,newe,"shorn,",
u,S,u,S,u,S,u,Su,S,

Yet,am,I,but,an,"hors,",and,horses,lawe,
u,S,u,S,u,S,u,Su,S,

I,moot,"endure,",and,with,my,feres,drawe.”,,
u,S,uS,u,S,u,Su,S,,

So,ferde,it,by,this,fers,and,proude,knight;,
u,S,u,S,u,S,u,Su,S,

Though,he,a,worthy,kinges,sone,"were,",,,
u,S,u,Su,Su,Su,S,,,

And,wende,no,thing,had,had,swiche,might,,
u,Su,S,u,S,u,Su,S,,

Ayens,his,wil,that,sholde,his,herte,"stere,",,
S,u,S,u,S,u,Su,S,,

Yet,with,a,look,his,herte,wex,"afere,",,
u,S,u,S,u,Su,S,uS,,

That,"he,",that,now,was,most,in,pride,"above,",
u,S,u,S,u,S,u,S,uS,

Wex,sodeinly,most,subget,unto,love.,,,,
u,SuS,u,Su,Su,S,,,,

Forthy,ensample,taketh,of,this,"man,",,,,
uS,uSu,Su,S,u,S,,,,

Ye,"wise,","proude,",and,worthy,folkes,"alle,",,,
u,Su,S,u,Su,Su,S,,,

To,scornen,"Love,",which,that,so,sone,can,,
u,Su,S,u,S,u,Su,S,,

The,freedom,of,youre,hertes,to,him,thralle;,,
u,Su,S,u,Su,S,u,S,,

For,ever,it,"was,",and,ever,it,shal,"bifalle,",
u,S,u,S,u,S,u,S,u S,

That,Love,is,he,that,alle,thing,may,"binde,",
u,S,u,S,u,Su,S,u,S,

For,may,no,man,fordo,the,lawe,of,kinde.,
u,S,u,S,uS,u,S,u,S,

That,this,be,"sooth,",hath,preved,and,doth,yet;,
u,S,u,S,u,Su,S,u,S,

For,this,trowe,I,ye,"knowen,",alle,or,"some,",
u,S,u,S,u,Su,S,u,S,

Men,reden,not,that,folk,han,gretter,wit,,
u,Su,S,u,S,u,Su,S,,

Than,they,that,han,be,most,with,love,ynome;,
u,S,u,S,u,S,u,S,u S,

And,strengest,folk,ben,therwith,"overcome,",,,,
u,Su,S,u,Su,SuS,,,,

The,worthiest,and,grettest,of,degree;,,,,
u,SuS,u,Su,S,uS,,,,

This,"was,",and,"is,",and,yet,men,shal,it,see.
u,S,u,S,u,S,u,S,u,S

And,trewelich,it,sit,wel,to,be,"so,",,
u,SuS,u,S,u,S,u,S,,

For,alderwisest,han,therwith,ben,plesed;,,,,
u,SuSu,S,uS,u,S,,,,

And,they,that,han,ben,aldermost,in,"wo,",,
u,S,u,S,u,SuS,u,S,,

With,love,han,ben,conforted,most,and,esed;,,
u,S,u,S,uSu,S,u,S,,

And,ofte,it,hath,the,cruel,herte,"apesed,",,
u,S,u,S,u,Su,S,uS,,

And,worthy,folk,maad,worthier,of,"name,",,,
u,Su,S,u,SuS,u,S,,,

And,causeth,most,to,dreden,vice,and,shame.,,
u,Su,S,u,Su,S,u,S,,

Now,sith,it,may,not,goodly,be,"withstonde,",,
u,S,u,S,u,Su,S,uS,,

And,is,a,thing,so,vertuous,in,"kinde,",,
u,S,u,S,u,S u S,u,S,,

Refuseth,not,to,Love,for,to,be,"bonde,",,
uSu,S,u,S,u,S,u,S,,

"Sin,",as,himselven,"list,",he,may,yow,binde.,,
u,S,uSu,S,u,S,u,S,,

The,yerde,is,bet,that,bowen,wole,and,winde,
u,S,u,S,u,Su,S,u,S,

Than,that,that,brest;,and,therfor,I,yow,rede,
u,S,u,S,u,Su,S,u,S,

To,folwen,him,that,so,wel,can,yow,lede.,
u,Su,S,u,S,u,S,u,S,

But,for,to,tellen,forth,in,special,,,
u,S,u,Su,S,u,SuS,,,

As,of,this,kinges,sone,of,which,I,"tolde,",
u,S,u,Su,S,u,S,u,S,

And,leten,other,thinges,"collateral,",,,,,
u,Su,Su,S,uSuS,,,,,

Of,him,thenke,I,my,tale,forth,to,"holde,",
u,S,u,S,u,Su,S,u,S,

Bothe,of,his,"joye,",and,of,his,cares,colde;,
u,S,u,S,u,S,u,S u,S,

And,al,his,"werk,",as,touching,this,"matere,",,
u,S,u,S,u,Su,S,uS,,

For,I,it,"gan,",I,wil,therto,refere.,,
u,S,u,S,u,S,uS,uS,,

Within,the,temple,he,wente,him,forth,"pleyinge,",,
Su,S,u,S,u,S,u,S,,

This,"Troilus,",of,every,wight,"aboute,",,,,
u,SuS,u,Su,S,uS,,,,

On,this,lady,and,now,on,that,"lokinge,",,
u,S,uS,u,S,u,S,uS,,

Wherso,she,were,of,"toune,",or,withoute:,,,
u S,u,S,u,S,u,S u,,,

And,upon,cas,"bifel,",that,thorugh,a,route,,
u,Su,S,uS,u,S,u,S,,

His,eye,"perced,",and,so,depe,it,"wente,",,
u,S u,Su,S,u,S,u,S,,

Til,on,Criseyde,it,"smoot,",and,ther,it,stente.,
u,S,uS,u,S,u,S,u,S,

And,sodeinly,he,wex,therwith,"astoned,",,,,
u,SuS,u,S,uS,uS,,,,

And,gan,hire,bet,biholde,in,thrifty,wise:,,
u,S,u,S,uS,u,Su,S,,

“O,"mercy,",God!”,thoughte,"he,",“Wher,hastow,"woned,",,
u,Su,S,u,S,u,Su,S,,

That,art,so,fair,and,goodly,to,devise?”,,
u,S,u,S,u,Su,S,uS,,

Therwith,his,herte,gan,to,sprede,and,"rise,",,
uS,u,Su,S,u,S,u,S,,

And,softe,"sighed,",lest,men,mighte,him,"here,",,
u,Su,Su,S,u,S,u,S,,

And,caughte,ayein,his,firste,pleying,chere.,,,
u,S,u,S,uS,u,S,,,

She,nas,not,with,the,leste,of,hir,"stature,",
u,S,u,S,u,S,u,S,uS,

But,alle,hir,limes,so,wel,answeringe,,,
u,S,u,Su,S,u,SuS,,,

Weren,to,"womanhod,",that,creature,,,,,
u S,u,S u S,u,S u S,,,,,

Was,neuer,lasse,mannish,in,seminge.,,,,
u,Su,Su,Su,S,uS,,,,

And,eek,the,pure,wise,of,her,movinge,,
u,S,u,Su,S,u,S,uS,,

Shewede,"wel,",that,men,might,in,hir,gesse,,
uSu,S,u,S,u,S,u,S,,

"Honour,","estat,",and,wommanly,noblesse.,,,,,
uS,uS,u,SuS,uS,,,,,

To,Troilus,right,wonder,wel,withalle,,,,
u,SuS,u,Su,S,uS,,,,

Gan,for,to,like,hir,movinge,and,hir,"chere,",
u,S,u,S,u,Su,S,u,S,

Which,somdel,deinous,"was,",for,she,leet,falle,,
u,Su,Su,S,u,S,u,S,,

Hir,look,a,lite,"aside,",in,swich,"manere,",,
u,S,u,S,uS,u,S,uS,,

"Ascaunces,",“What!,may,I,not,stonden,here?”,,,
uSu,S,u,S,u,Su,S,,,

And,after,that,hir,loking,gan,she,"lighte,",,
u,Su,S,u,Su,S,u,S,,

That,never,thoughte,him,seen,so,good,a,sighte.,
u,Su,S,u,S,u,S,u,S,

And,of,hir,look,in,him,ther,gan,to,quiken
