headword,infinitive,preterite,past_participle,classification,notes
banishen,banishen,,"banished(1), banysshed(1)",weak,classified by morphological evidence
bathen,bathen,bathed(3),"bathed(3), ybathed(2)",weak,classified by morphological evidence
beden,beden,,bode(2),strong,known strong verb
bekken,bekken,bekked(2),,weak,classified by morphological evidence
ben,ben,"was(3734), were(644), wer(18)","been(77), ben(67), be(24)",strong,classified by morphological evidence
benden,benden,bente(2),bent(2),weak,classified by morphological evidence
beren,beren,"bar(88), baar(25)","born(60), bore(4), boren(2)",strong,known strong verb
beten,beten,bet(2),"beten(6), bete(1), ybeten(1), bet(1)",strong,known strong verb
bibben,bibben,,bibbed(2),weak,classified by morphological evidence
bicomen,bicomen,"becam(2), bicom(2), bicam(2)","become(2), bicome(2), bicomen(2)",strong,classified by morphological evidence
bidden,bidden,"bad(2), badde(1), bade(1)",bede(2),strong,known strong verb
biden,biden,bood(2),,strong,classified by morphological evidence
bien,bien,"boghte(4), bought(1)","boght(4), bought(2), yboght(1)",unclear,mixed or insufficient evidence
bifallen,bifallen,"bifel(52), befel(2), byfel(2), bifelle(2), bifil(2), befill(1), befil(1)","bifalle(1), byfalle(1)",strong,classified by morphological evidence
bigilen,bigilen,,"bigiled(7), bigyled(1)",weak,classified by morphological evidence
biginnen,biginnen,"bigan(50), began(9), bygan(3), bigonne(2), bygonne(1)","bigonne(5), bigon(1)",strong,classified by morphological evidence
bigon,bigonen,,"bigon(1), bygon(1)",unclear,mixed or insufficient evidence
biholden,biholden,"beheld(5), biheld(4), byheld(1), behelde(1), biheeld(1)",,strong,known strong verb
bijapen,bijapen,,"bijaped(4), byjaped(4)",weak,classified by morphological evidence
bilden,bilden,"bulte(2), bilt(2)",,unclear,mixed or insufficient evidence
binden,binden,"bond(4), boond(3)","bounden(9), ybounden(3), ybounde(2), ibounden(1)",strong,known strong verb
biquethen,biquethen,,biquethe(1),strong,known strong verb
bireven,bireven,"birafte(7), berafte(2), biraft(2), byraft(1)","biraft(4), bireved(2)",unclear,mixed or insufficient evidence
birien,birien,"buried(1), buryed(1)","yburied(2), iburied(1), yburyed(1)",unclear,mixed or insufficient evidence
bisechen,bisechen,"bisoughte(5), bysoughte(1)",,unclear,mixed or insufficient evidence
bisegen,bisegen,,biseged(6),weak,classified by morphological evidence
bisen,bisen,,"besein(1), biseyn(1)",unclear,mixed or insufficient evidence
bisetten,bisetten,besette(1),"biset(8), beset(4), byset(2)",unclear,mixed or insufficient evidence
bishetten,bishetten,,bishet(2),weak,classified by morphological evidence
bisien,bisien,"bisied(1), bisyed(1)",,weak,classified by morphological evidence
bistouen,bistouen,,bistowed(6),weak,classified by morphological evidence
bitaken,bitaken,bitook(2),,unclear,mixed or insufficient evidence
bithinken,bithinken,"bethoghte(3), bythought(1), bithoughte(1)",,unclear,mixed or insufficient evidence
bitiden,bitiden,bitidde(1),"bitid(4), betyd(4), betid(3), bitidde(1), bityd(1)",unclear,mixed or insufficient evidence
bitraien,bitraien,betrayed(4),bitrayed(2),weak,classified by morphological evidence
bitraishen,bitraishen,"betraised(1), betraysed(1)","bitraised(2), bitraysed(1)",weak,classified by morphological evidence
biwailen,biwailen,"bewailed(1), bewayled(1)",biwailled(2),weak,classified by morphological evidence
biwreien,biwreien,biwreyed(2),,weak,classified by morphological evidence
biyeten,biyeten,,bigeten(2),strong,classified by morphological evidence
blamen,blamen,blamed(2),blamed(1),weak,classified by morphological evidence
blasfemen,blasfemen,,blasphemed(2),weak,classified by morphological evidence
blenchen,blenchen,"bleinte(2), bleynte(2)",,weak,classified by morphological evidence
blenden,blenden,,blent(4),weak,classified by morphological evidence
bleren,bleren,,blered(4),weak,classified by morphological evidence
blessen,blessen,blessed(2),"blessed(13), yblessed(4), blissed(2)",weak,classified by morphological evidence
blouen,blouen,blew(20),"blowen(4), yblowe(1), iblowe(1)",strong,classified by morphological evidence
borwen,borwen,borwed(2),borwed(2),weak,classified by morphological evidence
breden,breden,,bred(1),weak,classified by morphological evidence
breken,breken,brak(1),"broken(8), broke(4)",strong,known strong verb
brennen,brennen,"brende(12), brente(8)","brent(11), ybrend(4), ybrent(2), brend(1)",weak,classified by morphological evidence
bresten,bresten,"brast(8), braste(3)",brosten(4),strong,known strong verb
breuen,breuen,brew(1),,unclear,mixed or insufficient evidence
bridelen,bridelen,"bridled(1), bridlede(1)",,weak,classified by morphological evidence
bringen,bringen,"broghte(36), broughte(8), broght(3), brought(3)","broght(31), brought(21), ybrought(1), ybroght(1)",unclear,mixed or insufficient evidence
cacchen,cacchen,"caughte(30), caught(2), kaughte(1)","caught(40), kaught(7), ykaught(1)",weak,classified by morphological evidence
calculen,calculen,"calculed(1), kalkuled(1)",,weak,classified by morphological evidence
callen,callen,called(12),"called(26), ycalled(2)",weak,classified by morphological evidence
capen,capen,caped(1),,weak,classified by morphological evidence
carien,carien,,"caried(6), ycaried(3), ycaryed(1)",weak,classified by morphological evidence
casten,casten,"caste(58), cast(4)","cast(5), casten(2), ycast(2)",unclear,mixed or insufficient evidence
causen,causen,caused(9),,weak,classified by morphological evidence
cesen,cesen,cessed(6),cessed(2),weak,classified by morphological evidence
chacen,chacen,,chaced(2),weak,classified by morphological evidence
chargen,chargen,charged(4),charged(6),weak,classified by morphological evidence
chasten,chasten,,chasted(2),weak,classified by morphological evidence
chaungen,chaungen,"chaunged(10), changed(2)","chaunged(15), changed(2), ychaunged(2)",weak,classified by morphological evidence
chesen,chesen,"chees(11), ches(3)","chosen(10), chose(2)",strong,known strong verb
chiden,chiden,chidde(4),,weak,classified by morphological evidence
clappen,clappen,"clapte(5), clapt(1)",,weak,classified by morphological evidence
clauen,clauen,clew(2),yclawed(2),weak,classified by morphological evidence
clepen,clepen,cleped(6),"cleped(38), ycleped(14), clepid(4), icleped(1)",weak,classified by morphological evidence
cleven,cleven,"cleft(1), clefte(1)",,strong,known strong verb
climben,climben,"clomb(2), clamb(2)","clomben(4), cloumbe(1)",strong,known strong verb
clippen,clippen,,clipped(2),weak,classified by morphological evidence
clothen,clothen,cladde(4),"clothed(14), clad(10), yclad(4), yclothed(2)",weak,classified by morphological evidence
colouren,colouren,,coloured(2),weak,classified by morphological evidence
comen,comen,"com(89), come(15), cam(8), came(2)","come(70), comen(39), ycomen(7), ycome(4), com(3), icomen(2)",strong,known strong verb
comforten,comforten,,"conforted(2), comforted(1)",weak,classified by morphological evidence
commaunden,commaunden,"comanded(12), comaunded(2)","comanded(8), comaunded(2)",weak,classified by morphological evidence
commenden,commenden,,commended(2),weak,classified by morphological evidence
compleinen,compleinen,"compleyned(2), compleined(1)","compleined(1), compleyned(1)",weak,classified by morphological evidence
completen,completen,,"complet(1), compleet(1)",weak,classified by morphological evidence
conceiven,conceiven,,"conceyved(3), conceived(1)",weak,classified by morphological evidence
concluden,concluden,,concluded(2),weak,classified by morphological evidence
confermen,confermen,,confermed(2),weak,classified by morphological evidence
confounden,confounden,,confounded(2),weak,classified by morphological evidence
connen,connen,"koude(175), coude(142), coud(14), kouth(3), couthe(3), couth(3), kouthe(3), koud(2), kowde(2)","ykoude(1), coud(1), ykoud(1), koud(1)",unclear,mixed or insufficient evidence
conqueren,conqueren,conquered(4),,weak,classified by morphological evidence
conserven,conserven,,conserved(3),weak,classified by morphological evidence
consideren,consideren,considered(3),considered(10),weak,classified by morphological evidence
constreinen,constreinen,,"constreined(3), constreyned(3)",weak,classified by morphological evidence
consumen,consumen,,consumed(1),weak,classified by morphological evidence
contrarien,contrarien,contraried(2),,weak,classified by morphological evidence
conveien,conveien,"conveyed(3), conveied(1)",,weak,classified by morphological evidence
converten,converten,converted(2),converted(4),weak,classified by morphological evidence
corounen,corounen,,"crouned(3), crowned(3), corouned(2), coroned(1)",weak,classified by morphological evidence
correcten,correcten,,corrected(4),weak,classified by morphological evidence
corrupten,corrupten,,corrupt(2),weak,classified by morphological evidence
costen,costen,"coste(7), cost(1)",,weak,classified by morphological evidence
couchen,couchen,"couched(4), couchede(1)",couched(6),weak,classified by morphological evidence
counseilen,counseilen,"counseilled(1), counseylled(1)",,weak,classified by morphological evidence
counten,counten,counted(2),,weak,classified by morphological evidence
countrefeten,countrefeten,countrefeted(2),,weak,classified by morphological evidence
couplen,couplen,,coupled(1),weak,classified by morphological evidence
coveren,coveren,covered(7),kevered(5),weak,classified by morphological evidence
creauncen,creauncen,,"creaunced(1), creanced(1)",weak,classified by morphological evidence
crepen,crepen,"creep(4), crepte(1)",cropen(5),strong,known strong verb
crien,crien,"cride(21), cried(11), cryde(5), cryed(1), criede(1)","cried(6), cryd(2)",unclear,mixed or insufficient evidence
cristnen,cristnen,"cristned(3), cristened(1)",,weak,classified by morphological evidence
crouen,crouen,crew(4),crowe(2),strong,classified by morphological evidence
curen,curen,,cured(1),weak,classified by morphological evidence
cutten,cutten,kitte(3),"kut(2), cut(1)",weak,classified by morphological evidence
dampnen,dampnen,dampned(3),dampned(17),weak,classified by morphological evidence
daswen,daswen,,daswed(2),weak,classified by morphological evidence
dauncen,dauncen,daunced(6),,weak,classified by morphological evidence
daunten,daunten,daunted(1),daunted(1),weak,classified by morphological evidence
deceiven,deceiven,,"deceyved(6), deceived(4)",weak,classified by morphological evidence
declaren,declaren,declared(2),declared(2),weak,classified by morphological evidence
defacen,defacen,,defaced(2),weak,classified by morphological evidence
defenden,defenden,defended(1),,weak,classified by morphological evidence
defoulen,defoulen,,defouled(9),weak,classified by morphological evidence
deien,deien,dyed(2),"diyd(1), dyed(1)",weak,classified by morphological evidence
deinen,deinen,"deigned(4), deyned(1)","deined(1), deyned(1)",weak,classified by morphological evidence
delen,delen,,deled(2),weak,classified by morphological evidence
deliberen,deliberen,,delibered(2),weak,classified by morphological evidence
deliten,deliten,delited(2),,weak,classified by morphological evidence
deliveren,deliveren,"delivered(1), delyvered(1)",delivered(2),weak,classified by morphological evidence
delven,delven,,dolven(2),strong,known strong verb
demen,demen,"demed(9), demede(1)",demed(2),weak,classified by morphological evidence
departen,departen,departed(2),departed(21),weak,classified by morphological evidence
depeinten,depeinten,,"depeynted(6), depeinted(5)",weak,classified by morphological evidence
deriven,deriven,,"derived(1), dirryved(1)",weak,classified by morphological evidence
descenden,descenden,descended(2),descended(5),weak,classified by morphological evidence
descriven,descriven,,"discrived(1), discryved(1)",weak,classified by morphological evidence
deserven,deserven,,"deserved(8), disserved(1)",weak,classified by morphological evidence
desiren,desiren,desired(4),desired(1),weak,classified by morphological evidence
despeiren,despeiren,,"despeired(5), dispeired(1), despeyred(1)",weak,classified by morphological evidence
destroien,destroien,destroyed(4),"destroyed(10), destroied(2)",weak,classified by morphological evidence
dien,dien,"deide(7), deyde(6), died(5), dyde(3), deyede(2), deied(2), deid(1), dyed(1)",dyed(1),unclear,mixed or insufficient evidence
dighten,dighten,,"ydight(2), dight(2)",weak,classified by morphological evidence
discoveren,discoveren,,discovered(2),weak,classified by morphological evidence
discussen,discussen,,discussed(2),weak,classified by morphological evidence
disfiguren,disfiguren,,disfigured(2),weak,classified by morphological evidence
disgisen,disgisen,,disgised(2),weak,classified by morphological evidence
disparagen,disparagen,,disparaged(2),weak,classified by morphological evidence
dispenden,dispenden,,despended(2),weak,classified by morphological evidence
displesen,displesen,,displesed(3),weak,classified by morphological evidence
disposen,disposen,disposed(2),disposed(6),weak,classified by morphological evidence
disputen,disputen,disputed(2),,weak,classified by morphological evidence
distourben,distourben,,destourbed(1),weak,classified by morphological evidence
distroublen,distroublen,,destroubled(2),weak,classified by morphological evidence
dividen,dividen,,"divided(1), dyvyded(1)",weak,classified by morphological evidence
dokken,dokken,,dokked(2),weak,classified by morphological evidence
don,don,"dide(142), did(39), dede(2), dyde(2)","doon(128), don(49), do(10), ydoon(7), ido(1), ydon(1)",strong,classified by morphological evidence
drauen,drauen,"drow(11), drough(8), drew(1)","drawe(3), ydrawe(2), ydrawen(1), draw(1)",strong,classified by morphological evidence
drecchen,drecchen,,drecched(2),weak,classified by morphological evidence
dreden,dreden,"dredde(6), dradde(1), dred(1)",,unclear,mixed or insufficient evidence
dremen,dremen,dremed(8),,weak,classified by morphological evidence
drenchen,drenchen,"dreint(1), dreinte(1)","dreynt(5), dreint(2), dreinte(1), dreynte(1), drent(1)",unclear,mixed or insufficient evidence
dressen,dressen,"dressed(5), dressede(1)",dressed(2),weak,classified by morphological evidence
drinken,drinken,"drank(22), dronk(2)","dronken(11), dronke(4)",strong,known strong verb
driven,driven,"droof(8), drof(4)","driven(5), drive(3), dryve(3), dryven(2)",strong,known strong verb
drounen,drounen,,drowned(1),weak,classified by morphological evidence
durren,durren,"dorste(41), durste(10), dorst(4), durst(1)",,unclear,mixed or insufficient evidence
dusken,dusken,dusked(2),,weak,classified by morphological evidence
dwellen,dwellen,"dwelte(12), dwelled(9), duelled(1)","dwelt(4), dwelled(4)",unclear,mixed or insufficient evidence
eilen,eilen,"eyled(1), eiled(1)",,weak,classified by morphological evidence
eken,eken,,eched(2),weak,classified by morphological evidence
embosen,embosen,,embosed(2),weak,classified by morphological evidence
embracen,embracen,,embraced(1),weak,classified by morphological evidence
embrouden,embrouden,,embrouded(2),weak,classified by morphological evidence
empoisounen,empoisounen,,"empoysoned(2), empoisoned(1)",weak,classified by morphological evidence
emprenten,emprenten,,"emprented(4), enprented(2)",weak,classified by morphological evidence
enchaunten,enchaunten,,enchanted(2),weak,classified by morphological evidence
enclinen,enclinen,,"enclined(3), enclyned(3)",weak,classified by morphological evidence
enclosen,enclosen,,enclosed(4),weak,classified by morphological evidence
encombren,encombren,,encombred(2),weak,classified by morphological evidence
encresen,encresen,"encresed(1), encresede(1)",encressed(4),weak,classified by morphological evidence
enden,enden,,ended(7),weak,classified by morphological evidence
enduren,enduren,endured(2),endured(2),weak,classified by morphological evidence
enfourmen,enfourmen,,enformed(2),weak,classified by morphological evidence
engendren,engendren,,"engendred(6), engendered(1)",weak,classified by morphological evidence
enhabiten,enhabiten,,enhabit(2),weak,classified by morphological evidence
enhauncen,enhauncen,,enhaunced(3),weak,classified by morphological evidence
enspiren,enspiren,,inspired(2),weak,classified by morphological evidence
entenden,entenden,entended(2),,weak,classified by morphological evidence
enterchaungen,enterchaungen,,entrechaunged(2),weak,classified by morphological evidence
entitelen,entitelen,,entitled(1),weak,classified by morphological evidence
entren,entren,,entred(4),weak,classified by morphological evidence
envenimen,envenimen,,"envenimed(1), envenymed(1)",weak,classified by morphological evidence
envolupen,envolupen,,envoluped(2),weak,classified by morphological evidence
escapen,escapen,,escaped(2),weak,classified by morphological evidence
escheuen,escheuen,,eschued(1),weak,classified by morphological evidence
esen,esen,,esed(7),weak,classified by morphological evidence
eten,eten,"eet(12), et(1)",eten(5),strong,known strong verb
exciten,exciten,excited(2),,weak,classified by morphological evidence
excusen,excusen,,excused(2),weak,classified by morphological evidence
executen,executen,,execut(2),weak,classified by morphological evidence
expounen,expounen,"expouned(2), expowned(2)",,weak,classified by morphological evidence
failen,failen,"failled(3), failed(1)",,weak,classified by morphological evidence
fallen,fallen,"fel(18), fille(7), fil(2), felle(1), fill(1)","falle(12), fallen(9), yfallen(2)",strong,known strong verb
falsen,falsen,falsed(2),falsed(4),weak,classified by morphological evidence
faren,faren,"ferde(22), ferd(4)","faren(6), ferd(4), fare(2)",strong,known strong verb
farsen,farsen,,farsed(2),weak,classified by morphological evidence
fasten,fasten,fasted(6),fast(2),weak,classified by morphological evidence
faunen,faunen,fauned(2),,weak,classified by morphological evidence
feden,feden,fedde(4),fed(2),weak,classified by morphological evidence
feffen,feffen,,feffed(2),weak,classified by morphological evidence
feinen,feinen,"feined(4), feyned(3), feynede(1)","feyned(2), feined(1)",weak,classified by morphological evidence
felen,felen,"felte(59), felt(6), felede(1), feelede(1), feled(1)","felt(12), feled(2)",weak,classified by morphological evidence
fellen,fellen,,feld(2),weak,classified by morphological evidence
feteren,feteren,fettred(2),fetered(2),weak,classified by morphological evidence
fetheren,fetheren,fethered(2),,weak,classified by morphological evidence
fetten,fetten,fette(5),fet(6),weak,classified by morphological evidence
fighten,fighten,faught(10),foughten(2),strong,known strong verb
fillen,fillen,,"fild(2), filled(2)",weak,classified by morphological evidence
finden,finden,"fond(67), foond(22), found(6), fonde(2), founde(2)","founde(34), founden(17), fond(2), found(2), fonden(1)",strong,known strong verb
fishen,fishen,,fisshed(2),weak,classified by morphological evidence
flateren,flateren,,yflatered(2),weak,classified by morphological evidence
flen,flen,fledde(4),"fled(12), yfled(2)",weak,classified by morphological evidence
flien,flien,"fleigh(4), fley(2), flygh(1), flough(1), flaugh(1)",flowen(2),strong,known strong verb
flikeren,flikeren,flikered(1),,weak,classified by morphological evidence
flouren,flouren,floured(2),,weak,classified by morphological evidence
folwen,folwen,"folwed(9), folwede(3), folowede(1), folowed(1), folewed(1)",yfolowed(2),weak,classified by morphological evidence
forbeden,forbeden,forbad(4),forbode(2),unclear,mixed or insufficient evidence
forberen,forberen,forbar(3),,unclear,mixed or insufficient evidence
fordon,fordon,,"fordoon(2), fordon(1)",unclear,mixed or insufficient evidence
fore-witen,fore-witen,"forwoot(4), forwot(3)",,weak,classified by morphological evidence
forgon,forgon,,forgon(2),unclear,mixed or insufficient evidence
forgon,forgonen,foryede(2),,weak,classified by morphological evidence
formen,formen,"formed(4), formede(1)","yformed(5), formed(3), ifourmed(1)",weak,classified by morphological evidence
forsaken,forsaken,"forsook(8), forsok(1)",forsaken(2),strong,classified by morphological evidence
forshapen,forshapen,,forshapen(2),strong,classified by morphological evidence
forsweren,forsweren,forswor(2),,strong,known strong verb
forwrappen,forwrappen,,forwrapped(2),weak,classified by morphological evidence
foryeten,foryeten,"forgat(13), forgate(1), foryat(1)","foryeten(6), forgeten(5), forgete(1)",strong,known strong verb
foryeven,foryeven,foryaf(5),foryeven(2),strong,classified by morphological evidence
fostren,fostren,fostred(4),"fostred(11), yfostred(4)",weak,classified by morphological evidence
founden,founden,,founded(3),weak,classified by morphological evidence
foundren,foundren,foundred(2),,weak,classified by morphological evidence
freten,freten,,"freten(1), freeten(1)",strong,known strong verb
ful-fillen,ful-fillen,,"fulfild(9), fulfilled(2)",weak,classified by morphological evidence
gaderen,gaderen,"gadered(2), gadrede(1)",gadered(1),weak,classified by morphological evidence
gamen,gamen,gamed(2),,weak,classified by morphological evidence
gasen,gasen,gazed(2),,weak,classified by morphological evidence
geten,geten,gat(2),"geten(6), gete(2), ygeten(1)",strong,known strong verb
giden,giden,,gided(1),weak,classified by morphological evidence
ginnen,ginnen,"gan(198), gonne(1)",,strong,classified by morphological evidence
gladen,gladen,"gladded(3), gladed(3), gladede(2)",gladed(1),weak,classified by morphological evidence
gliteren,gliteren,"glitered(1), glytered(1)",,weak,classified by morphological evidence
gnauen,gnauen,gnow(1),,strong,classified by morphological evidence
gon,gon,,"goon(26), gon(8), go(5), gane(1), geen(1), goo(1)",strong,classified by morphological evidence
governen,governen,governed(4),governed(3),weak,classified by morphological evidence
graunten,graunten,"graunted(22), grauntede(1)","graunted(16), ygraunted(2)",weak,classified by morphological evidence
graven,graven,,grave(6),strong,known strong verb
greten,greten,grette(2),,weak,classified by morphological evidence
greven,greven,greved(2),,weak,classified by morphological evidence
grinden,grinden,"grinte(1), grynte(1)",grounden(2),unclear,mixed or insufficient evidence
gropen,gropen,groped(2),,weak,classified by morphological evidence
grouen,grouen,"grew(2), growed(2)","growe(2), growen(2), ygrowen(2)",unclear,mixed or insufficient evidence
grounden,grounden,,grounded(2),weak,classified by morphological evidence
halouen,halouen,,yhalowed(2),weak,classified by morphological evidence
halwen,halwen,halwed(2),halwed(2),weak,classified by morphological evidence
hamelen,hamelen,,hameled(2),weak,classified by morphological evidence
happen,happen,"happed(21), happede(3)",,weak,classified by morphological evidence
harden,harden,,yharded(2),weak,classified by morphological evidence
haten,haten,hated(2),yhated(2),weak,classified by morphological evidence
haven,haven,"hadde(740), had(407)","had(48), hadde(1)",unclear,mixed or insufficient evidence
helen,helen,,"heled(7), heeled(5)",weak,classified by morphological evidence
helmen,helmen,,helmed(4),weak,classified by morphological evidence
helpen,helpen,"heelp(4), halp(1)","holpen(14), holpe(2)",strong,known strong verb
henten,henten,"hente(30), hent(2)",hent(10),weak,classified by morphological evidence
heren,heren,"herde(137), herd(11)","herd(135), herde(3)",unclear,mixed or insufficient evidence
herien,herien,harwed(2),"heried(7), yheried(5), heryed(1), iheryed(1), haried(1), haryed(1)",unclear,mixed or insufficient evidence
herkenen,herkenen,herkned(6),herkned(2),weak,classified by morphological evidence
heten,heten,"het(1), hette(1)",,weak,classified by morphological evidence
heven,heven,haaf(1),,strong,classified by morphological evidence
hiden,hiden,"hidde(9), hydde(1)","hid(11), yhid(2), hyd(1)",unclear,mixed or insufficient evidence
hien,hien,hied(1),hyed(2),weak,classified by morphological evidence
hitten,hitten,hitte(5),hit(1),weak,classified by morphological evidence
holden,holden,"held(42), helde(3), heeld(2)","holden(25), holde(10), halde(2)",strong,known strong verb
hongen,hongen,"heng(6), heeng(5), henge(2)",hanged(8),unclear,mixed or insufficient evidence
honouren,honouren,,"honoured(9), honured(3)",weak,classified by morphological evidence
hoten,hoten,"highte(18), hight(4), hette(1)","hight(2), hoote(1)",unclear,mixed or insufficient evidence
hoven,hoven,hoved(1),,weak,classified by morphological evidence
hunten,hunten,hunted(4),hunted(4),weak,classified by morphological evidence
hurten,hurten,"hurte(4), hurt(2)","hurt(16), yhurt(2)",weak,classified by morphological evidence
iben,iben,,"ybeen(3), iben(1)",strong,classified by morphological evidence
iberen,iberen,,"yborn(6), yboren(2), ybore(1), iborn(1)",strong,classified by morphological evidence
ibringen,ibringen,,"ybrought(7), ybroght(6), ibrought(3)",weak,classified by morphological evidence
ifinden,ifinden,,"yfounde(3), founde(1)",strong,classified by morphological evidence
igreten,igreten,,ygret(1),weak,classified by morphological evidence
iholden,iholden,,"yholde(2), holden(1), yholden(1)",strong,classified by morphological evidence
ikissen,ikissen,,ykist(2),weak,classified by morphological evidence
iknouen,iknouen,,"yknowen(8), yknowe(2)",strong,classified by morphological evidence
ileden,ileden,,ylad(2),weak,classified by morphological evidence
ileien,ileien,,"yleid(1), yleyd(1)",weak,classified by morphological evidence
imaginen,imaginen,"ymagened(1), imagined(1)",,unclear,mixed or insufficient evidence
imaken,imaken,,"ymaked(7), ymaad(4), imaked(1), ymad(1)",weak,classified by morphological evidence
imeten,imeten,,ymet(2),weak,classified by morphological evidence
innen,innen,,inned(1),weak,classified by morphological evidence
ipassen,ipassen,,ypassed(2),weak,classified by morphological evidence
ireden,ireden,,yred(2),weak,classified by morphological evidence
irennen,irennen,,yronnen(2),strong,classified by morphological evidence
isen,isen,,"iseye(1), yseyn(1)",strong,classified by morphological evidence
isenden,isenden,,ysent(2),weak,classified by morphological evidence
isetten,isetten,,"yset(2), iset(2)",weak,classified by morphological evidence
ishapen,ishapen,,yshapen(6),strong,classified by morphological evidence
isheuen,isheuen,,yshewed(2),weak,classified by morphological evidence
isouen,isouen,,ysowen(2),strong,classified by morphological evidence
ispeken,ispeken,,"yspoken(2), yspoke(2)",strong,classified by morphological evidence
itaken,itaken,,ytaken(1),strong,classified by morphological evidence
itechen,itechen,,ytaught(1),weak,classified by morphological evidence
iturnen,iturnen,,yturned(4),weak,classified by morphological evidence
iwaxen,iwaxen,,"ywoxen(4), ywaxen(2)",strong,classified by morphological evidence
iwerken,iwerken,,"ywroght(3), ywrought(2), iwrought(2), ywroghte(1)",unclear,mixed or insufficient evidence
iwinnen,iwinnen,,ywonne(4),strong,known strong verb
japen,japen,japed(1),japed(2),weak,classified by morphological evidence
joinen,joinen,"joined(1), joyned(1)","joyned(2), joined(1)",weak,classified by morphological evidence
jugen,jugen,,"juged(3), jugged(1)",weak,classified by morphological evidence
kemben,kemben,kembde(1),kembd(7),weak,classified by morphological evidence
kennen,kennen,,"kende(1), kend(1)",unclear,mixed or insufficient evidence
kepen,kepen,"kepte(25), kept(1)",kept(21),weak,classified by morphological evidence
kerven,kerven,"carf(6), karf(1)","corven(4), korven(2)",strong,known strong verb
kiken,kiken,,kiked(2),weak,classified by morphological evidence
kindelen,kindelen,,"kindled(1), kyndled(1)",weak,classified by morphological evidence
kissen,kissen,kiste(28),"kist(4), kiste(1)",unclear,mixed or insufficient evidence
