headword,infinitive,preterite,past_participle,classification,notes
kiken,kiken,,kiked(1),weak,classified by morphological evidence (check!)
kindelen,kindelen,,kindled(1),weak,classified by morphological evidence (check!)
kissen,kissen,"kiste(25), keste(3), kist(1)","kist(4), kiste(1)",weak,Decided 
kithen,kithen,kidde(1),"kid(2), kithed(1)",weak,classified by morphological evidence
knelen,knelen,kneled(3),ykneled(1),weak,classified by morphological evidence
knitten,knitten,,"knit(9), knet(1)",weak,classified by morphological evidence
knokken,knokken,knokked(2),,weak,classified by morphological evidence
knouen,knouen,"knew(81), knewe(11)","knowe(9), knowen(9), know(1)",strong,known strong verb
labouren,labouren,laboured(1),laboured(2),weak,classified by morphological evidence
lakken,lakken,"lakked(7), lakkede(3)",,weak,classified by morphological evidence
lasen,lasen,,laced(1),weak,classified by morphological evidence
lasten,lasten,"laste(4), lasted(1)",,weak,classified by morphological evidence (check!)
laughen,laughen,lough(16),laughen(1),strong,known strong verb
leden,leden,"ladde(22), ledde(4)","lad(16), led(2)",weak,Seems weak
leien,leien,"leide(35), leid(2), leye(1), laide(1)","leid(11), leide(2), laid(1)",weak,Seems weak
lenen,lenen,lente(3),ylent(1),weak,classified by morphological evidence (check!)
lepen,lepen,"leep(5), lepte(1)",,weak,classified by morphological evidence
leren,leren,,lered(2),weak,classified by computer (CHECK)
lernen,lernen,lerned(2),lerned(9),weak,classified by morphological evidence
lesen,lesen,lees(1),"lorn(21), lorne(3), loren(2), lore(2), ylorn(1)",strong,classified by morphological evidence
leten,leten,"leet(38), let(10)","lete(2), laten(1)",strong,known strong verb
letten,letten,"lette(5), letted(2)",let(4),weak,classified by morphological evidence
leven,leven,"lafte(9), lefte(7), left(2), laft(1)","laft(11), left(4), lefte(1), ylaft(1)",weak,Seems weak
lien,lien,"lay(105), lei(1), laye(1), lyede(1)","lein(2), ylain(1), leyn(1)",strong,classified by morphological evidence
lighten,lighten,lighte(5),"light(1), lighted(1)",weak,classified by morphological evidence (check!)
lightnen,lightnen,,lightned(1),weak,classified by computer (CHECK)
liken,liken,liked(17),,weak,Seems weak
liknen,liknen,,likned(2),weak,classified by morphological evidence (check!)
limen,limen,,ylimed(1),weak,classified by morphological evidence (check!)
lissen,lissen,,"lissed(1), ylissed(1)",weak,classified by morphological evidence
listen,listen,"leste(40), liste(19), list(11), lest(2)",,weak,classified by morphological evidence (check!)
liven,liven,"lived(6), livede(4)","lived(3), ylived(1)",weak,Seems weak
loggen,loggen,,"logged(2), ylogged(1)",weak,classified by morphological evidence
loken,loken,"loked(19), looked(6)","loked(3), looked(1)",weak,classified by morphological evidence (check!)
longen,longen,longed(1),,weak,classified by morphological evidence (check!)
losen,losen,loste(10),"lost(54), ylost(3), loste(1)",weak,Seems weak
loven,loven,"loved(51), lovede(11), lovedest(1)","loved(13), yloved(2)",weak,classified by morphological evidence (check!)
lullen,lullen,lulled(1),,weak,classified by morphological evidence
lusten,lusten,"luste(2), lust(1)",,weak,classified by morphological evidence
maken,maken,"made(186), maked(12), maad(5), us(1), mad(1), i(1)","maad(44), maked(26), mad(12), made(6), maden(1)",weak,Seems weak
marien,marien,maried(1),maried(1),weak,classified by morphological evidence
marken,marken,,marked(1),weak,classified by morphological evidence (check!)
masen,masen,,mased(1),weak,classified by computer (CHECK)
masken,masken,,ymasked(1),weak,classified by morphological evidence
medlen,medlen,,ymedled(1),weak,classified by morphological evidence
melten,melten,malt(1),molte(1),strong,known strong verb
menen,menen,"mente(31), ment(1)",ment(1),weak,classified by morphological evidence (check!)
mesuren,mesuren,mesured(1),,weak,classified by computer (CHECK)
meten,meten,"mette(25), met(11)","met(8), ymet(1)",weak,Weak although it is strong in skeat’s list
meven,meven,moeved(1),meved(1),weak,classified by computer (CHECK)
misaccounten,misaccounten,,misacounted(1),weak,classified by morphological evidence
misbeden,misbeden,,misboden(1),strong,classified by morphological evidence
misfallen,misfallen,misfille(1),,strong,classified by computer (CHECK)
misforyeven,misforyeven,misforyaf(1),,weak,not in list
misgien,misgien,,misgied(1),weak,classified by computer (CHECK)
misgon,misgon,,"misgoon(1), misgon(1), misgo(1)",weak,classified by computer (CHECK)
mishappen,mishappen,,mishapped(1),weak,classified by morphological evidence
mislien,mislien,mislay(1),,strong,classified by computer (CHECK)
misseien,misseien,misseide(1),"missaid(2), misseid(1)",weak,classified by morphological evidence
missen,missen,missed(1),missed(1),weak,classified by morphological evidence (check!)
missitten,missitten,missatte(1),,weak,classified by computer (CHECK)
misspeken,misspeken,misspak(1),,strong,"Speken is strong, so I think this is too"
mistaken,mistaken,,mistake(1),strong,classified by computer (CHECK)
mistrusten,mistrusten,,mistrusted(1),weak,classified by morphological evidence
miswenden,miswenden,,miswent(1),weak,classified by computer (CHECK)
mortheren,mortheren,,mordred(7),weak,classified by morphological evidence
moten,moten,"moste(75), most(10), moot(2), mot(1)",,weak,classified by morphological evidence (check!)
mouen,mouen,"mighte(272), might(57), miht(1), he(1)",,weak,Seems weak
moulen,moulen,,mowled(1),weak,classified by computer (CHECK)
musen,musen,mused(1),,weak,classified by morphological evidence
nailen,nailen,,nailed(1),weak,classified by computer (CHECK)
neden,neden,"neded(7), nedede(2)",,weak,classified by morphological evidence (check!)
nemnen,nemnen,nempned(1),,weak,classified by morphological evidence
neuen,neuen,newed(1),,weak,classified by computer (CHECK)
nimen,nimen,nam(1),"nome(5), nomen(1)",strong,classified by computer (CHECK)
nombren,nombren,,nombred(1),weak,classified by morphological evidence
norishen,norishen,,norished(1),weak,classified by morphological evidence
notifien,notifien,,notified(1),weak,classified by computer (CHECK)
obeien,obeien,"obeyed(3), obeide(2)",,weak,classified by morphological evidence
obligen,obligen,,obliged(1),weak,classified by morphological evidence
of-shouven,of-shouven,,ofshowve(1),strong,classified by computer (CHECK)
offenden,offenden,offended(1),offended(2),weak,classified by morphological evidence
oftaken,oftaken,,oftaken(1),strong,classified by computer (CHECK)
onen,onen,,oned(1),weak,classified by morphological evidence
openen,openen,opned(1),"opned(1), opened(1)",weak,classified by morphological evidence
oppressen,oppressen,,oppressed(5),weak,classified by morphological evidence
ordeinen,ordeinen,,ordeined(3),weak,classified by morphological evidence
ouen,ouen,"oghte(31), oughte(29), oght(5), ought(4), ouhte(1), ouht(1)",,weak,classified by morphological evidence
outcacchen,outcacchen,outcaughte(1),,weak,classified by computer (CHECK)
outcasten,outcasten,,outcast(1),weak,classified by computer (CHECK)
outsterten,outsterten,outsterte(1),,weak,classified by computer (CHECK)
overblouen,overblouen,,overblowe(1),strong,classified by computer (CHECK)
overcomen,overcomen,overcom(1),overcome(8),strong,classified by computer (CHECK)
overdon,overdon,,overdoon(1),weak,classified by computer (CHECK)
overloken,overloken,,overloked(1),weak,classified by morphological evidence
overrechen,overrechen,overraughte(1),,weak,classified by computer (CHECK)
overshaken,overshaken,,overshake(3),strong,classified by computer (CHECK)
oversheten,oversheten,,overshette(1),strong,classified by morphological evidence
overskippen,overskippen,overskipte(1),,weak,classified by computer (CHECK)
overspreden,overspreden,"overspradde(2), overspradd(1)",,weak,classified by morphological evidence
overtaken,overtaken,overtoke(1),,strong,Taken is strong
overthrouen,overthrouen,,overthrowe(2),strong,classified by computer (CHECK)
paien,paien,"paide(2), payed(1)","paied(3), payed(3), paid(2), ypaied(2), ypayed(1), paide(1)",weak,classified by morphological evidence
parten,parten,,parted(2),weak,classified by computer (CHECK)
passen,passen,"passed(8), paste(3)","passed(20), past(1)",weak,classified by morphological evidence
peinen,peinen,peined(5),,weak,classified by morphological evidence
peinten,peinten,peinted(2),peinted(13),weak,classified by morphological evidence
percen,percen,perced(2),perced(1),weak,classified by morphological evidence
performen,performen,parfourned(1),"parfourned(4), performed(1)",weak,Definitely weak — the root vowel stays same just varied spelling
picchen,picchen,pighte(2),,weak,classified by morphological evidence
piken,piken,piked(1),ypiked(1),weak,classified by morphological evidence (check!)
pilen,pilen,,pilled(1),weak,classified by computer (CHECK)
pinchen,pinchen,,pinched(1),weak,classified by morphological evidence
pinen,pinen,,pined(1),weak,classified by computer (CHECK)
pissen,pissen,,pissed(1),weak,classified by morphological evidence
planen,planen,planed(1),,weak,classified by morphological evidence (check!)
plaunten,plaunten,,planted(2),weak,classified by morphological evidence
pleien,pleien,pleide(7),"pleyed(1), pleide(1), pleyd(1), pleid(1)",weak,Seams weak
pleinen,pleinen,pleined(2),ypleined(1),weak,classified by morphological evidence
pleiten,pleiten,plited(1),,weak,"Program failed here, pretty sure its weak not irregular"
plesen,plesen,plesed(1),"plesed(4), yplesed(1)",weak,classified by morphological evidence
plicchen,plicchen,plighte(2),plight(2),weak,classified by computer (CHECK)
plighten,plighten,plighte(2),"plight(3), yplight(1)",weak,classified by morphological evidence
pointen,pointen,,pointed(1),weak,classified by morphological evidence (check!)
poken,poken,poked(2),,weak,classified by morphological evidence (check!)
portraien,portraien,purtreied(1),,weak,"Program failed here, pretty sure its weak not irregular"
poupen,poupen,,pouped(1),weak,classified by computer (CHECK)
pouren,pouren,poured(1),poured(1),weak,classified by morphological evidence (check!)
prechen,prechen,,preched(1),weak,classified by morphological evidence
preien,preien,"preide(20), preyed(7), preyede(3), prayed(2), praide(2), praid(2), preiede(1)","preyed(4), prayed(2)",weak,Seems weak
preisen,preisen,,preised(5),weak,classified by morphological evidence
presenten,presenten,,presented(1),weak,classified by computer (CHECK)
preven,preven,"preved(1), proved(1)","preved(6), ypreved(1)",weak,not in list
priken,priken,"prighte(1), priked(1)",priked(3),weak,Clearly weak
priven,priven,,prived(1),weak,classified by computer (CHECK)
profren,profren,profred(3),profred(1),weak,classified by morphological evidence
pronouncen,pronouncen,,pronounced(1),weak,classified by morphological evidence
proverben,proverben,,proverbed(1),weak,classified by morphological evidence
publishen,publishen,,"publiced(2), publisshed(1)",weak,classified by morphological evidence
pullen,pullen,pulled(4),ypulled(1),weak,classified by morphological evidence
punishen,punishen,,ypunisshed(1),weak,classified by morphological evidence
purchasen,purchasen,purchased(1),,weak,classified by morphological evidence
purgen,purgen,,purged(1),weak,classified by morphological evidence (check!)
purposen,purposen,,purposed(1),weak,classified by computer (CHECK)
purveien,purveien,,"purveied(6), purveyed(1)",weak,classified by morphological evidence
putten,putten,"putte(20), put(3)","put(18), yput(4), pit(1)",weak,classified by morphological evidence
quaken,quaken,quook(10),quaked(1),strong,known strong verb
quenchen,quenchen,queinte(2),"queint(5), yqueint(1)",weak,classified by morphological evidence
quethen,quethen,"quod(696), him(1), quoth(1)",,strong,known strong verb
quiken,quiken,quiked(1),quiked(1),weak,classified by morphological evidence
quiten,quiten,quitte(2),quit(8),weak,classified by morphological evidence
raken,raken,,raked(1),weak,classified by computer (CHECK)
raten,raten,,rated(1),weak,classified by morphological evidence (check!)
ravishen,ravishen,ravisshed(1),ravisshed(4),weak,classified by morphological evidence
recchen,recchen,"roughte(9), roghte(4), rouhte(1), rought(1)",,weak,"Program failed here, pretty sure its weak"
receiven,receiven,received(2),"received(7), resceived(1)",weak,classified by morphological evidence
rechasen,rechasen,,rechased(1),weak,classified by morphological evidence (check!)
rechen,rechen,raughte(5),,strong,"Program failed here, pretty sure its weak"
recoveren,recoveren,,recovered(5),weak,classified by morphological evidence (check!)
reden,reden,"redde(5), radde(4)","red(6), rad(5), redde(2)",weak,Seams weak
redressen,redressen,redressed(1),,weak,classified by computer (CHECK)
refreshen,refreshen,refresshed(1),refresshed(3),weak,classified by morphological evidence
regnen,regnen,regned(2),,weak,classified by morphological evidence
rehersen,rehersen,,rehersed(1),weak,classified by computer (CHECK)
reinen,reinen,"ron(2), reined(1)",,strong,I think this is vacation of Rin which is in seats list
reisen,reisen,,reised(4),weak,classified by morphological evidence (check!)
rejoisen,rejoisen,rejoised(1),,weak,classified by morphological evidence
reken,reken,,yreke(1),strong,classified by computer (CHECK)
rekenen,rekenen,,yrekened(2),weak,classified by morphological evidence
relesen,relesen,relessed(1),,weak,classified by morphological evidence (check!)
releven,releven,,releved(3),weak,classified by morphological evidence
remembren,remembren,remembred(4),remembred(1),weak,classified by morphological evidence
remuen,remuen,,remewed(1),weak,classified by computer (CHECK)
renden,renden,"rente(9), she(1)","rent(2), yrent(2)",weak,classified by morphological evidence (check!)
reneien,reneien,,"reneyed(1), reneied(1)",weak,classified by computer (CHECK)
rennen,rennen,ran(21),ronne(2),strong,known strong verb (check!)
repairen,repairen,,repaired(1),weak,classified by computer (CHECK)
repelen,repelen,,repeled(2),weak,classified by computer (CHECK)
repen,repen,,ropen(1),strong,classified by computer (CHECK)
repenten,repenten,repented(1),,weak,classified by morphological evidence
reporten,reporten,,reported(2),weak,classified by computer (CHECK)
repressen,repressen,,repressed(2),weak,classified by morphological evidence
requeren,requeren,required(1),requered(2),weak,classified by morphological evidence
rescouen,rescouen,rescowed(1),,weak,classified by computer (CHECK)
reserven,reserven,,reserved(1),weak,classified by computer (CHECK)
resounen,resounen,resouned(1),,weak,classified by morphological evidence (check!)
resten,resten,rested(1),rested(1),weak,classified by morphological evidence (check!)
restoren,restoren,restored(3),,weak,classified by morphological evidence
returnen,returnen,,retorned(1),weak,classified by morphological evidence
reuen,reuen,rewed(1),rewed(1),weak,classified by morphological evidence (check!)
reulen,reulen,,"ruled(2), reuled(1)",weak,classified by morphological evidence
reven,reven,"rafte(4), refte(3), raft(1)","reft(3), raft(2), yraft(1)",strong,In list as riven
riden,riden,rood(25),riden(9),strong,known strong verb
ringen,ringen,rong(6),ronge(2),strong,known strong verb
risen,risen,roos(24),risen(4),strong,known strong verb
riven,riven,roof(2),,strong,known strong verb
rollen,rollen,rolled(1),rolled(1),weak,classified by morphological evidence (check!)
romen,romen,romed(3),romed(3),weak,classified by morphological evidence
roren,roren,rored(1),,weak,classified by computer (CHECK)
rosten,rosten,rosted(1),,weak,classified by morphological evidence
rouen,rouen,,rowed(1),weak,classified by computer (CHECK)
rounden,rounden,rounded(1),,weak,classified by morphological evidence
rounen,rounen,"rouned(2), rowned(1)",,weak,classified by morphological evidence
rumbelen,rumbelen,rombled(2),,weak,classified by morphological evidence
rusen,rusen,rused(1),,weak,classified by morphological evidence
sakken,sakken,,sakked(1),weak,classified by morphological evidence
saluen,saluen,,salewed(1),weak,classified by morphological evidence
saven,saven,saved(6),saved(7),weak,classified by morphological evidence
scalden,scalden,,scalded(1),weak,classified by morphological evidence
scapen,scapen,,scaped(2),weak,classified by computer (CHECK)
scateren,scateren,,scatered(1),weak,classified by morphological evidence
scornen,scornen,scorned(3),,weak,classified by morphological evidence
sechen,sechen,"soughte(7), soghte(5), souhte(1)",soght(1),weak,Not in lists
seien,seien,"seide(527), seid(66), saide(25), said(6), seyde(3), saugh(1), seiden(1), sayde(1), amende(1)","seid(83), said(14), seide(4), ones(1), saide(1)",weak,Seams weak
seilen,seilen,sailed(2),yseiled(1),weak,classified by computer (CHECK)
seisen,seisen,,sesed(1),weak,classified by computer (CHECK)
selen,selen,,seled(1),weak,classified by computer (CHECK)
sellen,sellen,solde(1),sold(1),weak,classified by computer (CHECK)
semen,semen,"semed(36), seemed(1)",semed(1),weak,classified by morphological evidence (check!)
sen,sen,"saugh(121), saw(52), say(19), sey(11), seigh(9), sawe(3), sei(1), sy(1), sauh(1), so(1)","seyn(28), sene(16), seen(4), sein(2), yseyn(1)",strong,known strong verb
senden,senden,"sente(54), sent(2), sende(1)","sent(30), ysent(1)",weak,classified by morphological evidence (check!)
serven,serven,"served(3), servede(1)","served(11), yserved(3)",weak,classified by morphological evidence (check!)
setlen,setlen,,ysatled(1),weak,classified by morphological evidence
setten,setten,"sette(51), set(7)",set(42),weak,classified by morphological evidence
seuen,seuen,sewed(1),sowed(2),weak,classified by morphological evidence (check!)
shadwen,shadwen,,shadwed(1),weak,classified by morphological evidence
shaken,shaken,shook(4),shake(1),strong,known strong verb
shamen,shamen,,shamed(1),weak,classified by morphological evidence
shapen,shapen,"shoop(20), shoope(1)","shapen(23), shape(6)",strong,known strong verb
shaven,shaven,,"shave(2), yshave(2)",strong,known strong verb
sheden,sheden,"shedde(1), shadde(1)",,weak,classified by computer (CHECK)
shenden,shenden,shente(3),"shent(7), shente(1)",weak,classified by morphological evidence
sheren,sheren,,"yshore(1), yshorn(1), shorn(1)",TODO,classified by computer (CHECK)
sheuen,sheuen,"shewed(15), shewede(2), showed(1)",shewed(8),weak,classified by morphological evidence (check!)
shinen,shinen,"shoon(19), shinede(1), shone(1), shon(1)",,strong,known strong verb
shitten,shitten,"shette(11), shet(1)","shet(4), yshette(1)",weak,Not in lists
shouven,shouven,"shoof(2), shof(1)","shove(3), yshove(1)",weak,"Although strong in early middle gnlish, seems weak here"
shreden,shreden,shredde(1),,weak,classified by morphological evidence
shrinen,shrinen,,shrined(1),weak,classified by morphological evidence
shriven,shriven,,"shriven(2), schriven(1)",strong,known strong verb
shulen,shulen,"sholde(268), shold(43), shulde(29), shuld(9), shoulde(1)",,weak,classified by morphological evidence (check!)
siften,siften,,sifted(1),weak,classified by morphological evidence
sighen,sighen,sighed(2),,weak,classified by morphological evidence
signifien,signifien,"signified(2), signifide(1)",,weak,classified by morphological evidence
siken,siken,"sighte(10), siked(5)",siked(1),weak,Seams weak
sikeren,sikeren,,sikered(1),weak,classified by computer (CHECK)
singen,singen,"song(16), sang(6), songe(3), songo(1)","songe(5), ysonge(3), songen(2), ysongen(1)",strong,known strong verb
sinken,sinken,,sonken(3),strong,classified by morphological evidence
sitten,sitten,"sat(57), satte(2), sette(1), seet(1), set(1), sete(1), sate(1)","seten(2), sete(1)",strong,In lists
skippen,skippen,skipte(1),,weak,classified by morphological evidence
skriken,skriken,"shrighte(4), shright(1)",shright(1),weak,classified by morphological evidence
slen,slen,"slow(30), slough(11)","slain(79), slawe(8), yslain(5), slein(3), slaine(2), yslawe(2), slawen(1)",strong,known strong verb
slepen,slepen,"sleep(10), slepte(8), slepe(1)",,strong,known strong verb
slingen,slingen,slong(1),,strong,classified by computer (CHECK)
slitten,slitten,slitte(1),,weak,classified by morphological evidence
smerten,smerten,smerte(4),,weak,classified by computer (CHECK)
smilen,smilen,smiled(1),,weak,Not in lists
smiten,smiten,"smoot(21), smitest(1)","smiten(1), smitten(1), smitted(1)",strong,known strong verb
smithen,smithen,smithed(1),,weak,classified by morphological evidence
sneuen,sneuen,snewed(1),,weak,classified by morphological evidence
sojournen,sojournen,,sojourned(2),weak,classified by computer (CHECK)
somnen,somnen,,somoned(1),weak,classified by morphological evidence
sorten,sorten,sorted(1),,weak,classified by morphological evidence (check!)
sorwen,sorwen,,sorwed(1),weak,classified by morphological evidence
souen,souen,,sowe(2),strong,known strong verb
souken,souken,,souked(1),strong,known strong verb
soulen,soulen,,sowled(1),weak,classified by morphological evidence
sounden,sounden,,ysounded(1),weak,classified by computer (CHECK)
sounen,sounen,souned(1),,weak,classified by morphological evidence
sparen,sparen,,"spared(2), yspared(1)",weak,classified by morphological evidence
speden,speden,spedde(18),"sped(4), spedde(1)",weak,No evidence dn not in lists
speken,speken,"spak(109), spake(4)","spoken(8), spoke(6)",strong,known strong verb
spenden,spenden,spente(3),"spent(3), spended(1)",weak,classified by morphological evidence
speuen,speuen,,spouted(1),weak,classified by computer (CHECK)
spien,spien,spied(1),,weak,Seams weak
spillen,spillen,,spilt(6),weak,classified by morphological evidence
spinnen,spinnen,"span(1), sponne(1)",,strong,classified by computer (CHECK)
spotten,spotten,,spotted(1),weak,classified by morphological evidence
spousen,spousen,,spoused(2),weak,classified by morphological evidence
spreden,spreden,spradde(3),sprad(3),weak,Not in lists
sprengen,sprengen,,spreind(1),weak,classified by morphological evidence
springen,springen,"sprong(2), sprang(1)",spronge(2),strong,known strong verb
spurnen,spurnen,sporned(1),,weak,classified by morphological evidence
stablishen,stablishen,,stablissed(1),weak,classified by morphological evidence
stalken,stalken,stalked(2),,weak,classified by morphological evidence
stelen,stelen,"stal(11), staale(1), stale(1)","stole(4), stolen(2), stoln(2)",strong,known strong verb
stemen,stemen,stemed(1),,weak,classified by morphological evidence
steppen,steppen,,stapen(1),strong,known strong verb
steren,steren,,stered(1),weak,classified by computer (CHECK)
sterten,sterten,"sterte(30), stirte(4), stirt(1), stert(1)","ystert(1), stirt(1), stert(1)",weak,not in lists
sterven,sterven,starf(11),,strong,known strong verb
stiken,stiken,"stiked(3), stikked(1), stak(1)","stiked(2), ystiked(1)",weak,classified by morphological evidence
stingen,stingen,,stongen(1),strong,known strong verb
stinken,stinken,stank(1),,strong,In lists
stinten,stinten,"stente(11), stinte(4), stent(2)","stint(1), stent(1), stinted(1)",weak,Not in lists
stiren,stiren,stired(1),,weak,classified by morphological evidence
stonden,stonden,"stood(76), stoode(4), stod(2), stode(1)",stonden(2),strong,known strong verb
stoppen,stoppen,,stopped(2),weak,classified by morphological evidence
strepen,strepen,,strepen(1),strong,"Not in lists, but seems strong"
striven,striven,"stroof(1), strof(1)",,strong,known strong verb
strouten,strouten,strouted(1),,weak,classified by morphological evidence
submitten,submitten,,submitted(1),weak,classified by computer (CHECK)
sufferen,sufferen,suffred(3),"suffred(7), ysuffred(1)",weak,classified by morphological evidence
suffisen,suffisen,,suffised(2),weak,classified by morphological evidence
suffren,suffren,,suffrede(1),strong,classified by computer (CHECK)
sugren,sugren,,sucred(1),weak,classified by morphological evidence
supposen,supposen,supposed(1),supposed(4),weak,classified by morphological evidence
surmounten,surmounten,,surmountede(1),weak,Def weak
swappen,swappen,swapte(2),,weak,classified by morphological evidence
swellen,swellen,swal(2),,strong,known strong verb
swelten,swelten,swelte(2),,strong,known strong verb
swepen,swepen,,ysweped(1),weak,classified by morphological evidence
sweren,sweren,"swoor(23), swor(7), swore(3), swer(1)","sworn(24), ysworn(5), yswore(2), swore(2), sworen(1)",strong,known strong verb
sweten,sweten,swatte(3),,weak,"Program failed here, pretty sure its weak"
swinken,swinken,,"yswonke(1), swonken(1)",strong,known strong verb
swiven,swiven,swived(1),swived(3),weak,Y is spelling variation
swounen,swounen,"swowned(5), swouned(1)",swowned(1),weak,classified by morphological evidence
taken,taken,"took(139), toke(10), tooke(4), tok(3)","take(26), taken(9), ytake(1)",strong,known strong verb
tarien,tarien,taried(2),taried(3),weak,classified by morphological evidence (check!)
tasten,tasten,tasted(1),,weak,classified by morphological evidence
techen,techen,"taughte(13), taught(1)",taught(11),weak,Not in lists
teien,teien,,yteid(1),weak,classified by morphological evidence
tellen,tellen,"tolde(100), told(6)","told(63), tolde(4), ytold(1), tald(1)",weak,Not in lists
tempren,tempren,tempred(1),tempred(1),weak,classified by morphological evidence
tempten,tempten,,tempted(1),weak,classified by morphological evidence
teren,teren,,torn(2),weak,classified by computer (CHECK)
thakken,thakken,,thakked(1),weak,classified by morphological evidence
thanken,thanken,"thanked(7), thonked(7)","thanked(11), ythonked(2), thonked(1), ythanked(1)",weak,O is spelling variation
thinken,thinken,"thoughte(123), thoghte(39), thought(12), thoght(11)",thought(1),weak,"Never appears in inf I think, so weak"
thirlen,thirlen,,thirled(3),weak,classified by morphological evidence
thirsten,thirsten,thursted(1),,weak,classified by morphological evidence
tholen,tholen,,tholed(1),weak,classified by computer (CHECK)
thresten,thresten,"threste(2), thraste(1), thriste(1)",,weak,classified by computer (CHECK)
thringen,thringen,throng(2),,strong,classified by computer (CHECK)
throuen,throuen,threw(3),"ythrowe(3), throwe(1)",strong,known strong verb
thurven,thurven,dorste(1),,weak,classified by morphological evidence
tiden,tiden,,tid(3),weak,classified by morphological evidence
tikelen,tikelen,tikled(1),,weak,classified by morphological evidence
tirven,tirven,,terved(1),weak,classified by morphological evidence
to-shiveren,to-shiveren,,toshivered(1),weak,classified by computer (CHECK)
tobreken,tobreken,,tobroke(1),strong,classified by computer (CHECK)
tobresten,tobresten,,tobrosten(1),strong,"This not in lists, but seems strong + atbresten is in lists"
todashen,todashen,,todasshed(1),weak,classified by morphological evidence
toheuen,toheuen,,"tohewe(2), tohewen(1)",strong,"this not in lists, but seems strong + hewen in lists"
torenden,torenden,torente(3),torent(3),weak,classified by morphological evidence
tormenten,tormenten,,tormented(2),weak,classified by computer (CHECK)
toscateren,toscateren,,toscatered(1),weak,classified by computer (CHECK)
toshaken,toshaken,,toshake(1),strong,classified by computer (CHECK)
toteren,toteren,totar(1),totore(1),strong,classified by computer (CHECK)
touchen,touchen,"touchede(1), touched(1)",touched(1),weak,classified by morphological evidence
traien,traien,trayed(1),,weak,classified by computer (CHECK)
translaten,translaten,,translated(3),weak,classified by morphological evidence
transmeuen,transmeuen,,transmuwed(1),weak,classified by morphological evidence
treden,treden,trad(1),troden(1),strong,known strong verb
trompen,trompen,tromped(1),,weak,classified by morphological evidence
trouen,trouen,trowed(2),trowed(4),weak,classified by morphological evidence
trussen,trussen,,trussed(1),weak,classified by morphological evidence
trusten,trusten,trusted(4),trusted(1),weak,classified by morphological evidence
tuken,tuken,,tukked(1),weak,classified by morphological evidence
turnen,turnen,"torned(3), turned(2), turnede(1), tornede(1)","turned(16), yturned(1), tourned(1), torned(1)",weak,Certainly weak
twicchen,twicchen,twighte(1),twight(2),weak,classified by morphological evidence
twinnen,twinnen,,"twinned(2), ytwinned(1)",weak,classified by morphological evidence (check!)
twisten,twisten,twiste(3),,weak,classified by morphological evidence
umbreiden,umbreiden,umbreide(1),,weak,classified by computer (CHECK)
unarmen,unarmen,,unarmed(1),weak,classified by morphological evidence
unbinden,unbinden,,unbounden(1),strong,classified by computer (CHECK)
unbirien,unbirien,,unburied(1),weak,classified by morphological evidence
unbokelen,unbokelen,,unbokeled(1),weak,classified by computer (CHECK)
unclosen,unclosen,,unclosed(1),weak,classified by computer (CHECK)
undernimen,undernimen,undernom(1),,strong,classified by computer (CHECK)
underpicchen,underpicchen,underpighte(1),,weak,classified by computer (CHECK)
understonden,understonden,"understood(6), understode(2), understoode(1)","understonde(9), understond(1)",strong,known strong verb
undertaken,undertaken,undertook(1),,strong,classified by computer (CHECK)
undon,undon,undide(1),,strong / irregular,"Don is generally irregular, but this form seems strong"
unhorsen,unhorsen,,unhorsed(1),weak,classified by morphological evidence
unknouen,unknouen,,"unknowe(3), unknowen(2)",strong,Not in lists but knowen is strong
upcasten,upcasten,upcaste(1),,weak,classified by computer (CHECK)
updrauen,updrauen,updrow(1),,strong,classified by computer (CHECK)
upheven,upheven,uphaf(1),,strong,classified by computer (CHECK)
upreisen,upreisen,,upreised(1),weak,classified by computer (CHECK)
uprennen,uprennen,,upronne(1),strong,classified by computer (CHECK)
upsterten,upsterten,"upstirte(2), upsterte(2)",,weak,classified by computer (CHECK)
uptaken,uptaken,,uptaken(1),strong,classified by computer (CHECK)
upyelden,upyelden,,upyolden(1),strong,classified by computer (CHECK)
usen,usen,used(4),used(3),weak,classified by morphological evidence
vanishen,vanishen,"vanisshed(2), vanished(1)",vanisshed(1),weak,classified by morphological evidence
venquishen,venquishen,,venquisshed(3),weak,classified by morphological evidence
vernishen,vernishen,,vernisshed(1),weak,classified by morphological evidence
visiten,visiten,visited(1),,weak,classified by morphological evidence
vitailen,vitailen,vitailled(1),vitailled(1),weak,classified by morphological evidence
voiden,voiden,,"voided(5), yvoided(1)",weak,classified by morphological evidence
vouchen,vouchen,vouched(2),,weak,classified by computer (CHECK)
waiten,waiten,"waited(3), waitede(1)",,weak,classified by morphological evidence
waken,waken,"wook(9), awook(1)",waked(3),strong,known strong verb
waknen,waknen,,wakned(1),weak,classified by morphological evidence
walken,walken,"welk(3), walked(3)",walked(4),strong,known strong verb (check!)
warishen,warishen,,"warisshed(3), warished(1)",weak,classified by morphological evidence
warnen,warnen,warned(4),"warned(5), ywarned(1)",weak,classified by morphological evidence (check!)
washen,washen,"wesh(2), wessh(1)",wasshen(1),strong,known strong verb
wasten,wasten,,wasted(5),weak,classified by morphological evidence
waxen,waxen,"wex(45), wax(2), weex(1), wexe(1), waxe(1)","woxen(5), waxen(5), woxe(1)",strong,known strong verb (check!)
