LINE_NUMBER,OG_OXFORD_TEXT,OXFORD_TAGGING,OXFORD_SCANSION
Troilus and Criseyde; Book IV 38,"But on a day wel armed, bright and shene",but@conj on@prep a@indef_art dai@n wel@adv armen@v#adj%ppl bright@adj and@conj shene@adj,u S u S u Su S u Sx
Troilus and Criseyde; Book IV 39,"Ector, and many a worthy wight out wente",ector@n#propn and@conj mani@gram_adj a@indef_art worthi@adj wight@n oute@adv wenden@v%pt_3,uS u Sx u Su S u Sx
Troilus and Criseyde; Book IV 40,With spere in hond and bigge bowes bente;,with@prep spere@n1 in@prep honde@n and@conj big@adj boue@n1%pl benden@v1#adj%ppl,u Sx u S u Su Su Sx
Troilus and Criseyde; Book IV 41,"And in the berd, withoute lenger lette",and@conj in@prep the@def_art berd@n1 withouten@prep lengere@adj%comp lette@n,u S u S uSu Su Sx
Troilus and Criseyde; Book IV 42,Hir fomen in the feld anoon hem mette.,here@pron%pl_gen fo-man@n in@prep the@def_art feld@n an-on@adv hem@pron%pl_obj meten@v4%pt_pl,u Su S u S uS u Sx
Troilus and Criseyde; Book IV 43,"The longe day, with speres sharpe ygrounde",the@def_art long@adj1 dai@n with@prep spere@n1%pl sharpe@adv grinden@v1#adj%ppl,u Su S u Su Sx uSx
Troilus and Criseyde; Book IV 44,"With arwes, dartes, swerdes, maces felle",with@prep arwe@n%pl dart@n%pl sword@n%pl mace@n%pl fel@adj,u Su Su Su Su Sx
Troilus and Criseyde; Book IV 45,They fighte and bringen hors and man to grounde,thei@pron%pl_nom fighten@v%pr_pl and@conj bringen@v%pr_pl hors@n and@conj man@n to@prep ground@n,u Sx u Su S u S u Sx
Troilus and Criseyde; Book IV 46,And with hir axes out the braines quelle.,and@conj with@prep here@pron%pl_gen axe@n1%pl oute@adv the@def_art brain@n%pl quellen@v1%pr_pl,u S u Su S u Su Sx
Troilus and Criseyde; Book IV 47,"But in the laste shour, sooth for to telle",but@conj in@prep the@def_art laste@adj%sup shour@n soth@n for@prep#adv to@part tellen@v%inf,u S u Su S u S u Sx
Troilus and Criseyde; Book IV 48,The folk of Troye hemselven so misledden,the@def_art folk@n of@prep troie@n1#propn hem-self@pron%pl so@adv misleden@v%pt_pl,u S u Su SuS u Sux
Troilus and Criseyde; Book IV 49,That with the worse at night homward they fledden.,that@conj with@prep the@def_art werse@n at@prep night@n hom-ward@adv thei@pron%pl_nom flen@v1%pt_pl,u S u Sx u S uS u Su
Troilus and Criseyde; Book IV 50,At whiche day was taken Antenor,at@prep which@gram_adj dai@n ben@v%pt_3 taken@v%ppl antenor@n#propn,u Su S u Su SuS
Troilus and Criseyde; Book IV 51,Maugre Polydamas or Monesteo,maugre@prep polidamas@n#propn or@conj monesteo@n#propn,Sx uSuS u SuS
Troilus and Criseyde; Book IV 52,"Santippe, Sarpedon, Polynestor",santippe@n#propn sarpedoun@n#propn polinestore@n#propn,uSu SuS uSuS
Troilus and Criseyde; Book IV 53,"Polite, or eek the Troian daun Ripheo",polites@n#propn or@conj ek@adv the@def_art troian@n daun@n#adj rupheo@n#propn,uSu S u S u S uS
Troilus and Criseyde; Book IV 54,"And othere lasse folk, as Phebuseo.",and@conj other@gram_adj lesse@adj%comp folk@n as@conj phebuseo@n#propn,u Sux Su S u SuS
Troilus and Criseyde; Book IV 55,"So that, for harm, that day the folk of Troye",so@adv that@conj for@prep harm@n that@art&gram_adj dai@n the@def_art folk@n of@prep troie@n1#propn,         
Troilus and Criseyde; Book IV 56,Dredden to lese a greet part of hir joye.,dreden@v%pt_pl to@part lesen@v4%inf a@indef_art gret@adj part@n of@prep here@pron%pl_gen joie@n,uS u xx S u S u S uS
Troilus and Criseyde; Book IV 57,"Of Priamus was yeve, at Greek requeste",of@prep priam@n#propn ben@v%pt_3 yeven@v%ppl at@prep grek@adj requeste@n,u SuS u Sx u S uSx
Troilus and Criseyde; Book IV 58,"A time of trewe, and tho they gonnen trete",a@indef_art time@n of@prep treue@n1 and@conj tho@adv thei@pron%pl_nom ginnen@v%pt_pl treten@v%inf,u Sx u Sx u S u Su Sx
Troilus and Criseyde; Book IV 59,"Hir prisoneres to chaungen, moste and leste",here@pron%pl_gen prisoner@n2%pl to@part chaungen@v%inf most@n and@conj leste@adj1%sup,u SuSu S uS ux S xx
Troilus and Criseyde; Book IV 60,And for the surplus yeven sommes grete.,and@conj for@prep the@def_art surplus@n yeven@v%inf somme@n2%pl gret@adj,u S u Su Su Su Sx
Troilus and Criseyde; Book IV 61,This thing anoon was couth in every strete,this@gram_adj thing@n an-on@adv ben@v%pt_3 couth@adj in@prep everi@pron_gram_adj strete@n2,u S uS u S u Sxu Sx
Troilus and Criseyde; Book IV 62,"Bothe in th’assege, in toune, and everywhere",bothe@num_conj in@prep the@def_art assege@n in@prep toun@n and@conj everiwhere@adv,ux S  uSx u Sx u SuSxx
Troilus and Criseyde; Book IV 63,And with the firste it cam to Calkas ere.,and@conj with@prep the@def_art first@num_n hit@pron comen@v%pt_3 to@prep calkas@n#propn ere@n1,u S u Sx u S u Su Sx
Troilus and Criseyde; Book IV 64,Whan Calkas knew this tretis sholde holde,whan@adv&conj calkas@n#propn knouen@v%pt_3 this@gram_adj tretise@n shulen@v1%pt_3 holden@v1%inf,u Su S u Su Su Sx
Troilus and Criseyde; Book IV 65,"In consistorie, among the Grekes, sone",in@prep consistorie@n amonges@prep the@def_art grek@n%pl sone@adv,u SuSu Su S ux Sx
Troilus and Criseyde; Book IV 66,"He gan in thringe forth, with lordes olde",he@pron1%nom ginnen@v%pt_3 in@adv thringen@v%inf forth@adv with@prep lord@n%pl olde@adj,u S u Su S u Su Sx
Troilus and Criseyde; Book IV 67,"And sette him there, as he was wont to done;",and@conj setten@v%pt_3 him@pron%obj ther@adv as@conj he@pron1%nom ben@v%pt_3 wonen@v1%ppl to@part don@v1%inf,u Sx u Sx u S u S u Sx
Troilus and Criseyde; Book IV 68,And with a chaunged face hem bad a bone,and@conj with@prep a@indef_art chaungen@v#adj%ppl face@n hem@pron%pl_obj bidden@v%pt_3 a@indef_art bon@n2,u S u Su Sx u S u Sx
Troilus and Criseyde; Book IV 69,"For love of God, to don that reverence",for@prep love@n1 of@prep god@n1#propn to@part don@v1%inf that@art&gram_adj reverence@n,u Sx u S u S u SuSx
Troilus and Criseyde; Book IV 70,"To stinte noise, and yeve him audience.",to@part stinten@v%inf noise@n and@conj yeven@v%inf him@pron%obj audience@n,u Su Sx u Sx u SuSx
Troilus and Criseyde; Book IV 71,"Thanne seide he thus, “Lo! lordes mine, I was",thanne@adv seien@v1%pt_3 he@pron1%nom thus@adv lo@interj lord@n%pl min@pron%gen ich@pron%nom ben@v%pt_1,ux Sx u S u Su Sx u S
Troilus and Criseyde; Book IV 72,"Troyan, as it is knowen out of drede;",troian@adj as@conj hit@pron ben@v%pr_3 knouen@v%ppl oute@adv#prep of@prep drede@n,uS u S u Su S u Sx
Troilus and Criseyde; Book IV 73,"And if that yow remembre, I am Calkas",and@conj if@conj that@part you@pron%pl_obj remembren@v%pr_pl ich@pron%nom ben@v%pr_1 calkas@n#propn,u S u S uSx u S uS
Troilus and Criseyde; Book IV 74,That alderfirst yaf comfort to your nede,that@pron alderfirst@adv%sup yeven@v%pt_3 comfort@n to@prep your@pron%pl_gen nede@n1,u SuS u Su S u Sx
Troilus and Criseyde; Book IV 75,And tolde wel how that ye sholden spede.,and@conj tellen@v%pt_3 wel@adv hou@adv&conj that@part ye@pron%pl_nom shulen@v1%pt_pl speden@v%inf,u Su S u S u Su Sx
Troilus and Criseyde; Book IV 76,"For dredelees, thorugh yow shal in a stounde",for@conj dredeles@adv thurgh@prep you@pron%pl_obj shulen@v1%pr_3 in@prep a@indef_art stounde@n,u SuS u S u S u Sx
Troilus and Criseyde; Book IV 77,"Ben Troye ybrend, and beten doun to grounde.",ben@v%inf troie@n1#propn brennen@v%ppl and@conj beten@v1%ppl doun@adv to@prep ground@n,u Su Su S ux S u Sx
Troilus and Criseyde; Book IV 78,"“And in what forme, or in what maner wise",and@conj in@prep what@gram_adj forme@n or@conj in@prep what@gram_adj manere@n#adj wise@n2,u S u Sx u S u Su Sx
Troilus and Criseyde; Book IV 79,"This town to shende, and al your lust t’acheve",this@gram_adj toun@n to@part shenden@v%inf and@conj al@gram_adj your@pron%pl_gen lust@n to@part acheven@v%inf,u S u Sx u S u S  uSx
Troilus and Criseyde; Book IV 80,Ye han er this wel herd it me devise;,ye@pron%pl_nom haven@v%pr_pl er@prep this@pron wel@adv heren@v%ppl hit@pron me@pron2%obj devisen@v%inf,u S u S u S u S uSx
Troilus and Criseyde; Book IV 81,"This knowe ye, my lordes, as I leve.",this@pron knouen@v%pr_pl ye@pron%pl_nom min@pron%gen lord@n%pl as@conj ich@pron%nom leven@v4%pr_1,u Su S u Su S u Sx
Troilus and Criseyde; Book IV 82,And for the Grekes weren me so leve,and@conj for@conj the@def_art grek@n%pl ben@v%pt_pl me@pron2%obj so@adv lef@adj,u S u Su Su S u Sx
Troilus and Criseyde; Book IV 83,I com myself in my propre persone,ich@pron%nom comen@v%pr_1 mi-self@pron in@prep min@pron%gen propre@adj persoune@n1,S u Su S u Sx uSx
Troilus and Criseyde; Book IV 84,To teche in this how yow was best to done;,to@part techen@v%inf in@prep this@pron hou@adv&conj you@pron%pl_obj ben@v%pt_3 best@adjas_n%sup to@part don@v1%inf,u Sx u S u S u S u Sx
Troilus and Criseyde; Book IV 85,“Havinge unto my tresour ne my rente,haven@v%prp unto@prep min@pron%gen tresour@n ne@conj1 min@pron%gen rente@n,uSx uS u Su S u Sx
Troilus and Criseyde; Book IV 86,"Right no resport, to respect of your ese.",righte@adv no@gram_adj resport@n to@prep respecte@n of@prep your@pron%pl_gen ese@n,u S uS u Su S u Sx
Troilus and Criseyde; Book IV 87,Thus al my good I loste and to yow wente,thus@adv al@gram_adj min@pron%gen god@n2 ich@pron%nom losen@v2%pt_1 and@conj to@prep you@pron%pl_obj wenden@v%pt_1,u S u S u Sx u S u Sx
Troilus and Criseyde; Book IV 88,"Wening in this, my lordis, yow to plese.",wenen@v2%prp_abs in@prep this@pron min@pron%gen lord@n%pl you@pron%pl_obj to@part plesen@v%inf,uS u S u Su S u Sx
Troilus and Criseyde; Book IV 89,But al that los ne doth me no disese.,but@conj al@gram_adj that@art&gram_adj los@n1 ne@adv don@v1%pr_3 me@pron2%obj no@gram_adj disese@n,u S u S u S u S uSx
Troilus and Criseyde; Book IV 90,"I vouchesauf, as wisly have I joye",ich@pron%nom vouchen_sauf@v%pr_1 as@conj wisli@adv haven@v%pr_1 ich@pron%nom joie@n,u SuS u Sx ux S uS
Troilus and Criseyde; Book IV 91,For you to lese al that I have in Troye,for@prep you@pron%pl_obj to@part lesen@v4%inf al@gram_adjas_n that@pron ich@pron%nom haven@v%pr_1 in@prep troie@n1#propn,u S u Sx u S x ux S uS
Troilus and Criseyde; Book IV 92,"“Save of a doughter, that I lafte, allas!",sauf@prep#conj of@prep a@indef_art doughter@n that@pron ich@pron%nom leven@v1%pt_1 alas@interj,ux S u Su S u Sx uS
Troilus and Criseyde; Book IV 93,"Slepinge at hoom, whanne out of Troye I sterte.",slepen@v%prp_abs at@prep hom@n whan@adv&conj oute@adv#prep of@prep troie@n1#propn ich@pron%nom sterten@v%pt_1,uSx u S ux S u S u Sx
Troilus and Criseyde; Book IV 94,"O sterne, O cruel fader that I was!",o@interj sterne@adj o@interj cruel@adj fader@n that@pron ich@pron%nom ben@v%pt_1,u Sx u Su Su S u S
Troilus and Criseyde; Book IV 95,How mighte I have in that so hard an herte?,hou@adv&conj mouen@v3%pt_1 ich@pron%nom haven@v%inf in@prep that@pron so@adv hard@adj a@indef_art herte@n,u Sx u Sx u S u S u Sx
Troilus and Criseyde; Book IV 96,Allas! I ne hadde ybrought hir in hir sherte!,alas@interj ich@pron%nom ne@adv haven@v%pt_1 ibringen@v%ppl hire@pron2%fem_obj in@prep hire@pron1%fem_gen shirte@n,        
Troilus and Criseyde; Book IV 97,For sorwe of which I wol not live to morwe,for@prep sorwe@n of@prep which@pron ich@pron%nom willen@v%pr_1 not@adv liven@v1%inf to@prep morwe@n,u Sx u S u S u Sx u Sx
Troilus and Criseyde; Book IV 98,But if ye lordes rewe upon my sorwe.,but@conj if@conj ye@pron%pl_nom lord@n%pl reuen@v1%pr_pl upon@prep min@pron%gen sorwe@n,u S u Su Sx uS u Sx
Troilus and Criseyde; Book IV 99,"“For, by that cause I say no time er now",for@conj bi@prep that@art&gram_adj cause@n ich@pron%nom sen@v1%pt_1 no@gram_adj time@n er@prep nou@n,u S u Sx u S u Sx u S
Troilus and Criseyde; Book IV 100,"Hir to delivere, I holden have my pees;",hire@pron2%fem_obj to@part deliveren@v%inf ich@pron%nom holden@v1%ppl haven@v%pr_1 min@pron%gen pes@n,u S uSux S ux Sx u S
Troilus and Criseyde; Book IV 101,"But now or never, if that it like yow",but@conj nou@adv or@conj never@adv if@conj that@part hit@pron liken@v1%pr_3 you@pron%pl_obj,u S u Su S u S ux S
Troilus and Criseyde; Book IV 102,"I may hir have right soone, doutelees.",ich@pron%nom mouen@v3%pr_1 hire@pron2%fem_obj haven@v%inf righte@adv sone@adv douteles@adv,u S u Sx u Su SuS
Troilus and Criseyde; Book IV 103,O help and grace! amonges al this prees,o@interj help@n and@conj grace@n amonges@prep al@gram_adj this@gram_adj presse@n,u S u Sx uSu S u S
Troilus and Criseyde; Book IV 104,Rewe on this olde caitif in destresse,reuen@v1%imp on@prep this@gram_adj olde@adj caitif@n in@prep distresse@n,ux S u Su Su S uSx
Troilus and Criseyde; Book IV 105,Sin I through yow have al this hevinesse!,sin@conj ich@pron%nom thurgh@prep you@pron%pl_obj haven@v%pr_1 al@gram_adj this@gram_adj hevinesse@n,u S u S ux S u SuSx
Troilus and Criseyde; Book IV 106,“Ye have now caught and fetered in prisoun,ye@pron%pl_nom haven@v%pr_pl nou@adv cacchen@v%ppl and@conj feteren@v%ppl in@prep prisoun@n,u Sx u S u Sux S uS
Troilus and Criseyde; Book IV 107,Troians ynowe; and if your willes be,troian@n%pl inough@adj and@conj if@conj your@pron%pl_gen wille@n%pl ben@v%pr_pl,S uSx u S u Su S
Troilus and Criseyde; Book IV 108,My child with oon may have redempcioun.,min@pron%gen child@n with@prep on@pron mouen@v3%pr_3 haven@v%inf redempcioun@n,u S u S u Sx uSuS
Troilus and Criseyde; Book IV 109,Now for the love of God and of bountee,nou@adv for@prep the@def_art love@n1 of@prep god@n1#propn and@conj of@prep bounte@n,u S u Sx u S u S uS
Troilus and Criseyde; Book IV 110,"Oon of so fele, allas! so yeve him me.",on@pron of@prep so@adv fele@num_adj alas@interj so@adv yeven@v%imp him@pron%obj me@pron2%obj,u S u Sx uS u Sx u S
Troilus and Criseyde; Book IV 111,What nede were it this preyere for to werne,what@gram_adj nede@n1 ben@v%pt_3 hit@pron this@gram_adj preiere@n2 for@prep#adv to@part wernen@v%inf,u Sx ux S u Sux S u Sx
Troilus and Criseyde; Book IV 112,Sin ye shul bothe han folk and toun as yerne?,sin@conj ye@pron%pl_nom shulen@v1%pr_pl bothe@num_adj haven@v%inf folk@n and@conj toun@n as@conj yerne@adv,         
Troilus and Criseyde; Book IV 113,"“On peril of my lif, I shal not lie",on@prep peril@n of@prep min@pron%gen lif@n ich@pron%nom shulen@v1%pr_1 not@adv lien@v2%inf,u Su S u S u S u S
Troilus and Criseyde; Book IV 114,Appollo hath me told it feithfully,appollin@n#propn haven@v%pr_3 me@pron2%obj tellen@v%ppl hit@pron feithfulli@adv,uSu S u S u SuS
Troilus and Criseyde; Book IV 115,I have eek founde it by astronomie,ich@pron%nom haven@v%pr_1 ek@adv finden@v%ppl hit@pron bi@prep astronomie@n1,u Sx u Sx u S uSuS
Troilus and Criseyde; Book IV 116,"By sort, and by augurie eek trewely",bi@prep sort@n1 and@conj bi@prep augurie@n ek@adv treuli@adv,u S u x SuS u SuS
Troilus and Criseyde; Book IV 117,"And dar wel seye, the time is faste by",and@conj durren@v%pr_1 wel@adv seien@v1%inf the@def_art time@n ben@v%pr_3 faste@adv bi@adv,u S u S u Sx u Su S
Troilus and Criseyde; Book IV 118,That fir and flaumbe on al the toun shal sprede;,that@conj fir@n and@conj flaume@n on@prep al@gram_adj the@def_art toun@n shulen@v1%pr_3 spreden@v%inf,u S u Sx u S u S u Sx
Troilus and Criseyde; Book IV 119,And thus shal Troye turne in asshen dede.,and@conj thus@adv shulen@v1%pr_3 troie@n1#propn turnen@v%inf in@prep asshe@n2%pl ded@adj,u S u Su Sx u Su Sx
Troilus and Criseyde; Book IV 120,"“For certein, Phebus and Neptunus bothe",for@conj certain@adv phebus@n#propn and@conj neptunus@n#propn bothe@num_conj,u Su Su S uSu Sx
Troilus and Criseyde; Book IV 121,That makeden the walles of the toun,that@pron maken@v1%pt_pl the@def_art wal@n1%pl of@prep the@def_art toun@n,u SuS u Su S u S
Troilus and Criseyde; Book IV 122,Ben with the folk of Troye alwey so wrothe,ben@v%pr_pl with@prep the@def_art folk@n of@prep troie@n1#propn al-wei@adv so@adv wroth@adj,u S u S u S uS u Sx
Troilus and Criseyde; Book IV 123,That thei wol bringe it to confusioun,that@conj thei@pron%pl_nom willen@v%pr_pl bringen@v%inf hit@pron to@prep confusioun@n,u S u Sx u S uSuS
Troilus and Criseyde; Book IV 124,Right in despit of king Lameadoun.,righte@adv in@prep despit@n of@prep king@n lamedon@n#propn,u S uS u S uSuS
Troilus and Criseyde; Book IV 125,Bicause he nolde payen hem hir hire,bicause@conj he@pron1%nom willen@v%pt_3_neg paien@v%inf hem@pron%pl_obj here@pron%pl_gen hire@n,uSx u Su Su S u Sx
Troilus and Criseyde; Book IV 126,The toun of Troye shal ben set onfire.”,the@def_art toun@n of@prep troie@n1#propn shulen@v1%pr_3 ben@v%inf setten@v%ppl on-fire@adj,u S u Su S u S uSx
Troilus and Criseyde; Book IV 127,"Telling his tale alwey, this olde greye",tellen@v%prp_abs his@pron1%gen tale@n al-wei@adv this@gram_adj olde@adj grei@n,uS u Sx uS u Su S
Troilus and Criseyde; Book IV 128,"Humble in speche, and in his lokinge eke",humble@adj in@prep speche@n and@conj in@prep his@pron1%gen lokinge@ger ek@adv,ux S ux S u S uSu Sx
Troilus and Criseyde; Book IV 129,The salte teres from his eyën tweye,the@def_art salt@adj tere@n%pl from@prep his@pron1%gen eie@n1%pl twein@num_adj,      
Troilus and Criseyde; Book IV 130,Ful faste ronnen doun by either cheke.,ful@adv faste@adv rennen@v1%pt_pl doun@adv bi@prep either@pron_adj cheke@n,u Su Su S u Su Sx
Troilus and Criseyde; Book IV 131,So longe he gan of socour hem biseke,so@adv longe@adv he@pron1%nom ginnen@v%pt_3 of@prep socour@n hem@pron%pl_obj bisechen@v%inf,u Sx u S u Su S uSx
Troilus and Criseyde; Book IV 132,"That, for to hele him of his sikes sore",that@conj for@prep#adv to@part helen@v1%inf him@pron%obj of@prep his@pron1%gen sike@n%pl sore@adj2,u S u Sx u S u Su Sx
Troilus and Criseyde; Book IV 133,"They yave him Antenor, withoute more.",thei@pron%pl_nom yeven@v%pt_pl him@pron%obj antenor@n#propn withouten@prep more@n3,u Sx u SuS uSu Sx
Troilus and Criseyde; Book IV 134,But who was glad ynough but Calkas tho?,but@conj who@pron%nom ben@v%pt_3 glad@adj inough@adv but@conj calkas@n#propn tho@adv,u S u S uS u Su S
Troilus and Criseyde; Book IV 135,And of this thing ful soone his nedes leide,and@conj of@prep this@gram_adj thing@n ful@adv sone@adv his@pron1%gen nede@n1%pl leien@v1%pt_3,u S u S u Sx u Su Sx
Troilus and Criseyde; Book IV 136,On hem that sholden for the tretis go,on@prep hem@pron%pl_obj that@pron shulen@v1%pt_pl for@prep the@def_art tretise@n gon@v%inf,u S u Su S u Su S
Troilus and Criseyde; Book IV 137,And hem for Antenor ful ofte preide,and@conj hem@pron%pl_obj for@prep antenor@n#propn ful@adv ofte@adv preien@v1%pt_3,u S u SuS u Su Sx
Troilus and Criseyde; Book IV 138,To bringen hoom king Toas and Criseyde;,to@part bringen@v%inf hom@adv king@n thoas@n#propn and@conj criseyde@n#propn,u Su S u Su S uSx
Troilus and Criseyde; Book IV 139,And whan Priam his savegarde sente,and@conj whan@adv&conj priam@n#propn his@pron1%gen sauf-garde@n senden@v2%pt_3,u S uS u SuSu Sx
