LINE_NUMBER,OG_OXFORD_TEXT,OXFORD_TAGGING,OXFORD_SCANSION
Troilus and Criseyde; Book I 40,"Thus biddeth God, for his benignitee",thus@adv bidden@v%imp god@n1#propn for@prep his@pron1%gen benignite@n,u Su S u S uSuS
Troilus and Criseyde; Book I 41,To graunte hem sone out of this world to pace,oute@adv#prep graunten@v%pr_3 hem@pron%pl_obj sone@adv oute@adv#prep of@prep this@gram_adj world@n to@part passen@v%inf,u Sx u Sx u S u S u Sx
Troilus and Criseyde; Book I 42,That been despeired out of Loves grace.,that@pron ben@v%pr_pl despeiren@v%ppl oute@adv#prep of@prep love@n1#propn%gen grace@n,u S uSu S u Su Sx
Troilus and Criseyde; Book I 43,And biddeth eek for hem that been at ese,and@conj bidden@v%imp ek@adv for@prep hem@pron%pl_obj that@pron ben@v%pr_pl at@prep ese@n,u Su S u S u S u Sx
Troilus and Criseyde; Book I 44,That God hem graunte ay good perseveraunce,that@conj god@n1#propn hem@pron%pl_obj graunten@v%pr_3 ai@adv god@adj perseveraunce@n1,u S u Sx u S uSuSx
Troilus and Criseyde; Book I 45,And sende hem might hir ladies so to plese,and@conj senden@v2%pr_3 hem@pron%pl_obj might@n here@pron%pl_gen ladie@n%pl so@adv to@part plesen@v%inf,u Sx u S u SuS u S xx
Troilus and Criseyde; Book I 46,That it to Love be worship and plesaunce.,that@conj hit@pron to@prep love@n1#propn ben@v%pr_3 worshipe@n and@conj plesaunce@n1,u S u Sx u Su S uSx
Troilus and Criseyde; Book I 47,For so hope I my soule best avaunce,for@conj so@adv hopen@v1%pr_1 ich@pron%nom min@pron%gen soule@n best@adv%sup avauncen@v%inf,u S ux S u Su S uSx
Troilus and Criseyde; Book I 48,To prey for hem that Loves servaunts be,to@part preien@v1%inf for@prep hem@pron%pl_obj that@pron love@n1#propn%gen servaunt@n%pl ben@v%pr_pl,u S u S u Su Su S
Troilus and Criseyde; Book I 49,"And write hir wo, and live in charitee.",and@conj writen@v%inf here@pron%pl_gen wo@n and@conj liven@v1%inf in@prep charite@n,u Sx u S u Sx u SuS
Troilus and Criseyde; Book I 50,And for to have of hem compassioun,and@conj for@prep#adv to@part haven@v%inf of@prep hem@pron%pl_obj compassioun@n,u S u Sx u S uSuS
Troilus and Criseyde; Book I 51,As though I were hir owne brother dere.,as@conj though@conj ich@pron%nom ben@v%pt_1 here@pron%pl_gen ouen@adj brother@n dere@adj1,u S u Sx u Su Su Sx
Troilus and Criseyde; Book I 52,Now herkneth with a good entencioun,nou@adv herkenen@v%imp with@prep a@indef_art god@adj entencioun@n,u Su S u S uSuS
Troilus and Criseyde; Book I 53,For now wol I gon streight to my matere,for@conj nou@adv willen@v%pr_1 ich@pron%nom gon@v%inf streight@adv to@prep min@pron%gen matere@n,u S u S u S u S uSx
Troilus and Criseyde; Book I 54,In which ye may the double sorwes here,in@prep which@pron ye@pron%pl_nom mouen@v3%pr_pl the@def_art double@adj sorwe@n%pl heren@v%inf,u S u S u Su Su Sx
Troilus and Criseyde; Book I 55,"Of Troilus, in loving of Criseyde",of@prep troilus@n#propn in@prep lovinge@ger1 of@prep criseyde@n#propn,u SuS u Su S uSx
Troilus and Criseyde; Book I 56,And how that she forsook him er she deide.,and@conj hou@adv&conj that@part she@pron%nom forsaken@v%pt_3 him@pron%obj er@conj1 she@pron%nom dien@v%pt_3,u S u S uS u S u Sx
Troilus and Criseyde; Book I 57,"It is wel wist, how that the Grekes stronge",hit@pron ben@v%pr_3 wel@adv witen@v1%ppl hou@adv&conj that@part the@def_art grek@n%pl strong@adj,u S u S u S u Su Sx
Troilus and Criseyde; Book I 58,In armes with a thousand shippes wente,in@prep armes@n%pl with@prep a@indef_art thousand@num_adj ship@n%pl wenden@v%pt_pl,u Su S u Su Su Sx
Troilus and Criseyde; Book I 59,"To Troyewardes, and the citee longe",to@prep troiewardes@n and@conj the@def_art cite@n longe@adv,u SuSu S u Su Sx
Troilus and Criseyde; Book I 60,Assegeden neigh ten yeer er they stente,assegen@v%pt_pl neigh@adv ten@num_adj yer@n er@conj1 thei@pron%pl_nom stinten@v%pt_pl,uSuS u S u S u Sx
Troilus and Criseyde; Book I 61,"And, in diverse wise and oon entente",and@conj in@prep diverse@adj wise@n2 and@conj on@num_adj entente@n,u S uSu Sx u S uSx
Troilus and Criseyde; Book I 62,The ravisshing to wreken of Eleine,the@def_art ravishinge@ger to@part wreken@v%inf of@prep eleine@n1#propn,u SuS u Su S uSx
Troilus and Criseyde; Book I 63,"By Paris doon, they wroughten al hir peine.",bi@prep paris@n3#propn don@v1%ppl_abs thei@pron%pl_nom werken@v%pt_pl al@gram_adj here@pron%pl_gen peine@n,u Su S u Su S u Sx
Troilus and Criseyde; Book I 64,"Now fil it so, that in the toun ther was",nou@adv fallen@v%pt_3 hit@pron so@adv that@conj in@prep the@def_art toun@n ther@adv ben@v%pt_3,u S u S u S u S u S
Troilus and Criseyde; Book I 65,Dwellinge a lord of greet auctoritee,dwellen@v%prp a@indef_art lord@n of@prep gret@adj auctorite@n,uSx u S u S uSuS
Troilus and Criseyde; Book I 66,A gret devin that cleped was Calkas,a@indef_art gret@adj divine@n that@pron clepen@v%ppl ben@v%pt_3 calkas@n#propn,u S uS u Su S uS
Troilus and Criseyde; Book I 67,"That in science so expert was, that he",that@pron in@prep science@n so@adv expert@ppl#adj ben@v%pt_3 that@conj he@pron1%nom,u S uSx u Su S u S
Troilus and Criseyde; Book I 68,Knew wel that Troye shold destroyed be,knouen@v%pt_3 wel@adv that@conj troie@n1#propn shulen@v1%pt_3 destroien@v%ppl ben@v%inf,u S u Su S uSu S
Troilus and Criseyde; Book I 69,"By answere of his god, that highte thus",bi@prep answere@n of@prep his@pron1%gen god@n1 that@pron hoten@v1%pt_3 thus@adv,u Sux S u S u Su S
Troilus and Criseyde; Book I 70,Daun Phebus or Apollo Delphicus.,daun@n#adj phebus@n#propn or@conj appollin@n#propn delphicus@adj,u Su S uSu SuS
Troilus and Criseyde; Book I 71,So whan this Calkas knew by calculinge,so@adv whan@adv&conj this@gram_adj calkas@n#propn knouen@v%pt_3 bi@prep calculing@ger,u S u Su S u SuSx
Troilus and Criseyde; Book I 72,And eek by answere of this Appollo,and@conj ek@adv bi@prep answere@n of@prep this@gram_adj appollin@n#propn,u S u Sux S u SuS
Troilus and Criseyde; Book I 73,That Grekes sholden swich a peple bringe,that@conj grek@n%pl shulen@v1%pt_pl swich@gram_adj a@indef_art peple@n bringen@v%inf,u Su Su S u Su Sx
Troilus and Criseyde; Book I 74,Thorugh which that Troye moste been fordo,thurgh@prep which@pron that@pron troie@n1#propn moten@v2%pt_3 ben@v%inf fordon@v%ppl,uS u S uS ux S uS
Troilus and Criseyde; Book I 75,He caste anoon out of the toun to go;,he@pron1%nom casten@v%pt_3 an-on@adv oute@adv#prep of@prep the@def_art toun@n to@part gon@v%inf,u Sx uS u S u S u S
Troilus and Criseyde; Book I 76,"For wel wiste he, by sort, that Troye sholde",for@conj wel@adv witen@v1%pt_3 he@pron1%nom bi@prep sort@n1 that@conj troie@n1#propn shulen@v1%pt_3,u S ux S u S u Su Sx
Troilus and Criseyde; Book I 77,"Destroyed been, ye, wolde who-so nolde.",destroien@v%ppl ben@v%inf ye@adv willen@v%pt_3 who-so@pron%nom willen@v%pt_3_neg,uSu S u Su Su Sx
Troilus and Criseyde; Book I 78,"For which, for to departen softely",for@prep which@pron for@prep#adv to@part departen@v%inf softli@adv,u S u S uSu SuS
Troilus and Criseyde; Book I 79,Took purpos ful in this forknowing wise,taken@v%pt_3 purpos@n ful@adj in@prep this@gram_adj fore-knouen@v#adj%prp wise@n2,u Su S u S uSu Sx
Troilus and Criseyde; Book I 80,And to the Grekes ost ful prively,and@conj to@prep the@def_art grek@n%gen hoste@n1 ful@adv privelie@adv,u S u Su S u SuS
Troilus and Criseyde; Book I 81,"He stal anoon; and they, in curteis wise",he@pron1%nom stelen@v%pt_3 an-on@adv and@conj thei@pron%pl_nom in@prep courteis@adj wise@n2,u S uS u S u Su Sx
Troilus and Criseyde; Book I 82,Him deden bothe worship and servise,him@pron%obj don@v1%pt_pl bothe@num_conj worshipe@n and@conj servise@n,u Su Su Su S uSx
Troilus and Criseyde; Book I 83,In trust that he hath conning hem to rede,in@prep trust@n that@conj he@pron1%nom haven@v%pr_3 conninge@ger hem@pron%pl_obj to@part reden@v1%inf,u S u S u Su S u Sx
Troilus and Criseyde; Book I 84,In every peril which that is to drede.,in@prep everi@pron_gram_adj peril@n which@pron that@pron ben@v%pr_3 to@part dreden@v%inf,u SuS uS u S u S xx
Troilus and Criseyde; Book I 85,"The noise up roos, whan it was first aspied",the@def_art noise@n up@adv risen@v%pt_3 whan@adv&conj hit@pron ben@v%pt_3 first@adv aspien@v%ppl,        
Troilus and Criseyde; Book I 86,"Thorugh al the toun, and openly was spoken",thurgh@prep al@gram_adj the@def_art toun@n and@conj openli@adv ben@v%pt_3 speken@v%ppl,uS u S u S uSu S ux
Troilus and Criseyde; Book I 87,"That Calkas traitor fled was, and allied",that@conj calkas@n#propn traitour@n flen@v1%ppl ben@v%pt_3 and@conj allien@v%ppl,      
Troilus and Criseyde; Book I 88,With hem of Grece; and casten to ben wroken,with@prep hem@pron%pl_obj of@prep grece@n#propn and@conj casten@v%pt_pl to@part ben@v%inf wreken@v%ppl,u S u Sx u Su S u Su
Troilus and Criseyde; Book I 89,On him that falsly hadde his feith so broken;,on@prep him@pron%obj that@pron falsli@adv haven@v%pt_3 his@pron1%gen feith@n so@adv breken@v%ppl,u S u Su Sx u S u Su
Troilus and Criseyde; Book I 90,"And seiden, he and al his kin at ones",and@conj seien@v1%pt_pl he@pron1%nom and@conj al@gram_adj his@pron1%gen kin@n at@prep ones@adv,u Su S u S u S u Sx
Troilus and Criseyde; Book I 91,"Ben worthy for to brennen, fel and bones.",ben@v%pr_pl worthi@adj for@prep#adv to@part brennen@v%inf fel@n1 and@conj bon@n1%pl,u Su S u Su S u Sx
Troilus and Criseyde; Book I 92,"Now hadde Calkas left, in this meschaunce",nou@adv haven@v%pt_3 calkas@n#propn leven@v1%pt_3 in@prep this@gram_adj mischaunce@n,u Su Su S u S uSx
Troilus and Criseyde; Book I 93,Al unwist of this false and wikked dede,al@adv unwist@adj of@prep this@gram_adj fals@adj and@conj wikked@adj dede@n,u Su S u Sx u Su Sx
Troilus and Criseyde; Book I 94,"His doughter, which that was in gret penaunce",his@pron1%gen doughter@n which@pron that@pron ben@v%pt_3 in@prep gret@adj penaunce@n,u Su S u S u S uSx
Troilus and Criseyde; Book I 95,For of hir lif she was ful sore in drede,for@conj of@prep hire@pron1%fem_gen lif@n she@pron%nom ben@v%pt_3 ful@adv sore@adv in@prep drede@n,u S u S u S u Sx u Sx
Troilus and Criseyde; Book I 96,As she that niste what was best to rede;,as@conj she@pron%nom that@pron witen@v1%pt_3_neg what@pron ben@v%pt_3 best@adjas_n%sup to@part reden@v1%inf,u S u Su S u S u Sx
Troilus and Criseyde; Book I 97,"For bothe a widowe was she, and allone",for@conj bothe@num_conj a@indef_art widwe@n ben@v%pt_3 she@pron%nom and@conj al-one@adj,u Sx u Sux S u S uSx
Troilus and Criseyde; Book I 98,"Of any freend, to whom she dorste hir mone.",of@prep ani@gram_adj frend@n to@prep whom@pron%obj she@pron%nom durren@v%pt_3 hire@pron2%fem_obj mon@n1,u Su S u S u Sx u Sx
Troilus and Criseyde; Book I 99,Criseyde was this lady name aright,criseyde@n#propn ben@v%pt_3 this@gram_adj ladie@n name@n a-right@adv,uSu S u Su Sx uS
Troilus and Criseyde; Book I 100,"As to my dome, in alle Troyes citee",as@conj to@prep min@pron%gen dom@n in@prep al@gram_adj troie@n1#propn%gen cite@n,u S u Sx u Sx uS uS
Troilus and Criseyde; Book I 101,"Nas noon so fair, forpassing every wight",ben@v%pt_3_neg non@pron so@adv fair@adj forpassing@prp_abs everi@pron_gram_adj wight@n,u S u S uSu Sxu S
Troilus and Criseyde; Book I 102,So aungellik was hir natif beautee,so@adv aungelik@adj ben@v%pt_3 hire@pron1%fem_gen natif@adj beaute@n,u SuS u S uS uS
Troilus and Criseyde; Book I 103,That lik a thing inmortal semed she,that@conj like@prep a@indef_art thing@n immortal@adj semen@v2%pt_3 she@pron%nom,u S u S uSu Su S
Troilus and Criseyde; Book I 104,As doth an hevenish parfit creature,as@conj don@v1%pr_3 a@indef_art hevenish@adj parfit@adj creature@n,u S u Sxu Su SuSx
Troilus and Criseyde; Book I 105,That doun were sent in scorning of nature.,that@pron doun@adv ben@v%pt_3 senden@v2%ppl in@prep scorninge@ger of@prep nature@n,u S ux S u Su S uSx
Troilus and Criseyde; Book I 106,"This lady, which that alday herde at ere",this@gram_adj ladie@n which@pron that@pron al_dai@adv heren@v%pt_3 at@prep ere@n1,u Su S u Su Sx u Sx
Troilus and Criseyde; Book I 107,"Hir fadres shame, his falsnesse and tresoun",hire@pron1%fem_gen fader@n%gen shame@n his@pron1%gen falsnesse@n and@conj treisoun@n,u Su Sx u Sux S uS
Troilus and Criseyde; Book I 108,Wel nigh out of hir wit for sorwe and fere,wel@adv neigh@adv oute@adv#prep of@prep hire@pron1%fem_gen wit@n for@prep sorwe@n and@conj fer@n1,u S u S u S u Sx u Sx
Troilus and Criseyde; Book I 109,In widewes habit large of samit broun,in@prep widwe@n%gen habit@n large@adj of@prep samite@n broun@adj,u Sux Su Sx u Su S
Troilus and Criseyde; Book I 110,On knees she fil biforn Ector adoun;,on@prep kne@n%pl she@pron%nom fallen@v%pt_3 biforen@prep ector@n#propn adoun@adv,u S u S uS uS uS
Troilus and Criseyde; Book I 111,"With pitous vois, and tendrely wepinge",with@prep pitous@adj voice@n and@conj tenderli@adv wepen@v%prp_abs,u Su S u SuS uSx
Troilus and Criseyde; Book I 112,"His mercy bad, hirselven excusinge.",his@pron1%gen merci@n1 bidden@v%pt_3 hire-self@pron excusen@v%prp_abs,u Su S uSu SuSx
Troilus and Criseyde; Book I 113,Now was this Ector pitous of nature,nou@adv ben@v%pt_3 this@gram_adj ector@n#propn pitous@adj of@prep nature@n,u S u Su Su S uSx
Troilus and Criseyde; Book I 114,And saw that she was sorwfully bigoon,and@conj sen@v1%pt_3 that@conj she@pron%nom ben@v%pt_3 sorwefulli@adv bigon@v%ppl,u S u S u SuS uS
Troilus and Criseyde; Book I 115,And that she was so fair a creature;,and@conj that@conj she@pron%nom ben@v%pt_3 so@adv fair@adj a@indef_art creature@n,u S u S u S u SuSx
Troilus and Criseyde; Book I 116,Of his goodnesse he gladed hir anoon,of@prep his@pron1%gen godnesse@n2 he@pron1%nom gladen@v%pt_3 hire@pron2%fem_obj an-on@adv,u S uSx u Su S uS
Troilus and Criseyde; Book I 117,"And seide, “Lat your fadres treson goon",and@conj seien@v1%pt_3 leten@v%imp your@pron%pl_gen fader@n%gen treisoun@n gon@v%inf,u Su S u Su Su S
Troilus and Criseyde; Book I 118,"Forth with mischaunce, and ye yourself, in joye",forth@adv with@prep mischaunce@n and@conj ye@pron%pl_nom yourself@pron in@prep joie@n,       
Troilus and Criseyde; Book I 119,"Dwelleth with us, whil you good list, in Troye.",dwellen@v%imp with@prep us@pron%pl_obj whil@conj you@pron%pl_obj god@adv listen@v1%pr_3 in@prep troie@n1#propn,ux S u S u S u S uS
Troilus and Criseyde; Book I 120,“And al th’onour that men may doon yow have,and@conj al@gram_adj the@def_art honour@n that@pron man@n%pl mouen@v3%pr_pl don@v1%inf you@pron%pl_obj haven@v%inf,u S  uS u S u S u Sx
Troilus and Criseyde; Book I 121,As ferforth as your fader dwelled here,as@conj fer-forth@adv as@conj your@pron%pl_gen fader@n dwellen@v%pt_3 her@adv,u Su S u Su Su Sx
Troilus and Criseyde; Book I 122,"Ye shul han, and your body shal men save",ye@pron%pl_nom shulen@v1%pr_pl haven@v%inf and@conj your@pron%pl_gen bodi@n shulen@v1%pr_pl man@n%pl saven@v%inf,u S u S u Su S u Sx
Troilus and Criseyde; Book I 123,As fer as I may ought enquere or here.”,as@conj fer@adv as@conj ich@pron%nom mouen@v3%pr_1 ought@adv enqueren@v%inf or@conj heren@v%inf,u S u S u S uSx u Sx
Troilus and Criseyde; Book I 124,And she him thonked with ful humble chere,and@conj she@pron%nom him@pron%obj thanken@v%pt_3 with@prep ful@adv humble@adj chere@n1,u S u Su S u Su Sx
Troilus and Criseyde; Book I 125,"And ofter wolde, and it had ben his wille",and@conj ofte@adv%comp willen@v%pt_3 and@conj hit@pron haven@v%pt_3 ben@v%ppl his@pron1%gen wille@n,u Su Sx u S u S u Sx
Troilus and Criseyde; Book I 126,"And took hir leve, and hoom, and held hir stille.",and@conj taken@v%pt_3 hire@pron1%fem_gen leve@n2 and@conj hom@adv and@conj holden@v1%pt_3 hire@pron2%fem_obj stille@adj,u S u Sx u S u S u Sx
Troilus and Criseyde; Book I 127,And in hir hous she abood with swich meinee,and@conj in@prep hire@pron1%fem_gen hous@n she@pron%nom abiden@v%pt_3 with@prep swich@gram_adj meine@n,u S u S x uS u S uS
Troilus and Criseyde; Book I 128,As to hir honour nede was to holde;,as@conj to@prep hire@pron1%fem_gen honour@n nede@n1 ben@v%pt_3 to@part holden@v1%inf,u S u Su Su S u Sx
Troilus and Criseyde; Book I 129,And whil she was dwellinge in that citee,and@conj whil@conj she@pron%nom ben@v%pt_3 dwellen@v%prp in@prep that@art&gram_adj cite@n,u S u S uSx u S uS
Troilus and Criseyde; Book I 130,"Kepte hir estat, and bothe of yonge and olde",kepen@v%pt_3 hire@pron1%fem_gen estat@n and@conj bothe@num_conj of@prep yong@adj and@conj olde@adj,ux S uS u Sx u Sx u Sx
Troilus and Criseyde; Book I 131,"Ful wel beloved, and wel men of hir tolde.",ful@adv wel@adv biloved@ppl_abs and@conj wel@adv man@n%pl of@prep hire@pron2%fem_obj tellen@v%pt_3,u S uSx u S u S u Sx
Troilus and Criseyde; Book I 132,But whether that she children hadde or noon,but@conj whether@conj that@part she@pron%nom child@n%pl haven@v%pt_3 or@conj non@adv1,u Su S u Su Sx u S
Troilus and Criseyde; Book I 133,I rede it nought; therfore I lete it goon.,ich@pron%nom reden@v1%pr_1 hit@pron nought@adv ther-fore@adv ich@pron%nom leten@v%pr_1 hit@pron gon@v%inf,u Sx u S uSx u Sx u S
Troilus and Criseyde; Book I 134,"The thinges fellen, as they doon of werre",the@def_art thing@n%pl fallen@v%pt_pl as@conj thei@pron%pl_nom don@v1%pr_pl of@prep werre@n1,u Su Su S u S u Sx
Troilus and Criseyde; Book I 135,Bitwixen hem of Troye and Grekes ofte;,bitwixe@prep hem@pron%pl_obj of@prep troie@n1#propn and@conj grek@n%pl ofte@adv,uSu S u Su S ux Sx
Troilus and Criseyde; Book I 136,For som day boughten they of Troye it derre,for@conj som@gram_adj dai@n bien@v%pt_pl thei@pron%pl_nom of@prep troie@n1#propn hit@pron dere@adv,u S u Su S u S u Sx
Troilus and Criseyde; Book I 137,And eft the Grekes founden no thing softe,and@conj eft@adv the@def_art grek@n%pl finden@v%pt_pl no@gram_adj thing@n softe@adj,u S u Su Su S u Sx
Troilus and Criseyde; Book I 138,The folk of Troye; and thus fortune onlofte,the@def_art folk@n of@prep troie@n1#propn and@conj thus@adv fortune@n#propn on-lofte@adv,u S u S u S uSx uSx
Troilus and Criseyde; Book I 139,"And under eft, gan hem to wheelen bothe",and@conj under@adv eft@adv ginnen@v%pt_3 hem@pron%pl_obj to@part whelen@v2%inf bothe@num_adj,u Su S u S u Su Sx
Troilus and Criseyde; Book I 140,"After hir cours, ay whil that they were wrothe.",after@prep here@pron%pl_gen cours@n ai@adv whil@conj that@part thei@pron%pl_nom ben@v%pt_pl wroth@adj,uS u S u S u S ux Sx
Troilus and Criseyde; Book I 141,But how this toun com to destruccioun,but@conj hou@adv&conj this@gram_adj toun@n comen@v%pt_3 to@prep destruccioun@n,u S u S u S uSuS
Troilus and Criseyde; Book I 142,Ne falleth nought to purpos me to telle;,ne@adv fallen@v%pr_3 nought@adv to@prep purpos@n me@pron2%obj to@part tellen@v%inf,u Su S u Su S u Sx
