LINE_NUMBER,OG_OXFORD_TEXT,OXFORD_TAGGING,OXFORD_SCANSION
Troilus and Criseyde; Book V 21,Ne was so looth out of a toun to fare.,ne@conj1 ben@v%pt_3 so@adv loth@adj oute@adv#prep of@prep a@indef_art toun@n to@part faren@v%inf,u S u S u S u S u Sx
Troilus and Criseyde; Book V 22,"This Troilus, withouten reed or lore",this@gram_adj troilus@n#propn withouten@prep red@n1 or@conj lore@n2,u SuS uSu S u Sx
Troilus and Criseyde; Book V 23,As man that hath his joyes eek forlore,as@conj man@n that@pron haven@v%pr_3 his@pron1%gen joie@n%pl ek@adv forlesen@v%ppl,u S u S u Su S uSx
Troilus and Criseyde; Book V 24,Was waitinge on his lady evermore,ben@v%pt_3 waiten@v%prp on@prep his@pron1%gen ladie@n ever-mor@adv,u Sux S u Su SuSx
Troilus and Criseyde; Book V 25,As she that was the soothfast crop and more,as@conj she@pron%nom that@pron ben@v%pt_3 the@def_art sothfast@adj crop@n and@conj more@n1,u S u S u Su S u Sx
Troilus and Criseyde; Book V 26,"Of al his lust, or joyes heretofore.",of@prep al@gram_adj his@pron1%gen lust@n or@conj joie@n%pl her-toforen@adv,u S u S u Su xSuSx
Troilus and Criseyde; Book V 27,"But Troilus, now farewel al thy joye",but@conj troilus@n#propn nou@adv farewel@interj al@gram_adj thin@pron%gen joie@n,      
Troilus and Criseyde; Book V 28,For shaltow never seen hir eft in Troye!,for@conj shulen@v1%pr_2_pron never@adv sen@v1%inf hire@pron2%fem_obj eft@adv in@prep troie@n1#propn,u Su S u S u S uS
Troilus and Criseyde; Book V 29,"Soth is, that whil he bood in this manere",soth@adj ben@v%pr_3 that@conj whil@conj he@pron1%nom biden@v%pt_3 in@prep this@gram_adj manere@n,u S u S u S u S uSx
Troilus and Criseyde; Book V 30,He gan his wo ful manly for to hide,he@pron1%nom ginnen@v%pt_3 his@pron1%gen wo@n ful@adv manli@adv1 for@prep#adv to@part hiden@v%inf,u S u S u Su S u Sx
Troilus and Criseyde; Book V 31,That wel unnethe it seen was in his chere;,that@conj wel@adv unethe@adv hit@pron sen@v1%ppl ben@v%pt_3 in@prep his@pron1%gen chere@n1,u S uSx u S u S u Sx
Troilus and Criseyde; Book V 32,But at the yate ther she sholde oute ride,but@conj at@prep the@def_art gate@n1 ther@adv she@pron%nom shulen@v1%pt_3 oute@adv riden@v%inf,u S u Sx u x Su Su Sx
Troilus and Criseyde; Book V 33,"With certein folk, he hoved hir t’abide",with@prep certain@adj folk@n he@pron1%nom hoven@v1%pt_3 hire@pron2%fem_obj  ,u Su S u Su S  uSx
Troilus and Criseyde; Book V 34,"So wo bigoon, al wolde he nought him pleine",so@adv wo@adv bigon@v%ppl al@conj willen@v%pt_3 he@pron1%nom nought@adv him@pron%obj pleinen@v%inf,u S uS u Sx u S u Sx
Troilus and Criseyde; Book V 35,That on his hors unnethe he sat for peine.,that@conj on@prep his@pron1%gen hors@n unethe@adv he@pron1%nom sitten@v%pt_3 for@prep peine@n,u S u S uSx u S u Sx
Troilus and Criseyde; Book V 36,"For ire he quook, so gan his herte gnawe",for@prep ire@n he@pron1%nom quaken@v%pt_3 so@adv ginnen@v%pt_3 his@pron1%gen herte@n gnauen@v%inf,u Sx u S u S u Su Sx
Troilus and Criseyde; Book V 37,Whan Diomede on horse gan him dresse,whan@adv&conj diomede@n#propn on@prep hors@n ginnen@v%pt_3 him@pron%obj dressen@v%inf,u SuSx u Su S u Sx
Troilus and Criseyde; Book V 38,And seide unto himself this ilke sawe,and@conj seien@v1%pt_3 unto@prep him-self@pron this@gram_adj ilke@pron_gram_adj saue@n2,u Sx uS uS u Su Sx
Troilus and Criseyde; Book V 39,"“Allas,” quod he, “thus foul a wrecchednesse",alas@interj quethen@v%pt_3 he@pron1%nom thus@adv foul@adj a@indef_art wrecchednesse@n,uS u S u S u SuSx
Troilus and Criseyde; Book V 40,"Why suffre ich it, why nil ich it redresse?",whi@adv sufferen@v%pr_1 ich@pron%nom hit@pron whi@adv willen@v%pr_1_neg ich@pron%nom hit@pron redressen@v%inf,u Sx u S u S u S uSx
Troilus and Criseyde; Book V 41,Were it not bet at ones for to die,ben@v%pt_3 hit@pron not@adv bet@adj%comp at@prep ones@adv for@prep#adv to@part dien@v%inf,ux S u S u Su S u S
Troilus and Criseyde; Book V 42,Than evermore in langour thus to drie?,than@conj ever-mor@adv in@prep langour@n thus@adv to@part drien@v2%inf,u SuSx u Su S u S
Troilus and Criseyde; Book V 43,“Why nil I make at ones riche and pore,whi@adv willen@v%pr_1_neg ich@pron%nom maken@v1%inf at@prep ones@adv riche@adj#n and@conj povre@adj#n,u S u Sx u Su Sx u Sx
Troilus and Criseyde; Book V 44,"To have ynough to done, er that she go?",to@part haven@v%inf inough@n to@part don@v1%inf er@conj1 that@part she@pron%nom gon@v%pr_3,u Sx uS u Sx u S u S
Troilus and Criseyde; Book V 45,Why nil I bringe al Troye upon a rore?,whi@adv willen@v%pr_1_neg ich@pron%nom bringen@v%inf al@gram_adj troie@n1#propn upon@prep a@indef_art rore@n2,u S u Sx u S uS u Sx
Troilus and Criseyde; Book V 46,Why nil I sleen this Diomede also?,whi@adv willen@v%pr_1_neg ich@pron%nom slen@v%inf this@gram_adj diomede@n#propn also@adv,u S u S u SuSx uS
Troilus and Criseyde; Book V 47,Why nil I rather with a man or two,whi@adv willen@v%pr_1_neg ich@pron%nom rathere@adv%comp with@prep a@indef_art man@n or@conj two@num_adj,u S u Su S u S u S
Troilus and Criseyde; Book V 48,Stele hir away? Why wol I this endure?,stelen@v%inf hire@pron2%fem_obj awei@adv whi@adv willen@v%pr_1 ich@pron%nom this@pron enduren@v%inf,ux S uS u S u S uSx
Troilus and Criseyde; Book V 49,Why nil I helpen to min owene cure?”,whi@adv willen@v%pr_1_neg ich@pron%nom helpen@v%inf to@prep min@pron%gen ouen@adj cure@n1,u S u Su S u Sux Sx
Troilus and Criseyde; Book V 50,But why he nolde doon so fel a dede,but@conj whi@adv he@pron1%nom willen@v%pt_3_neg don@v1%inf so@adv fel@adj a@indef_art dede@n,u S u Su S u S u Sx
Troilus and Criseyde; Book V 51,"That shal I seyn, and why him liste it spare:",that@pron shulen@v1%pr_1 ich@pron%nom seien@v1%inf and@conj whi@adv him@pron%obj listen@v1%pt_3 hit@pron sparen@v%inf,u S u S u S u Sx u Sx
Troilus and Criseyde; Book V 52,He hadde in herte alwey a maner drede,he@pron1%nom haven@v%pt_3 in@prep herte@n al-wei@adv a@indef_art manere@n#adj drede@n,u Sx u Sx uS u Su Sx
Troilus and Criseyde; Book V 53,"Lest that Criseyde, in rumour of this fare",leste@conj that@part criseyde@n#propn in@prep rumour@n of@prep this@gram_adj fare@n1,u S uSx u Su S u Sx
Troilus and Criseyde; Book V 54,"Sholde han ben slain; lo, this was al his care.",shulen@v1%pt_3 haven@v%inf ben@v%ppl slen@v%ppl lo@interj this@pron ben@v%pt_3 al@gram_adj his@pron1%gen care@n1,ux S u S u S u S u Sx
Troilus and Criseyde; Book V 55,"And elles, certein, as I seide yore",and@conj elles@adv certain@adv as@conj ich@pron%nom seien@v1%pt_1 yor@adv,u Su Su S u Su Sx
Troilus and Criseyde; Book V 56,"He hadde it doon, withouten wordes more.",he@pron1%nom haven@v%pt_3 hit@pron don@v1%ppl withouten@prep word@n%pl more@adj%comp,u Sx u S uSu Su Sx
Troilus and Criseyde; Book V 57,"Criseyde, whan she redy was to ride",criseyde@n#propn whan@adv&conj she@pron%nom redi@adj3 ben@v%pt_3 to@part riden@v%inf,uSu S u Su S u Sx
Troilus and Criseyde; Book V 58,"Ful sorwfully she sighte, and seide “Allas!”",ful@adv sorwefulli@adv she@pron%nom siken@v2%pt_3 and@conj seien@v1%pt_3 alas@interj,u SuS u Sx u Sx uS
Troilus and Criseyde; Book V 59,"But forth she moot, for ought that may bitide",but@conj forth@adv she@pron%nom moten@v2%pr_3 for@prep ought@pron that@pron mouen@v3%pr_3 bitiden@v%inf,u S u S u S u S uSx
Troilus and Criseyde; Book V 60,And forth she rit ful sorwfully a pas.,and@conj forth@adv she@pron%nom riden@v%pr_3 ful@adv sorwefulli@adv a@indef_art pase@n1,u S u S u SuS u S
Troilus and Criseyde; Book V 61,Ther nis non other remedie in this cas.,ther@adv ben@v%pr_3_neg non@gram_adj other@gram_adj remedie@n in@prep this@gram_adj cas@n,u S u Su Sxu S u S
Troilus and Criseyde; Book V 62,What wonder is though that hir sore smerte,what@gram_adj wonder@n ben@v%pr_3 though@conj that@part hire@pron2%fem_obj sore@adv smerten@v%pr_3,u Su S u S u Su Sx
Troilus and Criseyde; Book V 63,Whan she forgoth hir owene swete herte?,whan@adv&conj she@pron%nom forgon@v%pr_3 hire@pron1%fem_gen ouen@adj swete@adj herte@n,u x Su S uSu Su Sx
Troilus and Criseyde; Book V 64,"This Troilus, in wise of curteisie",this@gram_adj troilus@n#propn in@prep wise@n2 of@prep courteisie@n,u SuS u Sx u SuS
Troilus and Criseyde; Book V 65,"With hauke on hond, and with an huge route",with@prep hauk@n1 on@prep honde@n and@conj with@prep a@indef_art huge@adj route@n1,u Sx u S u S u Su Sx
Troilus and Criseyde; Book V 66,"Of knightes, rood and dide hir companie",of@prep knight@n%pl riden@v%pt_3 and@conj don@v1%pt_3 hire@pron2%fem_obj compaignie@n,u Su S u Sx u SuS
Troilus and Criseyde; Book V 67,Passinge al the valey fer withoute.,passen@v%prp_abs al@gram_adj the@def_art valei@n fer@adv withouten@adv,uSu S u Su S uSx
Troilus and Criseyde; Book V 68,"And ferther wolde han riden, out of doute",and@conj ferther@adv%comp willen@v%pt_3 haven@v%inf riden@v%inf oute@adv#prep of@prep doute@n,u Su Sx u Su S u Sx
Troilus and Criseyde; Book V 69,"Ful fain, and wo was him to goon so sone;",ful@adv fain@adv and@conj wo@n ben@v%pt_3 him@pron%obj to@part gon@v%inf so@adv sone@adv,u S u S u S u S u Sx
Troilus and Criseyde; Book V 70,"But torne he moste, and it was eek to done.",but@conj turnen@v%inf he@pron1%nom moten@v2%pt_3 and@conj hit@pron ben@v%pt_3 ek@adv to@part don@v1%inf,u Sx u Sx u S u S u Sx
Troilus and Criseyde; Book V 71,And right with that was Antenor ycome,and@conj righte@adv with@prep that@pron ben@v%pt_3 antenor@n#propn comen@v%ppl,u S u S u SuS uSx
Troilus and Criseyde; Book V 72,"Out of the Grekes ost, and every wight",oute@adv#prep of@prep the@def_art grek@n%gen hoste@n1 and@conj everi@pron_gram_adj wight@n,u S u Su S u Sxu S
Troilus and Criseyde; Book V 73,"Was of it glad, and seide he was welcome.",ben@v%pt_3 of@prep hit@pron glad@adj and@conj seien@v1%pt_3 he@pron1%nom ben@v%pt_3 welcom@adj,u S u S u Sx u S uSx
Troilus and Criseyde; Book V 74,"And Troilus, al nere his herte light",and@conj troilus@n#propn al@conj ben@v%pt_3_neg his@pron1%gen herte@n light@adj2,u SuS u Sx u Su S
Troilus and Criseyde; Book V 75,He peined him with al his fulle might,he@pron1%nom peinen@v%pt_3 him@pron%obj with@prep al@gram_adj his@pron1%gen ful@adj might@n,u Su S u S u Su S
Troilus and Criseyde; Book V 76,Him to withholde of wepinge at the leste,him@pron%obj to@part withholden@v%inf of@prep wepinge@ger at@prep the@def_art leste@adj1#n%sup,u S uSx u Sux S u Sx
Troilus and Criseyde; Book V 77,"And Antenor he kiste, and made feste.",and@conj antenor@n#propn he@pron1%nom kissen@v%pt_3 and@conj maken@v1%pt_3 feste@n,u SuS u Sx u Su Sx
Troilus and Criseyde; Book V 78,And therwithal he moste his leve take,and@conj ther-withal@adv he@pron1%nom moten@v2%pt_3 his@pron1%gen leve@n2 taken@v%inf,u SuS u Sx u Su Sx
Troilus and Criseyde; Book V 79,And caste his eye upon hir pitously,and@conj casten@v%pt_3 his@pron1%gen eie@n1 upon@prep hire@pron2%fem_obj pitousli@adv,u Sx u S uS u SuS
Troilus and Criseyde; Book V 80,"And neer he rood, his cause for to make",and@conj ner@adv2 he@pron1%nom riden@v%pt_3 his@pron1%gen cause@n for@prep#adv to@part maken@v1%inf,u S u S u Su S u Sx
Troilus and Criseyde; Book V 81,To take hir by the honde al sobrely.,to@part taken@v%inf hire@pron2%fem_obj bi@prep the@def_art honde@n al@gram_adj sobreli@adv,u Sx u S u Sx u SuS
Troilus and Criseyde; Book V 82,And Lord! so she gan wepen tendrely!,and@conj lord@n so@adv she@pron%nom ginnen@v%pt_3 wepen@v%inf tenderli@adv,u S u S u Su SuS
Troilus and Criseyde; Book V 83,And he ful softe and sleighly gan hir seie,and@conj he@pron1%nom ful@adv softe@adv and@conj sleighli@adv ginnen@v%pt_3 hire@pron2%fem_obj seien@v1%inf,u S u Sx u Su S u S
Troilus and Criseyde; Book V 84,"“Now hold your day, and dooth me not to deie.”",nou@adv holden@v1%imp your@pron%pl_gen dai@n and@conj don@v1%imp me@pron2%obj not@adv to@part dien@v%inf,u S u S u S u S u S
Troilus and Criseyde; Book V 85,With that his courser torned he aboute,with@prep that@pron his@pron1%gen courser@n turnen@v%pt_3 he@pron1%nom abouten@adv,u S u Su Su S uSx
Troilus and Criseyde; Book V 86,"With face pale, and unto Diomede",with@prep face@n pale@adj and@conj unto@prep diomede@n#propn,u Su Sx u Su SuSx
Troilus and Criseyde; Book V 87,"No word he spak, ne noon of al his route;",no@gram_adj word@n he@pron1%nom speken@v%pt_3 ne@conj1 non@pron of@prep al@gram_adj his@pron1%gen route@n1,u S u S u S u S u Sx
Troilus and Criseyde; Book V 88,Of which the sone of Tideus took hede,of@prep which@pron the@def_art sone@n of@prep tideus@n#propn taken@v%pt_3 hed@n2,u S u Sx u SuS u Sx
Troilus and Criseyde; Book V 89,As he that coude more than the crede,as@conj he@pron1%nom that@pron connen@v%pt_3 more@n3 than@conj the@def_art crede@n2,u S u Su Su S u Sx
Troilus and Criseyde; Book V 90,"In swich a craft, and by the reine hir hente;",in@prep swich@gram_adj a@indef_art craft@n1 and@conj bi@prep the@def_art reine@n1 hire@pron2%fem_obj henten@v%pt_3,u S u S u S u Sx u Sx
Troilus and Criseyde; Book V 91,And Troilus to Troy homwarde he wente.,and@conj troilus@n#propn to@prep troie@n1#propn hom-ward@adv he@pron1%nom wenden@v%pt_3,u SuS u S uSx u Sx
Troilus and Criseyde; Book V 92,"This Diomede, that ladde hir by the bridel",this@gram_adj diomede@n#propn that@pron leden@v1%pt_3 hire@pron2%fem_obj bi@prep the@def_art bridel@n,u Suxx S ux S u S uS
Troilus and Criseyde; Book V 93,Whan that he saw the folk of Troye aweye,whan@adv&conj that@part he@pron1%nom sen@v1%pt_3 the@def_art folk@n of@prep troie@n1#propn awei@adv,        
Troilus and Criseyde; Book V 94,"Thoughte, “Al my labour shal not been on idel",thinken@v2%pt_3 al@gram_adj min@pron%gen labour@n shulen@v1%pr_3 not@adv ben@v%inf on@prep idel@n,        
Troilus and Criseyde; Book V 95,"If that I may, for somwhat shal I seye.",if@conj that@part ich@pron%nom mouen@v3%pr_1 for@conj som-what@pron shulen@v1%pr_1 ich@pron%nom seien@v1%inf,u S u S u Su S u S
Troilus and Criseyde; Book V 96,For at the worste it may yet shorte our weye.,for@conj at@prep the@def_art werste@n hit@pron mouen@v3%pr_2 yet@adv shorten@v%inf oure@pron%pl_gen wei@n,u S u Sx u S u Sx u S
Troilus and Criseyde; Book V 97,"I have herd seid, eek times twiës twelve",ich@pron%nom haven@v%pr_1 heren@v%ppl seien@v1%ppl ek@adv time@n%pl twies@adv twelve@num_n,u Su S u S uS u Sx
Troilus and Criseyde; Book V 98,‘He is a fool that wol foryete himselve.’ ”,he@pron1%nom ben@v%pr_3 a@indef_art fol@n that@pron willen@v%pr_2 foryeten@v%inf him-self@pron,u S u S u S uSx uSx
Troilus and Criseyde; Book V 99,But natheles this thoughte he wel ynough,but@conj no-the-lesse@adv this@gram_adj thinken@v2%pt_2 he@pron1%nom wel@adv inough@adv,u SuS u Sx u S uS
Troilus and Criseyde; Book V 100,“That certainly I am aboute nought,that@conj certainli@adv ich@pron%nom ben@v%pr_1 abouten@prep nought@pron,u SuS u S uSu S
Troilus and Criseyde; Book V 101,"If that I speke of love, or make it tough;",if@conj that@part ich@pron%nom speken@v%pr_1 of@prep love@n1 or@conj maken@v1%pr_1 hit@pron tough@adj,u S u Sx u Sx u Sx u S
Troilus and Criseyde; Book V 102,"For douteles, if she have in hir thought",for@conj douteles@adv if@conj she@pron%nom haven@v%pr_3 in@prep hire@pron1%fem_gen thought@n,u SuS u x Su S u S
Troilus and Criseyde; Book V 103,"Him that I gesse, he may not been ybrought",him@pron%obj that@pron ich@pron%nom gessen@v%pr_1 he@pron1%nom mouen@v3%pr_3 not@adv ben@v%inf ibringen@v%ppl,u S u Sx u S u S uS
Troilus and Criseyde; Book V 104,So soon awey; but I shal finde a mene,so@adv sone@adv awei@adv but@conj ich@pron%nom shulen@v1%pr_1 finden@v%inf a@indef_art mene@n3,u S uS u S u Sx u Sx
Troilus and Criseyde; Book V 105,That she not wite as yet shal what I mene.”,that@conj she@pron%nom not@adv witen@v1%inf as@conj yet@adv shulen@v1%pr_3 what@pron ich@pron%nom menen@v1%pr_1,u S u Sx u S u S u Sx
Troilus and Criseyde; Book V 106,"This Diomede, as he that coude his good",this@gram_adj diomede@n#propn as@conj he@pron1%nom that@pron connen@v%pt_3 his@pron1%gen god@n2,u SuSx u S u Sx u S
Troilus and Criseyde; Book V 107,"Whan time was, gan fallen forth in speche",whan@adv&conj time@n ben@v%pt_3 ginnen@v%pt_3 fallen@v%inf forth@adv in@prep speche@n,u Su S u Su S u Sx
Troilus and Criseyde; Book V 108,"Of this and that, and axed why she stood",of@prep this@pron and@conj that@pron and@conj asken@v%pt_3 whi@adv she@pron%nom stonden@v1%pt_3,u S u S u Su S u S
Troilus and Criseyde; Book V 109,"In swich disese, and gan hir eek biseche",in@prep swich@gram_adj disese@n and@conj ginnen@v%pt_3 hire@pron2%fem_obj ek@adv bisechen@v%inf,u S uSx u S u S uSx
Troilus and Criseyde; Book V 110,That if that he encrese mighte or eche,that@conj if@conj that@part he@pron1%nom encresen@v%inf mouen@v3%pt_3 or@conj eken@v%inf,u S u S uSu Sx u Sx
Troilus and Criseyde; Book V 111,"With any thing hir ese, that she sholde",with@prep ani@gram_adj thing@n hire@pron2%fem_obj ese@n that@pron she@pron%nom shulen@v1%pt_3,u Su S u Su S u Sx
Troilus and Criseyde; Book V 112,"Comaunde it him, and seide he doon it wolde.",commaunden@v%inf hit@pron him@pron%obj and@conj seien@v1%pt_3 he@pron1%nom don@v1%inf hit@pron willen@v%pt_3,uSx u S u Sx u S u Sx
Troilus and Criseyde; Book V 113,"For trewely he swoor hir, as a knight",for@conj treuli@adv he@pron1%nom sweren@v%pt_3 hire@pron2%fem_obj as@conj a@indef_art knight@n,u SuS u S u S u S
Troilus and Criseyde; Book V 114,That ther nas thing with whiche he mighte hir plese,that@conj ther@adv ben@v%pt_3_neg thing@n with@prep which@pron he@pron1%nom mouen@v3%pt_3 hire@pron2%fem_obj plesen@v%inf,u S u S u Sx u Sx u Sx
Troilus and Criseyde; Book V 115,That he nold doon his peine and al his might,that@conj he@pron1%nom willen@v%pt_3_neg don@v1%inf his@pron1%gen peine@n and@conj al@gram_adj his@pron1%gen might@n,u S u S u Sx u S u S
Troilus and Criseyde; Book V 116,"To doon it, for to doon hir herte an ese.",to@part don@v1%inf hit@pron for@prep#adv to@part don@v1%inf hire@pron1%fem_gen herte@n a@indef_art ese@n,u S u S u S u Sx u Sx
Troilus and Criseyde; Book V 117,"And preyede hir, she wolde hir sorwe apese",and@conj preien@v1%pt_3 hire@pron2%fem_obj she@pron%nom willen@v%pt_3 hire@pron1%fem_gen sorwe@n appesen@v%inf,u Sux S u Sx u Sx uSx
Troilus and Criseyde; Book V 118,"And seide, “Ywis, we Grekes con have joye",and@conj seien@v1%pt_3 iwis@adv we@pron%pl_nom grek@n%pl connen@v%pr_pl haven@v%inf joie@n,u Sx uS u Sx u Sx uS
Troilus and Criseyde; Book V 119,"To honouren yow, as wel as folk of Troye.”",to@part honouren@v%inf you@pron%pl_obj as@conj wel@adv as@conj folk@n of@prep troie@n1#propn,        
Troilus and Criseyde; Book V 120,"He seide eek thus, “I woot, yow thinketh straunge",he@pron1%nom seien@v1%pt_3 ek@adv thus@adv ich@pron%nom witen@v1%pr_1 you@pron%pl_obj thinken@v1%pr_3 straunge@adj --@dash,u Sx u S u S u Su Sx
Troilus and Criseyde; Book V 121,"No wonder is, for it is to yow newe",ne@adv wonder@n ben@v%pr_3 for@conj hit@pron ben@v%pr_3 to@prep you@pron%pl_obj neue@adj --@dash,u Su S u S u S u Sx
Troilus and Criseyde; Book V 122,Th’aqueintaunce of these Troyanes to chaunge,the@def_art aqueintaunce@n of@prep these@gram_adj%pl troian@n%pl to@part chaungen@v%inf, uSux S ux SuS u Sx
Troilus and Criseyde; Book V 123,"For folk of Grece, that ye never knewe.",for@prep folk@n of@prep grece@n#propn that@pron ye@pron%pl_nom never@adv knouen@v%pt_pl,u S u Su S u Su Sx
Troilus and Criseyde; Book V 124,But wolde never God but if as trewe,but@conj willen@v%pt_3 never@adv god@n1#propn but@conj if@conj as@conj treu@adj,u Su Su S u S u Sx
Troilus and Criseyde; Book V 125,A Greek ye shulde among us alle finde,a@indef_art grek@n ye@pron%pl_nom shulen@v1%pt_pl amonges@prep us@pron%pl_obj al@gram_adj finden@v%inf,u S u Sx uS u Su Sx
Troilus and Criseyde; Book V 126,"As any Troian is, and eek as kinde.",as@conj ani@gram_adj troian@n ben@v%pr_3 and@conj ek@adv as@conj kinde@adj,S uS u S u S u Sx
Troilus and Criseyde; Book V 127,"“And by the cause I swer yow right, lo, now",and@conj bi@prep the@def_art cause@n ich@pron%nom sweren@v%pt_1 you@pron%pl_obj righte@adv lo@interj nou@adv,u S u Sx u S u S u S
Troilus and Criseyde; Book V 128,"To been your freend, and helply, to my might",to@part ben@v%inf your@pron%pl_gen frend@n and@conj helplich@adj to@prep min@pron%gen might@n,u S u S u Su S u S
Troilus and Criseyde; Book V 129,And for that more acqueintaunce eek of yow,and@conj for@conj that@part more@adj%comp aqueintaunce@n ek@adv of@prep you@pron%pl_obj,u S u Sx uSux S u S
Troilus and Criseyde; Book V 130,Have ich had than another straunger wight,haven@v%pr_1 ich@pron%nom haven@v%ppl than@conj another@gram_adj straunge@adj%comp wight@n,ux S u S uSu Su S
Troilus and Criseyde; Book V 131,"So fro this forth I pray yow, day and night",so@adv from@prep this@pron forth@adv ich@pron%nom preien@v1%pr_1 you@pron%pl_obj dai@n and@conj night@n,u S u S u S u S u S
Troilus and Criseyde; Book V 132,"Comaundeth me, how sore that me smerte",commaunden@v%pr_3 me@pron2%obj hou@adv&conj sore@adv that@conj me@pron2%obj smerten@v%pr_3,uSu S u Su S u Sx
Troilus and Criseyde; Book V 133,To doon al that may like unto your herte;,to@part don@v1%inf al@gram_adjas_n that@pron mouen@v3%pr_3 liken@v1%inf unto@prep your@pron%pl_gen herte@n,u S u S u Sx uS u Sx
Troilus and Criseyde; Book V 134,“And that ye me wolde as your brother trete,and@conj that@conj ye@pron%pl_nom me@pron2%obj willen@v%pt_pl as@conj your@pron%pl_gen brother@n treten@v%inf,u S u x Su S u Su Sx
Troilus and Criseyde; Book V 135,And taketh not my frendship in despit;,and@conj taken@v%imp not@adv min@pron%gen frendshipe@n in@prep despit@n,u Su S u Su S uS
Troilus and Criseyde; Book V 136,And though your sorwes be for thinges grete,and@conj though@conj your@pron%pl_gen sorwe@n%pl ben@v%pr_pl for@prep thing@n%pl gret@adj --@dash,u S u Su S u Su Sx
Troilus and Criseyde; Book V 137,"Noot I not why, but out of more respit",witen@v1%pr_1_neg ich@pron%nom not@adv whi@pron --@dash but@conj oute@adv#prep of@prep more@adj%comp respite@n,u S u S u S u Sx uS
Troilus and Criseyde; Book V 138,Min herte hath for to amende it greet delit.,min@pron%gen herte@n haven@v%pr_3 for@prep#adv to@part amenden@v%inf hit@pron gret@adj delite@n1,u Sx u S x uSx u S uS
