LINE_NUMBER,OG_OXFORD_TEXT,OXFORD_TAGGING,OXFORD_SCANSION
Troilus and Criseyde; Book III 22,Ye fierse Mars apeisen of his ire,ye@pron%pl_nom fers@adj mars@n#propn appesen@v%pr_pl of@prep his@pron1%gen ire@n,u Sux S uSu S u Sx
Troilus and Criseyde; Book III 23,"And, as yow list, ye maken hertes digne.",and@conj as@conj you@pron%pl_obj listen@v1%pr_3 ye@pron%pl_nom maken@v1%pr_pl herte@n%pl digne@adj,u S u S u Su Su Sx
Troilus and Criseyde; Book III 24,"Algates, hem that ye wol sette afire",al-gates@adv hem@pron%pl_obj that@pron ye@pron%pl_nom willen@v%pr_pl setten@v%inf afire@adv&adj,uSu S u S u Sx uSx
Troilus and Criseyde; Book III 25,"They dreden shame, and vices they resigne;",thei@pron%pl_nom dreden@v%pr_pl shame@n and@conj vice@n%pl thei@pron%pl_nom resignen@v%pr_pl,u Su Sx u Su S uSx
Troilus and Criseyde; Book III 26,"Ye do hem corteis be, fresshe and benigne",ye@pron%pl_nom don@v1%pr_pl hem@pron%pl_obj courteis@adj ben@v%inf fresh@adj and@conj benigne@adj,u S u Su S ux S uSx
Troilus and Criseyde; Book III 27,"And hie or lowe, after a wight entendeth;",and@conj heigh@adj or@conj loue@adj after@conj a@indef_art wight@n entenden@v%pr_3,u S u Sx uS u S uSx
Troilus and Criseyde; Book III 28,"The joyes that he hath, your might him sendeth.",the@def_art joie@n%pl that@pron he@pron1%nom haven@v%pr_3 your@pron%pl_gen might@n him@pron%obj senden@v2%imp,u Su S u S u S u Sx
Troilus and Criseyde; Book III 29,Ye holden regne and hous in unitee;,ye@pron%pl_nom holden@v1%pr_pl regne@n1 and@conj hous@n in@prep unite@n,u Su Sx u S u SuS
Troilus and Criseyde; Book III 30,Ye soothfast cause of frendship been also;,ye@pron%pl_nom sothfast@adj cause@n of@prep frendshipe@n ben@v%pr_pl also@adv,u Su Sx u Su S uS
Troilus and Criseyde; Book III 31,Ye knowe al thilke covered qualitee,ye@pron%pl_nom knouen@v%pr_pl al@gram_adj thilke@gram_adj coveren@v1#adj%ppl qualite@n,u Sx u Sx uSu SuS
Troilus and Criseyde; Book III 32,Of thinges which that folk on wondren so,of@prep thing@n%pl which@pron that@pron folk@n on@prep wondren@v%pr_pl so@adv,u Su S u S u Su S
Troilus and Criseyde; Book III 33,Whan they can not construe how it may jo,whan@adv&conj thei@pron%pl_nom connen@v%pr_pl not@adv construen@v%inf hou@adv&conj hit@pron mouen@v3%pr_3 jo@v%inf,u S u S uS u S u S
Troilus and Criseyde; Book III 34,"She loveth him, or why he loveth here",she@pron%indef loven@v1%pr_3 him@pron%indef or@conj whi@adv he@pron1%nom loven@v1%pr_3 hire@pron2%fem_obj_indef,u Su S u S u Su Sx
Troilus and Criseyde; Book III 35,"As why this fish, and nought that, comth to were.",as@conj whi@adv this@gram_adj fish@n and@conj nought@adv that@pron comen@v%pr_3 to@prep wer@n2,u S u S u S u S u Sx
Troilus and Criseyde; Book III 36,Ye folk a lawe han set in universe,ye@pron%pl_nom folk@n a@indef_art laue@n haven@v%pr_pl setten@v%ppl in@prep universe@n,u S u Sx u S u SuSx
Troilus and Criseyde; Book III 37,And this knowe I by hem that loveres be,and@conj this@pron knouen@v%pr_1 ich@pron%nom bi@prep hem@pron%pl_obj that@pron lovere@n2%pl ben@v%pr_pl,u S ux S u S u Sux S
Troilus and Criseyde; Book III 38,That whoso striveth with yow hath the werse:,that@conj who-so@pron%nom striven@v%pr_3 with@prep you@pron%pl_obj haven@v%pr_3 the@def_art werse@n,u Su Su S u S u Sx
Troilus and Criseyde; Book III 39,"Now, lady bright, for thy benignitee",nou@adv ladie@n bright@adj for@prep thin@pron%gen benignite@n,u Su S u S uSuS
Troilus and Criseyde; Book III 40,At reverence of hem that serven thee,at@prep reverence@n of@prep hem@pron%pl_obj that@pron serven@v1%pr_pl the@pron2%obj,u SuSx u S u Su S
Troilus and Criseyde; Book III 41,"Whos clerk I am, so techeth me devise",whos@pron%gen clerk@n ich@pron%nom ben@v%pr_1 so@adv techen@v%imp me@pron2%obj devisen@v%inf,u S u S u Su S uSx
Troilus and Criseyde; Book III 42,Som joye of that is felt in thy servise.,som@gram_adj joie@n of@prep that@pron ben@v%pr_3 felen@v1%ppl in@prep thin@pron%gen servise@n,u S u S u S u S uSx
Troilus and Criseyde; Book III 43,Ye in my naked herte sentement,ye@pron%pl_nom in@prep min@pron%gen naked@adj herte@n sentement@n,u S u Su Su SuS
Troilus and Criseyde; Book III 44,"Inhelde, and do me shewe of thy swetnesse.—",inhelden@v%pr_pl and@conj don@v1%pr_pl me@pron2%obj sheuen@v1%inf of@prep thin@pron%gen swetenesse@n,uSx u S u Sx u S uSx
Troilus and Criseyde; Book III 45,"Caliope, thy vois be now present",caliope@n#propn thin@pron%gen voice@n ben@v%pr_3 nou@adv presente@adj,SuSx u S u S uS
Troilus and Criseyde; Book III 46,For now is nede; sestow not my destresse,for@conj nou@adv ben@v%pr_3 nede@n1 sen@v1%pr_2_pron not@adv min@pron%gen distresse@n,u S u Sx uS u S uSx
Troilus and Criseyde; Book III 47,How I mot telle anonright the gladnesse,hou@adv&conj ich@pron%nom moten@v2%pr_1 tellen@v%inf anon-rightes@adv the@def_art gladnesse@n,u S u Sx uSu S uSx
Troilus and Criseyde; Book III 48,"Of Troilus, to Venus heryinge?",of@prep troilus@n#propn to@prep venus@n#propn%gen heriinge@ger,u SuS u Su SuSx
Troilus and Criseyde; Book III 49,"To which gladnes, who nede hath, God him bringe!",to@prep which@gram_adj gladnesse@n who@pron%nom nede@n1 haven@v%pr_3 god@n1#propn him@pron%obj bringen@v%pr_3,u S uS u Sx u S u Sx
Troilus and Criseyde; Book III 50,Lay al this mene while Troilus,lien@v1%pt_3 al@gram_adj this@gram_adj mene@adj2 whil@n troilus@n#propn,u S u Su Su SuS
Troilus and Criseyde; Book III 51,Recordinge his lessoun in this manere,recorden@v%prp_abs his@pron1%gen lessoun@n in@prep this@gram_adj manere@n,uSux S uS u S uSx
Troilus and Criseyde; Book III 52,"“Ma fey!” thought he, “Thus wole I seye and thus;",ma@fr_pron feith@n thinken@v2%pt_3 he@pron1%nom thus@adv willen@v%pr_1 ich@pron%nom seien@v1%inf and@conj thus@adv,u S u S u Sx u S u S
Troilus and Criseyde; Book III 53,Thus wole I pleine unto my lady dere;,thus@adv willen@v%pr_1 ich@pron%nom pleinen@v%inf unto@prep min@pron%gen ladie@n dere@adj1,u Sx u Sx uS u Su Sx
Troilus and Criseyde; Book III 54,"That word is good, and this shal be my chere;",that@art&gram_adj word@n ben@v%pr_3 god@adj and@conj this@pron shulen@v1%pr_3 ben@v%inf min@pron%gen chere@n1,u S u S u S u S u Sx
Troilus and Criseyde; Book III 55,This nil I not foryeten in no wise.”,this@pron willen@v%pr_1_neg ich@pron%nom not@adv foryeten@v%inf in@prep no@gram_adj wise@n2,u S u S uSu S u Sx
Troilus and Criseyde; Book III 56,God leve him werken as he gan devise.,god@n1#propn leven@v3%pr_3 him@pron%obj werken@v%inf as@conj he@pron1%nom ginnen@v%pt_3 devisen@v%inf,u Sx u Su S u S uSx
Troilus and Criseyde; Book III 57,"And Lord, so that his herte gan to quappe",and@conj lord@n so@adv that@conj his@pron1%gen herte@n ginnen@v%pt_3 to@part quappen@v%inf,u S u S u Su S u Sx
Troilus and Criseyde; Book III 58,"Heringe hir come, and shorte for to sike!",heren@v%prp_abs hire@pron2%fem_obj comen@v%inf and@conj shorte@adv for@prep#adv to@part siken@v2%inf,uSx u Sx u Su S u Sx
Troilus and Criseyde; Book III 59,"And Pandarus, that ladde hir by the lappe",and@conj pandare@n#propn that@pron leden@v1%pt_3 hire@pron2%fem_obj bi@prep the@def_art lappe@n,u SuS u Sx u S u Sx
Troilus and Criseyde; Book III 60,"Com ner, and gan in at the curtin pike",comen@v%pt_3 ner@adv2 and@conj ginnen@v%pt_3 in@adv at@prep the@def_art curtine@n piken@v2%inf,u S u S u S u Su Sx
Troilus and Criseyde; Book III 61,"And seide, “God do bote on alle sike!",and@conj seien@v1%pt_3 god@n1#propn don@v1%pr_3 bote@n1 on@prep al@gram_adj sik@adj#n,u Su S u Sx u Su Sx
Troilus and Criseyde; Book III 62,"See, who is here yow comen to visite;",sen@v1%imp who@pron%nom ben@v%pr_3 her@adv you@pron%pl_obj comen@v%ppl to@part visiten@v%inf,u S u Sx u Su S uSx
Troilus and Criseyde; Book III 63,"Lo, here is she that is your deeth to wite.”",lo@interj her@adv ben@v%pr_3 she@pron%nom that@pron ben@v%pr_3 your@pron%pl_gen deth@n to@part witen@v3%inf,u Sx u S u S u S u Sx
Troilus and Criseyde; Book III 64,Therwith it semed as he wepte almost;,ther-with@adv hit@pron semen@v2%pt_3 as@conj he@pron1%nom wepen@v%pt_3 al-most@adv,uS u Su S u Sx uS
Troilus and Criseyde; Book III 65,"“A ha,” quod Troilus so rewfully",a@interj ha@interj quethen@v%pt_3 troilus@n#propn so@adv reufulli@adv,u S u SuS u SuS
Troilus and Criseyde; Book III 66,"“Wher me be wo, O mighty God, thou wost!",whether@conj me@pron2%obj ben@v%pr_3 wo@n o@interj mighti@adj god@n1#propn thou@pron%nom witen@v1%pr_2,u S u S u Su S u S
Troilus and Criseyde; Book III 67,Who is al there? I see nought trewely.”,who@pron%nom ben@v%pr_3 al@gram_adj ther@adv ich@pron%nom sen@v1%pr_1 nought@adv treuli@adv,u S u Sx u S u SuS
Troilus and Criseyde; Book III 68,"“Sir,” quod Criseyde, “it is Pandare and I.”",sire@n quethen@v%pt_3 criseyde@n#propn hit@pron ben@v%pr_3 pandare@n#propn and@conj ich@pron%nom,u S uSx u S uSx u S
Troilus and Criseyde; Book III 69,"“Ye, swete herte? allas, I may nought rise",ye@pron%pl_nom swete@adj herte@n alas@interj ich@pron%nom mouen@v3%pr_1 nought@adv risen@v%inf,u Su Sx uS u S u Sx
Troilus and Criseyde; Book III 70,"To knele, and do yow honour in som wise.”",to@part knelen@v%inf and@conj don@v1%inf you@pron%pl_obj honour@n in@prep som@gram_adj wise@n2,u Sx u S u Su S u Sx
Troilus and Criseyde; Book III 71,"And dressede him upward, and she right tho",and@conj dressen@v%pt_3 him@pron%obj upward@adv and@conj she@pron%nom righte@adv tho@adv,u Sux S uS u S u S
Troilus and Criseyde; Book III 72,Gan bothe here hondes softe upon him leye,ginnen@v%pt_3 bothe@num_adj hire@pron1%fem_gen honde@n%pl softe@adv upon@prep him@pron%obj leien@v1%inf,u Sx ux Su Sx uS u S
Troilus and Criseyde; Book III 73,"“O, for the love of God, do ye not so",o@interj for@prep the@def_art love@n1 of@prep god@n1#propn don@v1%pr_pl ye@pron%pl_nom not@adv so@adv,u S u Sx u S u S u S
Troilus and Criseyde; Book III 74,"To me,” quod she, “ey! What is this to seye?",to@prep me@pron2%obj quethen@v%pt_3 she@pron%nom ei@interj what@pron ben@v%pr_3 this@pron to@part seien@v1%inf,u S u S u S u S u S
Troilus and Criseyde; Book III 75,"Sir, come am I to yow for causes tweie;",sire@n comen@v%ppl ben@v%pr_1 ich@pron%nom to@prep you@pron%pl_obj for@prep cause@n%pl twein@num_adj,u Sx u S u S u Su S
Troilus and Criseyde; Book III 76,"First, yow to thonke, and of your lordshipe eke",first@adv you@pron%pl_obj to@part thanken@v%inf and@conj of@prep your@pron%pl_gen lordshipe@n ek@adv,u S u Sx u S u Sux Sx
Troilus and Criseyde; Book III 77,Continuaunce I wolde yow biseke.”,continuaunce@n ich@pron%nom willen@v%pt_1 you@pron%pl_obj bisechen@v%inf,SuSx u Su S uSx
Troilus and Criseyde; Book III 78,"This Troilus, that herde his lady preye",this@gram_adj troilus@n#propn that@pron heren@v%pt_3 his@pron1%gen ladie@n preien@v1%inf,u SuS u Sx u Su S
Troilus and Criseyde; Book III 79,"Of lordship him, wex neither quik ne deed",of@prep lordshipe@n him@pron%obj waxen@v1%pt_3 neither@conj quik@adj ne@conj1 ded@adj,u Su S u Su S u S
Troilus and Criseyde; Book III 80,Ne mighte o word for shame to it seye,ne@conj1 mouen@v3%pt_3 o@num_adj word@n for@prep shame@n to@prep hit@pron seien@v1%inf,u Sx u S u Su S u S
Troilus and Criseyde; Book III 81,Although men sholde smiten of his heed.,al-thogh@conj man@n%pl shulen@v1%pt_pl smiten@v%inf of@adv his@pron1%gen hed@n1,uS u Su Su S u S
Troilus and Criseyde; Book III 82,"But Lord, so he wex sodeinliche reed",but@conj lord@n so@adv he@pron1%nom waxen@v1%pt_3 sodeinli@adv red@adj,u S u S u SuSu S
Troilus and Criseyde; Book III 83,"And sire, his lesson, that he wende conne",and@conj sire@n his@pron1%gen lessoun@n that@pron he@pron1%nom wenen@v2%pt_3 connen@v%inf,u Sx u Su S u Su Sx
Troilus and Criseyde; Book III 84,"To preyen hir, is thurgh his wit yronne.",to@part preien@v1%inf hire@pron2%fem_obj ben@v%pr_3 thurgh@prep his@pron1%gen wit@n irennen@v%ppl,u Su S u S u S uSx
Troilus and Criseyde; Book III 85,Criseyde al this aspyede wel ynough,criseyde@n#propn al@gram_adj this@pron aspien@v%pt_3 wel@adv inough@adv,uSx u S uSux S uS
Troilus and Criseyde; Book III 86,"For she was wis, and lovede him never the lasse",for@conj she@pron%nom ben@v%pt_3 wise@adj and@conj loven@v1%pt_3 him@pron%obj never@adv the@adv lesse@adv%comp,u x S u S uSx u S u Sx
Troilus and Criseyde; Book III 87,"Al nere he malapert, or made it tough",al@conj ben@v%pt_3_neg he@pron1%nom malapert@adj or@conj maken@v1%pt_3 hit@pron tough@adj,u Sx u SuS u Sx u S
Troilus and Criseyde; Book III 88,"Or was to bold, to singe a fool a masse.",or@conj ben@v%pt_3 to@adv2 bold@adj to@part singen@v%inf a@indef_art fol@n a@indef_art messe@n1,u S u S u Sx u S u Sx
Troilus and Criseyde; Book III 89,But whan his shame gan somwhat to passe,but@conj whan@adv&conj his@pron1%gen shame@n ginnen@v%pt_3 som-what@adv to@part passen@v%inf,u S u Su S uS u Sx
Troilus and Criseyde; Book III 90,"His resons, as I may my rimes holde",his@pron1%gen resoun@n2%pl as@conj ich@pron%nom mouen@v3%pr_1 min@pron%gen rime@n3%pl holden@v1%inf,u Su S u S u Su Sx
Troilus and Criseyde; Book III 91,"I yow wol telle, as techen bokes olde.",ich@pron%nom you@pron%pl_obj willen@v%pr_1 tellen@v%inf as@conj techen@v%pr_pl bok@n1%pl olde@adj,u S u Sx u Su Su Sx
Troilus and Criseyde; Book III 92,"In chaunged vois, right for his verrey drede",in@prep chaungen@v#adj%ppl voice@n righte@adv for@prep his@pron1%gen verrei@adj drede@n,u Su S u S u Su Sx
Troilus and Criseyde; Book III 93,"Which vois eek quook, and therto his manere",which@gram_adj voice@n ek@adv quaken@v%pt_3 and@conj ther-to@adv his@pron1%gen manere@n,u S u S u Su S uSx
Troilus and Criseyde; Book III 94,"Goodly abaist, and now his hewes rede",godli@adv2 abaishen@v%pr_3 and@conj nou@adv his@pron1%gen heu@n%pl reden@v2%pr_pl,uS uS u S u Su Sx
Troilus and Criseyde; Book III 95,"Now pale, unto Criseyde, his lady dere",nou@adv pale@adj unto@prep criseyde@n#propn his@pron1%gen ladie@n dere@adj1,u Sx uS uSx u Su Sx
Troilus and Criseyde; Book III 96,With look doun cast and humble yolden chere,with@prep lok@n4 doun@adv casten@v%ppl_abs and@conj humble@adj yelden@v#adj%ppl chere@n1,u S u S u Su Su Sx
Troilus and Criseyde; Book III 97,"Lo, the alderfirste word that him asterte",lo@interj the@def_art alderfirst@adj%sup word@n that@pron him@pron%obj asterten@v%pt_3,u S uSux S u S uSx
Troilus and Criseyde; Book III 98,"Was, twyes, “Mercy, mercy, swete herte!”",ben@v%pt_3 twies@adv merci@n1 merci@n1 swete@adj herte@n,u Su Su Su Su Sx
Troilus and Criseyde; Book III 99,"And stinte a whil, and whan he mighte out bringe",and@conj stinten@v%pt_3 a@indef_art whil@n and@conj whan@adv&conj he@pron1%nom mouen@v3%pt_3 oute@adv bringen@v%inf,u Sx u S u S u Sx u Sx
Troilus and Criseyde; Book III 100,"The nexte word was, “God wot, for I have",the@def_art nexte@adj%sup word@n ben@v%pt_3 god@n1#propn witen@v1%pr_3 for@conj ich@pron%nom haven@v%pr_1,u Su S u S u S u Sx
Troilus and Criseyde; Book III 101,As feithfully as I have had konninge,as@conj feithfulli@adv as@conj ich@pron%nom haven@v%pr_1 haven@v%ppl conninge@ger,u SuS u S ux S uSx
Troilus and Criseyde; Book III 102,"Ben youres, also God my sowle save;",ben@v%ppl youres@pron%pl also@adv god@n1#propn min@pron%gen soule@n saven@v%pr_3,u Su Su S u Su Sx
Troilus and Criseyde; Book III 103,"And shal, til that I, woful wight, be grave.",and@conj shulen@v1%pr_3 til@conj that@part ich@pron%nom woful@adj wight@n ben@v%pr_1 graven@v1%ppl,u S u S u Su S u Sx
Troilus and Criseyde; Book III 104,And though I dar ne can unto yow pleine,and@conj though@conj ich@pron%nom durren@v%pr_1 ne@adv connen@v%pr_1 unto@prep you@pron%pl_obj pleinen@v%inf,u S u S u S uS u Sx
Troilus and Criseyde; Book III 105,"Ywis, I suffre nought the lasse peine.",iwis@adv ich@pron%nom sufferen@v%pr_1 nought@adv the@adv lesse@adj%comp peine@n,uS u Su S u Su Sx
Troilus and Criseyde; Book III 106,"Thus muche as now, O wommanliche wif",thus@adv muche@n as@conj nou@adv o@interj wommanli@adj wif@n,u Sx u S u SuSu S
Troilus and Criseyde; Book III 107,"I may outbringe, and if this yow displese",ich@pron%nom mouen@v3%pr_1 outbringen@v%inf and@conj if@conj this@pron you@pron%pl_obj displesen@v%pr_3,u S uSx u S u S uSx
Troilus and Criseyde; Book III 108,That shal I wreke upon min owne lif,that@pron shulen@v1%pr_1 ich@pron%nom wreken@v%inf upon@prep min@pron%gen ouen@adj lif@n,u S u Sx uS u Su S
Troilus and Criseyde; Book III 109,"Right sone, I trowe, and doon your herte an ese",righte@adv sone@adv ich@pron%nom trouen@v%pr_1 and@conj don@v1%inf your@pron%pl_gen herte@n a@indef_art ese@n,u Sx u Sx u S u Sx u Sx
Troilus and Criseyde; Book III 110,If with my deeth your herte I may apese.,if@conj with@prep min@pron%gen deth@n your@pron%pl_gen herte@n ich@pron%nom mouen@v3%pr_3 appesen@v%inf,u S u S u Sx u S uSx
Troilus and Criseyde; Book III 111,But sin that ye han herd me somwhat seye,but@conj sin@conj that@part ye@pron%pl_nom haven@v%pr_pl heren@v%ppl me@pron2%obj som-what@pron seien@v1%inf,u S u S u S u Su S
Troilus and Criseyde; Book III 112,Now recche I never how sone that I deye.”,nou@adv recchen@v2%pr_1 ich@pron%nom never@adv hou@adv&conj sone@adv that@conj ich@pron%nom dien@v%pr_1,u Sx u Su S ux S u S
Troilus and Criseyde; Book III 113,Therwith his manly sorwe to biholde,ther-with@adv his@pron1%gen manli@adj sorwe@n to@part biholden@v%inf,uS u Su Su S uSx
Troilus and Criseyde; Book III 114,It mighte han maad an herte of stoon to rewe;,hit@pron mouen@v3%pt_3 haven@v%inf maken@v1%ppl a@indef_art herte@n of@prep ston@n to@part reuen@v1%inf,u Sx u S u Sx u S u Sx
Troilus and Criseyde; Book III 115,And Pandare weep as he to watre wolde,and@conj pandare@n#propn wepen@v%pt_3 as@conj he@pron1%nom to@prep water@n willen@v%pt_3,u Sux S u S u Su Sx
Troilus and Criseyde; Book III 116,And poked ever his nece newe and newe,and@conj poken@v1%pt_3 ever@adv his@pron1%gen nece@n neue@adv and@conj neue@adv,u Su Su S ux Sx u Sx
Troilus and Criseyde; Book III 117,"And seide, “Wo bigon ben hertes trewe!",and@conj seien@v1%pt_3 wo@adv bigon@v%ppl ben@v%pr_pl herte@n%pl treu@adj,u Su S uS u Su Sx
Troilus and Criseyde; Book III 118,"For love of God, make of this thing an ende",for@prep love@n1 of@prep god@n1#propn maken@v1%imp of@prep this@gram_adj thing@n a@indef_art ende@n1,u Sx u S ux S u S u Sx
Troilus and Criseyde; Book III 119,"Or slee us bothe at ones, er that ye wende.”",or@conj slen@v%imp us@pron%pl_obj bothe@num_adj at@prep ones@adv er@conj1 that@part ye@pron%pl_nom wenden@v%pr_pl,u S u Sx u Sx u S u Sx
Troilus and Criseyde; Book III 120,"“I? what?” quod she, “By God and by my trouthe",ei@interj what@pron quethen@v%pt_3 she@pron%nom bi@prep god@n1#propn and@conj bi@prep min@pron%gen treuth@n,u S u S u S u S u Sx
Troilus and Criseyde; Book III 121,I noot nought what ye wilne that I seye.”,ich@pron%nom witen@v1%pr_1_neg nought@adv what@pron ye@pron%pl_nom wilnen@v%pr_pl that@pron ich@pron%nom seien@v1%pr_1,u S u S u Su S u S
Troilus and Criseyde; Book III 122,"“I? what?” quod he, “that ye han on him routhe",ei@interj what@pron quethen@v%pt_3 he@pron1%nom that@conj ye@pron%pl_nom haven@v%pr_pl on@prep him@pron%obj reuthe@n,u S u S u S u S u Sx
Troilus and Criseyde; Book III 123,"For Goddes love, and doth him nought to deie.”",for@prep god@n1#propn%gen love@n1 and@conj don@v1%pr_pl him@pron%obj nought@adv to@part dien@v%inf,u Su Sx u S u S u S
Troilus and Criseyde; Book III 124,"“Now thanne thus,” quod she, “I wolde him preye",nou@adv thanne@adv thus@adv quethen@v%pt_3 she@pron%nom ich@pron%nom willen@v%pt_1 him@pron%obj preien@v1%inf,u Su S u S u Sx u S
Troilus and Criseyde; Book III 125,To telle me the fin of his entente;,to@part tellen@v%inf me@pron2%obj the@def_art fin@n2 of@prep his@pron1%gen entente@n,u Su S u S u S uSx
Troilus and Criseyde; Book III 126,Yet wiste I never wel what that he mente.”,yet@adv witen@v1%pt_1 ich@pron%nom never@adv wel@adv what@pron that@pron he@pron1%nom menen@v1%pt_3,u Sx u Su S u S u Sx
Troilus and Criseyde; Book III 127,"“What that I mene, O swete herte dere?”",what@pron that@pron ich@pron%nom menen@v1%pr_1 o@interj swete@adj herte@n dere@adj1,u S u Sx u Su Su Sx
Troilus and Criseyde; Book III 128,"Quod Troilus, “O goodly fresshe free!",quethen@v%pt_3 troilus@n#propn o@interj godli@adj2 fresh@adj fre@adj,u SuS u Su Su S
Troilus and Criseyde; Book III 129,"That, with the stremes of your eyen clere",that@conj with@prep the@def_art strem@n%pl of@prep your@pron%pl_gen eie@n1%pl cler@adj,u S u Su S u Su Sx
Troilus and Criseyde; Book III 130,Ye wolde somtime freendly on me see,ye@pron%pl_nom willen@v%pt_pl som-time@adv frendli@adv on@prep me@pron2%obj sen@v1%inf,u Sx uSu Su S u S
Troilus and Criseyde; Book III 131,And thanne agreën that I may ben he,and@conj thanne@adv agreen@v%inf that@conj ich@pron%nom mouen@v3%pr_1 ben@v%inf he@pron1%nom,u Su Su S u S u S
Troilus and Criseyde; Book III 132,Withoute braunche of vice in any wise,withouten@prep braunch@n of@prep vice@n on@prep ani@gram_adj wise@n2,uSu Sx u Sx u Su Sx
Troilus and Criseyde; Book III 133,In trouthe alwey to doon yow my servise,in@prep treuth@n al-wei@adv to@part don@v1%inf you@pron%pl_obj min@pron%gen servise@n,u Sx uS u S u S uSx
Troilus and Criseyde; Book III 134,As to my lady right and chief resort,as@conj to@prep min@pron%gen ladie@n right@adj and@conj chef@adj resorte@n,u S u Su S u S uS
Troilus and Criseyde; Book III 135,With al my wit and al my diligence,with@prep al@gram_adj min@pron%gen wit@n and@conj al@gram_adj min@pron%gen diligence@n,u S u S u S u SuSx
Troilus and Criseyde; Book III 136,"And I to han, right as yow list, comfort",and@conj ich@pron%nom to@part haven@v%inf righte@adv as@conj you@pron%pl_obj listen@v1%pr_3 comfort@n,u S u S u S u S uS
