headword,infinitive,preterite,past_participle,classification,notes
comen,comen,"com(89), come(15), cam(8), came(2)","come(70), comen(39), ycomen(7), ycome(4), com(3), icomen(2)",strong,known strong verb
crepen,crepen,"creep(4), crepte(1)",cropen(5),strong,known strong verb
crouen,crouen,crew(4),crowe(2),strong,known strong verb
delven,delven,,dolven(2),strong,known strong verb
don,don,"dide(142), did(39), dede(2), dyde(2)","doon(128), don(49), do(10), ydoon(7), ido(1), ydon(1)",strong / irregular,"Don is generally irregular, but this form seems strong"
drauen,drauen,"drow(11), drough(8), drew(1)","drawe(3), ydrawe(2), ydrawen(1), draw(1)",strong,Known strong verb (from skeat but not wiki)
drinken,drinken,"drank(22), dronk(2)","dronken(11), dronke(4)",strong,known strong verb
driven,driven,"droof(8), drof(4)","driven(5), drive(3), dryve(3), dryven(2)",strong,known strong verb
eten,eten,"eet(12), et(1)",eten(5),strong,known strong verb
fallen,fallen,"fel(18), fille(7), fil(2), felle(1), fill(1)","falle(12), fallen(9), yfallen(2)",strong,known strong verb
faren,faren,"ferde(22), ferd(4)","faren(6), ferd(4), fare(2)",strong,known strong verb
fighten,fighten,faught(10),foughten(2),strong,known strong verb
finden,finden,"fond(67), foond(22), found(6), fonde(2), founde(2)","founde(34), founden(17), fond(2), found(2), fonden(1)",strong,known strong verb
flien,flien,"fleigh(4), fley(2), flygh(1), flough(1), flaugh(1)",flowen(2),strong,known strong verb
forberen,forberen,forbar(3),,strong,known
forgon,forgon,,forgon(2),strong,not in list
forsaken,forsaken,"forsook(8), forsok(1)",forsaken(2),strong,Known from skeat
forshapen,forshapen,,forshapen(2),strong,Shapen is strong
forsweren,forsweren,forswor(2),,strong,known strong verb
foryeten,foryeten,"forgat(13), forgate(1), foryat(1)","foryeten(6), forgeten(5), forgete(1)",strong,known strong verb
foryeven,foryeven,foryaf(5),foryeven(2),strong,Known strong verb
freten,freten,,"freten(1), freeten(1)",strong,known strong verb (check!)
geten,geten,gat(2),"geten(6), gete(2), ygeten(1)",strong,known strong verb (check!)
gnauen,gnauen,gnow(1),,strong,Known strong verb
graven,graven,,grave(6),strong,known strong verb (check!)
grouen,grouen,"grew(2), growed(2)","growe(2), growen(2), ygrowen(2)",strong,known strong verb
helpen,helpen,"heelp(4), halp(1)","holpen(14), holpe(2)",strong,known strong verb
heten,heten,"het(1), hette(1)",,strong,known
holden,holden,"held(42), helde(3), heeld(2)","holden(25), holde(10), halde(2)",strong,known strong verb
hongen,hongen,"heng(6), heeng(5), henge(2)",hanged(8),strong,known strong verb
iben,iben,,"ybeen(3), iben(1)",strong,classified by morphological evidence
iberen,iberen,,"yborn(6), yboren(2), ybore(1), iborn(1)",strong,classified by morphological evidence
ifinden,ifinden,,"yfounde(3), founde(1)",strong,classified by morphological evidence
iholden,iholden,,"yholde(2), holden(1), yholden(1)",strong,classified by morphological evidence
iknouen,iknouen,,"yknowen(8), yknowe(2)",strong,known strong verb
irennen,irennen,,yronnen(2),strong,classified by morphological evidence
isen,isen,,"iseye(1), yseyn(1)",strong,classified by morphological evidence
ishapen,ishapen,,yshapen(6),strong,classified by morphological evidence
isouen,isouen,,ysowen(2),strong,classified by morphological evidence
ispeken,ispeken,,"yspoken(2), yspoke(2)",strong,classified by morphological evidence
itaken,itaken,,ytaken(1),strong,classified by morphological evidence
iwaxen,iwaxen,,"ywoxen(4), ywaxen(2)",strong,classified by morphological evidence
iwinnen,iwinnen,,ywonne(4),strong,known strong verb
kerven,kerven,"carf(6), karf(1)","corven(4), korven(2)",strong,known strong verb
knouen,knouen,"knew(148), knewe(12)","knowen(20), knowe(5), know(1)",strong,known strong verb
laughen,laughen,lough(15),lawghed(1),strong,known strong verb
lesen,lesen,,"lorn(12), loren(1)",strong,classified by morphological evidence
leten,leten,"leet(60), let(8), lete(1)","lete(3), leten(1), lat(1)",strong,known strong verb
lien,lien,"lay(6), leigh(1), ley(1), laye(1), lyede(1), lyed(1)","lein(1), leyn(1)",strong,classified by morphological evidence
melten,melten,malt(4),molte(6),strong,known strong verb
misbeden,misbeden,,"misboden(1), mysboden(1)",strong,classified by morphological evidence
misspeken,misspeken,"misspak(1), mysspak(1)",,strong,"Speken is strong, so I think this is too"
oversheten,oversheten,,"overshette(1), overshote(1)",strong,classified by morphological evidence
overtaken,overtaken,"overtoke(1), overtok(1)",,strong,Taken is strong
quaken,quaken,quook(10),,strong,known strong verb
quethen,quethen,quod(1247),,strong,known strong verb
recchen,recchen,"roughte(8), roghte(5), rought(1)",,weak,"Program failed here, pretty sure its weak"
rechen,rechen,raughte(4),,strong,"Program failed here, pretty sure its weak"
rennen,rennen,ran(24),,strong,known strong verb (check!)
reven,reven,"refte(8), rafte(6), raft(1), reft(1)","reft(3), raft(2)",strong,In list as riven
riden,riden,rood(36),riden(12),strong,known strong verb
ringen,ringen,rong(10),,strong,known strong verb
risen,risen,"roos(32), ros(2)","risen(7), rysen(1)",strong,known strong verb
sen,sen,"saw(50), sawgh(22), say(15), sey(10), seigh(3), sawe(2), saugh(1), saigh(1)","seyn(36), seen(10), sene(4), sein(2), seyen(1)",strong,known strong verb
shaken,shaken,shook(4),,strong,known strong verb
shapen,shapen,"shoop(27), shop(5)","shapen(23), shape(6), shapyn(1)",strong,known strong verb
shaven,shaven,,shave(4),strong,known strong verb
shinen,shinen,"shoon(13), shon(2)",,strong,known strong verb
shriven,shriven,,"shriven(1), shryven(1)",strong,known strong verb
singen,singen,"song(22), sang(11), soong(3), songe(2)","songen(4), songe(2)",strong,known strong verb
sinken,sinken,,sonken(4),strong,classified by morphological evidence
sitten,sitten,"satte(3), sat(2), sate(2), set(1), sete(1)",seten(4),strong,In lists
slen,slen,"slow(46), slough(15), slowh(1)","slayn(43), slain(33), yslain(3), yslayn(3), slawen(2), sleyn(2), slaine(1), slayne(1), slawe(1)",strong,known strong verb
slepen,slepen,"sleep(11), slepte(5), slep(3), slept(1), slepe(1)",,strong,known strong verb
smiten,smiten,"smoot(24), smot(4)",smyten(1),strong,known strong verb
souen,souen,,sowe(2),strong,known strong verb
souken,souken,,souked(2),strong,known strong verb
speken,speken,"spak(2), spake(2)","spoken(14), spoke(6)",strong,known strong verb
springen,springen,"sprong(2), sprang(1), sproong(1)",spronge(2),strong,known strong verb
stelen,stelen,"stal(5), stale(2), staal(2), staale(1)","stole(6), stoln(4)",strong,known strong verb
steppen,steppen,,stapen(2),strong,known strong verb
sterven,sterven,starf(12),,strong,known strong verb
stingen,stingen,,stongen(2),strong,known strong verb
stinken,stinken,stank(2),,strong,In lists
stonden,stonden,"stood(100), stod(6), stoode(1), stode(1)",stonden(5),strong,known strong verb
strepen,strepen,,strepen(2),strong,"Not in lists, but seems strong"
striven,striven,"stroof(2), strof(2)",,strong,known strong verb
swellen,swellen,swal(2),,strong,known strong verb
swelten,swelten,swelte(4),,strong,known strong verb
sweren,sweren,"swore(2), swoor(1), swor(1), swer(1)","sworn(11), ysworn(2), yswore(1)",strong,known strong verb
sweten,sweten,swatte(2),,weak,"Program failed here, pretty sure its weak"
swinken,swinken,,swonken(2),strong,known strong verb
taken,taken,"tok(24), toke(5), tooke(5), took(1), i(1)","taken(18), take(15)",strong,known strong verb
throuen,throuen,threw(3),throwen(2),strong,known strong verb
tobresten,tobresten,,tobrosten(2),strong,"This not in lists, but seems strong + atbresten is in lists"
toheuen,toheuen,,tohewen(2),strong,"this not in lists, but seems strong + hewen in lists"
treden,treden,trad(1),troden(2),strong,known strong verb
understonden,understonden,"understood(6), understod(1)",understonde(5),strong,known strong verb
unknouen,unknouen,,"unknowen(5), unknowe(2)",strong,Not in lists but knowen is strong
waken,waken,"wook(8), wok(1)",waked(2),strong,known strong verb
walken,walken,"welk(6), walked(6)",walked(6),strong,known strong verb (check!)
washen,washen,wessh(2),wasshen(2),strong,known strong verb
waxen,waxen,"wex(46), wax(18), weex(5), wexe(1), waxe(1)","woxen(17), waxen(7), wexe(1), woxe(1)",strong,known strong verb (check!)
weilen,weilen,"wayled(2), wailed(1)",,strong,"Wallen in list, I think this is same"
wepen,wepen,"weep(28), wepte(11), wep(3), wept(2), weepe(1)","wopen(4), wept(4), wepen(2)",strong,known strong verb
weren,weren,"wered(14), werede(3)",wered(5),strong,known strong verb (check!)
winnen,winnen,"wan(25), wanne(1)","wonne(11), wonnen(6)",strong,known strong verb
wreken,wreken,wrak(2),ywroke(2),strong,known strong verb
wrien,wrien,"wryed(2), wreigh(1)",,strong,I think this is in lists
wringen,wringen,wrong(6),,strong,known strong verb
writen,writen,"wrot(9), wroot(2)","writen(25), ywriten(7), write(4), written(2), iwriten(2), ywrite(2)",strong,known strong verb
yelden,yelden,,"yolden(3), yolde(1)",strong,Seems strong even though not in list
yeven,yeven,"yaf(122), gaf(3)","yeven(27), yeve(14), yive(3), yyeven(1)",strong,known strong verb
bigon,bigonen,,"bigon(1), bygon(1)",strong / irregular,"Gon is generally irregular, but this form seems strong"
fordon,fordon,,"fordoon(2), fordon(1)",strong / irregular,"Don is generally irregular, but this form seems strong"
undon,undon,undide(2),,strong / irregular,"Don is generally irregular, but this form seems strong"
grinden,grinden,"grinte(1), grynte(1)",grounden(2),strong,known strong verb
herien,herien,harwed(2),"heried(7), yheried(5), heryed(1), iheryed(1), haried(1), haryed(1)",weak,Seems weak
hoten,hoten,"highte(18), hight(4), hette(1)","hight(2), hoote(1)",strong,known strong verb
kennen,kennen,,"kende(1), kend(1)",weak,Seems weak
leden,leden,"ladde(15), ledde(3), lad(1)","lad(11), led(4)",weak,Seems weak
leien,leien,"leyde(23), leide(18), leid(2), laye(1), leye(1)","leyd(7), leid(6), layd(1)",weak,Seems weak
leven,leven,"lefte(19), lafte(6), left(6), laft(1)","left(7), laft(4)",weak,Seems weak
liken,liken,"liked(10), lyked(3), likede(1)",,weak,Seems weak
liven,liven,"lyved(6), lived(4), livede(4), lyvede(2), levede(1)","lived(2), lyved(2), ilyved(1)",weak,Seems weak
losen,losen,"loste(20), lost(2)","lost(95), ylost(5), loste(1)",weak,Seems weak
maken,maken,"made(279), maked(20), maad(6), maade(1), mad(1)","maad(82), maked(32), mad(22), made(5), maden(1)",weak,Seems weak
meten,meten,"mette(41), met(6)","met(11), mette(1), ymet(1)",weak,Weak although it is strong in skeat’s list
mouen,mouen,"mighte(165), myght(24), might(1), myghte(1)",,weak,Seems weak
pleien,pleien,"pleyde(2), pleide(1)","pleyd(4), pleide(1), pleyed(1), played(1), pleid(1)",weak,Seams weak
preien,preien,"preyede(10), preyed(10), preyde(9), preide(8), prayed(3), praid(1), prayede(1), praide(1), preiede(1)","preyed(7), preied(1), prayed(1)",weak,Seems weak
reden,reden,"redde(11), radde(5)","red(13), rad(10)",weak,Seams weak
reinen,reinen,"ron(2), reined(1), reyned(1)",,strong,I think this is vacation of Rin which is in seats list
riven,riven,"roof(1), rof(1)",,strong,known strong verb
seien,seien,"seyde(472), seide(390), seid(47), sayde(8), said(6), saide(3), sayd(2), sayed(1), sayede(1)","seyd(66), seid(57), seide(1), said(1)",weak,Seams weak
siken,siken,"sighte(10), siked(8), syghte(1)",siked(2),weak,Seams weak
spien,spien,"spyed(1), spied(1)",,weak,Seams weak
thinken,thinken,"thoghte(44), thoght(11), thoughte(1), thought(1)",thought(2),weak,"Never appears in inf I think, so weak"
witen,witen,"wiste(116), wist(9), wyste(3), woot(1), wot(1)",wist(28),weak,Seams weak
abaishen,abaishen,,"abaist(2), abayst(2), abasht(1)",weak,classified by morphological evidence
abien,abien,aboughte(2),aboght(2),weak,not in list
accepten,accepten,,accepted(2),weak,classified by morphological evidence
accorden,accorden,"acorded(3), accorded(1)","acorded(13), accorded(5)",weak,classified by morphological evidence
accounten,accounten,acounted(2),,weak,classified by morphological evidence
acheven,acheven,acheved(2),acheved(2),weak,classified by morphological evidence
acursen,acursen,,"acursed(3), acorsed(2)",weak,classified by morphological evidence
adauen,adauen,,adawed(2),weak,classified by morphological evidence (check!)
adden,adden,added(2),,weak,classified by morphological evidence
adouren,adouren,,adoured(1),weak,classified by morphological evidence
adreden,adreden,,"adrad(6), adred(2)",weak,classified by morphological evidence
affraien,affraien,,"affrayed(4), affraied(1)",weak,classified by morphological evidence (check!)
agasten,agasten,,agast(36),weak,classified by morphological evidence
agilten,agilten,"agilte(2), agylte(2)",agilt(1),weak,classified by morphological evidence
agon,agonen,,ago(1),irregular,Gon is irregular
agreven,agreven,,agreved(2),weak,classified by morphological evidence
alteren,alteren,altered(2),,weak,classified by morphological evidence
amenden,amenden,amended(1),amended(8),weak,classified by morphological evidence
anhongen,anhongen,,"anhanged(6), anhonged(2)",weak,classified by morphological evidence
annexen,annexen,,annexed(4),weak,classified by morphological evidence
answeren,answeren,"answerde(155), answerd(8), answered(7), answerede(4)","answered(2), answerd(1)",weak,classified by morphological evidence
apallen,apallen,,"apalled(2), appalled(2)",weak,classified by morphological evidence
apiken,apiken,,apiked(2),weak,classified by morphological evidence
appointen,appointen,"apointed(1), apoynted(1)","apointed(1), apoynted(1)",weak,classified by morphological evidence
apposen,apposen,apposed(2),,weak,classified by morphological evidence
aqueinten,aqueinten,,"aqueinted(1), aqueynted(1)",weak,classified by morphological evidence
aretten,aretten,,"aretted(1), arretted(1)",weak,classified by morphological evidence
arguen,arguen,argued(2),,weak,classified by morphological evidence
argumenten,argumenten,argumented(2),,weak,classified by morphological evidence
ariven,ariven,,"arrived(1), arryved(1), arived(1), aryved(1)",weak,classified by morphological evidence
armen,armen,,armed(7),weak,classified by morphological evidence
arraien,arraien,arrayed(2),"arrayed(11), arayed(3), araied(1)",weak,classified by morphological evidence
asken,asken,"axed(14), asked(10), axede(1)",axed(4),weak,classified by morphological evidence
aslaken,aslaken,,aslaked(2),weak,classified by morphological evidence
aspien,aspien,"aspied(4), espyed(2), aspyed(1), aspyede(1)","espyed(3), espied(2), aspied(1)",weak,not in list
assaien,assaien,,"assayed(11), assaied(1)",weak,classified by morphological evidence
assaillen,assaillen,,"assailled(4), assailed(1), assayled(1)",weak,classified by morphological evidence
assegen,assegen,,asseged(2),weak,classified by morphological evidence
assemblen,assemblen,assembled(2),assembled(6),weak,classified by morphological evidence (check!)
assenten,assenten,,assented(6),weak,classified by morphological evidence
assuren,assuren,assured(2),assured(6),weak,classified by morphological evidence
asterten,asterten,,astert(2),weak,classified by morphological evidence
astonen,astonen,"astoned(1), astonyed(1)",,weak,classified by morphological evidence
astoren,astoren,,astored(2),weak,classified by morphological evidence
auntren,auntren,auntred(2),,weak,classified by morphological evidence
avisen,avisen,,"avised(7), avysed(7)",weak,classified by morphological evidence
banishen,banishen,,"banished(1), banysshed(1)",weak,classified by morphological evidence
bathen,bathen,bathed(3),"bathed(3), ybathed(2)",weak,classified by morphological evidence
bekken,bekken,bekked(2),,weak,classified by morphological evidence
benden,benden,bente(2),bent(2),weak,classified by morphological evidence (check!)
bibben,bibben,,bibbed(2),weak,classified by morphological evidence
bien,bien,"boghte(4), bought(1)","boght(4), bought(2), yboght(1)",weak,not in list
bigilen,bigilen,,"bigiled(7), bigyled(1)",weak,classified by morphological evidence
bijapen,bijapen,,"bijaped(4), byjaped(4)",weak,classified by morphological evidence
bilden,bilden,"bulte(2), bilt(2)",,weak,not in list
bireven,bireven,"birafte(7), berafte(2), biraft(2), byraft(1)","biraft(4), bireved(2)",weak,not in list
birien,birien,"buried(1), buryed(1)","yburied(2), iburied(1), yburyed(1)",weak,not in list
bisechen,bisechen,"bisoughte(5), bysoughte(1)",,weak,not in list
bisegen,bisegen,,biseged(6),weak,classified by morphological evidence
bisetten,bisetten,besette(1),"biset(8), beset(4), byset(2)",weak,not in list
bishetten,bishetten,,bishet(2),weak,classified by morphological evidence
bisien,bisien,"bisied(1), bisyed(1)",,weak,classified by morphological evidence
bistouen,bistouen,,bistowed(6),weak,classified by morphological evidence
bithinken,bithinken,"bethoghte(3), bythought(1), bithoughte(1)",,weak,not in list
bitiden,bitiden,bitidde(1),"bitid(4), betyd(4), betid(3), bitidde(1), bityd(1)",weak,not in list
bitraien,bitraien,betrayed(4),bitrayed(2),weak,classified by morphological evidence
bitraishen,bitraishen,"betraised(1), betraysed(1)","bitraised(2), bitraysed(1)",weak,classified by morphological evidence
biwailen,biwailen,"bewailed(1), bewayled(1)",biwailled(2),weak,classified by morphological evidence
biwreien,biwreien,biwreyed(2),,weak,classified by morphological evidence
biyeten,biyeten,,bigeten(2),weak,Program failed here
blamen,blamen,blamed(2),blamed(1),weak,classified by morphological evidence
blasfemen,blasfemen,,blasphemed(2),weak,classified by morphological evidence
blenchen,blenchen,"bleinte(2), bleynte(2)",,weak,classified by morphological evidence
blenden,blenden,,blent(4),weak,classified by morphological evidence (check!)
bleren,bleren,,blered(4),weak,classified by morphological evidence (check!)
blessen,blessen,blessed(2),"blessed(13), yblessed(4), blissed(2)",weak,classified by morphological evidence
borwen,borwen,borwed(2),borwed(2),weak,classified by morphological evidence
breden,breden,,bred(1),weak,classified by morphological evidence (check!)
brennen,brennen,"brende(12), brente(8)","brent(11), ybrend(4), ybrent(2), brend(1)",weak,classified by morphological evidence
bridelen,bridelen,"bridled(1), bridlede(1)",,weak,classified by morphological evidence
bringen,bringen,"broghte(36), broughte(8), broght(3), brought(3)","broght(31), brought(21), ybrought(1), ybroght(1)",weak,not in list
cacchen,cacchen,"caughte(30), caught(2), kaughte(1)","caught(40), kaught(7), ykaught(1)",weak,classified by morphological evidence
calculen,calculen,"calculed(1), kalkuled(1)",,weak,classified by morphological evidence
callen,callen,called(12),"called(26), ycalled(2)",weak,classified by morphological evidence
capen,capen,caped(1),,weak,classified by morphological evidence
carien,carien,,"caried(6), ycaried(3), ycaryed(1)",weak,classified by morphological evidence
casten,casten,"caste(58), cast(4)","cast(5), casten(2), ycast(2)",weak,not in list
causen,causen,caused(9),,weak,classified by morphological evidence (check!)
cesen,cesen,cessed(6),cessed(2),weak,classified by morphological evidence
chacen,chacen,,chaced(2),weak,classified by morphological evidence
chargen,chargen,charged(4),charged(6),weak,classified by morphological evidence
chasten,chasten,,chasted(2),weak,classified by morphological evidence
chaungen,chaungen,"chaunged(10), changed(2)","chaunged(15), changed(2), ychaunged(2)",weak,classified by morphological evidence
chiden,chiden,chidde(4),,weak,classified by morphological evidence
clappen,clappen,"clapte(5), clapt(1)",,weak,classified by morphological evidence
clauen,clauen,clew(2),yclawed(2),weak,classified by morphological evidence
clepen,clepen,cleped(6),"cleped(38), ycleped(14), clepid(4), icleped(1)",weak,classified by morphological evidence
clippen,clippen,,clipped(2),weak,classified by morphological evidence (check!)
clothen,clothen,cladde(4),"clothed(14), clad(10), yclad(4), yclothed(2)",weak,classified by morphological evidence
colouren,colouren,,coloured(2),weak,classified by morphological evidence
comforten,comforten,,"conforted(2), comforted(1)",weak,classified by morphological evidence
commaunden,commaunden,"comanded(12), comaunded(2)","comanded(8), comaunded(2)",weak,classified by morphological evidence
commenden,commenden,,commended(2),weak,classified by morphological evidence
compleinen,compleinen,"compleyned(2), compleined(1)","compleined(1), compleyned(1)",weak,classified by morphological evidence
completen,completen,,"complet(1), compleet(1)",weak,classified by morphological evidence
conceiven,conceiven,,"conceyved(3), conceived(1)",weak,classified by morphological evidence
concluden,concluden,,concluded(2),weak,classified by morphological evidence
confermen,confermen,,confermed(2),weak,classified by morphological evidence
confounden,confounden,,confounded(2),weak,classified by morphological evidence
conqueren,conqueren,conquered(4),,weak,classified by morphological evidence
conserven,conserven,,conserved(3),weak,classified by morphological evidence
consideren,consideren,considered(3),considered(10),weak,classified by morphological evidence
constreinen,constreinen,,"constreined(3), constreyned(3)",weak,classified by morphological evidence
consumen,consumen,,consumed(1),weak,classified by morphological evidence
contrarien,contrarien,contraried(2),,weak,classified by morphological evidence
conveien,conveien,"conveyed(3), conveied(1)",,weak,classified by morphological evidence
converten,converten,converted(2),converted(4),weak,classified by morphological evidence
corounen,corounen,,"crouned(3), crowned(3), corouned(2), coroned(1)",weak,classified by morphological evidence (check!)
correcten,correcten,,corrected(4),weak,classified by morphological evidence
corrupten,corrupten,,corrupt(2),weak,classified by morphological evidence
costen,costen,"coste(7), cost(1)",,weak,classified by morphological evidence
couchen,couchen,"couched(4), couchede(1)",couched(6),weak,classified by morphological evidence
counseilen,counseilen,"counseilled(1), counseylled(1)",,weak,classified by morphological evidence
counten,counten,counted(2),,weak,classified by morphological evidence
countrefeten,countrefeten,countrefeted(2),,weak,classified by morphological evidence
couplen,couplen,,coupled(1),weak,classified by morphological evidence
coveren,coveren,covered(7),kevered(5),weak,classified by morphological evidence (check!)
creauncen,creauncen,,"creaunced(1), creanced(1)",weak,classified by morphological evidence
crien,crien,"cride(21), cried(11), cryde(5), cryed(1), criede(1)","cried(6), cryd(2)",weak,Not in s.e.e. list
cristnen,cristnen,"cristned(3), cristened(1)",,weak,classified by morphological evidence
curen,curen,,cured(1),weak,classified by morphological evidence (check!)
cutten,cutten,kitte(3),"kut(2), cut(1)",weak,classified by morphological evidence (check!)
dampnen,dampnen,dampned(3),dampned(17),weak,classified by morphological evidence
daswen,daswen,,daswed(2),weak,classified by morphological evidence
dauncen,dauncen,daunced(6),,weak,classified by morphological evidence
daunten,daunten,daunted(1),daunted(1),weak,classified by morphological evidence
deceiven,deceiven,,"deceyved(6), deceived(4)",weak,classified by morphological evidence
declaren,declaren,declared(2),declared(2),weak,classified by morphological evidence
defacen,defacen,,defaced(2),weak,classified by morphological evidence
defenden,defenden,defended(1),,weak,classified by morphological evidence
defoulen,defoulen,,defouled(9),weak,classified by morphological evidence
deien,deien,dyed(2),"diyd(1), dyed(1)",weak,classified by morphological evidence
deinen,deinen,"deigned(4), deyned(1)","deined(1), deyned(1)",weak,classified by morphological evidence (check!)
delen,delen,,deled(2),weak,classified by morphological evidence
deliberen,deliberen,,delibered(2),weak,classified by morphological evidence
deliten,deliten,delited(2),,weak,classified by morphological evidence
deliveren,deliveren,"delivered(1), delyvered(1)",delivered(2),weak,classified by morphological evidence
demen,demen,"demed(9), demede(1)",demed(2),weak,classified by morphological evidence
departen,departen,departed(2),departed(21),weak,classified by morphological evidence
depeinten,depeinten,,"depeynted(6), depeinted(5)",weak,classified by morphological evidence
deriven,deriven,,"derived(1), dirryved(1)",weak,classified by morphological evidence
descenden,descenden,descended(2),descended(5),weak,classified by morphological evidence
descriven,descriven,,"discrived(1), discryved(1)",weak,classified by morphological evidence
deserven,deserven,,"deserved(8), disserved(1)",weak,classified by morphological evidence
desiren,desiren,desired(4),desired(1),weak,classified by morphological evidence
despeiren,despeiren,,"despeired(5), dispeired(1), despeyred(1)",weak,classified by morphological evidence
destroien,destroien,destroyed(4),"destroyed(10), destroied(2)",weak,classified by morphological evidence
dien,dien,"deide(7), deyde(6), died(5), dyde(3), deyede(2), deied(2), deid(1), dyed(1)",dyed(1),weak,not in list
dighten,dighten,,"ydight(2), dight(2)",weak,classified by morphological evidence
discoveren,discoveren,,discovered(2),weak,classified by morphological evidence
discussen,discussen,,discussed(2),weak,classified by morphological evidence
disfiguren,disfiguren,,disfigured(2),weak,classified by morphological evidence
disgisen,disgisen,,disgised(2),weak,classified by morphological evidence
disparagen,disparagen,,disparaged(2),weak,classified by morphological evidence
dispenden,dispenden,,despended(2),weak,classified by morphological evidence
displesen,displesen,,displesed(3),weak,classified by morphological evidence
disposen,disposen,disposed(2),disposed(6),weak,classified by morphological evidence
disputen,disputen,disputed(2),,weak,classified by morphological evidence
distourben,distourben,,destourbed(1),weak,classified by morphological evidence
distroublen,distroublen,,destroubled(2),weak,classified by morphological evidence
dividen,dividen,,"divided(1), dyvyded(1)",weak,classified by morphological evidence
dokken,dokken,,dokked(2),weak,classified by morphological evidence
drecchen,drecchen,,drecched(2),weak,classified by morphological evidence
dreden,dreden,"dredde(6), dradde(1), dred(1)",,weak,not in list
dremen,dremen,dremed(8),,weak,classified by morphological evidence (check!)
drenchen,drenchen,"dreint(1), dreinte(1)","dreynt(5), dreint(2), dreinte(1), dreynte(1), drent(1)",weak,not in list
dressen,dressen,"dressed(5), dressede(1)",dressed(2),weak,classified by morphological evidence
drounen,drounen,,drowned(1),weak,classified by morphological evidence (check!)
durren,durren,"dorste(41), durste(10), dorst(4), durst(1)",,weak,not in list
dusken,dusken,dusked(2),,weak,classified by morphological evidence
dwellen,dwellen,"dwelte(12), dwelled(9), duelled(1)","dwelt(4), dwelled(4)",weak,not in list
eilen,eilen,"eyled(1), eiled(1)",,weak,classified by morphological evidence
eken,eken,,eched(2),weak,classified by morphological evidence
embosen,embosen,,embosed(2),weak,classified by morphological evidence
embracen,embracen,,embraced(1),weak,classified by morphological evidence
embrouden,embrouden,,embrouded(2),weak,classified by morphological evidence
empoisounen,empoisounen,,"empoysoned(2), empoisoned(1)",weak,classified by morphological evidence
emprenten,emprenten,,"emprented(4), enprented(2)",weak,classified by morphological evidence
enchaunten,enchaunten,,enchanted(2),weak,classified by morphological evidence
enclinen,enclinen,,"enclined(3), enclyned(3)",weak,classified by morphological evidence
enclosen,enclosen,,enclosed(4),weak,classified by morphological evidence
encombren,encombren,,encombred(2),weak,classified by morphological evidence
encresen,encresen,"encresed(1), encresede(1)",encressed(4),weak,classified by morphological evidence
enden,enden,,ended(7),weak,classified by morphological evidence
enduren,enduren,endured(2),endured(2),weak,classified by morphological evidence
