TYPE,headword,word,tag,oxford_count,riverside_count,oxford_files,riverside_files,oxford_contexts,riverside_contexts
BOTH,avauncen,avaunce,v%pr_3,1,1,data/oxford_txts/TC3_oxford.txt,data/riverside_cats/TC3_riv.cat,Troilus and Criseyde; Book III 1386: And every lover in his trouthe avaunce!,Troilus and Criseyde; Book III 1386: And every lovere in his trouthe avaunce
BOTH,avaunten,avante,v%inf,1,1,data/oxford_txts/WBT_oxford.txt,data/riverside_cats/WBT_riv.cat,"The Wife of Bath's Tale 1014: “Than,” quod she, “I dar me wel avante,°",The Wife of Bath's Tale 1014: Thanne quod she I dar me wel avante
BOTH,avaunten,avaunte,v%inf,1,1,data/oxford_txts/HF_oxford.txt,data/riverside_cats/HF_riv.cat,"House of Fame 1788: Or do favour, yow to avaunte!°",House of Fame 1788: Or do yow favour yow to avaunte
BOTH,avaunten,avaunte,v%pr_1,1,1,data/oxford_txts/WBPro_oxford.txt,data/riverside_cats/WBPro_riv.cat,"The Wife of Bath's Prologue 403: And thus of o thing I avaunte me,°",The Wife of Bath's Prologue 403: And thus of o thyng I avaunte me
OXFORD,avisen,avis,v%pr_1,1,0,data/oxford_txts/BD_oxford.txt,,Book of the Duchess 697: For whan that I avis me° wel,
BOTH,avisen,avise,v%imp,2,1,data/oxford_txts/LGW_FPro_oxford.txt; data/oxford_txts/RvT_oxford.txt,data/riverside_cats/LGW_FPro_riv.cat,"The Legend of Good Women; Prologue F 335: Of° thin answere avise thee° right wele; | The Reeve's Tale 4188: ¶This John answerde, “Alain, avise thee,°",The Legend of Good Women; Prologue F 335: Of thyn answere avise the ryght weel
BOTH,avisen,avise,v%pr_2,1,1,data/oxford_txts/LGW_FPro_oxford.txt,data/riverside_cats/LGW_FPro_riv.cat,The Legend of Good Women; Prologue F 509: If it be so that thou avise thee.°,The Legend of Good Women; Prologue F 509: If yt be so that thou avise the
RIVERSIDE,avisen,avyse,v%imp,0,1,,data/riverside_cats/RvT_riv.cat,,The Reeve's Tale 4188: This John answerde Alayn avyse thee
BOTH,awaken,awake,v%imp,6,6,data/oxford_txts/TC1_oxford.txt; data/oxford_txts/TC2_oxford.txt; data/oxford_txts/HF_oxford.txt; data/oxford_txts/MancPro_oxford.txt,data/riverside_cats/MancPro_riv.cat; data/riverside_cats/TC2_riv.cat; data/riverside_cats/BD_riv.cat; data/riverside_cats/TC1_riv.cat,"Troilus and Criseyde; Book II 545: And seide, ‘Awake, ye slepen al to longe; | Prologue to the Manciple's Tale 15: Awake, thou Cook,” quod he, “God yeve° thee sorwe | House of Fame 556: In mannes vois, and seide, “Awake!",Troilus and Criseyde; Book II 545: And seyde Awake ye slepen al to longe | Prologue to the Manciple's Tale 15: Awake thou Cook quod he God yeve thee sorwe | Book of the Duchess 181: Awake quod he whoo ys lyth there
BOTH,awaken,awake,v%pr_3,1,1,data/oxford_txts/LGW_oxford.txt,data/riverside_cats/LGW_riverside_reordered.cat,100-ch 1791: Or if thou any creature awake,100-ch 1791: Or if there any creature awake
BOTH,awaken,awaked,v%ppl,1,1,data/oxford_txts/MerT_oxford.txt,data/riverside_cats/MerT_riv.cat,"The Merchant's Tale 1957: That sleep,° til that the coughe hath him awaked;",The Merchant's Tale 1957: That sleep til that the coughe hath hym awaked
BOTH,awarden,awarde,v%pr_1,1,1,data/oxford_txts/PhyT_oxford.txt,data/riverside_cats/PhyT_riv.cat,"The Physician's Tale 202: The cherl shal have his thral, this I awarde.”°",The Physician's Tale 202: The cherl shal have his thral this I awarde
OXFORD,baiten,baite,v%inf,1,0,data/oxford_txts/MLT_oxford.txt,,The Man of Law's Tale 466: On many a sory° meel now may she baite;°,
RIVERSIDE,baiten,bayte,v%inf,0,1,,data/riverside_cats/MLT_riv.cat,,The Man of Law's Tale 466: On many a sory meel now may she bayte
BOTH,baptisen,baptise,v%imp,1,1,data/oxford_txts/SNT_oxford.txt,data/riverside_cats/SNT_riv.cat,"The Second Nun's Tale 299: Go with thy brother now, and thee baptise",The Second Nun's Tale 299: Go with thy brother now and thee baptise
BOTH,beden,bede,v%inf,5,2,data/oxford_txts/ABC_oxford.txt; data/oxford_txts/TC4_oxford.txt; data/oxford_txts/CYT_oxford.txt; data/oxford_txts/HF_oxford.txt; data/oxford_txts/TC5_oxford.txt,data/riverside_cats/TC5_riv.cat; data/riverside_cats/HF_riv.cat,"The Canon's Yeoman's Tale 1065: ¶Lo, how this theef° coude his servise bede!° | ABC 110: Of hevene and erthe, our bille° up for to bede.° | Troilus and Criseyde; Book IV 1105: A man may al by time his nekke bede",House of Fame 32: That no man may hym bote bede | Troilus and Criseyde; Book V 185: And that hym list his frendshipe hire to bede
BOTH,beden,bede,v%pr_1,1,1,data/oxford_txts/Anelida_oxford.txt,data/riverside_cats/Anelida_riv.cat,Anelida and Arcite 304:     And if I unto yow min othes° bede°,Anelida and Arcite 304: And if that I to yow myne othes bede
OXFORD,beden,bede,v%pr_pl,1,0,data/oxford_txts/ClT_oxford.txt,,The Clerk's Tale 360: Am I to thilke° honour that ye me bede;°,
