headword,word,tag,line_number,filename,context,text_type,source_file
ben,be,v%imp,The Shipman's Tale 243,data/oxford_txts/ShipT_oxford.txt,"And for to kepe our good° be curious,°",OXFORD,ShipT_gui_complete.csv
governen,governe,v%imp,The Shipman's Tale 244,data/oxford_txts/ShipT_oxford.txt,And honestly governe wel our hous.,OXFORD,ShipT_gui_complete.csv
willen,wol,v%pr_pl,The Shipman's Tale 258,data/oxford_txts/ShipT_oxford.txt,That wel I see to Brugges wol ye go.,OXFORD,ShipT_gui_complete.csv
preien,pray,v%pr_1,The Shipman's Tale 260,data/oxford_txts/ShipT_oxford.txt,"I pray yow, cosin, wisly that ye ride;",OXFORD,ShipT_gui_complete.csv
willen,wol,v%pr_pl,The Shipman's Tale 267,data/oxford_txts/ShipT_oxford.txt,That ye me wol comande in any wise,OXFORD,ShipT_gui_complete.csv
willen,wol,v%pr_pl,The Shipman's Tale 268,data/oxford_txts/ShipT_oxford.txt,"It shal be doon, right as ye wol devise.°",OXFORD,ShipT_gui_complete.csv
preien,prey,v%inf,The Shipman's Tale 270,data/oxford_txts/ShipT_oxford.txt,I wolde prey yow; for to lene° me,OXFORD,ShipT_gui_complete.csv
shulen,shal,v%pr_1,The Shipman's Tale 275,data/oxford_txts/ShipT_oxford.txt,I shal nat faille seurly of° my day,OXFORD,ShipT_gui_complete.csv
mouen,may,v%pr_pl,The Shipman's Tale 289,data/oxford_txts/ShipT_oxford.txt,We may creaunce° whil we have a name,OXFORD,ShipT_gui_complete.csv
comen,denis,v%ppl,The Shipman's Tale 308,data/oxford_txts/ShipT_oxford.txt,To Seint Denis ycomen is daun John,OXFORD,ShipT_gui_complete.csv
haven,have,v%imp,The Shipman's Tale 320,data/oxford_txts/ShipT_oxford.txt,"And bad the meinee° “Farwel, have good day!”",OXFORD,ShipT_gui_complete.csv
don,doon,v%pr_pl,The Shipman's Tale 341,data/oxford_txts/ShipT_oxford.txt,As freendes doon whan they ben met yfere.°,OXFORD,ShipT_gui_complete.csv
ben,am,v%pr_1,The Shipman's Tale 349,data/oxford_txts/ShipT_oxford.txt,"Daun John answerde, “Certes, I am fain°",OXFORD,ShipT_gui_complete.csv
ben,ar,v%pr_pl,The Shipman's Tale 350,data/oxford_txts/ShipT_oxford.txt,That ye in hele° ar comen hoom again.,OXFORD,ShipT_gui_complete.csv
shulen,shold,v%pt_pl,The Shipman's Tale 352,data/oxford_txts/ShipT_oxford.txt,"Of twenty thousand sheeld shold ye nat misse,°",OXFORD,ShipT_gui_complete.csv
lenen,lent,v%pt_pl,The Shipman's Tale 354,data/oxford_txts/ShipT_oxford.txt,Lent me gold; and as I can and may,OXFORD,ShipT_gui_complete.csv
connen,can,v%pr_1,The Shipman's Tale 359,data/oxford_txts/ShipT_oxford.txt,By certein toknes° that I can yow telle.,OXFORD,ShipT_gui_complete.csv
mouen,may,v%pr_1,The Shipman's Tale 360,data/oxford_txts/ShipT_oxford.txt,"Now, by your leve, I may no lenger dwelle,°",OXFORD,ShipT_gui_complete.csv
witen,woot,v%pr_pl,The Shipman's Tale 385,data/oxford_txts/ShipT_oxford.txt,"And woot ye why? by God, as that I gesse",OXFORD,ShipT_gui_complete.csv
haven,han,v%pr_pl,The Shipman's Tale 386,data/oxford_txts/ShipT_oxford.txt,That ye han maad° a maner straungenesse°,OXFORD,ShipT_gui_complete.csv
haven,han,v%inf,The Shipman's Tale 388,data/oxford_txts/ShipT_oxford.txt,"Ye sholde han warned me, er° I had gon",OXFORD,ShipT_gui_complete.csv
preien,pray,v%pr_1,The Shipman's Tale 395,data/oxford_txts/ShipT_oxford.txt,"I pray thee, wif, ne do namoore so;",OXFORD,ShipT_gui_complete.csv
defien,defy,v%pr_1,The Shipman's Tale 402,data/oxford_txts/ShipT_oxford.txt,"“Mary, I defy° the false monk, daun John!",OXFORD,ShipT_gui_complete.csv
kepen,keep,v%pr_1,The Shipman's Tale 403,data/oxford_txts/ShipT_oxford.txt,I keep nat of° hise toknes° nevere a deel;,OXFORD,ShipT_gui_complete.csv
don,doon,v%inf,The Shipman's Tale 408,data/oxford_txts/ShipT_oxford.txt,"To doon therwith min honour and my prow,°",OXFORD,ShipT_gui_complete.csv
answeren,answer,v%inf,The Shipman's Tale 412,data/oxford_txts/ShipT_oxford.txt,"I wol answer yow shortly, to the point.",OXFORD,ShipT_gui_complete.csv
haven,han,v%pr_pl,The Shipman's Tale 413,data/oxford_txts/ShipT_oxford.txt,Ye han mo slakker° dettours than am I!,OXFORD,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 414,data/oxford_txts/ShipT_oxford.txt,For I wol pay yow wel and redily,OXFORD,ShipT_gui_complete.csv
paien,pay,v%inf,The Shipman's Tale 414,data/oxford_txts/ShipT_oxford.txt,For I wol pay yow wel and redily,OXFORD,ShipT_gui_complete.csv
ben,am,v%pr_1,The Shipman's Tale 416,data/oxford_txts/ShipT_oxford.txt,"I am your wif; score it upon my taille,°",OXFORD,ShipT_gui_complete.csv
shulen,shal,v%pr_1,The Shipman's Tale 417,data/oxford_txts/ShipT_oxford.txt,"And I shal paye, as soone as evere I may.",OXFORD,ShipT_gui_complete.csv
ben,be,v%imp,The Shipman's Tale 422,data/oxford_txts/ShipT_oxford.txt,"As be nat wrooth,° but lat us laughe and pleye.",OXFORD,ShipT_gui_complete.csv
shulen,shal,v%pr_pl,The Shipman's Tale 423,data/oxford_txts/ShipT_oxford.txt,Ye shal my joly° body have to wedde;°,OXFORD,ShipT_gui_complete.csv
willen,wol,v%pr_1,The Shipman's Tale 424,data/oxford_txts/ShipT_oxford.txt,"By God, I wol nat pay yow but abedde.",OXFORD,ShipT_gui_complete.csv
paien,pay,v%inf,The Shipman's Tale 424,data/oxford_txts/ShipT_oxford.txt,"By God, I wol nat pay yow but abedde.",OXFORD,ShipT_gui_complete.csv
ben,be,v%imp,The Shipman's Tale 431,data/oxford_txts/ShipT_oxford.txt,"But, by thy lif, ne be namoor so large;°",OXFORD,ShipT_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Tale 878,data/oxford_txts/WBT_oxford.txt,Wommen may go now saufly up and doun,OXFORD,WBT_gui_complete.csv
don,doon,v%inf,The Wife of Bath's Tale 881,data/oxford_txts/WBT_oxford.txt,And he ne wol doon hem but dishonour.,OXFORD,WBT_gui_complete.csv
haven,han,v%inf,The Wife of Bath's Tale 892,data/oxford_txts/WBT_oxford.txt,"By cours of lawe, and sholde han lost his heed",OXFORD,WBT_gui_complete.csv
chesen,chees,v%inf,The Wife of Bath's Tale 898,data/oxford_txts/WBT_oxford.txt,"To chees,° whether she wolde him save or spille.°",OXFORD,WBT_gui_complete.csv
graunten,grant,v%pr_1,The Wife of Bath's Tale 904,data/oxford_txts/WBT_oxford.txt,"I grant thee lif, if thou canst tellen me",OXFORD,WBT_gui_complete.csv
ben,be,v%imp,The Wife of Bath's Tale 906,data/oxford_txts/WBT_oxford.txt,"Be war,° and keep thy nekke-boon from iren.°",OXFORD,WBT_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Tale 931,data/oxford_txts/WBT_oxford.txt,"He gooth ful ny° the sothe,° I wol nat lie;",OXFORD,WBT_gui_complete.csv
shulen,shal,v%pr_1,The Wife of Bath's Tale 932,data/oxford_txts/WBT_oxford.txt,A man shal winne us best with flaterie;,OXFORD,WBT_gui_complete.csv
seien,seyn,v%pr_pl,The Wife of Bath's Tale 935,data/oxford_txts/WBT_oxford.txt,"¶And somme seyn, how that we loven best",OXFORD,WBT_gui_complete.csv
willen,wol,v%pr_pl,The Wife of Bath's Tale 944,data/oxford_txts/WBT_oxford.txt,"We wol° been holden° wise, and clene of sinne.°",OXFORD,WBT_gui_complete.csv
seien,seyn,v%pr_pl,The Wife of Bath's Tale 945,data/oxford_txts/WBT_oxford.txt,"¶And somme seyn, that greet delit han we",OXFORD,WBT_gui_complete.csv
haven,han,v%pr_pl,The Wife of Bath's Tale 945,data/oxford_txts/WBT_oxford.txt,"¶And somme seyn, that greet delit han we",OXFORD,WBT_gui_complete.csv
haven,han,v%inf,The Wife of Bath's Tale 963,data/oxford_txts/WBT_oxford.txt,To make hir housbonde han so foul a name;,OXFORD,WBT_gui_complete.csv
biwreien,biwreie,v%imp,The Wife of Bath's Tale 974,data/oxford_txts/WBT_oxford.txt,"“Biwreie° me nat, thou water, with thy soun,”",OXFORD,WBT_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Tale 979,data/oxford_txts/WBT_oxford.txt,"Heer may ye se, thogh we a time abide,°",OXFORD,WBT_gui_complete.csv
connen,can,v%pr_pl,The Wife of Bath's Tale 980,data/oxford_txts/WBT_oxford.txt,"Yet out it moot,° we can no conseil° hide;",OXFORD,WBT_gui_complete.csv
willen,wol,v%pr_pl,The Wife of Bath's Tale 981,data/oxford_txts/WBT_oxford.txt,The remenant of the tale if ye wol heere,OXFORD,WBT_gui_complete.csv
comen,com,v%inf,The Wife of Bath's Tale 984,data/oxford_txts/WBT_oxford.txt,Whan that he saugh he might nat com therby,OXFORD,WBT_gui_complete.csv
seien,sey,v%inf,The Wife of Bath's Tale 985,data/oxford_txts/WBT_oxford.txt,"This is to sey, what wommen loven moost",OXFORD,WBT_gui_complete.csv
comen,com,v%ppl,The Wife of Bath's Tale 988,data/oxford_txts/WBT_oxford.txt,"The day was com that hoomward moste he tourne,°",OXFORD,WBT_gui_complete.csv
connen,can,v%pr_1,The Wife of Bath's Tale 1006,data/oxford_txts/WBT_oxford.txt,"“I nam but deed,° but if° that I can seyn",OXFORD,WBT_gui_complete.csv
connen,coud,v%pt_pl,The Wife of Bath's Tale 1008,data/oxford_txts/WBT_oxford.txt,"Coud ye me wisse,° I wold wel quit your hire.”°",OXFORD,WBT_gui_complete.csv
quiten,quit,v%inf,The Wife of Bath's Tale 1008,data/oxford_txts/WBT_oxford.txt,"Coud ye me wisse,° I wold wel quit your hire.”°",OXFORD,WBT_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Tale 1012,data/oxford_txts/WBT_oxford.txt,And I wol telle it yow er it be night.”,OXFORD,WBT_gui_complete.csv
haven,have,v%imp,The Wife of Bath's Tale 1013,data/oxford_txts/WBT_oxford.txt,"¶“Have heer my trouthe,” quod the knight, “I grante.”",OXFORD,WBT_gui_complete.csv
durren,dar,v%pr_1,The Wife of Bath's Tale 1014,data/oxford_txts/WBT_oxford.txt,"“Than,” quod she, “I dar me wel avante,°",OXFORD,WBT_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Tale 1015,data/oxford_txts/WBT_oxford.txt,"Thy lif is sauf, for I wol stonde therby",OXFORD,WBT_gui_complete.csv
seien,sey,v%inf,The Wife of Bath's Tale 1019,data/oxford_txts/WBT_oxford.txt,"That dar sey nay, of that I shal thee teche;",OXFORD,WBT_gui_complete.csv
shulen,shal,v%pr_1,The Wife of Bath's Tale 1019,data/oxford_txts/WBT_oxford.txt,"That dar sey nay, of that I shal thee teche;",OXFORD,WBT_gui_complete.csv
ben,am,v%pr_1,The Wife of Bath's Tale 1042,data/oxford_txts/WBT_oxford.txt,"Doth as yow list,° I am here at your wille.”",OXFORD,WBT_gui_complete.csv
contrarien,contraried,v%pt_pl,The Wife of Bath's Tale 1044,data/oxford_txts/WBT_oxford.txt,"Ne widwe, that contraried° that he saide",OXFORD,WBT_gui_complete.csv
seien,sey,v%pr_1,The Wife of Bath's Tale 1057,data/oxford_txts/WBT_oxford.txt,"If I sey fals, sey nay, upon thy fey!”",OXFORD,WBT_gui_complete.csv
witen,woot,v%pr_1,The Wife of Bath's Tale 1059,data/oxford_txts/WBT_oxford.txt,I woot right wel that swich was my biheste.°,OXFORD,WBT_gui_complete.csv
seien,sey,v%inf,The Wife of Bath's Tale 1073,data/oxford_txts/WBT_oxford.txt,"¶Now wolden som men sey, paraventure",OXFORD,WBT_gui_complete.csv
don,do,v%pr_1,The Wife of Bath's Tale 1074,data/oxford_txts/WBT_oxford.txt,"That, for my necligence, I do no cure°",OXFORD,WBT_gui_complete.csv
seien,sey,v%pr_1,The Wife of Bath's Tale 1078,data/oxford_txts/WBT_oxford.txt,"I sey, ther nas no joy ne feste at al",OXFORD,WBT_gui_complete.csv
ben,am,v%pr_1,The Wife of Bath's Tale 1091,data/oxford_txts/WBT_oxford.txt,I am your owne love and eek° your wif;,OXFORD,WBT_gui_complete.csv
ben,am,v%pr_1,The Wife of Bath's Tale 1092,data/oxford_txts/WBT_oxford.txt,"I am she, which that saved hath your lif;",OXFORD,WBT_gui_complete.csv
claimen,claim,v%pr_pl,The Wife of Bath's Tale 1120,data/oxford_txts/WBT_oxford.txt,"For which we claim to been of heigh parage,°",OXFORD,WBT_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Tale 1121,data/oxford_txts/WBT_oxford.txt,"Yet may they nat biquethe, for nothing,°",OXFORD,WBT_gui_complete.csv
hoten,highte,v%pt_3,The Wife of Bath's Tale 1126,data/oxford_txts/WBT_oxford.txt,"That highte° Dant, speken in this sentence;°",OXFORD,WBT_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Tale 1131,data/oxford_txts/WBT_oxford.txt,For of our eldres may we nothing claime,OXFORD,WBT_gui_complete.csv
willen,wold,v%pt_pl,The Wife of Bath's Tale 1136,data/oxford_txts/WBT_oxford.txt,"Privee ne apert,° than wold they never fine°",OXFORD,WBT_gui_complete.csv
shitten,shet,v%inf,The Wife of Bath's Tale 1141,data/oxford_txts/WBT_oxford.txt,And lat men shet the dores and go thenne;°,OXFORD,WBT_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Tale 1146,data/oxford_txts/WBT_oxford.txt,"¶“ ‘Heer may ye see wel, how that genterie°",OXFORD,WBT_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Tale 1150,data/oxford_txts/WBT_oxford.txt,"For, God it woot,° men may wel often finde",OXFORD,WBT_gui_complete.csv
haven,han,v%inf,The Wife of Bath's Tale 1152,data/oxford_txts/WBT_oxford.txt,And he that wol han pris of° his gentrie,OXFORD,WBT_gui_complete.csv
shulen,shul,v%pr_pl,The Wife of Bath's Tale 1169,data/oxford_txts/WBT_oxford.txt,"Ther shul ye seen expres° that it no drede is,°",OXFORD,WBT_gui_complete.csv
graunten,grant,v%inf,The Wife of Bath's Tale 1174,data/oxford_txts/WBT_oxford.txt,Grant me grace to liven vertuously.,OXFORD,WBT_gui_complete.csv
understonden,understond,v%inf,The Wife of Bath's Tale 1181,data/oxford_txts/WBT_oxford.txt,"May understond that Jesus, heven king",OXFORD,WBT_gui_complete.csv
haven,han,v%inf,The Wife of Bath's Tale 1188,data/oxford_txts/WBT_oxford.txt,For he wolde han that° is nat in his might.,OXFORD,WBT_gui_complete.csv
seien,seyn,v%pr_pl,The Wife of Bath's Tale 1210,data/oxford_txts/WBT_oxford.txt,"Seyn that men sholde an old wight° doon favour,°",OXFORD,WBT_gui_complete.csv
don,doon,v%inf,The Wife of Bath's Tale 1210,data/oxford_txts/WBT_oxford.txt,"Seyn that men sholde an old wight° doon favour,°",OXFORD,WBT_gui_complete.csv
seien,sey,v%pr_pl,The Wife of Bath's Tale 1213,data/oxford_txts/WBT_oxford.txt,"¶“Now ther° ye sey, that I am foul and old",OXFORD,WBT_gui_complete.csv
ben,am,v%pr_1,The Wife of Bath's Tale 1213,data/oxford_txts/WBT_oxford.txt,"¶“Now ther° ye sey, that I am foul and old",OXFORD,WBT_gui_complete.csv
dreden,drede,v%imp,The Wife of Bath's Tale 1214,data/oxford_txts/WBT_oxford.txt,Than drede you noght to been a cokewold;°,OXFORD,WBT_gui_complete.csv
knouen,know,v%pr_1,The Wife of Bath's Tale 1217,data/oxford_txts/WBT_oxford.txt,"¶“But nathelees, sin I know your delit",OXFORD,WBT_gui_complete.csv
shulen,shal,v%pr_1,The Wife of Bath's Tale 1218,data/oxford_txts/WBT_oxford.txt,I shal fulfill your worldly° appetit.,OXFORD,WBT_gui_complete.csv
ful-fillen,fulfill,v%inf,The Wife of Bath's Tale 1218,data/oxford_txts/WBT_oxford.txt,I shal fulfill your worldly° appetit.,OXFORD,WBT_gui_complete.csv
haven,han,v%inf,The Wife of Bath's Tale 1220,data/oxford_txts/WBT_oxford.txt,To han me foul and old til that I deie,OXFORD,WBT_gui_complete.csv
haven,han,v%inf,The Wife of Bath's Tale 1223,data/oxford_txts/WBT_oxford.txt,Or elles ye wol han me yong and fair,OXFORD,WBT_gui_complete.csv
taken,tak,v%inf,The Wife of Bath's Tale 1224,data/oxford_txts/WBT_oxford.txt,And tak your aventure° of the repair°,OXFORD,WBT_gui_complete.csv
putten,put,v%pr_1,The Wife of Bath's Tale 1231,data/oxford_txts/WBT_oxford.txt,I put me in your wise governance;,OXFORD,WBT_gui_complete.csv
don,do,v%pr_1,The Wife of Bath's Tale 1234,data/oxford_txts/WBT_oxford.txt,I do no fors° the wheither° of the two;,OXFORD,WBT_gui_complete.csv
mouen,may,v%pr_1,The Wife of Bath's Tale 1237,data/oxford_txts/WBT_oxford.txt,"“Sin I may chese, and governe as me lest?”°",OXFORD,WBT_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Tale 1240,data/oxford_txts/WBT_oxford.txt,"For, by my trouthe, I wol be to yow bothe",OXFORD,WBT_gui_complete.csv
seien,seyn,v%inf,The Wife of Bath's Tale 1241,data/oxford_txts/WBT_oxford.txt,"This is to seyn, ye, bothe fair and good.",OXFORD,WBT_gui_complete.csv
preien,prey,v%pr_1,The Wife of Bath's Tale 1242,data/oxford_txts/WBT_oxford.txt,"I prey to God that I mot sterven wood,°",OXFORD,WBT_gui_complete.csv
moten,mot,v%pr_1,The Wife of Bath's Tale 1242,data/oxford_txts/WBT_oxford.txt,"I prey to God that I mot sterven wood,°",OXFORD,WBT_gui_complete.csv
willen,wol,v%pr_pl,The Wife of Bath's Tale 1262,data/oxford_txts/WBT_oxford.txt,That wol not be governed by hir wives;,OXFORD,WBT_gui_complete.csv
knouen,know,v%pr_1,The Merchant's Prologue 1214,data/oxford_txts/MerPro_oxford.txt,"I know ynogh, on even° and amorwe,”°",OXFORD,MerPro_gui_complete.csv
trouen,trow,v%pr_1,The Merchant's Prologue 1216,data/oxford_txts/MerPro_oxford.txt,"That° wedded been, I trow° that it be so.",OXFORD,MerPro_gui_complete.csv
durren,dar,v%pr_1,The Merchant's Prologue 1220,data/oxford_txts/MerPro_oxford.txt,"She wolde him overmacche,° I dar wel swere.",OXFORD,MerPro_gui_complete.csv
assaien,assaye,v%imp,The Merchant's Prologue 1229,data/oxford_txts/MerPro_oxford.txt,"Assaye° whoso° wol, and he shal finde",OXFORD,MerPro_gui_complete.csv
preien,pray,v%pr_1,The Merchant's Prologue 1242,data/oxford_txts/MerPro_oxford.txt,Ful hertely° I pray yow telle us part.”,OXFORD,MerPro_gui_complete.csv
willen,wol,v%pr_1,100-ch 623,data/oxford_txts/LGW_oxford.txt,"And al the remenant,° I wol lete it slippe.°",OXFORD,LGW_gui_complete.csv
leten,let,v%pr_1,100-ch 628,data/oxford_txts/LGW_oxford.txt,"To ship they wente, and thus I let hem saile.",OXFORD,LGW_gui_complete.csv
willen,wol,v%pr_1,100-ch 629,data/oxford_txts/LGW_oxford.txt,"¶Antonius was war,° and wol nat faile",OXFORD,LGW_gui_complete.csv
comen,cometh,v%pr_pl,100-ch 639,data/oxford_txts/LGW_oxford.txt,And fro the top doun cometh the grete stones.°,OXFORD,LGW_gui_complete.csv
gon,goon,v%pr_pl,100-ch 649,data/oxford_txts/LGW_oxford.txt,With pottes ful of lim° they goon togider;,OXFORD,LGW_gui_complete.csv
willen,wol,v%pr_pl,100-ch 667,data/oxford_txts/LGW_oxford.txt,"That ye wol die, if that your love be wrooth,°",OXFORD,LGW_gui_complete.csv
mouen,may,v%pr_pl,100-ch 668,data/oxford_txts/LGW_oxford.txt,Heer may ye seen of women swich a° trouthe!°,OXFORD,LGW_gui_complete.csv
sweren,swore,v%pt_1,100-ch 683,data/oxford_txts/LGW_oxford.txt,That I yow swore to been al frely° youre°,OXFORD,LGW_gui_complete.csv
willen,wol,v%pr_1,100-ch 694,data/oxford_txts/LGW_oxford.txt,"I wol fulfille, and that shal wel be sene;",OXFORD,LGW_gui_complete.csv
preien,pray,v%pr_1,100-ch 705,data/oxford_txts/LGW_oxford.txt,I pray God lat° our hedes never ake!,OXFORD,LGW_gui_complete.csv
seien,seyn,v%inf,100-ch 715,data/oxford_txts/LGW_oxford.txt,"And sooth° to seyn, that o° man hadde a sone",OXFORD,LGW_gui_complete.csv
shulen,shal,v%pr_1,100-ch 743,data/oxford_txts/LGW_oxford.txt,"Ye lovers two, if that I shal nat lie",OXFORD,LGW_gui_complete.csv
willen,wold,v%pt_pl,100-ch 756,data/oxford_txts/LGW_oxford.txt,"¶Thus wold they seyn—""""Allas! thou wikked wal",OXFORD,LGW_gui_complete.csv
haven,had,v%pt_pl,100-ch 775,data/oxford_txts/LGW_oxford.txt,Had dryed up the dew of° herbes° wete;°,OXFORD,LGW_gui_complete.csv
saven,her,v%inf,100-ch 798,data/oxford_txts/LGW_oxford.txt,For alle her frendes–for to save° her trouthe°–,OXFORD,LGW_gui_complete.csv
ben,am,v%pr_1,100-ch 836,data/oxford_txts/LGW_oxford.txt,"Whan I am he that have yow slain, allas!",OXFORD,LGW_gui_complete.csv
gon,goon,v%inf,100-ch 838,data/oxford_txts/LGW_oxford.txt,Allas! to bidde° a woman goon° by nighte,OXFORD,LGW_gui_complete.csv
beten,beting,v%prp_abs,100-ch 863,data/oxford_txts/LGW_oxford.txt,Beting° with his heles° on the grounde,OXFORD,LGW_gui_complete.csv
ben,am,v%pr_1,100-ch 881,data/oxford_txts/LGW_oxford.txt,"I am thy Tisbe, that thee calleth thus!”",OXFORD,LGW_gui_complete.csv
willen,wol,v%pr_1,100-ch 894,data/oxford_txts/LGW_oxford.txt,"I wol thee folwen deed,° and I wol be",OXFORD,LGW_gui_complete.csv
willen,wol,v%pr_1,100-ch 894,data/oxford_txts/LGW_oxford.txt,"I wol thee folwen deed,° and I wol be",OXFORD,LGW_gui_complete.csv
willen,wol,v%pr_1,100-ch 899,data/oxford_txts/LGW_oxford.txt,"Than fro the deeth, for I wol go with thee!",OXFORD,LGW_gui_complete.csv
ben,ar,v%pr_pl,100-ch 916,data/oxford_txts/LGW_oxford.txt,And thus ar Tisbe and Piramus ago.°,OXFORD,LGW_gui_complete.csv
folwen,folow,v%inf,100-ch 926,data/oxford_txts/LGW_oxford.txt,"Folow thy lantern, as thou gost° biforn,°",OXFORD,LGW_gui_complete.csv
feinen,feining,v%prp_abs,100-ch 932,data/oxford_txts/LGW_oxford.txt,Feining° the hors y-offred unto Minerve,OXFORD,LGW_gui_complete.csv
gon,goon,v%inf,100-ch 966,data/oxford_txts/LGW_oxford.txt,"To goon with him, the contre for t’espie;°",OXFORD,LGW_gui_complete.csv
