infinitive,preterite,past_participle,classification,notes
risen,"roos(32), ros(2)","risen(7), rysen(1)",strong,known strong verb
riven,"roof(1), rof(1)",,unclear,mixed or insufficient evidence (check!)
rollen,rolled(2),rolled(2),weak,classified by morphological evidence (check!)
romen,romed(7),romed(4),weak,classified by morphological evidence
rosten,rosted(2),,weak,classified by morphological evidence
rounden,rounded(2),,weak,classified by morphological evidence
rounen,"rowned(4), rouned(3)",rouned(1),weak,classified by morphological evidence
rumbelen,rombled(3),,weak,classified by morphological evidence
rusen,rused(2),,weak,classified by morphological evidence
sakken,,sakked(2),weak,classified by morphological evidence
saluen,,salewed(2),weak,classified by morphological evidence
saven,saved(4),saved(11),weak,classified by morphological evidence
scalden,,scalded(2),weak,classified by morphological evidence
scateren,,scatered(2),weak,classified by morphological evidence
scornen,"scorned(5), skorned(1)",,weak,classified by morphological evidence
sechen,"soughte(4), soghte(1)",soght(2),weak,Not in lists
seien,"seyde(472), seide(390), seid(47), sayde(8), said(6), saide(3), sayd(2), sayed(1), sayede(1)","seyd(66), seid(57), seide(1), said(1)",unclear,mixed or insufficient evidence (check!)
semen,"semed(69), seemed(1)",semed(2),weak,classified by morphological evidence (check!)
sen,"saw(50), sawgh(22), say(15), sey(10), seigh(3), sawe(2), saugh(1), saigh(1)","seyn(36), seen(10), sene(4), sein(2), seyen(1)",strong,classified by morphological evidence (check!)
senden,"sente(30), sent(2)",sent(38),weak,classified by morphological evidence (check!)
serven,"served(5), servede(2)","served(11), yserved(2)",weak,classified by morphological evidence (check!)
setlen,,ysatled(2),weak,classified by morphological evidence
setten,"sette(65), set(7)",set(64),weak,classified by morphological evidence
seuen,,sowed(1),weak,classified by morphological evidence (check!)
shadwen,,"shadwed(1), yshadwed(1)",weak,classified by morphological evidence
shaken,shook(4),,strong,known strong verb
shamen,,"shamed(3), yshamed(2)",weak,classified by morphological evidence
shapen,"shoop(27), shop(5)","shapen(23), shape(6), shapyn(1)",strong,known strong verb
shaven,,shave(4),strong,known strong verb
shenden,shente(1),shent(4),weak,classified by morphological evidence
sheuen,"shewed(26), shewede(5)",shewed(15),weak,classified by morphological evidence (check!)
shinen,"shoon(13), shon(2)",,strong,known strong verb
shitten,"shet(1), shette(1)","shet(4), shette(1)",weak,Not in lists
shouven,"shof(3), shoof(1)",,weak,"Although strong in early middle gnlish, seems weak here"
shreden,shredde(2),,weak,classified by morphological evidence
shrinen,,"shrined(1), shryned(1)",weak,classified by morphological evidence
shriven,,"shriven(1), shryven(1)",strong,known strong verb
shulen,"sholde(445), shulde(57), shold(37), shuld(12), shoulde(2)",,weak,classified by morphological evidence (check!)
siften,,sifted(2),weak,classified by morphological evidence
sighen,sighed(2),,weak,classified by morphological evidence
signifien,signified(2),,weak,classified by morphological evidence
siken,"sighte(10), siked(8), syghte(1)",siked(2),unclear,mixed or insufficient evidence (check!)
singen,"song(22), sang(11), soong(3), songe(2)","songen(4), songe(2)",strong,known strong verb
sinken,,sonken(4),strong,classified by morphological evidence
sitten,"satte(3), sat(2), sate(2), set(1), sete(1)",seten(4),strong,In lists
skippen,skipte(2),,weak,classified by morphological evidence
skriken,shrighte(5),shright(2),weak,classified by morphological evidence
slen,"slow(46), slough(15), slowh(1)","slayn(43), slain(33), yslain(3), yslayn(3), slawen(2), sleyn(2), slaine(1), slayne(1), slawe(1)",strong,known strong verb
slepen,"sleep(11), slepte(5), slep(3), slept(1), slepe(1)",,strong,known strong verb
slitten,slitte(1),,weak,classified by morphological evidence
smilen,"smyled(1), smiled(1)",,weak,Not in lists
smiten,"smoot(24), smot(4)",smyten(1),strong,known strong verb
smithen,smythed(1),,weak,classified by morphological evidence
sneuen,snewed(2),,weak,classified by morphological evidence
somnen,,somoned(2),weak,classified by morphological evidence
sorten,sorted(1),,weak,classified by morphological evidence (check!)
sorwen,,sorwed(2),weak,classified by morphological evidence
souen,,sowe(2),strong,classified by morphological evidence (check!)
souken,,souked(2),strong,known strong verb
soulen,,sowled(2),weak,classified by morphological evidence
sounen,"sowned(2), souned(2)",,weak,classified by morphological evidence
sparen,,"spared(2), yspared(2)",weak,classified by morphological evidence
speden,spedde(6),"sped(3), spedde(2)",weak,No evidence dn not in lists
speken,"spak(2), spake(2)","spoken(14), spoke(6)",strong,known strong verb
spenden,,spent(3),weak,classified by morphological evidence
spien,"spyed(1), spied(1)",,unclear,mixed or insufficient evidence (check!)
spillen,,spilt(2),weak,classified by morphological evidence
spotten,,spotted(2),weak,classified by morphological evidence
spousen,,spoused(2),weak,classified by morphological evidence
spreden,spradde(2),sprad(2),weak,Not in lists
sprengen,,"spreind(1), spreynd(1)",weak,classified by morphological evidence
springen,"sprong(2), sprang(1), sproong(1)",spronge(2),strong,known strong verb
spurnen,sporned(2),,weak,classified by morphological evidence
stablishen,,stablissed(2),weak,classified by morphological evidence
stalken,stalked(3),,weak,classified by morphological evidence
stelen,"stal(5), stale(2), staal(2), staale(1)","stole(6), stoln(4)",strong,known strong verb
stemen,stemed(2),,weak,classified by morphological evidence
steppen,,stapen(2),strong,known strong verb
sterten,"stirte(18), sterte(8), stirt(1), stert(1)","stert(2), stirt(2)",weak,not in lists
sterven,starf(12),,strong,known strong verb
stiken,"stak(2), stiked(1)","ystiked(3), stiked(1)",weak,classified by morphological evidence
stingen,,stongen(2),strong,Known strong vebr
stinken,stank(2),,strong,In lists
stinten,"stynte(5), stinte(3), stente(1)","stint(1), stynt(1), stinted(1), stynted(1)",weak,Not in lists
stiren,stired(2),,weak,classified by morphological evidence
stonden,"stood(100), stod(6), stoode(1), stode(1)",stonden(5),strong,known strong verb (check!)
stoppen,,stopped(4),weak,classified by morphological evidence
strepen,,strepen(2),strong,"Not in lists, but seems strong"
striven,"stroof(2), strof(2)",,strong,known strong verb
strouten,strouted(2),,weak,classified by morphological evidence
sufferen,suffred(3),"suffred(11), ysuffred(2)",weak,classified by morphological evidence
suffisen,,suffised(2),weak,classified by morphological evidence
sugren,,sucred(2),weak,classified by morphological evidence
supposen,supposed(2),"supposed(1), supposid(1)",weak,classified by morphological evidence
surmounten,,"surmountede(1), surmounted(1)",weak,Def weak
swappen,swapte(4),,weak,classified by morphological evidence
swellen,swal(2),,strong,known strong verb
swelten,swelte(4),,strong,known strong verb
swepen,,ysweped(2),weak,classified by morphological evidence
sweren,"swore(2), swoor(1), swor(1), swer(1)","sworn(11), ysworn(2), yswore(1)",strong,known strong verb
sweten,swatte(2),,strong,classified by morphological evidence (check!)
swinken,,swonken(2),strong,known strong verb
swiven,"swyved(1), swived(1)","swyved(3), swived(2)",weak,Y is spelling variation
swounen,"swowned(8), swouned(2)",swowned(2),weak,classified by morphological evidence
taken,"tok(24), toke(5), tooke(5), took(1), i(1)","taken(18), take(15)",strong,known strong verb
tarien,tariede(1),taried(6),weak,classified by morphological evidence (check!)
tasten,tasted(2),,weak,classified by morphological evidence
techen,"taughte(2), taught(1)",taught(13),weak,Not in lists
teien,,"yteid(1), yteyd(1)",weak,classified by morphological evidence
tellen,"tolde(109), told(7), toolde(1), toold(1)","told(65), toold(21), tald(2), tolde(1)",weak,Not in lists
tempren,"tempred(1), temprede(1)",tempred(2),weak,classified by morphological evidence
tempten,,tempted(2),weak,classified by morphological evidence
thakken,,thakked(2),weak,classified by morphological evidence
thanken,"thonked(11), thanked(11)","thanked(18), thonked(4), ythonked(3), ythanked(2)",weak,O is spelling variation
thinken,"thoghte(44), thoght(11), thoughte(1), thought(1)",thought(2),unclear,mixed or insufficient evidence (check!)
thirlen,,thirled(4),weak,classified by morphological evidence
thirsten,thursted(2),,weak,classified by morphological evidence
throuen,threw(3),throwen(2),strong,classified by morphological evidence (check!)
thurven,dorste(2),,weak,classified by morphological evidence
tiden,,"tid(7), tyd(1)",weak,classified by morphological evidence
tikelen,tikled(1),,weak,classified by morphological evidence
tirven,,terved(2),weak,classified by morphological evidence
tobresten,,tobrosten(2),strong,"This not in lists, but seems strong + atbresten is in lists"
todashen,,todasshed(2),weak,classified by morphological evidence
toheuen,,tohewen(2),strong,"this not in lists, but seems strong + hewen in lists"
torenden,torente(2),,weak,classified by morphological evidence
touchen,"touched(2), touchede(2)",,weak,classified by morphological evidence
traishen,traysed(1),,weak,classified by morphological evidence
translaten,,translated(2),weak,classified by morphological evidence
transmeuen,,transmewed(1),weak,classified by morphological evidence
treden,trad(1),troden(2),strong,known strong verb
trompen,tromped(2),,weak,classified by morphological evidence
trouen,trowed(4),trowed(7),weak,classified by morphological evidence
trussen,,trussed(2),weak,classified by morphological evidence
trusten,trusted(4),trusted(2),weak,classified by morphological evidence
tuken,,tukked(2),weak,classified by morphological evidence
turnen,"torned(7), turned(4), tornede(2), turnede(1)","turned(22), torned(5), yturned(1), tourned(1)",weak,Certainly weak
twicchen,,twight(2),weak,classified by morphological evidence
twinnen,,"twinned(2), twynned(2), ytwinned(1), ytwynned(1)",weak,classified by morphological evidence (check!)
twisten,twiste(2),"twist(1), twyst(1)",weak,classified by morphological evidence
unarmen,,unarmed(1),weak,classified by morphological evidence
unbirien,,"unburied(1), unburyed(1)",weak,classified by morphological evidence
understonden,"understood(6), understod(1)",understonde(5),strong,known strong verb
undon,undide(2),,strong / irregular,"Don is generally irregular, but this form seems strong"
unhorsen,,unhorsed(2),weak,classified by morphological evidence
unknouen,,"unknowen(5), unknowe(2)",strong,Not in lists but knowen is strong
usen,used(8),used(7),weak,classified by morphological evidence
vanishen,"vanysshed(2), vanisshed(1)","vanisshed(1), vanysshed(1)",weak,classified by morphological evidence
venquishen,,venquysshed(1),weak,classified by morphological evidence
vernishen,,"vernisshed(1), vernysshed(1)",weak,classified by morphological evidence
visiten,visited(2),,weak,classified by morphological evidence
vitailen,vitailled(2),,weak,classified by morphological evidence
voiden,,"voided(6), voyded(2), yvoided(1), yvoyded(1)",weak,classified by morphological evidence
waiten,"waited(4), wayted(2), waitede(1)",,weak,classified by morphological evidence
waken,"wook(8), wok(1)",waked(2),strong,known strong verb
waknen,,"wakned(1), wakened(1)",weak,classified by morphological evidence
walken,"welk(6), walked(6)",walked(6),strong,known strong verb (check!)
warishen,,"warisshed(6), warished(2)",weak,classified by morphological evidence
warnen,"warned(3), warnede(1)","warned(7), ywarned(2)",weak,classified by morphological evidence (check!)
washen,wessh(2),wasshen(2),strong,known strong verb
wasten,,wasted(7),weak,classified by morphological evidence
waxen,"wex(46), wax(18), weex(5), wexe(1), waxe(1)","woxen(17), waxen(7), wexe(1), woxe(1)",strong,known strong verb (check!)
wedden,"wedded(4), weddede(2)","wedded(45), ywedded(7)",weak,classified by morphological evidence
weien,"weied(1), weyed(1)",,weak,classified by morphological evidence (check!)
weilen,"wayled(2), wailed(1)",,strong,"Wallen in list, I think this is same"
welcomen,welcomed(1),,weak,classified by morphological evidence
welden,"welte(2), weelded(1)",,weak,classified by morphological evidence
wenden,"wente(147), went(21)",went(4),weak,classified by morphological evidence
wenen,"wende(43), wend(5)",wend(7),weak,classified by morphological evidence (check!)
wepen,"weep(28), wepte(11), wep(3), wept(2), weepe(1)","wopen(4), wept(4), wepen(2)",strong,known strong verb
weren,"wered(14), werede(3)",wered(5),strong,known strong verb (check!)
werken,"wroghte(16), wroughte(2)","wroght(16), wrought(7), wroughte(1)",weak,Never appears in inf I think
wernen,werned(2),,weak,classified by morphological evidence
werreien,werreyed(2),"werreied(1), wereyed(1)",weak,classified by morphological evidence
weten,wette(2),,weak,classified by morphological evidence
willen,"wolde(53), wold(2)",,irregular,Known irregular
wilnen,wilned(4),,weak,classified by morphological evidence
winnen,"wan(25), wanne(1)","wonne(11), wonnen(6)",strong,known strong verb
wipen,"wiped(3), wyped(1)",,weak,Y is spelling variation
witen,"wiste(116), wist(9), wyste(3), woot(1), wot(1)",wist(28),unclear,mixed or insufficient evidence (check!)
wlispen,lipsed(2),,weak,classified by morphological evidence
wondren,wondred(7),wondred(4),weak,classified by morphological evidence
wonen,woned(3),"wont(85), woned(4)",weak,classified by morphological evidence (check!)
wounden,,"wounded(7), wownded(1)",weak,classified by morphological evidence
wrappen,,wrapped(4),weak,classified by morphological evidence
wratthen,,wraththed(1),weak,classified by morphological evidence
wreken,wrak(2),ywroke(2),strong,known strong verb
wrien,"wryed(2), wreigh(1)",,strong,classified by morphological evidence (check!)
wringen,wrong(6),,strong,known strong verb
writen,"wrot(9), wroot(2)","writen(25), ywriten(7), write(4), written(2), iwriten(2), ywrite(2)",strong,known strong verb
yelden,,"yolden(3), yolde(1)",strong,Seems strong even though not in list
yeven,"yaf(122), gaf(3)","yeven(27), yeve(14), yive(3), yyeven(1)",strong,known strong verb
yicchen,,icched(2),weak,classified by morphological evidence
