RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,11,,11,11,So priketh hem Nature in hir corages,So priketh hem nature in hir corages,u Su S uS u S uSu,u Su S uS u S uSu,so@adv priken@v%pr_3 hem@pron%pl_obj nature@n in@prep here@pron%pl_gen corage@n%pl,so@adv priken@v%pr_3 hem@pron%pl_obj nature@n in@prep here@pron%pl_gen corage@n%pl,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,12,,11,11,Thanne longen folk to goon on pilgrimages,Than longen folk to goon on pilgrimages,u Su S u S u SuSu,u Su S u S u SuSu,thanne@adv longen@v1%pr_pl folk@n to@part gon@v%inf on@prep pilgrimage@n%pl,thanne@adv longen@v1%pr_pl folk@n to@part gon@v%inf on@prep pilgrimage@n%pl,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,13,,11,10,And palmeres for to seken straunge strondes,And palmers for to seken straunge strondes,u SuS u S uS u Su,u Su S u Su S uS,and@conj palmere@n%pl for@prep#adv to@part sechen@v%inf straunge@adj stronde@n1%pl,and@conj palmere@n%pl for@prep#adv to@part sechen@v%inf straunge@adj stronde@n1%pl,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,14,,10,10,To ferne halwes kowthe in sondry londes,To ferne halwes couthe in sondry londes,u S uS u S uS uS,u S uS u S uS uS,to@prep ferrene@adj halwe@n%pl couth@adj in@prep sondri@adj lond@n%pl,to@prep ferrene@adj halwe@n%pl couth@adj in@prep sondri@adj lond@n%pl,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,15,,10,10,And specially from every shires ende,And specially from every shires ende,u SuS u Su Su S,u SuS u Su Su S,and@conj specialli@adv from@prep everi@pron_gram_adj shire@n%gen ende@n1,and@conj specialli@adv from@prep everi@pron_gram_adj shire@n%gen ende@n1,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,16,,11,11,Of Engelond to Caunterbury they wende,Of Engelond to Caunterbury they wende,u SuS u SuSu S u,u SuS u SuSu S u,of@prep engelond@n#propn to@prep caunterbury@n#propn thei@pron%pl_nom wenden@v%pr_pl,of@prep engelond@n#propn to@prep caunterbury@n#propn thei@pron%pl_nom wenden@v%pr_pl,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,17,,10,10,The hooly blisful martir for to seke,The holy blisful martir for to seke,u Su Su Su S u S,u Su Su Su S u S,the@def_art holi@adj2 blisful@adj martir@n for@prep#adv to@part sechen@v%inf,the@def_art holi@adj2 blisful@adj martir@n for@prep#adv to@part sechen@v%inf,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,18,,10,10,That hem hath holpen whan that they were seeke,That hem hath holpen whan that they were seke,u S u Su S u S u S,u S u Su S u S u S,that@pron hem@pron%pl_obj haven@v%pr_3 helpen@v%ppl whan@adv&conj that@part thei@pron%pl_nom ben@v%pt_pl sik@adj,that@pron hem@pron%pl_obj haven@v%pr_3 helpen@v%ppl whan@adv&conj that@part thei@pron%pl_nom ben@v%pt_pl sik@adj,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,19,,10,10,Bifil that in that seson on a day,Bifel that in that seson on a day,uS u S u Su S u S,uS u S u Su S u S,bifallen@v%pt_3 that@conj in@prep that@art&gram_adj sesoun@n on@prep a@indef_art dai@n,bifallen@v%pt_3 that@conj in@prep that@art&gram_adj sesoun@n on@prep a@indef_art dai@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,20,,10,10,In Southwerk at the Tabard as I lay,In Southwerk at the Tabard as I lay,u Su S u Su S u S,u Su S u Su S u S,in@prep southwerk@n#propn at@prep the@def_art tabard@n#propn as@conj ich@pron%nom lien@v1%pt_1,in@prep southwerk@n#propn at@prep the@def_art tabard@n#propn as@conj ich@pron%nom lien@v1%pt_1,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,21,,10,10,Redy to wenden on my pilgrymage,Redy to wenden on my pilgrimage,uS u Su S u SuS,uS u Su S u SuS,redi@adj3 to@part wenden@v%inf on@prep min@pron%gen pilgrimage@n,redi@adj3 to@part wenden@v%inf on@prep min@pron%gen pilgrimage@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,22,,11,11,To Caunterbury with ful devout corage,To Caunterbury with ful devout corage,u SuSu S u Su Su,u SuSu S u Su Su,to@prep caunterbury@n#propn with@prep ful@adv devout@adj corage@n,to@prep caunterbury@n#propn with@prep ful@adv devout@adj corage@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,23,,10,10,At nyght was come into that hostelrye,At night was come into that hostelrie,u S u S uS u SuS,u S u S uS u SuS,at@prep night@n ben@v%pt_3 comen@v%ppl in-to@prep that@art&gram_adj hostelrie@n,at@prep night@n ben@v%pt_3 comen@v%ppl in-to@prep that@art&gram_adj hostelrie@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,24,,10,10,Wel nyne and twenty in a compaignye,Wel nine and twenty in a compaignie,u S u Su S u SuS,u S u Su S u SuS,wel@adv nin@num_adj and@conj twenti@num_adj in@prep a@indef_art compaignie@n,wel@adv nin@num_adj and@conj twenti@num_adj in@prep a@indef_art compaignie@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,25,,10,10,Of sondry folk by aventure yfalle,Of sondry folk by aventure yfalle,u Su S u SuS uS,u Su S u SuS uS,of@prep sondri@adj folk@n bi@prep aventure@n fallen@v%ppl_abs,of@prep sondri@adj folk@n bi@prep aventure@n fallen@v%ppl_abs,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,26,,12,10,In felaweshipe and pilgrimes were they alle,In felawshipe and pilgrims were they alle,u SuSu S uSu S u S,u SuS u Su S u S,in@prep felaushipe@n and@conj pilgrim@n%pl ben@v%pt_pl thei@pron%pl_nom al@gram_adj,in@prep felaushipe@n and@conj pilgrim@n%pl ben@v%pt_pl thei@pron%pl_nom al@gram_adj,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,27,,10,10,That toward Caunterbury wolden ryde,That toward Caunterbury wolden ride,u Su SuSu Su S,u Su SuSu Su S,that@pron towarde@prep caunterbury@n#propn willen@v%pt_pl riden@v%inf,that@pron towarde@prep caunterbury@n#propn willen@v%pt_pl riden@v%inf,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,28,,10,10,The chambres and the stables weren wyde,The chambres and the stables weren wide,u Su S u Su Su S,u Su S u Su Su S,the@def_art chaumbre@n%pl and@conj the@def_art stable@n%pl ben@v%pt_pl wid@adj,the@def_art chaumbre@n%pl and@conj the@def_art stable@n%pl ben@v%pt_pl wid@adj,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,29,DIFF,10,10,And wel we weren esed atte beste,And wel we weren esed at the beste,u S u Su Su Su S,u S u Su Su S u S,and@conj wel@adv we@pron%pl_nom ben@v%pt_pl esen@v%ppl atte@prep best@adjas_n%sup,and@conj wel@adv we@pron%pl_nom ben@v%pt_pl esen@v%ppl at@prep the@def_art best@adjas_n%sup,green
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,30,,10,10,And shortly whan the sonne was to reste,And shortly whan the sonne was to reste,u Su S u Su S u S,u Su S u Su S u S,and@conj shortli@adv whan@adv&conj the@def_art sonne@n ben@v%pt_3 to@prep reste@n1,and@conj shortli@adv whan@adv&conj the@def_art sonne@n ben@v%pt_3 to@prep reste@n1,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,31,,10,10,So hadde I spoken with hem everichon,So hadde I spoken with hem everichon,u S u Su S u SuS,u S u Su S u SuS,so@adv haven@v%pt_1 ich@pron%nom speken@v%ppl with@prep hem@pron%pl_obj everich-on@pron,so@adv haven@v%pt_1 ich@pron%nom speken@v%ppl with@prep hem@pron%pl_obj everich-on@pron,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,32,,11,10,That I was of hir felaweshipe anon,That I was of hir felawshipe anon,u S u S u SuSu Su,u S u S u SuS uS,that@conj ich@pron%nom ben@v%pt_1 of@prep here@pron%pl_gen felaushipe@n an-on@adv,that@conj ich@pron%nom ben@v%pt_1 of@prep here@pron%pl_gen felaushipe@n an-on@adv,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,33,,10,10,And made forward erly for to ryse,And made forward erly for to rise,u Su Su Su S u S,u Su Su Su S u S,and@conj maken@v1%pt_1 fore-ward@n erli@adv for@prep#adv to@part risen@v%inf,and@conj maken@v1%pt_1 fore-ward@n erli@adv for@prep#adv to@part risen@v%inf,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,34,,10,10,To take oure wey ther as I yow devyse,To take our wey ther as I yow devise,u S u S u S u S uS,u S u S u S u S uS,to@part taken@v%inf oure@pron%pl_gen wei@n ther@adv as@conj ich@pron%nom you@pron%pl_obj devisen@v%pr_1,to@part taken@v%inf oure@pron%pl_gen wei@n ther@adv as@conj ich@pron%nom you@pron%pl_obj devisen@v%pr_1,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,35,,10,10,But nathelees whil I have tyme and space,But natheles whil I have time and space,u SuS u S u S u S,u SuS u S u S u S,but@conj no-the-lesse@adv whil@conj ich@pron%nom haven@v%pr_1 time@n and@conj space@n,but@conj no-the-lesse@adv whil@conj ich@pron%nom haven@v%pr_1 time@n and@conj space@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,36,,10,10,Er that I ferther in this tale pace,Er that I ferther in this tale pace,u S u Su S u Su S,u S u Su S u Su S,er@conj1 that@part ich@pron%nom ferther@adv%comp in@prep this@gram_adj tale@n passen@v%pr_1,er@conj1 that@part ich@pron%nom ferther@adv%comp in@prep this@gram_adj tale@n passen@v%pr_1,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,37,,10,10,Me thynketh it acordaunt to resoun,Me thinketh it acordaunt to resoun,u Su S uSu S uS,u Su S uSu S uS,me@pron2%obj thinken@v1%pr_3 hit@pron accordaunt@adj to@prep resoun@n2,me@pron2%obj thinken@v1%pr_3 hit@pron accordaunt@adj to@prep resoun@n2,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,38,,10,10,To telle yow al the condicioun,To telle yow al the condicioun,u Su S u S uSuS,u Su S u S uSuS,to@part tellen@v%inf you@pron%pl_obj al@gram_adj the@def_art condicioun@n,to@part tellen@v%inf you@pron%pl_obj al@gram_adj the@def_art condicioun@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,39,,10,10,Of ech of hem so as it semed me,Of ech of hem so as it semed me,u S u S u S u Su S,u S u S u S u Su S,of@prep ech@pron of@prep hem@pron%pl_obj so@adv as@conj hit@pron semen@v2%pt_3 me@pron2%obj,of@prep ech@pron of@prep hem@pron%pl_obj so@adv as@conj hit@pron semen@v2%pt_3 me@pron2%obj,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,40,,10,10,And whiche they weren and of what degree,And which they weren and of what degree,u S u Su S u S uS,u S u Su S u S uS,and@conj which@pron thei@pron%pl_nom ben@v%pt_pl and@conj of@prep what@gram_adj degre@n,and@conj which@pron thei@pron%pl_nom ben@v%pt_pl and@conj of@prep what@gram_adj degre@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,41,,10,10,And eek in what array that they were inne,And eek in what array that they were inne,u S u S uS u S u S,u S u S uS u S u S,and@conj ek@adv in@prep what@gram_adj arrai@n that@pron thei@pron%pl_nom ben@v%pt_pl inne@prep,and@conj ek@adv in@prep what@gram_adj arrai@n that@pron thei@pron%pl_nom ben@v%pt_pl inne@prep,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,42,,10,10,And at a knyght than wol I first bigynne,And at a knight than wol I first biginne,u S u S u S u S uS,u S u S u S u S uS,and@conj at@prep a@indef_art knight@n thanne@adv willen@v%pr_1 ich@pron%nom first@adv biginnen@v%inf,and@conj at@prep a@indef_art knight@n thanne@adv willen@v%pr_1 ich@pron%nom first@adv biginnen@v%inf,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,43,,10,10,A KNYGHT ther was and that a worthy man,A Knight ther was and that a worthy man,u S u S u S u Su S,u S u S u S u Su S,a@indef_art knight@n ther@adv ben@v%pt_3 and@conj that@pron a@indef_art worthi@adj man@n,a@indef_art knight@n ther@adv ben@v%pt_3 and@conj that@pron a@indef_art worthi@adj man@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,44,,10,10,That fro the tyme that he first bigan,That fro the time that he first bigan,u S u Su S u S uS,u S u Su S u S uS,that@pron from@prep the@def_art time@n that@pron he@pron1%nom first@adv biginnen@v%pt_3,that@pron from@prep the@def_art time@n that@pron he@pron1%nom first@adv biginnen@v%pt_3,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,45,,10,10,To riden out he loved chivalrie,To riden out he loved chivalrie,u Su S u Su SuS,u Su S u Su SuS,to@part riden@v%inf oute@adv he@pron1%nom loven@v1%pt_3 chevalrie@n,to@part riden@v%inf oute@adv he@pron1%nom loven@v1%pt_3 chevalrie@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,46,,10,10,Trouthe and honour fredom and curteisie,Trouthe and honour fredom and curteisie,u S uS uS u SuS,u S uS uS u SuS,treuth@n and@conj honour@n fredom@n and@conj courteisie@n,treuth@n and@conj honour@n fredom@n and@conj courteisie@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,47,,10,10,Ful worthy was he in his lordes werre,Ful worthy was he in his lordes werre,u Su S u S u Su S,u Su S u S u Su S,ful@adv worthi@adj ben@v%pt_3 he@pron1%nom in@prep his@pron1%gen lord@n%gen werre@n1,ful@adv worthi@adj ben@v%pt_3 he@pron1%nom in@prep his@pron1%gen lord@n%gen werre@n1,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,48,,10,10,And therto hadde he riden no man ferre,And therto hadde he riden no man ferre,u Su S u Su S u S,u Su S u Su S u S,and@conj ther-to@adv haven@v%pt_3 he@pron1%nom riden@v%ppl no@gram_adj man@n fer@adv%comp,and@conj ther-to@adv haven@v%pt_3 he@pron1%nom riden@v%ppl no@gram_adj man@n fer@adv%comp,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,49,DIFF,11,10,As wel in cristendom as in hethenesse,As wel in Cristendom as hethenesse,u S u SuS u S uSu,u S u SuS u SuS,as@conj wel@adv in@prep cristendom@n as@conj in@prep hethenesse@n,as@conj wel@adv in@prep cristendom@n as@conj hethenesse@n,green
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,50,,11,11,And evere honoured for his worthynesse,And ever honoured for his worthinesse,u Su SuS u S uSu,u Su SuS u S uSu,and@conj ever@adv honouren@v%ppl_abs for@prep his@pron1%gen worthinesse@n,and@conj ever@adv honouren@v%ppl_abs for@prep his@pron1%gen worthinesse@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,51,,10,10,At Alisaundre he was whan it was wonne,At Alisaundre he was whan it was wonne,u SuS u S u S u S,u SuS u S u S u S,at@prep alisaundre@n#propn he@pron1%nom ben@v%pt_3 whan@adv&conj hit@pron ben@v%pt_3 winnen@v%ppl,at@prep alisaundre@n#propn he@pron1%nom ben@v%pt_3 whan@adv&conj hit@pron ben@v%pt_3 winnen@v%ppl,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,52,,10,10,Ful ofte tyme he hadde the bord bigonne,Ful ofte time he had the bord bigonne,u Su S u S u S uS,u Su S u S u S uS,ful@adv ofte@adj time@n he@pron1%nom haven@v%pt_3 the@def_art bord@n biginnen@v%ppl,ful@adv ofte@adj time@n he@pron1%nom haven@v%pt_3 the@def_art bord@n biginnen@v%ppl,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,53,,10,10,Aboven alle nacions in Pruce,Aboven alle naciouns in Pruce,uSu Su Su S uS,uSu S uSuS u S,aboven@prep al@gram_adj nacioun@n%pl in@prep prusse@n#propn,aboven@prep al@gram_adj nacioun@n%pl in@prep prusse@n#propn,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,54,,10,10,In Lettow hadde he reysed and in Ruce,In Lettow hadde he reised and in Ruce,u Su S u Su S u S,u Su S u Su S u S,in@prep lettow@n#propn haven@v%pt_3 he@pron1%nom reisen@v2%ppl and@conj in@prep ruce@n#propn,in@prep lettow@n#propn haven@v%pt_3 he@pron1%nom reisen@v2%ppl and@conj in@prep ruce@n#propn,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,55,,10,10,No Cristen man so ofte of his degree,No Cristen man so ofte of his degree,u Su S u S u S uS,u Su S u S u S uS,no@gram_adj cristen@adj man@n so@adv ofte@adv of@prep his@pron1%gen degre@n,no@gram_adj cristen@adj man@n so@adv ofte@adv of@prep his@pron1%gen degre@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,56,,10,10,In Gernade at the seege eek hadde he be,In Gernade at the sege eek hadde he be,u Su S u S u S u S,u Su S u S u S u S,in@prep gernade@n#propn at@prep the@def_art sege@n2 ek@adv haven@v%pt_3 he@pron1%nom ben@v%ppl,in@prep gernade@n#propn at@prep the@def_art sege@n2 ek@adv haven@v%pt_3 he@pron1%nom ben@v%ppl,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,57,,11,11,Of Algezir and riden in Belmarye,Of Algezir and riden in Belmarie,u SuS u Su S uSu,u SuS u Su S uSu,of@prep algezir@n#propn and@conj riden@v%ppl in@prep belmarie@n#propn,of@prep algezir@n#propn and@conj riden@v%ppl in@prep belmarie@n#propn,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,58,,9,9,At Lyeys was he and at Satalye,At Lieys was he and at Satalie,u S u S u S uSu,u S u S u S uSu,at@prep lyeys@n#propn ben@v%pt_3 he@pron1%nom and@conj at@prep satalie@n#propn,at@prep lyeys@n#propn ben@v%pt_3 he@pron1%nom and@conj at@prep satalie@n#propn,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,59,,10,10,Whan they were wonne and in the Grete See,Whan they were wonne and in the Grete See,u S uS u S u S u S,u S uS u S u S u S,whan@adv&conj thei@pron%pl_nom ben@v%pt_pl winnen@v%ppl and@conj in@prep the@def_art gret@adj se@n1,whan@adv&conj thei@pron%pl_nom ben@v%pt_pl winnen@v%ppl and@conj in@prep the@def_art gret@adj se@n1,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,60,DIFF,10,10,At many a noble armee hadde he be,At many a noble arive hadde he be,u Su S u Su S u S,u Su S u Su S u S,at@prep mani@gram_adj a@indef_art noble@adj armee@n haven@v%pt_3 he@pron1%nom ben@v%ppl,at@prep mani@gram_adj a@indef_art noble@adj arive@n haven@v%pt_3 he@pron1%nom ben@v%ppl,green
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,61,,11,11,At mortal batailles hadde he been fiftene,At mortal batailles hadde he been fiftene,u Su SuS u S u Su,u Su SuS u S u Su,at@prep mortal@adj bataille@n%pl haven@v%pt_3 he@pron1%nom ben@v%ppl fif-tene@num_adj,at@prep mortal@adj bataille@n%pl haven@v%pt_3 he@pron1%nom ben@v%ppl fif-tene@num_adj,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,62,,10,10,And foughten for oure feith at Tramyssene,And foughten for our feith at Tramissene,u Su S u S u SuS,u Su S u S u SuS,and@conj fighten@v%ppl for@prep oure@pron%pl_gen feith@n at@prep tramissene@n#propn,and@conj fighten@v%ppl for@prep oure@pron%pl_gen feith@n at@prep tramissene@n#propn,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,63,DIFF,9,10,In lystes thries and ay slayn his foo,In listes thries and ay had slain his foo,u Su S u S u S u,u Su S u S u S u S,in@prep liste@n2%pl thrice@adv and@conj ai@adv slen@v%ppl his@pron1%gen fo@n,in@prep liste@n2%pl thrice@adv and@conj ai@adv haven@v%pt_3 slen@v%ppl his@pron1%gen fo@n,green
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,64,,10,10,This ilke worthy knyght hadde been also,This ilke worthy knight had been also,u Su Su S u S uS,u Su Su S u S uS,this@gram_adj ilke@pron_gram_adj worthi@adj knight@n haven@v%pt_3 ben@v%ppl also@adv,this@gram_adj ilke@pron_gram_adj worthi@adj knight@n haven@v%pt_3 ben@v%ppl also@adv,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,65,,10,10,Somtyme with the lord of Palatye,Somtime with the lord of Palatie,uSu S u S u SuS,uSu S u S u SuS,som-time@adv with@prep the@def_art lord@n of@prep palatye@n#propn,som-time@adv with@prep the@def_art lord@n of@prep palatye@n#propn,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,66,,10,10,Agayn another hethen in Turkye,Agein another hethen in Turkie,uS uSu Su S uS,uS uSu Su S uS,ayen@prep another@gram_adj hethen@n in@prep turkie@n#propn,ayen@prep another@gram_adj hethen@n in@prep turkie@n#propn,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,67,,12,11,And everemoore he hadde a sovereyn prys,And evermore he hadde a soverein pris,u SuSu S u S uSu S,u SuS u S u SuS u,and@conj ever-mor@adv he@pron1%nom haven@v%pt_3 a@indef_art soverain@adj pris@n1,and@conj ever-mor@adv he@pron1%nom haven@v%pt_3 a@indef_art soverain@adj pris@n1,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,68,,10,10,And though that he were worthy he was wys,And though that he were worthy he was wis,u S u S u Su S u S,u S u S u Su S u S,and@conj though@conj that@part he@pron1%nom ben@v%pt_3 worthi@adj he@pron1%nom ben@v%pt_3 wise@adj,and@conj though@conj that@part he@pron1%nom ben@v%pt_3 worthi@adj he@pron1%nom ben@v%pt_3 wise@adj,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,69,,10,10,And of his port as meeke as is a mayde,And of his port as meke as is a maide,u S u S u S u S u S,u S u S u S u S u S,and@conj of@prep his@pron1%gen port@n4 as@conj mek@adj as@conj ben@v%pr_3 a@indef_art maide@n,and@conj of@prep his@pron1%gen port@n4 as@conj mek@adj as@conj ben@v%pr_3 a@indef_art maide@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,70,,10,10,He nevere yet no vileynye ne sayde,He never yet no vileinie ne saide,u Su S u SuS u S,u Su S u SuS u S,he@pron1%nom never@adv yet@adv no@gram_adj vileinie@n ne@adv seien@v1%pt_3,he@pron1%nom never@adv yet@adv no@gram_adj vileinie@n ne@adv seien@v1%pt_3,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,71,,10,10,In al his lyf unto no maner wight,In al his lif unto no maner wight,u S u S uS u Su S,u S u S uS u Su S,in@prep al@gram_adj his@pron1%gen lif@n unto@prep no@gram_adj manere@n#adj wight@n,in@prep al@gram_adj his@pron1%gen lif@n unto@prep no@gram_adj manere@n#adj wight@n,
